Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG/SG,James Harden,12400,Was@Hou 08:00PM ET,60.707,Hou,1,0,69.143,53.725,73.812,103.500,6.000,74.400,0.124,0.000,230.500
PG,Russell Westbrook,12300,OKC@Mil 07:00PM ET,64.037,OKC,0,0,57.000,53.426,55.938,61.000,5.000,73.800,0.247,1.500,213.500
SF,LeBron James,10500,NO@Cle 07:00PM ET,52.448,Cle,1,0,55.393,42.786,53.125,56.500,21.000,63.000,0.188,0.000,218.000
PG,Giannis Antetokounmpo,10400,OKC@Mil 07:00PM ET,51.375,Mil,1,0,51.786,42.350,53.125,74.750,20.500,62.400,0.164,0.000,213.500
PF/C,Anthony Davis,10300,NO@Cle 07:00PM ET,54.939,NO,0,0,49.214,40.200,53.438,51.500,10.000,61.800,0.346,9.000,218.000
PG,John Wall,10100,Was@Hou 08:00PM ET,49.250,Was,0,0,47.429,42.133,52.438,51.500,11.500,60.600,0.126,7.500,230.500
SF,Kevin Durant,9900,Den@GS 10:30PM ET,50.066,GS,1,0,48.071,41.281,56.688,51.250,17.000,59.400,0.185,0.000,232.000
PG,Chris Paul,9500,Pho@LAC 10:30PM ET,43.927,LAC,1,0,47.679,36.653,43.500,42.500,25.500,57.000,0.114,0.000,214.000
PF/C,Kevin Love,8800,NO@Cle 07:00PM ET,42.621,Cle,1,0,48.179,34.984,44.812,43.000,24.250,52.800,0.167,0.000,218.000
SG/SF,Jimmy Butler,8700,Cha@Chi 08:00PM ET,43.029,Chi,1,0,44.143,34.194,47.375,50.250,20.000,52.200,0.213,1.500,199.500
PG,Stephen Curry,8600,Den@GS 10:30PM ET,42.353,GS,1,0,38.250,36.319,37.688,29.500,29.000,51.600,0.144,0.000,232.000
SF,Gordon Hayward,8100,Uta@Bkn 07:30PM ET,38.213,Uta,0,0,36.214,29.542,39.312,39.250,30.000,48.600,0.151,0.000,206.000
SG/SF,Nicolas Batum,8000,Cha@Chi 08:00PM ET,36.667,Cha,0,0,37.286,27.719,44.438,36.000,13.000,48.000,0.141,0.000,199.500
PG,Kemba Walker,7900,Cha@Chi 08:00PM ET,39.235,Cha,0,0,33.857,33.145,38.500,50.250,11.500,47.400,0.194,0.000,199.500
PG,Kyrie Irving,7800,NO@Cle 07:00PM ET,40.069,Cle,1,0,48.464,32.383,52.312,62.750,27.000,46.800,0.266,0.000,218.000
PF/C,Blake Griffin,7700,Pho@LAC 10:30PM ET,41.942,LAC,1,0,45.679,35.625,41.750,46.250,22.500,46.200,0.307,0.000,214.000
PG,Eric Bledsoe,7600,Pho@LAC 10:30PM ET,37.875,Pho,0,0,35.286,28.542,38.438,41.500,2.000,45.600,0.261,4.500,214.000
PF/C,Draymond Green,7500,Den@GS 10:30PM ET,39.383,GS,1,0,38.571,33.588,35.438,32.500,10.500,45.000,0.257,0.000,232.000
C,Rudy Gobert,7400,Uta@Bkn 07:30PM ET,35.404,Uta,0,0,38.786,26.821,35.812,40.750,29.500,44.400,0.160,0.000,206.000
SF/PF,Jabari Parker,7300,OKC@Mil 07:00PM ET,34.109,Mil,1,0,40.393,25.484,40.250,41.250,11.250,43.800,0.177,0.000,213.500
SF,Carmelo Anthony,7200,Orl@NY 07:30PM ET,36.406,NY,1,0,36.750,27.972,30.875,12.250,23.000,43.200,0.288,0.000,210.500
C,DeAndre Jordan,7200,Pho@LAC 10:30PM ET,33.792,LAC,1,0,32.821,28.188,38.750,30.250,24.000,43.200,0.131,0.000,214.000
PF,Kristaps Porzingis,7100,Orl@NY 07:30PM ET,38.000,NY,1,0,35.893,29.632,41.875,50.000,11.000,42.600,0.343,0.000,210.500
C,Nikola Jokic,7000,Den@GS 10:30PM ET,29.733,Den,0,0,36.929,20.667,40.875,38.750,21.500,42.000,0.191,15.500,232.000
PF/C,Serge Ibaka,6700,Orl@NY 07:30PM ET,30.793,Orl,0,0,36.464,23.150,37.875,32.000,20.750,40.200,0.191,4.000,210.500
SG,Klay Thompson,6600,Den@GS 10:30PM ET,32.191,GS,1,0,40.393,24.588,35.188,42.500,29.000,39.600,0.239,0.000,232.000
PG,George Hill,6500,Uta@Bkn 07:30PM ET,32.808,Uta,0,0,37.000,18.812,27.750,7.250,30.000,39.000,0.292,0.000,206.000
SG,Bradley Beal,6500,Was@Hou 08:00PM ET,33.696,Was,0,0,32.607,25.250,28.438,20.750,27.000,39.000,0.305,7.500,230.500
PG,Jrue Holiday,6500,NO@Cle 07:00PM ET,32.513,NO,0,0,27.607,26.773,34.688,40.500,23.000,39.000,0.204,9.000,218.000
PG,Derrick Rose,6500,Orl@NY 07:30PM ET,30.733,NY,1,0,36.036,23.750,36.938,42.250,17.000,39.000,0.210,0.000,210.500
C,Marcin Gortat,6400,Was@Hou 08:00PM ET,31.930,Was,0,0,33.857,25.882,31.812,40.750,26.000,38.400,0.217,7.500,230.500
