Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PF/C,DeMarcus Cousins,10800,GS@Sac 09:00PM ET,52.450,Sac,1,0,58.179,40.067,47.938,60.250,15.750,64.800,0.182,12.000,226.000
SF,LeBron James,10200,Cle@Pho 08:30PM ET,52.438,Cle,0,0,53.000,43.641,53.875,59.750,25.500,61.200,0.223,0.000,221.000
SF,Kevin Durant,9700,GS@Sac 09:00PM ET,49.757,GS,0,0,47.000,40.691,47.500,54.750,15.000,58.200,0.210,0.000,226.000
PG,Stephen Curry,9000,GS@Sac 09:00PM ET,42.838,GS,0,0,39.250,36.487,43.312,57.250,19.000,54.000,0.108,0.000,226.000
PG,Kyrie Irving,8200,Cle@Pho 08:30PM ET,40.308,Cle,0,0,38.714,32.383,52.188,47.250,25.500,49.200,0.202,0.000,221.000
PF/C,Kevin Love,8000,Cle@Pho 08:30PM ET,42.161,Cle,0,0,39.429,34.603,43.062,37.750,22.500,48.000,0.284,0.000,221.000
PF/C,Draymond Green,7500,GS@Sac 09:00PM ET,39.529,GS,0,0,38.000,33.472,38.938,31.500,15.750,45.000,0.260,0.000,226.000
SF,Gordon Hayward,7100,Uta@Mem 08:00PM ET,37.266,Uta,0,0,33.750,28.800,30.875,24.000,5.000,42.600,0.299,2.500,187.500
C,Marc Gasol,7000,Uta@Mem 08:00PM ET,38.473,Mem,1,0,38.286,28.529,31.812,35.750,2.000,42.000,0.384,0.000,187.500
PF/C,Julius Randle,7000,Orl@LAL 09:30PM ET,32.279,LAL,1,0,40.143,24.303,42.625,31.000,14.500,42.000,0.191,0.000,217.000
PG,Eric Bledsoe,6900,Cle@Pho 08:30PM ET,38.196,Pho,1,0,42.786,29.462,41.750,38.000,23.000,41.400,0.392,8.500,221.000
C,Nikola Vucevic,6800,Orl@LAL 09:30PM ET,33.707,Orl,0,0,34.750,25.637,35.250,26.500,29.500,40.800,0.260,2.500,217.000
PG,Mike Conley,6700,Uta@Mem 08:00PM ET,35.648,Mem,1,0,30.286,27.450,41.500,54.000,6.000,40.200,0.340,0.000,187.500
PF/C,Serge Ibaka,6700,Orl@LAL 09:30PM ET,30.697,Orl,0,0,33.571,23.214,30.188,33.500,27.750,40.200,0.179,2.500,217.000
C,Rudy Gobert,6600,Uta@Mem 08:00PM ET,35.743,Uta,0,0,38.179,26.750,38.625,40.750,1.000,39.600,0.332,2.500,187.500
PG,D'Angelo Russell,6500,Orl@LAL 09:30PM ET,29.602,LAL,1,0,29.071,23.047,38.625,40.500,17.000,39.000,0.189,0.000,217.000
SG,Klay Thompson,6400,GS@Sac 09:00PM ET,32.122,GS,0,0,29.429,25.013,34.125,28.500,22.000,38.400,0.266,0.000,226.000
PG,Elfrid Payton,6400,Orl@LAL 09:30PM ET,27.888,Orl,0,0,36.643,20.531,29.375,21.000,28.000,38.400,0.193,2.500,217.000
SG/SF,Evan Fournier,6300,Orl@LAL 09:30PM ET,28.333,Orl,0,0,26.786,20.656,29.500,25.250,23.750,37.800,0.151,2.500,217.000
SG,Devin Booker,6200,Cle@Pho 08:30PM ET,29.153,Pho,1,0,34.179,22.188,28.375,26.000,28.000,37.200,0.207,8.500,221.000
SF,Rudy Gay,6100,GS@Sac 09:00PM ET,34.500,Sac,1,0,30.357,26.712,29.625,28.750,9.500,36.600,0.417,12.000,226.000
PG,George Hill,6000,Uta@Mem 08:00PM ET,33.196,Uta,0,0,37.208,18.812,27.562,38.250,8.000,36.000,0.398,2.500,187.500
PF/C,Zach Randolph,5700,Uta@Mem 08:00PM ET,27.172,Mem,1,0,26.786,21.867,29.562,51.250,1.500,34.200,0.184,0.000,187.500
SF/PF,Aaron Gordon,5600,Orl@LAL 09:30PM ET,22.342,Orl,0,0,22.286,15.440,34.250,38.000,27.000,33.600,0.124,2.500,217.000
