Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PF/C,Anthony Davis,11700,NO@Phi 07:00PM ET,54.889,NO,0,0,44.393,39.519,41.625,19.000,16.000,70.200,0.206,0.000,206.000
PF/C,DeMarcus Cousins,11200,Por@Sac 10:30PM ET,52.058,Sac,1,0,58.893,39.364,46.375,42.500,28.500,67.200,0.128,1.000,217.500
PG/SG,James Harden,11100,SA@Hou 08:00PM ET,59.482,Hou,1,0,60.821,51.846,63.812,64.250,11.750,66.600,0.221,0.000,1.000
PG,Giannis Antetokounmpo,9800,Cle@Mil 08:00PM ET,50.590,Mil,1,0,52.464,39.850,56.812,57.750,23.000,58.800,0.232,3.500,212.500
SF/PF,LeBron James,9600,Cle@Mil 08:00PM ET,51.815,Cle,0,0,52.464,42.417,58.875,56.250,23.000,57.600,0.322,0.000,212.500
PG,Chris Paul,9200,Den@LAC 10:30PM ET,43.839,LAC,1,0,44.607,36.109,41.125,40.500,29.000,55.200,0.156,0.000,218.000
SF,Kevin Durant,9000,Uta@GS 10:30PM ET,49.643,GS,1,0,54.321,41.804,46.688,60.750,1.000,54.000,0.328,0.000,210.500
C,Hassan Whiteside,8700,Orl@Mia 07:30PM ET,43.438,Mia,1,0,48.107,30.604,48.625,50.250,18.000,52.200,0.255,0.000,199.000
SF,Kawhi Leonard,8600,SA@Hou 08:00PM ET,41.167,SA,0,0,40.357,32.750,38.625,20.000,24.000,51.600,0.135,1.000,1.000
PG,Damian Lillard,8500,Por@Sac 10:30PM ET,44.353,Por,0,0,45.357,33.393,41.625,25.500,19.000,51.000,0.305,0.000,217.500
SG,DeMar DeRozan,8500,Bkn@Tor 07:30PM ET,42.546,Tor,1,0,41.214,35.979,43.375,44.250,30.000,51.000,0.139,0.000,224.000
PG,Kyle Lowry,8400,Bkn@Tor 07:30PM ET,41.889,Tor,1,0,43.036,34.273,37.250,37.250,30.000,50.400,0.148,0.000,224.000
PF/C,Blake Griffin,8300,Den@LAC 10:30PM ET,41.942,LAC,1,0,45.679,35.625,41.750,46.250,10.500,49.800,0.178,0.000,218.000
PF/C,Kevin Love,8200,Cle@Mil 08:00PM ET,42.500,Cle,0,0,40.643,34.231,51.688,58.250,15.000,49.200,0.268,0.000,212.500
SF/PF,Paul George,8100,Ind@NY 07:30PM ET,39.716,Ind,0,0,39.571,33.773,38.688,41.000,17.500,48.600,0.118,4.500,210.500
PG,Kemba Walker,8000,LAL@Cha 07:00PM ET,38.926,Cha,1,0,37.464,33.219,35.438,43.500,28.000,48.000,0.171,0.000,212.500
PG,Stephen Curry,7900,Uta@GS 10:30PM ET,43.143,GS,1,0,41.179,37.500,39.812,32.750,6.000,47.400,0.312,0.000,210.500
PF,Kristaps Porzingis,7800,Ind@NY 07:30PM ET,37.343,NY,1,0,36.607,28.911,43.750,41.000,28.000,46.800,0.209,0.000,210.500
SF,Gordon Hayward,7700,Uta@GS 10:30PM ET,38.893,Uta,0,0,40.321,31.325,36.438,50.750,9.500,46.200,0.209,12.500,210.500
PG,Goran Dragic,7600,Orl@Mia 07:30PM ET,36.174,Mia,1,0,44.071,27.615,42.875,46.500,17.000,45.600,0.215,0.000,199.000
PF/C,Joel Embiid,7600,NO@Phi 07:00PM ET,36.056,Phi,1,0,38.929,27.938,37.688,58.000,24.250,45.600,0.153,3.500,206.000
PF/C,Draymond Green,7500,Uta@GS 10:30PM ET,39.611,GS,1,0,38.286,34.578,41.875,40.500,1.500,45.000,0.272,0.000,210.500
SG/SF,Nicolas Batum,7500,LAL@Cha 07:00PM ET,34.398,Cha,1,0,34.536,27.167,37.125,24.750,23.750,45.000,0.141,0.000,212.500
PG,Kyrie Irving,7400,Cle@Mil 08:00PM ET,36.978,Cle,0,0,39.250,30.364,36.875,54.000,5.000,44.400,0.184,0.000,212.500
SF,Carmelo Anthony,7400,Ind@NY 07:30PM ET,36.808,NY,1,0,39.179,29.500,38.500,39.500,11.000,44.400,0.248,0.000,210.500
C,Marc Gasol,7300,Bos@Mem 08:00PM ET,38.370,Mem,1,0,41.071,29.654,35.500,23.250,21.500,43.800,0.308,2.000,194.500
PG,Isaiah Thomas,7200,Bos@Mem 08:00PM ET,40.326,Bos,0,0,40.321,35.135,39.312,34.000,8.000,43.200,0.345,0.000,194.500
C,DeAndre Jordan,7200,Den@LAC 10:30PM ET,33.554,LAC,1,0,31.571,27.906,42.062,39.250,15.000,43.200,0.135,0.000,218.000
C,Brook Lopez,7100,Bkn@Tor 07:30PM ET,35.708,Bkn,0,0,37.536,28.304,40.812,55.250,11.000,42.600,0.274,15.500,224.000
C,Rudy Gobert,7000,Uta@GS 10:30PM ET,34.884,Uta,0,0,39.786,24.886,41.188,44.000,21.500,42.000,0.231,12.500,210.500
PG/SG,C.J. McCollum,7000,Por@Sac 10:30PM ET,35.379,Por,0,0,34.500,28.176,29.688,18.250,20.500,42.000,0.276,0.000,217.500
PG,Jeff Teague,6900,Ind@NY 07:30PM ET,35.147,Ind,0,0,34.643,26.550,41.500,49.500,14.000,41.400,0.281,4.500,210.500
PF/C,LaMarcus Aldridge,6800,SA@Hou 08:00PM ET,30.833,SA,0,0,26.250,25.179,29.250,34.500,20.750,40.800,0.128,1.000,1.000
SF/PF,Jabari Parker,6700,Cle@Mil 08:00PM ET,32.280,Mil,1,0,34.500,24.804,28.938,23.750,20.500,40.200,0.218,3.500,212.500
PG,Jrue Holiday,6700,NO@Phi 07:00PM ET,31.036,NO,0,0,27.607,25.406,30.812,20.000,17.000,40.200,0.135,0.000,206.000
C,Al Horford,6600,Bos@Mem 08:00PM ET,37.794,Bos,0,0,35.464,29.833,38.125,43.250,1.000,39.600,0.424,0.000,194.500
PG/SG,George Hill,6500,Uta@GS 10:30PM ET,33.750,Uta,0,0,37.000,22.667,32.562,16.750,13.500,39.000,0.256,12.500,210.500
SF,Rudy Gay,6400,Por@Sac 10:30PM ET,34.804,Sac,1,0,27.429,26.792,29.250,22.250,18.500,38.400,0.368,1.000,217.500
C,Nikola Jokic,6400,Den@LAC 10:30PM ET,28.280,Den,0,0,32.786,20.344,42.438,64.250,14.000,38.400,0.239,8.000,218.000
C,Myles Turner,6300,Ind@NY 07:30PM ET,32.071,Ind,0,0,27.929,23.958,33.938,40.250,21.500,37.800,0.279,4.500,210.500
PG,Mike Conley,6200,Bos@Mem 08:00PM ET,35.092,Mem,1,0,29.179,27.045,27.812,22.500,24.000,37.200,0.428,2.000,194.500
