Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG/SG,James Harden,12200,GS@Hou 08:00PM ET,61.011,Hou,1,0,64.036,52.788,60.188,14.250,73.200,42.250,0.155,240.500,5.000,5.762,42.250
PF/C,Anthony Davis,11400,Bkn@NO 08:00PM ET,54.694,NO,1,0,50.857,41.025,45.000,29.000,68.400,44.250,0.204,221.500,-9.500,6.517,44.250
PG,Giannis Antetokounmpo,10600,Mil@Orl 07:00PM ET,50.363,Mil,0,0,49.643,40.329,51.875,14.500,63.600,44.000,0.144,211.000,-3.500,-0.903,44.000
SF,Kevin Durant,10500,GS@Hou 08:00PM ET,50.161,GS,0,0,50.964,41.562,55.250,24.000,63.000,56.000,0.111,240.500,-5.000,19.942,56.000
PF/C,DeMarcus Cousins,10200,Sac@Mem 08:00PM ET,52.794,Sac,0,0,45.500,39.971,54.062,2.750,61.200,37.000,0.250,199.500,8.500,-37.617,37.000
SG/SF,Jimmy Butler,8900,Chi@Atl 08:00PM ET,44.524,Chi,0,0,35.857,34.312,44.812,23.000,53.400,24.500,0.256,204.500,4.000,-19.720,24.500
PG,Stephen Curry,8700,GS@Hou 08:00PM ET,43.411,GS,0,0,41.821,36.932,45.062,10.000,52.200,39.750,0.151,240.500,-5.000,19.942,39.750
PG,Damian Lillard,8500,Por@Phi 07:00PM ET,43.462,Por,0,0,43.000,34.898,42.188,12.000,51.000,38.250,0.260,209.500,-2.000,-1.963,38.250
PF/C,Joel Embiid,8400,Por@Phi 07:00PM ET,38.147,Phi,1,0,43.464,30.192,46.812,29.000,50.400,45.000,0.093,209.500,2.000,-1.963,45.000
PG,Kyle Lowry,8300,Tor@Cha 07:00PM ET,43.598,Tor,0,0,46.000,35.132,40.562,19.000,49.800,32.750,0.263,215.500,-1.000,-7.864,32.750
SG,DeMar DeRozan,8200,Tor@Cha 07:00PM ET,42.667,Tor,0,0,40.679,35.205,41.000,21.000,49.200,28.750,0.231,215.500,-1.000,-6.998,28.750
PG,Kemba Walker,8000,Tor@Cha 07:00PM ET,39.652,Cha,1,0,44.750,32.946,38.438,9.000,48.000,51.000,0.204,215.500,1.000,2.277,51.000
PF/C,Draymond Green,7900,GS@Hou 08:00PM ET,39.913,GS,0,0,37.286,34.833,45.188,17.250,47.400,43.500,0.197,240.500,-5.000,19.942,43.500
PG,Jeff Teague,7900,Ind@LAL 10:30PM ET,36.378,Ind,0,0,34.964,27.060,36.562,28.000,47.400,26.750,0.156,220.500,-3.500,5.810,26.750
SF/PF,Paul George,7800,Ind@LAL 10:30PM ET,38.485,Ind,0,0,36.179,33.079,34.188,27.500,46.800,37.000,0.126,220.500,-3.500,5.810,37.000
SF,Gordon Hayward,7600,Uta@Dal 08:30PM ET,37.375,Uta,0,0,33.286,29.569,38.000,5.000,45.600,44.750,0.203,188.000,-5.500,-29.155,44.750
PF,Paul Millsap,7500,Chi@Atl 08:00PM ET,38.731,Atl,1,0,42.500,28.882,38.750,16.500,45.000,33.750,0.277,204.500,-4.000,-5.496,33.750
SG/SF,Nicolas Batum,7400,Tor@Cha 07:00PM ET,36.276,Cha,1,0,42.036,27.408,34.125,7.000,44.400,27.000,0.200,215.500,1.000,-9.152,27.000
PG,Mike Conley,7300,Sac@Mem 08:00PM ET,36.438,Mem,1,0,36.571,28.625,41.500,21.500,43.800,41.500,0.247,199.500,-8.500,-9.029,41.500
PG/SG,C.J. McCollum,7300,Por@Phi 07:00PM ET,37.097,Por,0,0,39.393,29.250,31.938,14.500,43.800,32.000,0.275,209.500,-2.000,-1.963,32.000
C,Marc Gasol,7200,Sac@Mem 08:00PM ET,38.321,Mem,1,0,38.893,29.188,42.250,11.000,43.200,47.750,0.343,199.500,-8.500,-9.029,47.750
PG,Jrue Holiday,7200,Bkn@NO 08:00PM ET,31.848,NO,1,0,33.643,26.078,27.875,30.000,43.200,28.750,0.072,221.500,-9.500,6.517,28.750
C,Rudy Gobert,7100,Uta@Dal 08:30PM ET,36.174,Uta,0,0,43.000,28.300,48.812,12.000,42.600,65.750,0.283,188.000,-5.500,-17.155,65.750
PF/C,Julius Randle,7000,Ind@LAL 10:30PM ET,31.518,LAL,1,0,32.679,22.857,22.875,23.000,42.000,31.250,0.170,220.500,3.500,5.810,31.250
C,Dwight Howard,6900,Chi@Atl 08:00PM ET,36.074,Atl,1,0,33.571,24.141,25.562,8.500,41.400,22.000,0.318,204.500,-4.000,-17.447,22.000
SF/PF,Jabari Parker,6900,Mil@Orl 07:00PM ET,34.476,Mil,0,0,35.107,25.921,34.625,16.500,41.400,41.000,0.246,211.000,-3.500,-0.903,41.000
C,Myles Turner,6900,Ind@LAL 10:30PM ET,32.631,Ind,0,0,30.464,24.812,29.312,29.000,41.400,30.500,0.198,220.500,-3.500,5.810,30.500
C,Brook Lopez,6800,Bkn@NO 08:00PM ET,34.824,Bkn,0,0,36.321,27.845,38.812,18.500,40.800,43.500,0.289,221.500,9.500,4.517,43.500
C,Nikola Vucevic,6700,Mil@Orl 07:00PM ET,34.250,Orl,1,0,28.429,25.685,28.000,13.000,40.200,23.000,0.285,211.000,3.500,-11.810,23.000
PG,D'Angelo Russell,6600,Ind@LAL 10:30PM ET,29.159,LAL,1,0,29.036,18.906,16.000,16.500,39.600,-0.500,0.170,220.500,3.500,-5.933,-0.500
SG,Klay Thompson,6500,GS@Hou 08:00PM ET,32.067,GS,0,0,31.857,25.045,30.125,27.000,39.000,20.750,0.228,240.500,-5.000,10.333,20.750
PG,George Hill,6400,Uta@Dal 08:30PM ET,32.026,Uta,0,0,33.071,22.417,26.438,1.000,38.400,15.250,0.239,188.000,-5.500,-47.186,15.250
SG,Dwyane Wade,6300,Chi@Atl 08:00PM ET,33.151,Chi,0,0,29.179,24.667,27.875,24.000,37.800,13.250,0.292,204.500,4.000,-14.864,13.250
PF/C,Terrence Jones,6200,Bkn@NO 08:00PM ET,23.220,NO,1,0,23.000,15.159,28.062,29.000,37.200,28.500,0.102,221.500,-9.500,6.517,28.500
PF/C,Serge Ibaka,6100,Mil@Orl 07:00PM ET,30.564,Orl,1,0,30.893,22.870,25.562,15.500,36.600,23.000,0.263,211.000,3.500,-0.903,23.000
SF,Rudy Gay,6000,Sac@Mem 08:00PM ET,35.200,Sac,0,0,39.929,27.797,39.438,7.000,36.000,32.000,0.467,199.500,8.500,-22.458,0.000
PG,Elfrid Payton,6000,Mil@Orl 07:00PM ET,28.545,Orl,1,0,30.357,20.398,40.938,3.000,36.000,39.500,0.284,211.000,3.500,-14.236,39.500
PG,Dennis Schroder,5900,Chi@Atl 08:00PM ET,31.345,Atl,1,0,28.821,23.050,27.500,11.000,35.400,38.250,0.347,204.500,-4.000,-5.496,38.250
PF/C,Zach Randolph,5800,Sac@Mem 08:00PM ET,27.750,Mem,1,0,32.500,22.833,33.312,17.500,34.800,37.500,0.202,199.500,-8.500,-9.029,37.500
SF/PF,Harrison Barnes,5800,Uta@Dal 08:30PM ET,31.589,Dal,1,0,31.679,24.712,25.812,1.000,34.800,28.250,0.340,188.000,5.500,-39.155,28.250
SG/SF,Tyreke Evans,5800,Bkn@NO 08:00PM ET,22.217,NO,1,0,21.321,13.781,26.875,30.000,34.800,16.500,0.127,221.500,-9.500,6.517,16.500
C,Jonas Valanciunas,5700,Tor@Cha 07:00PM ET,27.756,Tor,0,0,22.929,20.345,27.625,26.000,34.200,23.000,0.248,215.500,-1.000,2.277,23.000
PG/SG,Malcolm Brogdon,5700,Mil@Orl 07:00PM ET,20.951,Mil,0,0,31.143,13.190,26.000,16.750,34.200,29.500,0.095,211.000,-3.500,-0.903,29.500
SF,Trevor Ariza,5700,GS@Hou 08:00PM ET,27.994,Hou,1,0,26.536,21.500,26.438,9.500,34.200,18.750,0.208,240.500,5.000,10.127,18.750
PG,Patrick Beverley,5600,GS@Hou 08:00PM ET,28.105,Hou,1,0,28.714,21.317,33.000,14.500,33.600,23.250,0.245,240.500,5.000,17.942,23.250
SG,Eric Gordon,5600,GS@Hou 08:00PM ET,28.488,Hou,1,0,28.357,21.583,23.750,14.000,33.600,17.500,0.260,240.500,5.000,9.644,17.500
PF,Thaddeus Young,5500,Ind@LAL 10:30PM ET,25.695,Ind,0,0,27.357,19.710,27.312,27.000,33.000,36.000,0.227,220.500,-3.500,5.810,36.000
