Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG/SG,James Harden,12100,Hou@Mil 08:00PM ET,60.617,Hou,0,0,62.321,52.740,60.750,62.000,9.500,72.600,0.165,-5.000,226.500,9.133,62.000
PG,Russell Westbrook,11500,OKC@Uta 09:00PM ET,64.080,OKC,0,0,63.214,52.940,61.250,73.250,5.000,69.000,0.361,5.000,203.000,-19.377,79.750
C,Anthony Davis,10800,Cle@NO 08:00PM ET,54.439,NO,1,1,50.679,40.962,44.688,44.250,6.000,64.800,0.268,10.000,216.000,-0.244,0.000
PG,Giannis Antetokounmpo,10600,Hou@Mil 08:00PM ET,50.089,Mil,1,0,51.929,40.638,48.812,46.500,9.000,63.600,0.140,5.000,226.500,9.133,52.750
PF/C,DeMarcus Cousins,10500,Sac@Det 07:30PM ET,52.863,Sac,0,0,50.607,40.653,58.562,71.500,8.500,63.000,0.221,7.000,205.500,-5.621,56.250
SF,Kevin Durant,10000,GS@Mia 07:30PM ET,50.244,GS,0,0,52.179,41.869,55.250,48.000,9.000,60.000,0.169,-11.000,218.500,3.513,40.500
SF,LeBron James,9900,Cle@NO 08:00PM ET,51.346,Cle,0,0,47.429,42.975,46.438,48.500,23.000,59.400,0.235,-10.000,216.000,1.756,62.500
SF,Kawhi Leonard,9400,SA@Bkn 07:30PM ET,42.732,SA,0,0,44.250,33.544,53.250,58.500,30.000,56.400,0.082,-8.500,215.000,1.054,0.000
PG,John Wall,9300,Was@Cha 07:00PM ET,48.896,Was,0,0,44.857,41.837,50.875,46.250,15.000,55.800,0.231,6.000,213.000,-9.477,39.000
PG,Stephen Curry,8700,GS@Mia 07:30PM ET,43.352,GS,0,0,41.750,37.196,44.688,43.000,8.000,52.200,0.148,-11.000,218.500,3.513,48.500
PG,Kemba Walker,8100,Was@Cha 07:00PM ET,39.640,Cha,1,0,41.036,32.478,38.625,29.000,4.000,48.600,0.182,-6.000,213.000,-12.851,34.000
PG,Chris Paul,8000,LAC@Atl 07:30PM ET,43.917,LAC,0,1,41.250,36.188,43.312,22.250,23.000,48.000,0.353,7.500,206.500,-17.752,0.000
PF/C,Draymond Green,8000,GS@Mia 07:30PM ET,39.595,GS,0,0,38.500,34.219,43.062,25.000,12.500,48.000,0.176,-11.000,218.500,-5.669,24.250
SF,Carmelo Anthony,8000,NY@Ind 08:00PM ET,37.659,NY,0,0,33.036,27.625,43.375,51.750,13.500,48.000,0.202,5.500,217.500,2.810,35.750
C,DeAndre Jordan,7900,LAC@Atl 07:30PM ET,36.189,LAC,0,0,37.357,29.587,51.562,37.250,4.000,47.400,0.127,7.500,206.500,-19.418,34.000
PG,Kyrie Irving,7900,Cle@NO 08:00PM ET,39.318,Cle,0,0,34.179,31.579,38.312,50.750,27.000,47.400,0.226,-10.000,216.000,1.756,67.500
PF,Paul Millsap,7800,LAC@Atl 07:30PM ET,38.701,Atl,1,0,41.929,28.882,39.625,42.500,4.500,46.800,0.225,-7.500,206.500,-17.140,48.500
PF/C,Blake Griffin,7700,LAC@Atl 07:30PM ET,41.942,LAC,0,1,38.143,35.625,41.750,46.250,11.250,46.200,0.307,7.500,206.500,-6.918,0.000
SG/SF,Nicolas Batum,7700,Was@Cha 07:00PM ET,36.207,Cha,1,0,41.464,27.837,37.250,44.750,14.000,46.200,0.158,-6.000,213.000,-10.137,20.750
C,Hassan Whiteside,7700,GS@Mia 07:30PM ET,41.806,Mia,1,0,41.107,30.066,34.562,39.750,24.000,46.200,0.370,11.000,218.500,1.513,34.750
PG,Jeff Teague,7700,NY@Ind 08:00PM ET,36.250,Ind,1,0,43.393,27.060,39.625,40.500,16.500,46.200,0.182,-5.500,217.500,-8.286,21.500
PF/C,Kevin Love,7600,Cle@NO 08:00PM ET,40.203,Cle,0,0,32.643,32.595,27.312,32.750,22.750,45.600,0.316,-10.000,216.000,1.756,51.500
SF/PF,Paul George,7500,NY@Ind 08:00PM ET,38.167,Ind,1,0,37.071,32.850,34.438,28.500,17.250,45.000,0.175,-5.500,217.500,2.810,48.250
C,Rudy Gobert,7300,OKC@Uta 09:00PM ET,36.783,Uta,1,0,37.429,28.631,50.875,35.250,15.000,43.800,0.241,-5.000,203.000,-7.377,35.000
PG,Goran Dragic,7200,GS@Mia 07:30PM ET,35.299,Mia,1,0,40.464,27.938,38.625,37.250,16.500,43.200,0.228,11.000,218.500,1.513,32.000
C,Andre Drummond,7100,Sac@Det 07:30PM ET,38.324,Det,1,0,35.000,29.402,36.812,23.000,12.000,42.600,0.356,-7.000,205.500,-5.621,36.500
PG,Jrue Holiday,7100,Cle@NO 08:00PM ET,31.784,NO,1,0,34.000,26.078,28.500,28.750,18.500,42.600,0.087,10.000,216.000,-0.244,67.500
C,Dwight Howard,7000,LAC@Atl 07:30PM ET,35.795,Atl,1,0,32.929,24.824,29.375,38.750,10.000,42.000,0.300,-7.500,206.500,-4.918,40.000
SF,Gordon Hayward,7000,OKC@Uta 09:00PM ET,37.375,Uta,1,0,37.500,29.592,36.625,30.000,3.000,42.000,0.314,-5.000,203.000,-20.710,29.000
SF/PF,Jabari Parker,6900,Hou@Mil 08:00PM ET,34.610,Mil,1,0,40.464,26.250,34.000,33.750,20.000,41.400,0.242,5.000,226.500,9.133,56.000
PF,LaMarcus Aldridge,6900,SA@Bkn 07:30PM ET,32.833,SA,0,0,38.393,24.631,33.188,45.000,29.000,41.400,0.207,-8.500,215.000,1.054,42.250
PF,Kristaps Porzingis,6800,NY@Ind 08:00PM ET,36.145,NY,0,0,34.179,26.895,21.000,21.250,28.000,40.800,0.345,5.500,217.500,-8.885,16.500
SG,Bradley Beal,6700,Was@Cha 07:00PM ET,33.628,Was,0,0,34.143,25.289,28.750,35.250,18.500,40.200,0.256,6.000,213.000,-0.351,32.250
PG,Reggie Jackson,6600,Sac@Det 07:30PM ET,29.083,Det,1,0,35.464,21.292,28.000,35.250,21.500,39.600,0.144,-7.000,205.500,-5.621,39.250
C,Myles Turner,6600,NY@Ind 08:00PM ET,32.429,Ind,1,0,37.929,24.845,30.938,26.250,25.000,39.600,0.242,-5.500,217.500,2.810,39.500
PG,George Hill,6600,OKC@Uta 09:00PM ET,31.988,Uta,1,0,29.321,22.417,30.812,48.000,24.000,39.600,0.236,-5.000,203.000,-17.310,19.000
C,Brook Lopez,6500,SA@Bkn 07:30PM ET,35.199,Bkn,1,0,33.321,27.845,40.938,40.750,3.000,39.000,0.357,8.500,215.000,-24.493,20.500
PG,Derrick Rose,6400,NY@Ind 08:00PM ET,30.931,NY,0,0,33.821,24.315,40.250,37.250,18.500,38.400,0.229,5.500,217.500,2.810,30.750
SF/PF,Markieff Morris,6300,Was@Cha 07:00PM ET,27.583,Was,0,0,29.893,20.680,40.125,38.750,16.250,37.800,0.160,6.000,213.000,-0.351,36.000
SG,Klay Thompson,6300,GS@Mia 07:30PM ET,31.773,GS,0,0,30.036,25.045,29.125,32.750,3.500,37.800,0.265,-11.000,218.500,-9.344,36.250
C,Enes Kanter,6300,OKC@Uta 09:00PM ET,26.403,OKC,0,0,35.714,17.125,35.250,35.250,2.000,37.800,0.157,5.000,203.000,-22.377,20.250
SF/PF,Tobias Harris,6200,Sac@Det 07:30PM ET,28.578,Det,1,0,35.071,20.438,30.438,36.250,17.000,37.200,0.164,-7.000,205.500,-5.621,21.000
SF/PF,Otto Porter,6200,Was@Cha 07:00PM ET,30.012,Was,0,0,32.036,21.554,31.188,28.750,16.250,37.200,0.271,6.000,213.000,-0.351,34.500
PF/C,Terrence Jones,6200,Cle@NO 08:00PM ET,23.345,NO,1,0,23.000,15.159,27.562,28.500,10.000,37.200,0.101,10.000,216.000,-0.244,63.750
PG,Dennis Schroder,6100,LAC@Atl 07:30PM ET,31.602,Atl,1,0,29.250,23.050,32.688,35.750,2.000,36.600,0.305,-7.500,206.500,-19.918,38.500
PF,James Johnson,6000,GS@Mia 07:30PM ET,25.455,Mia,1,0,30.643,16.118,28.250,20.750,8.000,36.000,0.143,11.000,218.500,1.513,21.500
PG/SG,Austin Rivers,5900,LAC@Atl 07:30PM ET,19.483,LAC,0,0,23.143,11.100,26.875,27.000,22.250,35.400,0.056,7.500,206.500,-6.918,41.500
SF,Marcus Morris,5900,Sac@Det 07:30PM ET,24.881,Det,1,0,31.286,17.457,36.062,47.750,11.000,35.400,0.137,-7.000,205.500,-5.621,18.750
SG/SF,Tyreke Evans,5900,Cle@NO 08:00PM ET,21.859,NO,1,0,21.321,13.781,26.875,16.500,27.500,35.400,0.117,10.000,216.000,-0.244,17.500
C,Marcin Gortat,5800,Was@Cha 07:00PM ET,31.105,Was,0,0,29.250,25.385,25.188,27.250,26.000,34.800,0.327,6.000,213.000,-8.455,21.750
SG/SF,Dion Waiters,5700,GS@Mia 07:30PM ET,25.469,Mia,1,0,28.893,15.583,29.438,44.250,11.250,34.200,0.234,11.000,218.500,1.513,48.750
PG,Raymond Felton,5600,LAC@Atl 07:30PM ET,16.593,LAC,0,0,22.214,9.950,27.750,23.250,23.000,33.600,0.048,7.500,206.500,-6.918,24.750
SG,Eric Gordon,5600,Hou@Mil 08:00PM ET,28.439,Hou,0,0,28.607,21.886,24.625,37.250,16.000,33.600,0.268,-5.000,226.500,0.727,15.500
PF/C,David Lee,5500,SA@Bkn 07:30PM ET,16.851,SA,0,0,16.000,11.865,23.875,35.250,29.000,33.000,0.023,-8.500,215.000,1.054,28.250
PF,Thaddeus Young,5500,NY@Ind 08:00PM ET,26.203,Ind,1,0,31.571,19.710,33.250,37.250,21.000,33.000,0.236,-5.500,217.500,2.810,19.750
SG,Kentavious Caldwell-Pope,5400,Sac@Det 07:30PM ET,26.650,Det,1,1,27.036,16.434,23.562,1.500,24.000,32.400,0.309,-7.000,205.500,-5.621,34.750
SF,Michael Kidd-Gilchrist,5400,Was@Cha 07:00PM ET,24.012,Cha,1,0,29.214,17.489,29.188,40.500,18.000,32.400,0.169,-6.000,213.000,-0.351,19.750
SF,Trevor Ariza,5300,Hou@Mil 08:00PM ET,27.606,Hou,0,0,27.000,21.350,20.125,19.000,29.000,31.800,0.296,-5.000,226.500,9.133,32.250
PG,Tyler Johnson,5300,GS@Mia 07:30PM ET,28.456,Mia,1,1,30.179,22.038,31.938,31.000,16.500,31.800,0.339,11.000,218.500,1.513,0.000
SG,Victor Oladipo,5300,OKC@Uta 09:00PM ET,28.436,OKC,0,0,28.786,20.500,28.875,37.750,1.000,31.800,0.370,5.000,203.000,-27.377,29.000
PG/SG,Malcolm Brogdon,5200,Hou@Mil 08:00PM ET,20.930,Mil,1,0,27.607,13.114,24.688,11.500,17.000,31.200,0.150,5.000,226.500,9.133,28.000
PG,Patrick Beverley,5200,Hou@Mil 08:00PM ET,27.864,Hou,0,0,27.893,21.469,29.000,23.750,3.000,31.200,0.338,-5.000,226.500,-4.200,26.500
SG/SF,J.J. Redick,5100,LAC@Atl 07:30PM ET,22.310,LAC,0,0,20.679,14.812,22.562,24.750,22.750,30.600,0.179,7.500,206.500,-6.918,27.750
SF,Rudy Gay,5000,Sac@Det 07:30PM ET,35.200,Sac,0,1,39.929,27.797,39.438,32.000,5.500,30.000,0.702,7.000,205.500,-5.621,0.000
PG,Jeremy Lin,5000,SA@Bkn 07:30PM ET,30.146,Bkn,1,1,33.250,25.472,29.125,26.500,6.000,30.000,0.506,8.500,215.000,-0.946,0.000
PF,Trevor Booker,5000,SA@Bkn 07:30PM ET,28.147,Bkn,1,0,29.179,20.450,24.250,22.250,3.000,30.000,0.418,8.500,215.000,-23.612,13.500
C,Pau Gasol,5000,SA@Bkn 07:30PM ET,28.686,SA,0,1,32.357,21.455,24.062,10.250,29.000,30.000,0.449,-8.500,215.000,-9.215,0.000
C,Cody Zeller,5000,Was@Cha 07:00PM ET,24.054,Cha,1,0,22.714,19.060,23.000,29.750,8.000,30.000,0.206,-6.000,213.000,-0.351,36.250
C,Steven Adams,5000,OKC@Uta 09:00PM ET,26.935,OKC,0,1,28.857,20.062,22.500,13.000,2.000,30.000,0.348,5.000,203.000,-22.377,25.000
PF/C,Derrick Favors,4900,OKC@Uta 09:00PM ET,20.742,Uta,1,0,22.929,13.333,20.062,23.750,15.500,29.400,0.185,-5.000,203.000,-7.377,27.000
PG/SG,Darren Collison,4800,Sac@Det 07:30PM ET,22.879,Sac,0,0,16.286,16.703,23.312,14.750,15.750,28.800,0.203,7.000,205.500,-5.621,23.000
SG/SF,Joe Ingles,4800,OKC@Uta 09:00PM ET,15.639,Uta,1,0,15.393,7.950,22.250,24.000,7.000,28.800,0.099,-5.000,203.000,-7.377,16.500
SG,Tim Hardaway Jr.,4700,LAC@Atl 07:30PM ET,19.185,Atl,1,0,21.143,11.214,23.750,27.750,6.500,28.200,0.179,-7.500,206.500,-4.918,13.000
PF,Ryan Anderson,4700,Hou@Mil 08:00PM ET,23.824,Hou,0,1,30.036,16.720,18.375,2.500,18.500,28.200,0.333,-5.000,226.500,9.133,21.750
PF,Marvin Williams,4600,Was@Cha 07:00PM ET,22.105,Cha,1,0,22.786,16.263,25.250,19.000,24.000,27.600,0.224,-6.000,213.000,-0.351,35.500
SG/SF,Kent Bazemore,4500,LAC@Atl 07:30PM ET,21.464,Atl,1,0,20.750,13.200,20.500,23.500,10.750,27.000,0.281,-7.500,206.500,-4.918,36.250
PG,Tony Parker,4500,SA@Bkn 07:30PM ET,21.414,SA,0,1,21.321,15.206,23.750,21.000,30.000,27.000,0.240,-8.500,215.000,1.054,0.000
SG/SF,Josh Richardson,4500,GS@Mia 07:30PM ET,22.473,Mia,1,1,22.643,15.467,23.500,9.750,11.250,27.000,0.326,11.000,218.500,-8.514,0.000
C,Tristan Thompson,4500,Cle@NO 08:00PM ET,23.994,Cle,0,0,24.214,18.240,21.938,33.500,19.500,27.000,0.357,-10.000,216.000,-7.508,12.750
SG,Jamal Crawford,4400,LAC@Atl 07:30PM ET,19.056,LAC,0,0,17.679,12.350,14.750,22.000,21.500,26.400,0.209,7.500,206.500,-8.918,27.500
C,Greg Monroe,4400,Hou@Mil 08:00PM ET,25.107,Mil,1,0,30.893,16.466,16.812,15.500,22.000,26.400,0.453,5.000,226.500,9.133,37.500
SG,Bojan Bogdanovic,4400,SA@Bkn 07:30PM ET,22.064,Bkn,1,0,22.179,15.719,22.875,25.250,18.500,26.400,0.311,8.500,215.000,-11.576,11.250
C,Joakim Noah,4400,NY@Ind 08:00PM ET,23.179,NY,0,0,24.857,15.500,28.438,23.750,16.000,26.400,0.377,5.500,217.500,-7.906,11.000
SG,Rodney Hood,4400,OKC@Uta 09:00PM ET,23.547,Uta,1,1,24.464,15.625,28.000,23.500,11.000,26.400,0.384,-5.000,203.000,-7.377,0.000
PF/C,Marreese Speights,4300,LAC@Atl 07:30PM ET,19.978,LAC,0,0,24.286,14.096,26.312,27.250,11.250,25.800,0.251,7.500,206.500,-17.683,4.750
PF/C,Montrezl Harrell,4300,Hou@Mil 08:00PM ET,18.737,Hou,0,0,20.679,10.238,19.625,10.500,15.750,25.800,0.258,-5.000,226.500,-1.734,-0.500
PF,Jon Leuer,4300,Sac@Det 07:30PM ET,22.814,Det,1,0,24.357,15.562,18.125,26.750,23.000,25.800,0.353,-7.000,205.500,-5.621,26.500
SG,Sean Kilpatrick,4300,SA@Bkn 07:30PM ET,24.673,Bkn,1,0,17.179,15.830,17.000,30.000,18.500,25.800,0.461,8.500,215.000,-2.946,31.500
PF/C,Kyle O'Quinn,4300,NY@Ind 08:00PM ET,17.913,NY,0,0,16.500,9.680,15.625,3.250,22.000,25.800,0.260,5.500,217.500,2.810,10.250
SF/PF,Sam Dekker,4200,Hou@Mil 08:00PM ET,16.160,Hou,0,0,21.393,11.164,26.750,43.250,23.750,25.200,0.135,-5.000,226.500,1.133,5.250
PG/SG,Garrett Temple,4200,Sac@Det 07:30PM ET,17.814,Sac,0,0,24.107,12.478,21.750,21.750,15.750,25.200,0.164,7.000,205.500,-5.621,22.250
PG,Dejounte Murray,4100,SA@Bkn 07:30PM ET,7.227,SA,0,0,7.929,2.643,17.812,23.000,30.000,24.600,0.026,-8.500,215.000,1.054,15.000
C,Clint Capela,4000,Hou@Mil 08:00PM ET,25.969,Hou,0,0,17.893,18.781,20.438,15.000,13.000,24.000,0.592,-5.000,226.500,9.133,21.250
PG,Ty Lawson,4000,Sac@Det 07:30PM ET,20.128,Sac,0,0,21.179,12.139,21.875,21.250,25.000,24.000,0.327,7.000,205.500,-5.621,34.250
SF/PF,Matt Barnes,4000,Sac@Det 07:30PM ET,18.763,Sac,0,0,16.393,12.125,15.375,8.250,8.750,24.000,0.283,7.000,205.500,-5.621,24.500
PG,Patty Mills,4000,SA@Bkn 07:30PM ET,19.345,SA,0,0,18.571,12.932,16.062,26.750,30.000,24.000,0.282,-8.500,215.000,1.054,28.250
SG,Jeremy Lamb,4000,Was@Cha 07:00PM ET,18.536,Cha,1,1,15.429,8.188,19.812,25.750,10.000,24.000,0.309,-6.000,213.000,-0.351,0.000
PF,Frank Kaminsky,4000,Was@Cha 07:00PM ET,21.042,Cha,1,0,25.607,14.978,23.000,21.500,24.000,24.000,0.364,-6.000,213.000,-0.351,15.000
PG,Shelvin Mack,4000,OKC@Uta 09:00PM ET,16.195,Uta,1,0,14.107,8.961,4.875,4.000,24.000,24.000,0.173,-5.000,203.000,-15.707,0.000
PG/SG,Iman Shumpert,4000,Cle@NO 08:00PM ET,16.323,Cle,0,0,16.857,11.159,26.250,22.750,23.500,24.000,0.132,-10.000,216.000,1.756,18.500
SF/PF,Michael Beasley,3900,Hou@Mil 08:00PM ET,16.324,Mil,1,0,18.393,8.514,14.875,7.000,20.000,23.400,0.239,5.000,226.500,9.133,0.000
SG/SF,Stanley Johnson,3900,Sac@Det 07:30PM ET,10.927,Det,1,0,10.893,5.352,18.750,14.500,17.500,23.400,0.048,-7.000,205.500,-12.741,2.000
SF/PF,Anthony Tolliver,3900,Sac@Det 07:30PM ET,14.000,Sac,0,0,15.536,7.103,14.500,7.750,8.750,23.400,0.158,7.000,205.500,-5.621,12.500
SG/SF,Caris LeVert,3900,SA@Bkn 07:30PM ET,14.978,Bkn,1,0,17.929,8.596,25.188,19.750,10.250,23.400,0.184,8.500,215.000,-2.946,0.000
