Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PF/C,Karl-Anthony Towns,10800,Orl@Min 08:00PM ET,47.064,Min,1,0,58.857,38.713,56.938,66.250,14.500,64.800,0.070,-9.500,210.500,-0.237,54.000
SF,LeBron James,10000,Cle@Dal 08:30PM ET,52.140,Cle,0,0,48.286,43.750,59.375,57.000,3.500,60.000,0.235,-4.500,208.000,-14.873,49.750
PG,Isaiah Thomas,9400,Det@Bos 08:00PM ET,44.424,Bos,1,0,50.750,36.978,52.000,56.250,25.500,56.400,0.108,-6.000,215.000,2.964,57.500
PG,Eric Bledsoe,9000,Mem@Pho 10:30PM ET,40.202,Pho,1,0,44.500,29.815,51.062,64.500,8.000,54.000,0.139,3.500,208.500,-1.660,29.750
PG,Kyrie Irving,8200,Cle@Dal 08:30PM ET,40.439,Cle,0,0,38.714,32.250,50.500,51.250,1.000,49.200,0.218,-4.500,208.000,-22.016,33.250
PF/C,Kevin Love,8000,Cle@Dal 08:30PM ET,40.043,Cle,0,1,33.857,32.022,38.875,12.500,6.750,48.000,0.253,-4.500,208.000,-13.901,0.000
C,Marc Gasol,7800,Mem@Pho 10:30PM ET,39.527,Mem,0,0,40.357,29.393,49.625,33.500,24.000,46.800,0.269,-3.500,208.500,-1.660,35.000
C,Andre Drummond,7700,Det@Bos 08:00PM ET,38.636,Det,0,0,46.857,30.050,38.562,54.500,21.500,46.200,0.258,6.000,215.000,0.964,69.000
PG,Goran Dragic,7600,Bkn@Mia 07:30PM ET,35.881,Mia,1,0,36.321,28.696,41.125,33.500,30.000,45.600,0.180,-8.500,218.000,5.099,41.750
C,Hassan Whiteside,7500,Bkn@Mia 07:30PM ET,40.587,Mia,1,0,33.643,29.284,28.188,27.000,29.500,45.000,0.374,-8.500,218.000,5.099,29.250
SF,Andrew Wiggins,7200,Orl@Min 08:00PM ET,32.739,Min,1,0,31.179,23.727,38.250,36.250,23.000,43.200,0.176,-9.500,210.500,-0.237,43.250
PG,Ricky Rubio,7100,Orl@Min 08:00PM ET,28.055,Min,1,0,34.429,20.391,26.438,27.750,17.000,42.600,0.088,-9.500,210.500,-0.237,50.500
C,Al Horford,7000,Det@Bos 08:00PM ET,36.471,Bos,1,1,38.750,30.013,37.562,47.750,5.000,42.000,0.269,-6.000,215.000,-9.036,32.500
SG/SF,Dion Waiters,7000,Bkn@Mia 07:30PM ET,27.205,Mia,1,0,36.250,15.583,37.625,29.750,30.000,42.000,0.119,-8.500,218.000,5.099,43.000
PG,Mike Conley,7000,Mem@Pho 10:30PM ET,36.142,Mem,0,0,41.429,28.053,32.438,36.750,25.500,42.000,0.282,-3.500,208.500,-1.660,65.500
SG,Devin Booker,7000,Mem@Pho 10:30PM ET,30.815,Pho,1,0,37.786,23.323,33.625,33.500,8.000,42.000,0.127,3.500,208.500,-1.660,33.000
PG,Elfrid Payton,6700,Orl@Min 08:00PM ET,29.173,Orl,0,0,34.071,20.464,33.500,35.500,22.000,40.200,0.188,9.500,210.500,-2.237,37.000
SG,Zach LaVine,6700,Orl@Min 08:00PM ET,30.716,Min,1,0,29.750,21.900,27.500,37.500,24.500,40.200,0.177,-9.500,210.500,-10.448,17.250
