Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF,Final
SF/PF,Michael Beasley,3500,Mil@Uta 09:00PM ET,16.212,Mil,0,0,17.250,7.625,9.938,28.000,1.000,21.000,0.319,7.500,198.000,-9014.317,11.224,21.312,15.250
PF,Jonas Jerebko,3400,Tor@Bos 07:30PM ET,11.793,Bos,1,0,15.393,6.663,17.688,15.500,21.500,20.400,0.088,-6.000,215.000,1.675,15.663,13.834,15.750
SF,James Ennis III,3400,Mem@Den 09:00PM ET,16.792,Mem,0,0,15.786,11.053,12.562,13.750,16.000,20.400,0.318,-3.500,214.500,1.323,13.587,16.625,24.500
SF,Doug McDermott,3400,Chi@OKC 09:30PM ET,16.806,Chi,0,0,19.250,10.306,17.438,18.750,7.000,20.400,0.343,3.500,206.500,-4.321,15.900,14.600,12.250
PF/C,Donatas Motiejunas,3400,NO@Det 07:30PM ET,14.625,NO,0,0,12.800,9.643,21.688,16.500,8.500,20.400,0.279,7.500,211.500,-4.794,17.962,16.991,3.250
C,Kyle O'Quinn,3400,NY@Bkn 07:30PM ET,18.151,NY,0,0,15.679,9.528,17.250,26.000,29.000,20.400,0.416,-2.500,223.500,7.672,17.719,16.781,7.500
PG,D.J. Augustin,3400,Ind@Orl 07:00PM ET,16.265,Orl,1,0,16.714,11.185,14.188,10.750,17.500,20.400,0.268,2.000,212.500,-0.088,14.551,15.850,15.250
PF,Okaro White,3400,Atl@Mia 07:30PM ET,10.500,Mia,1,0,6.450,6.450,15.312,10.000,19.000,20.400,0.166,-1.000,205.000,-5.379,14.048,12.772,0.000
PF,Marquese Chriss,3400,LAC@Pho 09:00PM ET,14.750,Pho,1,0,18.821,9.696,16.938,33.000,9.000,20.400,0.237,2.500,219.500,4.850,16.479,16.697,25.250
PG,Jerian Grant,3300,Chi@OKC 09:30PM ET,10.862,Chi,0,0,14.786,5.214,9.500,7.000,21.000,19.800,0.145,3.500,206.500,-4.321,8.673,12.963,20.750
PF/C,Joffrey Lauvergne,3300,Chi@OKC 09:30PM ET,11.702,OKC,1,0,10.321,5.864,7.812,20.500,13.250,19.800,0.157,-3.500,206.500,-4.321,7.157,15.287,10.750
PF,Domantas Sabonis,3300,Chi@OKC 09:30PM ET,14.495,OKC,1,0,13.679,8.924,14.062,17.250,18.000,19.800,0.196,-3.500,206.500,-4.321,13.457,15.203,7.750
PG/SG,Ian Clark,3300,Cha@GS 10:30PM ET,11.307,GS,1,0,9.536,6.346,8.375,8.500,17.500,19.800,0.143,-15.000,224.000,8.025,7.759,16.419,10.000
PG,Ramon Sessions,3300,Cha@GS 10:30PM ET,12.954,Cha,0,0,9.786,9.029,7.438,7.500,14.500,19.800,0.118,15.000,224.000,4.025,7.086,18.066,5.500
PG,Tim Frazier,3300,NO@Det 07:30PM ET,24.162,NO,0,0,26.071,14.607,3.812,11.000,25.000,19.800,0.626,7.500,211.500,-4.794,9.177,5.644,0.000
SG,Reggie Bullock,3300,NO@Det 07:30PM ET,11.227,Det,1,0,14.583,4.500,9.250,0.000,17.500,19.800,0.182,-7.500,211.500,-9.928,8.476,11.903,3.250
SF/PF,Dante Cunningham,3300,NO@Det 07:30PM ET,14.646,NO,0,1,12.821,8.868,16.375,13.500,7.500,19.800,0.265,7.500,211.500,-4.794,15.018,14.597,7.500
SF,Tony Snell,3300,Mil@Uta 09:00PM ET,16.272,Mil,0,0,12.964,11.300,16.875,19.750,1.000,19.800,0.297,7.500,198.000,-9014.317,15.186,15.800,15.250
SF/PF,Chandler Parsons,3200,Mem@Den 09:00PM ET,12.548,Mem,0,0,11.536,7.125,14.625,7.000,10.500,19.200,0.127,-3.500,214.500,1.323,13.774,11.984,18.000
PF/C,Darrell Arthur,3200,Mem@Den 09:00PM ET,13.272,Den,1,0,14.571,7.058,19.062,6.250,2.250,19.200,0.213,3.500,214.500,-8998.677,16.784,10.756,22.250
SG/SF,Paul Zipser,3200,Chi@OKC 09:30PM ET,7.697,Chi,0,0,6.321,2.909,14.500,18.250,9.500,19.200,0.059,3.500,206.500,-4.321,13.500,14.047,16.250
SF/PF,Jerami Grant,3200,Chi@OKC 09:30PM ET,13.198,OKC,1,0,15.214,9.341,12.875,19.500,15.250,19.200,0.122,-3.500,206.500,-4.321,12.333,14.725,18.750
SG/SF,Stanley Johnson,3200,NO@Det 07:30PM ET,10.778,Det,1,0,8.643,5.438,10.188,13.500,18.750,19.200,0.122,-7.500,211.500,-0.794,9.597,14.194,20.750
SG,Buddy Hield,3200,NO@Det 07:30PM ET,15.311,NO,0,0,17.679,8.104,7.938,1.500,8.500,19.200,0.318,7.500,211.500,-13.462,7.438,9.866,16.000
SG,Justin Holiday,3200,NY@Bkn 07:30PM ET,15.205,NY,0,0,17.464,9.190,21.688,33.250,30.000,19.200,0.329,-2.500,223.500,7.672,19.359,19.797,26.500
C,Justin Hamilton,3200,NY@Bkn 07:30PM ET,16.315,Bkn,1,0,15.857,9.900,14.250,13.250,22.000,19.200,0.358,2.500,223.500,7.672,15.309,13.834,16.750
C,Andrew Bogut,3200,Phi@Dal 08:30PM ET,18.390,Dal,1,1,14.643,12.712,9.812,4.000,27.000,19.200,0.455,-6.500,206.000,-11.881,11.269,17.453,0.000
PG/SG,Alec Burks,3200,Mil@Uta 09:00PM ET,10.346,Uta,1,0,15.542,3.179,17.938,16.000,10.000,19.200,0.164,-7.500,198.000,-10.317,15.280,16.897,14.500
C,Alex Len,3200,LAC@Pho 09:00PM ET,19.554,Pho,1,0,12.393,12.920,14.250,18.250,14.000,19.200,0.515,2.500,219.500,4.850,16.118,17.834,6.250
SG,Monta Ellis,3100,Ind@Orl 07:00PM ET,18.333,Ind,0,0,14.179,10.132,8.625,9.500,22.000,18.600,0.489,-2.000,212.500,-0.088,10.074,20.863,8.000
C,Al Jefferson,3100,Ind@Orl 07:00PM ET,16.085,Ind,0,0,17.786,11.397,14.125,11.500,18.500,18.600,0.368,-2.000,212.500,-0.088,14.919,20.244,22.750
SG/SF,Rodney McGruder,3100,Atl@Mia 07:30PM ET,14.222,Mia,1,0,13.929,7.974,18.812,21.750,26.000,18.600,0.253,-1.000,205.000,-5.379,16.848,11.950,14.750
SF,Mike Dunleavy,3100,Atl@Mia 07:30PM ET,10.424,Atl,0,0,9.929,5.934,12.500,20.250,8.000,18.600,0.116,1.000,205.000,-5.379,11.723,10.822,18.500
C,John Henson,3100,Mil@Uta 09:00PM ET,17.899,Mil,0,0,14.036,11.545,16.375,10.250,2.000,18.600,0.468,7.500,198.000,-9014.317,15.296,13.725,0.000
PG,Fred VanVleet,3000,Tor@Bos 07:30PM ET,4.724,Tor,0,0,8.464,1.562,2.875,0.000,24.000,18.000,0.035,6.000,215.000,-2.325,2.545,5.991,0.000
PG,Delon Wright,3000,Tor@Bos 07:30PM ET,0.000,Tor,0,1,0.000,0.000,0.000,0.000,24.000,18.000,0.000,6.000,215.000,0.000,0.016,0.000,0.000
PG,Demetrius Jackson,3000,Tor@Bos 07:30PM ET,5.000,Bos,1,1,7.625,1.583,5.000,2.750,9.000,18.000,0.082,-6.000,215.000,1.675,4.669,7.459,0.000
PG,Terry Rozier,3000,Tor@Bos 07:30PM ET,13.756,Bos,1,0,15.179,8.315,10.062,8.750,9.000,18.000,0.279,-6.000,215.000,1.675,9.743,17.238,15.750
SG,James Young,3000,Tor@Bos 07:30PM ET,3.893,Bos,1,0,3.143,0.528,4.250,8.250,2.000,18.000,0.025,-6.000,215.000,-8998.325,4.027,3.893,0.000
SF,Gerald Green,3000,Tor@Bos 07:30PM ET,9.804,Bos,1,0,8.750,5.162,8.625,6.500,9.000,18.000,0.127,-6.000,215.000,1.675,8.380,7.659,6.250
SF,Bruno Caboclo,3000,Tor@Bos 07:30PM ET,2.313,Tor,0,0,0.000,0.500,0.625,0.000,12.500,18.000,0.006,6.000,215.000,-2.325,0.322,0.387,0.000
PF,Jared Sullinger,3000,Tor@Bos 07:30PM ET,8.167,Tor,0,0,8.667,3.667,7.062,1.250,23.000,18.000,0.079,6.000,215.000,-8.084,6.739,8.887,22.500
PF,Jordan Mickey,3000,Tor@Bos 07:30PM ET,5.750,Bos,1,0,6.857,1.850,5.938,6.500,21.500,18.000,0.005,-6.000,215.000,1.675,5.742,5.978,0.000
PF,Pascal Siakam,3000,Tor@Bos 07:30PM ET,11.802,Tor,0,0,11.179,6.250,8.625,6.000,23.000,18.000,0.176,6.000,215.000,-2.325,8.422,10.316,0.000
C,Tyler Zeller,3000,Tor@Bos 07:30PM ET,10.853,Bos,1,0,4.607,4.078,10.438,11.750,10.000,18.000,0.224,-6.000,215.000,1.675,10.208,11.113,13.750
C,Jakob Poeltl,3000,Tor@Bos 07:30PM ET,6.890,Tor,0,0,6.536,3.054,3.688,6.500,23.000,18.000,0.029,6.000,215.000,-2.325,3.506,4.700,9.000
PG,Toney Douglas,3000,Mem@Den 09:00PM ET,13.393,Mem,0,0,6.583,3.250,17.125,1.750,30.000,18.000,0.341,-3.500,214.500,-9.938,17.131,18.110,5.000
PG,Wade Baldwin IV,3000,Mem@Den 09:00PM ET,9.156,Mem,0,0,4.964,3.339,4.250,3.500,30.000,18.000,0.170,-3.500,214.500,1.323,4.000,6.538,0.000
PG,Malik Beasley,3000,Mem@Den 09:00PM ET,4.333,Den,1,0,2.714,0.969,4.500,2.000,8.000,18.000,0.013,3.500,214.500,1.323,4.347,4.400,10.500
SG,Mike Miller,3000,Mem@Den 09:00PM ET,4.938,Den,1,0,5.800,1.312,4.625,7.250,8.500,18.000,0.022,3.500,214.500,1.323,4.491,4.643,2.000
SG,Troy Daniels,3000,Mem@Den 09:00PM ET,13.593,Mem,0,0,11.357,5.250,2.875,1.500,29.000,18.000,0.350,-3.500,214.500,-10.135,3.213,7.810,6.500
SG,Troy Williams,3000,Mem@Den 09:00PM ET,10.720,Mem,0,0,11.821,2.729,4.188,0.000,29.000,18.000,0.234,-3.500,214.500,-7.986,3.999,6.335,0.000
PF,Johnny O'Bryant III,3000,Mem@Den 09:00PM ET,0.000,Den,1,0,0.000,0.000,0.000,0.000,3.500,18.000,0.000,3.500,214.500,0.000,0.052,0.000,4.750
PF,Jarell Martin,3000,Mem@Den 09:00PM ET,9.944,Mem,0,0,6.286,4.286,4.438,2.750,5.000,18.000,0.141,-3.500,214.500,-8998.677,4.252,5.063,0.000
PF,Deyonta Davis,3000,Mem@Den 09:00PM ET,5.677,Mem,0,1,4.143,2.036,5.938,9.000,5.000,18.000,0.032,-3.500,214.500,-8998.677,5.550,5.772,4.500
PF,Juancho Hernangomez,3000,Mem@Den 09:00PM ET,8.306,Den,1,0,3.536,3.612,8.562,3.500,3.500,18.000,0.114,3.500,214.500,-8998.677,8.368,7.591,14.500
C,Brandan Wright,3000,Mem@Den 09:00PM ET,8.500,Mem,0,0,0.000,0.000,0.000,0.000,17.000,18.000,0.000,-3.500,214.500,1.323,0.347,1.325,4.500
PG,Isaiah Canaan,3000,Chi@OKC 09:30PM ET,10.768,Chi,0,0,12.393,5.703,3.312,0.750,21.000,18.000,0.174,3.500,206.500,-11.914,3.015,4.253,6.250
PG,Semaj Christon,3000,Chi@OKC 09:30PM ET,8.967,OKC,1,0,10.821,4.809,10.312,3.500,12.000,18.000,0.049,-3.500,206.500,-9.343,9.912,9.709,8.750
PG,Cameron Payne,3000,Chi@OKC 09:30PM ET,11.583,OKC,1,0,7.333,7.150,11.312,22.500,12.000,18.000,0.122,-3.500,206.500,-4.321,10.989,11.475,17.000
SG/SF,Alex Abrines,3000,Chi@OKC 09:30PM ET,9.073,OKC,1,0,11.679,4.413,7.312,1.500,13.250,18.000,0.090,-3.500,206.500,-10.839,7.006,8.422,0.000
SG,Anthony Morrow,3000,Chi@OKC 09:30PM ET,8.727,OKC,1,0,8.893,3.559,3.625,3.500,14.000,18.000,0.082,-3.500,206.500,-4.321,3.525,4.278,10.250
SF,Kyle Singler,3000,Chi@OKC 09:30PM ET,4.130,OKC,1,0,2.929,1.577,4.125,4.000,12.500,18.000,0.000,-3.500,206.500,-4.321,3.789,3.811,0.000
SF,Josh Huestis,3000,Chi@OKC 09:30PM ET,0.000,OKC,1,0,0.000,0.000,0.000,0.000,12.500,18.000,0.000,-3.500,206.500,0.000,0.017,0.263,16.000
SF,Denzel Valentine,3000,Chi@OKC 09:30PM ET,7.611,Chi,0,0,13.179,2.922,15.125,27.000,7.000,18.000,0.096,3.500,206.500,-4.321,14.093,14.791,0.000
PF,Bobby Portis,3000,Chi@OKC 09:30PM ET,9.919,Chi,0,0,12.429,5.361,10.875,11.750,15.000,18.000,0.123,3.500,206.500,-4.321,10.294,10.134,3.250
C,Nick Collison,3000,Chi@OKC 09:30PM ET,3.818,OKC,1,0,2.125,0.333,4.312,-0.500,8.500,18.000,0.010,-3.500,206.500,-4.321,3.993,3.738,0.000
C,Cristiano Felicio,3000,Chi@OKC 09:30PM ET,12.713,Chi,0,0,15.071,6.875,16.625,9.500,12.000,18.000,0.241,3.500,206.500,-4.321,15.261,8.850,18.000
PG,Brian Roberts,3000,Cha@GS 10:30PM ET,3.885,Cha,0,0,4.500,0.542,2.375,5.250,14.500,18.000,0.003,15.000,224.000,4.025,2.515,4.384,15.000
SG/SF,Patrick McCaw,3000,Cha@GS 10:30PM ET,6.428,GS,1,0,3.500,2.841,6.562,4.750,21.250,18.000,0.021,-15.000,224.000,8.025,6.403,7.628,10.250
SF,Treveon Graham,3000,Cha@GS 10:30PM ET,3.100,Cha,0,0,3.150,0.929,2.125,3.250,10.000,18.000,0.001,15.000,224.000,4.025,2.111,4.122,8.750
PF,David West,3000,Cha@GS 10:30PM ET,12.405,GS,1,1,12.357,7.287,12.250,15.750,13.000,18.000,0.172,-15.000,224.000,8.025,11.991,14.266,0.000
PF,James Michael McAdoo,3000,Cha@GS 10:30PM ET,5.262,GS,1,0,5.500,1.589,14.188,13.500,13.000,18.000,0.034,-15.000,224.000,8.025,13.659,16.106,8.250
PF,Christian Wood,3000,Cha@GS 10:30PM ET,4.875,Cha,0,0,0.000,0.000,0.000,0.000,10.000,18.000,0.000,15.000,224.000,4.025,0.381,0.525,7.250
PF,Kevon Looney,3000,Cha@GS 10:30PM ET,7.900,GS,1,0,5.179,2.797,6.750,13.500,13.000,18.000,0.048,-15.000,224.000,8.025,6.726,7.644,2.750
C,Anderson Varejao,3000,Cha@GS 10:30PM ET,5.625,GS,1,0,6.036,2.500,3.688,9.250,24.500,18.000,0.014,-15.000,224.000,8.025,3.614,8.291,4.750
C,Roy Hibbert,3000,Cha@GS 10:30PM ET,12.548,Cha,0,0,11.821,8.146,8.875,11.500,20.500,18.000,0.233,15.000,224.000,4.025,9.024,18.197,0.000
C,JaVale McGee,3000,Cha@GS 10:30PM ET,10.564,GS,1,0,9.036,4.772,14.000,16.750,24.500,18.000,0.147,-15.000,224.000,8.025,13.675,12.656,21.500
C,Damian Jones,3000,Cha@GS 10:30PM ET,0.875,GS,1,0,0.000,0.000,0.875,2.750,24.500,18.000,0.082,-15.000,224.000,8.025,0.537,3.215,8.000
PG,Beno Udrih,3000,NO@Det 07:30PM ET,12.804,Det,1,0,16.250,6.538,7.812,0.000,27.000,18.000,0.229,-7.500,211.500,-7.735,7.755,12.800,0.000
PG,Ish Smith,3000,NO@Det 07:30PM ET,20.298,Det,1,0,14.286,14.028,15.938,22.250,27.000,18.000,0.601,-7.500,211.500,-0.794,17.738,12.791,28.750
SG,Langston Galloway,3000,NO@Det 07:30PM ET,16.313,NO,0,0,13.607,9.260,10.562,11.500,8.500,18.000,0.431,7.500,211.500,-4.794,10.932,14.862,0.000
SG,Darrun Hilliard,3000,NO@Det 07:30PM ET,6.413,Det,1,0,6.036,2.554,4.750,6.500,17.500,18.000,0.016,-7.500,211.500,-0.794,4.569,5.378,0.000
SF,Quincy Pondexter,3000,NO@Det 07:30PM ET,0.000,NO,0,1,0.000,0.000,0.000,0.000,3.000,18.000,0.000,7.500,211.500,0.000,0.016,0.000,0.000
SF,Michael Gbinije,3000,NO@Det 07:30PM ET,1.344,Det,1,0,1.100,0.625,1.500,1.250,20.000,18.000,0.003,-7.500,211.500,-0.794,1.068,1.653,0.000
PF,Henry Ellenson,3000,NO@Det 07:30PM ET,2.964,Det,1,0,2.429,1.361,4.750,3.500,26.500,18.000,0.001,-7.500,211.500,-0.794,4.304,4.091,0.000
PF,Cheick Diallo,3000,NO@Det 07:30PM ET,9.800,NO,0,0,13.833,2.450,6.500,0.000,12.000,18.000,0.290,7.500,211.500,-4.794,6.097,12.313,0.000
C,Alexis Ajinca,3000,NO@Det 07:30PM ET,11.988,NO,0,0,14.179,5.909,7.750,2.750,5.000,18.000,0.224,7.500,211.500,-9012.620,7.418,13.269,0.000
C,Omer Asik,3000,NO@Det 07:30PM ET,11.167,NO,0,0,6.357,6.015,4.062,-0.500,5.000,18.000,0.176,7.500,211.500,-9012.024,3.903,6.047,0.000
C,Boban Marjanovic,3000,NO@Det 07:30PM ET,9.488,Det,1,0,10.357,2.833,12.375,2.750,20.500,18.000,0.194,-7.500,211.500,-0.794,11.900,15.156,0.000
PG/SG,Ron Baker,3000,NY@Bkn 07:30PM ET,8.793,NY,0,0,9.107,3.604,8.438,12.750,29.500,18.000,0.096,-2.500,223.500,7.672,8.180,12.869,2.500
SG,Randy Foye,3000,NY@Bkn 07:30PM ET,12.607,Bkn,1,0,9.714,7.821,16.125,10.000,26.000,18.000,0.230,2.500,223.500,7.672,16.042,11.172,10.500
SG,Sasha Vujacic,3000,NY@Bkn 07:30PM ET,5.780,NY,0,0,5.286,0.923,6.438,0.000,30.000,18.000,0.022,-2.500,223.500,2.019,6.195,8.672,17.500
SF/PF,Lance Thomas,3000,NY@Bkn 07:30PM ET,9.150,NY,0,1,7.786,5.375,7.562,0.000,30.000,18.000,0.050,-2.500,223.500,2.524,7.306,9.444,0.000
SF,Joe Harris,3000,NY@Bkn 07:30PM ET,15.806,Bkn,1,1,10.786,9.816,14.312,16.000,14.000,18.000,0.384,2.500,223.500,7.672,14.906,13.494,5.000
SF,Mindaugas Kuzminskas,3000,NY@Bkn 07:30PM ET,11.169,NY,0,0,14.250,5.800,13.250,28.000,30.000,18.000,0.217,-2.500,223.500,7.672,13.674,9.147,23.750
PF,Quincy Acy,3000,NY@Bkn 07:30PM ET,9.266,Bkn,1,0,6.714,4.300,8.438,10.000,20.000,18.000,0.148,2.500,223.500,7.672,8.360,8.275,0.000
PF,Maurice Ndour,3000,NY@Bkn 07:30PM ET,5.444,NY,0,0,5.071,2.714,5.000,6.750,30.000,18.000,0.001,-2.500,223.500,7.672,4.723,8.903,0.000
PF,Chris McCullough,3000,NY@Bkn 07:30PM ET,4.981,Bkn,1,0,1.792,2.000,4.562,7.250,20.000,18.000,0.034,2.500,223.500,7.672,4.510,5.028,0.000
C,Luis Scola,3000,NY@Bkn 07:30PM ET,12.463,Bkn,1,0,9.357,6.203,13.375,5.000,22.000,18.000,0.234,2.500,223.500,7.672,13.204,8.731,0.000
C,Marshall Plumlee,3000,NY@Bkn 07:30PM ET,6.708,NY,0,0,11.667,1.500,9.562,3.250,29.000,18.000,0.159,-2.500,223.500,7.672,9.031,8.975,0.000
PG/SG,Rodney Stuckey,3000,Ind@Orl 07:00PM ET,15.794,Ind,0,1,17.357,8.306,14.625,2.000,20.500,18.000,0.409,-2.000,212.500,-9.708,14.702,15.669,11.250
PG,Aaron Brooks,3000,Ind@Orl 07:00PM ET,11.256,Ind,0,0,9.286,6.448,3.188,4.750,19.000,18.000,0.177,-2.000,212.500,-0.088,2.974,5.959,0.000
SG/SF,Glenn Robinson III,3000,Ind@Orl 07:00PM ET,13.572,Ind,0,0,9.286,6.620,13.438,22.500,23.500,18.000,0.309,-2.000,212.500,-0.088,13.807,11.456,23.750
SG,C.J. Wilcox,3000,Ind@Orl 07:00PM ET,2.609,Orl,1,1,2.000,0.614,3.375,0.000,24.000,18.000,0.001,2.000,212.500,-0.088,3.073,4.005,0.000
SG,Joe Young,3000,Ind@Orl 07:00PM ET,4.545,Ind,0,0,9.071,0.589,2.500,0.000,22.000,18.000,0.030,-2.000,212.500,-0.088,2.136,5.184,0.000
SF,Anthony Brown,3000,Ind@Orl 07:00PM ET,9.886,Orl,1,0,12.750,5.143,12.062,15.000,11.000,18.000,0.143,2.000,212.500,-0.088,11.680,10.975,0.000
SF,Damjan Rudez,3000,Ind@Orl 07:00PM ET,4.565,Orl,1,0,3.643,1.363,10.500,2.500,11.000,18.000,0.013,2.000,212.500,-0.088,10.050,8.347,0.000
SF,Mario Hezonja,3000,Ind@Orl 07:00PM ET,7.150,Orl,1,0,8.714,2.312,15.250,20.750,11.000,18.000,0.056,2.000,212.500,-0.088,14.776,14.831,0.000
PF/C,Kevin Seraphin,3000,Ind@Orl 07:00PM ET,9.444,Ind,0,1,8.357,3.600,2.500,3.250,14.750,18.000,0.145,-2.000,212.500,-0.088,2.342,2.319,0.000
PF,Rakeem Christmas,3000,Ind@Orl 07:00PM ET,4.938,Ind,0,0,1.375,1.375,4.938,9.500,11.000,18.000,0.046,-2.000,212.500,-0.088,4.536,4.237,0.000
PF,Georges Niang,3000,Ind@Orl 07:00PM ET,2.300,Ind,0,0,1.821,0.635,2.500,2.000,11.000,18.000,0.000,-2.000,212.500,-0.088,2.001,4.003,0.000
PF,Stephen Zimmerman Jr.,3000,Ind@Orl 07:00PM ET,4.125,Orl,1,0,5.050,1.950,5.000,11.000,28.000,18.000,0.011,2.000,212.500,-0.088,4.704,5.528,0.000
C,Lavoy Allen,3000,Ind@Orl 07:00PM ET,6.907,Ind,0,0,3.929,3.513,9.500,14.000,18.500,18.000,0.008,-2.000,212.500,-0.088,9.026,11.272,8.250
PG,Malcolm Delaney,3000,Atl@Mia 07:30PM ET,13.120,Atl,0,0,14.929,8.182,11.875,13.000,7.000,18.000,0.219,1.000,205.000,-5.379,11.246,9.641,5.000
SG,Lamar Patterson,3000,Atl@Mia 07:30PM ET,0.000,Atl,0,0,0.000,0.000,0.000,0.000,3.000,18.000,0.000,1.000,205.000,0.000,0.016,0.263,8.000
SF,Derrick Williams,3000,Atl@Mia 07:30PM ET,11.813,Mia,1,0,12.429,7.214,8.438,0.000,26.000,18.000,0.180,-1.000,205.000,-12.031,8.143,8.450,0.000
SF,Taurean Prince,3000,Atl@Mia 07:30PM ET,7.768,Atl,0,0,8.250,2.417,6.688,2.000,8.000,18.000,0.074,1.000,205.000,-5.379,6.266,6.653,8.500
SF,DeAndre' Bembry,3000,Atl@Mia 07:30PM ET,4.500,Atl,0,0,7.357,1.727,5.625,2.500,8.000,18.000,0.009,1.000,205.000,-5.379,5.036,6.600,15.750
PF/C,Kris Humphries,3000,Atl@Mia 07:30PM ET,10.692,Atl,0,0,14.000,5.020,4.688,1.250,12.000,18.000,0.205,1.000,205.000,-14.171,4.283,5.038,16.250
PF/C,Mike Muscala,3000,Atl@Mia 07:30PM ET,16.601,Atl,0,0,15.536,9.676,10.250,15.000,12.000,18.000,0.421,1.000,205.000,-5.379,10.994,12.384,11.250
PF,Chris Bosh,3000,Atl@Mia 07:30PM ET,0.000,Mia,1,0,0.000,0.000,0.000,0.000,19.000,18.000,0.000,-1.000,205.000,0.000,0.016,0.263,0.000
PF,Josh McRoberts,3000,Atl@Mia 07:30PM ET,13.523,Mia,1,1,15.107,8.917,9.188,10.000,19.000,18.000,0.234,-1.000,205.000,-5.379,9.101,11.866,0.000
PF,Mike Scott,3000,Atl@Mia 07:30PM ET,8.000,Atl,0,0,8.250,1.833,8.688,20.000,8.000,18.000,0.080,1.000,205.000,-5.379,8.286,5.766,3.250
PF,Luke Babbitt,3000,Atl@Mia 07:30PM ET,9.256,Mia,1,1,11.750,4.036,8.188,5.500,19.000,18.000,0.105,-1.000,205.000,-5.379,7.872,13.175,16.750
PF,Justise Winslow,3000,Atl@Mia 07:30PM ET,25.833,Mia,1,1,25.464,20.250,23.875,32.750,19.000,18.000,0.784,-1.000,205.000,-5.379,23.133,22.378,0.000
C,Udonis Haslem,3000,Atl@Mia 07:30PM ET,5.517,Mia,1,0,4.208,1.562,8.500,3.250,4.000,18.000,0.031,-1.000,205.000,-9005.379,8.080,8.156,0.000
C,Tiago Splitter,3000,Atl@Mia 07:30PM ET,0.000,Atl,0,1,0.000,0.000,0.000,0.000,16.000,18.000,0.000,1.000,205.000,0.000,0.016,0.263,0.000
PG,Kay Felder,3000,Min@Cle 07:00PM ET,9.107,Cle,1,0,11.107,4.292,7.500,7.500,20.000,18.000,0.124,-6.500,215.500,2.028,7.265,8.828,18.250
PG,Tyus Jones,3000,Min@Cle 07:00PM ET,8.546,Min,0,0,6.750,1.857,7.750,0.000,22.000,18.000,0.158,6.500,215.500,-1.972,7.463,7.928,1.000
SG,James Jones,3000,Min@Cle 07:00PM ET,4.845,Cle,1,0,6.643,1.569,7.812,3.500,5.000,18.000,0.013,-6.500,215.500,-8997.972,7.455,8.084,7.500
SG,Brandon Rush,3000,Min@Cle 07:00PM ET,7.938,Min,0,0,4.679,3.229,15.062,0.000,28.000,18.000,0.159,6.500,215.500,-1.972,14.328,16.822,0.000
SG,DeAndre Liggins,3000,Min@Cle 07:00PM ET,8.346,Cle,1,0,6.500,3.300,3.250,6.750,5.000,18.000,0.062,-6.500,215.500,-8997.972,3.299,3.747,3.500
SG,Jordan McRae,3000,Min@Cle 07:00PM ET,7.621,Cle,1,0,9.500,2.078,3.562,13.500,5.000,18.000,0.095,-6.500,215.500,-8997.972,3.548,12.037,9.000
SF/PF,Richard Jefferson,3000,Min@Cle 07:00PM ET,10.435,Cle,1,0,14.571,6.115,13.250,18.250,6.000,18.000,0.106,-6.500,215.500,2.028,12.845,12.356,13.750
SF/PF,Nemanja Bjelica,3000,Min@Cle 07:00PM ET,12.832,Min,0,0,10.143,6.283,9.062,17.500,20.500,18.000,0.276,6.500,215.500,-1.972,9.251,11.225,18.000
PF,Jordan Hill,3000,Min@Cle 07:00PM ET,5.350,Min,0,0,9.375,0.625,5.000,1.250,14.000,18.000,0.048,6.500,215.500,-1.972,4.701,5.022,0.000
PF,Adreian Payne,3000,Min@Cle 07:00PM ET,8.295,Min,0,0,7.250,3.375,2.938,1.250,14.000,18.000,0.089,6.500,215.500,-8.598,2.834,4.131,3.250
C,Chris Andersen,3000,Min@Cle 07:00PM ET,7.979,Cle,1,1,8.714,4.607,8.312,11.000,15.000,18.000,0.035,-6.500,215.500,2.028,8.054,8.556,0.000
C,Cole Aldrich,3000,Min@Cle 07:00PM ET,8.512,Min,0,0,6.321,4.219,4.438,5.250,6.000,18.000,0.091,6.500,215.500,-1.972,4.264,5.200,2.500
C,Nikola Pekovic,3000,Min@Cle 07:00PM ET,0.000,Min,0,1,0.000,0.000,0.000,0.000,6.000,18.000,0.000,6.500,215.500,0.000,0.016,0.000,0.000
PG,Jerryd Bayless,3000,Phi@Dal 08:30PM ET,21.333,Phi,0,1,0.000,15.750,21.333,18.500,1.000,18.000,0.635,6.500,206.000,-9008.674,18.701,17.395,0.000
PG,Chasson Randle,3000,Phi@Dal 08:30PM ET,6.375,Phi,0,0,6.375,2.833,6.375,0.000,1.000,18.000,0.104,6.500,206.000,-9008.674,5.820,6.678,17.500
SG/SF,Timothe Luwawu-Cabarrot,3000,Phi@Dal 08:30PM ET,6.338,Phi,0,0,8.857,2.868,5.812,3.250,4.750,18.000,0.011,6.500,206.000,-9008.674,5.388,6.838,14.500
SG,Nicolas Brussino,3000,Phi@Dal 08:30PM ET,4.867,Dal,1,0,4.071,1.211,5.688,0.000,17.500,18.000,0.009,-6.500,206.000,-4.674,5.322,6.356,1.250
