Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF,Final
C,Jonas Valanciunas,5400,Tor@Bos 07:30PM ET,28.133,Tor,0,0,23.036,21.052,27.688,27.250,23.000,32.400,0.317,6.000,215.000,-0.325,28.028,25.572,9.250
C,Steven Adams,5400,Chi@OKC 09:30PM ET,27.335,OKC,1,0,28.821,20.729,29.250,21.000,8.500,32.400,0.261,-3.500,206.500,-4.321,28.254,25.894,15.000
SF/PF,Tobias Harris,5400,NO@Det 07:30PM ET,28.104,Det,1,0,32.679,20.511,24.812,22.000,23.250,32.400,0.310,-7.500,211.500,-0.794,27.228,32.075,36.500
PG,T.J. McConnell,5400,Phi@Dal 08:30PM ET,20.674,Phi,0,0,32.429,13.760,33.875,30.500,1.000,32.400,0.113,6.500,206.000,-26.674,27.480,22.203,20.000
SG,Seth Curry,5400,Phi@Dal 08:30PM ET,21.261,Dal,1,0,20.464,15.625,32.938,29.250,17.500,32.400,0.116,-6.500,206.000,-4.674,28.955,24.025,42.750
SF,Marcus Morris,5300,NO@Det 07:30PM ET,24.537,Det,1,0,31.643,17.692,26.562,19.250,20.000,31.800,0.218,-7.500,211.500,-0.794,26.754,29.597,18.000
PF,Thaddeus Young,5300,Ind@Orl 07:00PM ET,25.878,Ind,0,0,27.179,20.078,22.375,23.250,11.000,31.800,0.257,-2.000,212.500,-0.088,23.696,22.838,25.250
SG/SF,Kent Bazemore,5300,Atl@Mia 07:30PM ET,22.554,Atl,0,0,22.857,14.315,34.000,36.750,5.500,31.800,0.181,1.000,205.000,-5.379,28.024,19.387,21.000
SG/SF,Will Barton,5200,Mem@Den 09:00PM ET,25.500,Den,1,1,19.536,16.941,17.938,17.250,6.250,31.200,0.291,3.500,214.500,1.323,21.372,19.384,0.000
C,Enes Kanter,5200,Chi@OKC 09:30PM ET,26.154,OKC,1,1,26.786,17.062,25.688,12.500,8.500,31.200,0.325,-3.500,206.500,-15.450,25.417,22.775,0.000
SF,Michael Kidd-Gilchrist,5200,Cha@GS 10:30PM ET,23.922,Cha,0,0,24.000,17.800,25.375,26.500,10.000,31.200,0.202,15.000,224.000,6.025,25.204,20.781,20.250
SG/SF,Tyreke Evans,5200,NO@Det 07:30PM ET,21.575,NO,0,1,25.143,13.475,20.438,7.000,5.750,31.200,0.189,7.500,211.500,-13.533,20.564,18.922,10.000
PG,Brandon Jennings,5200,NY@Bkn 07:30PM ET,20.700,NY,0,0,23.536,12.440,25.375,43.250,29.000,31.200,0.152,-2.500,223.500,7.672,24.994,30.600,33.750
SG,J.J. Redick,5200,LAC@Pho 09:00PM ET,22.372,LAC,0,0,20.286,14.857,23.625,15.750,15.000,31.200,0.159,-2.500,219.500,4.850,23.147,26.341,27.500
SF/PF,Aaron Gordon,5100,Ind@Orl 07:00PM ET,22.635,Orl,1,0,28.821,15.685,19.625,21.500,19.500,30.600,0.199,2.000,212.500,-0.088,22.479,26.637,12.000
C,Jusuf Nurkic,5000,Mem@Den 09:00PM ET,19.683,Den,1,0,14.000,11.239,11.625,8.500,1.000,30.000,0.191,3.500,214.500,-18.677,13.484,17.641,11.750
PF/C,Taj Gibson,5000,Chi@OKC 09:30PM ET,24.872,Chi,0,1,23.143,19.204,22.500,32.250,13.500,30.000,0.261,3.500,206.500,-4.321,23.401,21.453,20.000
C,Cody Zeller,5000,Cha@GS 10:30PM ET,24.375,Cha,0,1,29.000,19.060,25.312,36.250,20.500,30.000,0.224,15.000,224.000,6.025,26.345,23.241,0.000
PG,Jeremy Lin,5000,NY@Bkn 07:30PM ET,30.146,Bkn,1,1,33.250,25.472,29.125,26.500,13.000,30.000,0.506,2.500,223.500,7.672,29.478,30.038,0.000
SG,Evan Fournier,5000,Ind@Orl 07:00PM ET,26.691,Orl,1,0,28.964,19.292,19.812,12.750,24.000,30.000,0.392,2.000,212.500,-9.496,23.756,22.837,22.250
C,Willie Reed,5000,Atl@Mia 07:30PM ET,14.250,Mia,1,0,13.071,8.120,20.375,13.500,4.000,30.000,0.082,-1.000,205.000,-17.879,17.365,19.831,13.500
PF/C,Dirk Nowitzki,5000,Phi@Dal 08:30PM ET,25.625,Dal,1,0,25.464,19.062,28.438,19.000,16.750,30.000,0.308,-6.500,206.000,-4.674,27.318,22.544,20.250
PF/C,Derrick Favors,5000,Mil@Uta 09:00PM ET,21.167,Uta,1,1,24.250,15.162,25.000,19.500,14.750,30.000,0.174,-7.500,198.000,-10.317,23.863,18.288,0.000
PG,Raymond Felton,5000,LAC@Pho 09:00PM ET,16.864,LAC,0,0,23.571,9.942,21.375,27.750,26.000,30.000,0.094,-2.500,219.500,4.850,20.683,26.003,27.750
PF,Marvin Williams,4900,Cha@GS 10:30PM ET,22.587,Cha,0,0,23.607,16.400,27.125,19.000,10.000,29.400,0.176,15.000,224.000,6.025,25.080,17.056,22.250
PG,Tyler Johnson,4900,Atl@Mia 07:30PM ET,27.933,Mia,1,0,28.286,21.262,25.188,5.750,23.000,29.400,0.432,-1.000,205.000,-14.007,26.502,18.866,30.250
SG,Gary Harris,4800,Mem@Den 09:00PM ET,23.424,Den,1,0,19.643,12.781,25.500,35.500,8.500,28.800,0.276,3.500,214.500,1.323,24.423,22.291,18.000
C,Tristan Thompson,4800,Min@Cle 07:00PM ET,24.064,Cle,1,0,26.000,17.759,27.625,9.500,15.000,28.800,0.305,-6.500,215.500,-7.237,26.192,23.791,44.000
PG/SG,Malcolm Brogdon,4800,Mil@Uta 09:00PM ET,20.984,Mil,0,0,24.036,13.292,21.250,20.500,3.500,28.800,0.209,7.500,198.000,-25.175,20.524,26.134,25.250
SG/SF,Wesley Matthews,4700,Phi@Dal 08:30PM ET,26.306,Dal,1,0,24.321,19.534,28.812,30.000,18.250,28.200,0.405,-6.500,206.000,-4.674,27.559,22.209,18.000
PF/C,Spencer Hawes,4600,Cha@GS 10:30PM ET,17.147,Cha,0,0,18.429,9.235,21.750,23.750,15.250,27.600,0.152,15.000,224.000,6.025,20.168,21.863,17.000
