Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PF/C,Anthony Davis,11700,NO@Phi 07:00PM ET,54.889,NO,0,0,49.214,39.519,42.875,16.000,70.200,59.000,0.204,206.000,-3.500,11.396,59.000
PF/C,DeMarcus Cousins,11200,Por@Sac 10:30PM ET,52.058,Sac,1,0,62.429,39.364,57.500,28.500,67.200,83.500,0.165,217.500,1.000,20.406,83.500
PG/SG,James Harden,11100,SA@Hou 08:00PM ET,59.482,Hou,1,0,59.893,52.179,60.938,10.000,66.600,56.500,0.214,1.000,-1.000,-149.217,56.500
PG,Giannis Antetokounmpo,9800,Cle@Mil 08:00PM ET,50.590,Mil,1,0,52.643,39.850,57.438,20.000,58.800,55.750,0.233,212.500,3.500,16.489,55.750
SF/PF,LeBron James,9600,Cle@Mil 08:00PM ET,51.815,Cle,0,0,53.179,42.417,62.000,23.750,57.600,66.500,0.341,212.500,-3.500,16.489,66.500
PG,Chris Paul,9200,Den@LAC 10:30PM ET,43.839,LAC,1,0,47.679,36.574,40.438,29.000,55.200,51.500,0.159,218.000,-8.000,20.798,51.500
SF,Kevin Durant,9000,Uta@GS 10:30PM ET,49.643,GS,1,0,49.714,40.357,44.125,1.000,54.000,29.250,0.312,210.500,-12.500,-15.356,29.250
C,Hassan Whiteside,8700,Orl@Mia 07:30PM ET,43.438,Mia,1,0,51.929,30.604,53.438,18.500,52.200,63.750,0.277,199.000,-3.500,5.912,63.750
SF,Kawhi Leonard,8600,SA@Hou 08:00PM ET,41.167,SA,0,0,38.964,33.288,36.250,25.000,51.600,39.750,0.130,1.000,1.000,-151.217,39.750
PG,Damian Lillard,8500,Por@Sac 10:30PM ET,44.353,Por,0,0,45.250,33.393,43.562,21.000,51.000,55.000,0.313,217.500,-1.000,20.406,55.000
SG,DeMar DeRozan,8500,Bkn@Tor 07:30PM ET,42.546,Tor,1,0,38.214,33.477,39.125,30.000,51.000,20.750,0.145,224.000,-15.500,16.977,20.750
PG,Kyle Lowry,8400,Bkn@Tor 07:30PM ET,41.889,Tor,1,0,42.786,34.917,40.812,30.000,50.400,48.000,0.152,224.000,-15.500,25.499,48.000
PF/C,Blake Griffin,8300,Den@LAC 10:30PM ET,41.942,LAC,1,0,45.679,35.625,41.750,13.500,49.800,46.250,0.178,218.000,-8.000,20.798,0.000
PF/C,Kevin Love,8200,Cle@Mil 08:00PM ET,42.500,Cle,0,0,40.643,34.231,51.688,16.250,49.200,58.250,0.268,212.500,-3.500,16.489,0.000
SF/PF,Paul George,8100,Ind@NY 07:30PM ET,39.716,Ind,0,0,38.143,33.354,36.812,17.750,48.600,28.750,0.112,210.500,4.500,7.467,28.750
PG,Kemba Walker,8000,LAL@Cha 07:00PM ET,38.926,Cha,1,0,38.357,33.219,40.375,27.500,48.000,55.000,0.194,212.500,-8.500,16.489,55.000
PG,Stephen Curry,7900,Uta@GS 10:30PM ET,43.143,GS,1,0,39.286,37.809,39.625,7.000,47.400,42.750,0.308,210.500,-12.500,3.493,42.750
PF,Kristaps Porzingis,7800,Ind@NY 07:30PM ET,37.343,NY,1,0,37.214,28.911,37.562,28.000,46.800,39.000,0.207,210.500,-4.500,14.922,39.000
SF,Gordon Hayward,7700,Uta@GS 10:30PM ET,38.893,Uta,0,0,35.071,28.675,29.062,10.500,46.200,11.750,0.209,210.500,12.500,2.508,11.750
PG,Goran Dragic,7600,Orl@Mia 07:30PM ET,36.174,Mia,1,0,44.071,27.857,38.312,13.500,45.600,31.000,0.206,199.000,-3.500,5.912,31.000
PF/C,Joel Embiid,7600,NO@Phi 07:00PM ET,36.056,Phi,1,0,36.964,27.389,33.875,23.750,45.600,23.000,0.142,206.000,3.500,2.108,23.000
PF/C,Draymond Green,7500,Uta@GS 10:30PM ET,39.611,GS,1,0,39.643,34.882,44.500,1.500,45.000,46.250,0.279,210.500,-12.500,-1.745,46.250
SG/SF,Nicolas Batum,7500,LAL@Cha 07:00PM ET,34.398,Cha,1,0,38.143,27.167,40.938,24.500,45.000,46.750,0.153,212.500,-8.500,16.489,46.750
PG,Kyrie Irving,7400,Cle@Mil 08:00PM ET,36.978,Cle,0,0,39.357,30.364,37.000,4.000,44.400,42.250,0.187,212.500,-3.500,3.989,42.250
SF,Carmelo Anthony,7400,Ind@NY 07:30PM ET,36.808,NY,1,0,39.857,29.500,38.812,14.000,44.400,53.500,0.270,210.500,-4.500,14.922,53.500
C,Marc Gasol,7300,Bos@Mem 08:00PM ET,38.370,Mem,1,0,41.214,29.654,36.062,20.000,43.800,44.250,0.312,194.500,2.000,2.386,44.250
PG,Isaiah Thomas,7200,Bos@Mem 08:00PM ET,40.326,Bos,0,0,43.429,35.950,42.125,8.000,43.200,65.750,0.416,194.500,-2.000,2.386,65.750
C,DeAndre Jordan,7200,Den@LAC 10:30PM ET,33.554,LAC,1,0,32.036,27.906,41.750,18.500,43.200,35.750,0.133,218.000,-8.000,20.798,35.750
C,Brook Lopez,7100,Bkn@Tor 07:30PM ET,35.708,Bkn,0,0,37.536,28.304,40.812,9.000,42.600,55.250,0.274,224.000,15.500,23.499,0.000
C,Rudy Gobert,7000,Uta@GS 10:30PM ET,34.884,Uta,0,0,39.393,24.886,38.375,22.000,42.000,37.000,0.230,210.500,12.500,12.922,37.000
PG/SG,C.J. McCollum,7000,Por@Sac 10:30PM ET,35.379,Por,0,0,36.143,28.176,32.625,22.250,42.000,46.500,0.287,217.500,-1.000,20.406,46.500
PG,Jeff Teague,6900,Ind@NY 07:30PM ET,35.147,Ind,0,0,37.714,26.550,47.375,13.500,41.400,48.750,0.297,210.500,4.500,14.922,48.750
PF/C,LaMarcus Aldridge,6800,SA@Hou 08:00PM ET,30.833,SA,0,0,28.750,25.179,32.375,19.750,40.800,40.500,0.138,1.000,1.000,-151.217,40.500
SF/PF,Jabari Parker,6700,Cle@Mil 08:00PM ET,32.280,Mil,1,0,38.321,24.804,37.250,20.750,40.200,45.250,0.235,212.500,3.500,16.489,45.250
PG,Jrue Holiday,6700,NO@Phi 07:00PM ET,31.036,NO,0,0,27.607,25.972,29.250,9.000,40.200,30.500,0.125,206.000,-3.500,11.396,30.500
C,Al Horford,6600,Bos@Mem 08:00PM ET,37.794,Bos,0,0,35.500,29.833,39.625,1.000,39.600,42.000,0.431,194.500,-2.000,-17.614,42.000
PG/SG,George Hill,6500,Uta@GS 10:30PM ET,33.750,Uta,0,0,37.000,22.667,32.562,14.500,39.000,16.750,0.256,210.500,12.500,5.037,0.000
SF,Rudy Gay,6400,Por@Sac 10:30PM ET,34.804,Sac,1,0,27.429,26.792,29.250,19.500,38.400,22.250,0.368,217.500,1.000,9.983,0.000
C,Nikola Jokic,6400,Den@LAC 10:30PM ET,28.280,Den,0,0,33.250,19.641,33.750,13.000,38.400,17.000,0.228,218.000,8.000,18.798,17.000
C,Myles Turner,6300,Ind@NY 07:30PM ET,32.071,Ind,0,0,30.929,23.958,36.562,26.000,37.800,44.250,0.295,210.500,4.500,14.922,44.250
PG,Mike Conley,6200,Bos@Mem 08:00PM ET,35.092,Mem,1,0,29.429,27.729,29.062,25.500,37.200,40.750,0.436,194.500,2.000,2.386,40.750
C,Nikola Vucevic,6200,Orl@Mia 07:30PM ET,33.327,Orl,0,0,34.786,24.833,34.812,17.000,37.200,49.500,0.393,199.000,3.500,5.912,49.500
SF/PF,Wilson Chandler,6200,Den@LAC 10:30PM ET,30.860,Den,0,0,28.321,21.500,27.062,11.750,37.200,22.000,0.292,218.000,8.000,18.798,22.000
SG,Klay Thompson,6100,Uta@GS 10:30PM ET,31.616,GS,1,0,37.321,24.516,29.438,1.000,36.600,26.750,0.317,210.500,-12.500,-5.078,26.750
PG,Derrick Rose,6100,Ind@NY 07:30PM ET,29.272,NY,1,0,35.714,21.045,24.125,16.500,36.600,40.000,0.259,210.500,-4.500,14.922,40.000
SG,Avery Bradley,6000,Bos@Mem 08:00PM ET,34.639,Bos,0,0,35.464,27.750,34.188,6.500,36.000,28.250,0.431,194.500,-2.000,-9.152,28.250
C,Pau Gasol,6000,SA@Hou 08:00PM ET,28.827,SA,0,0,26.357,21.650,36.750,23.000,36.000,30.000,0.252,1.000,1.000,-151.217,30.000
PF/C,Serge Ibaka,6000,Orl@Mia 07:30PM ET,29.129,Orl,0,0,33.821,21.956,30.250,12.000,36.000,39.750,0.270,199.000,3.500,5.912,39.750
SG,Lou Williams,5900,LAL@Cha 07:00PM ET,29.875,LAL,0,0,30.964,22.719,28.562,20.000,35.400,36.000,0.305,212.500,8.500,14.489,36.000
SG,Evan Fournier,5900,Orl@Mia 07:30PM ET,28.172,Orl,0,0,26.679,21.000,32.312,3.000,35.400,39.250,0.230,199.000,3.500,-7.422,39.250
PF/C,Julius Randle,5800,LAL@Cha 07:00PM ET,30.315,LAL,0,0,26.964,22.143,31.188,19.000,34.800,30.000,0.332,212.500,8.500,14.489,30.000
