Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG,Ramon Sessions,3800,Mia@Cha 07:00PM ET,13.695,Cha,1,0,11.750,10.200,14.500,6.000,22.800,11.750,0.051,204.500,-6.000,-9001.990,11.750
SG/SF,Jeremy Lamb,3800,Mia@Cha 07:00PM ET,17.500,Cha,1,0,14.929,8.455,19.875,6.750,22.800,23.250,0.331,204.500,-6.000,-9001.990,23.250
SF/PF,Dario Saric,3800,Phi@Uta 09:00PM ET,20.142,Phi,0,0,21.250,11.893,20.000,1.000,22.800,22.000,0.390,196.500,14.500,-9011.780,22.000
PF,Richaun Holmes,3800,Phi@Uta 09:00PM ET,16.393,Phi,0,0,17.107,7.667,16.438,1.000,22.800,10.750,0.230,196.500,14.500,-9011.780,0.000
SF,P.J. Tucker,3800,Tor@Pho 09:00PM ET,17.383,Pho,1,0,23.286,8.891,17.875,8.500,22.800,20.000,0.303,223.000,8.500,-8992.601,20.000
C,Lucas Nogueira,3800,Tor@Pho 09:00PM ET,17.333,Tor,0,0,14.214,10.817,15.625,24.000,22.800,6.250,0.255,223.000,-8.500,2.510,6.250
PF,Frank Kaminsky,3700,Mia@Cha 07:00PM ET,21.383,Cha,1,0,22.357,15.944,19.188,7.000,22.200,20.500,0.459,204.500,-6.000,-9001.990,20.500
PG/SG,Iman Shumpert,3700,Bos@Cle 08:00PM ET,16.026,Cle,1,0,17.929,10.983,16.188,19.750,22.200,12.500,0.156,217.000,-6.000,7.057,12.500
C,Nerlens Noel,3700,Phi@Uta 09:00PM ET,9.700,Phi,0,0,13.188,8.562,12.625,2.000,22.200,22.250,0.072,196.500,14.500,-9011.780,22.250
SF/PF,Larry Nance Jr.,3700,Dal@LAL 10:30PM ET,19.214,LAL,1,0,21.929,12.214,21.000,3.000,22.200,21.500,0.358,205.000,-4.000,-9001.628,0.000
PF/C,Dwight Powell,3700,Dal@LAL 10:30PM ET,18.297,Dal,0,0,20.607,12.853,17.688,28.250,22.200,21.500,0.292,205.000,4.000,-1.628,21.500
SG,Marco Belinelli,3600,Mia@Cha 07:00PM ET,18.967,Cha,1,0,15.464,13.033,16.688,3.000,21.600,0.000,0.376,204.500,-6.000,-9010.289,0.000
C,Willie Reed,3600,Mia@Cha 07:00PM ET,10.042,Mia,0,0,15.000,5.696,14.688,25.000,21.600,19.750,0.066,204.500,6.000,-1.990,19.750
SF,James Ennis III,3600,OKC@Mem 08:00PM ET,18.438,Mem,1,0,14.750,11.773,14.438,7.000,21.600,8.250,0.320,197.500,-1.000,-9014.820,8.250
SG,J.R. Smith,3600,Bos@Cle 08:00PM ET,17.321,Cle,1,0,17.750,11.300,19.688,14.000,21.600,8.250,0.290,217.000,-6.000,-0.625,0.000
SG/SF,Terrence Ross,3600,Tor@Pho 09:00PM ET,17.875,Tor,0,0,19.786,12.042,23.250,20.500,21.600,23.500,0.343,223.000,-8.500,11.399,23.500
C,Alex Len,3600,Tor@Pho 09:00PM ET,22.500,Pho,1,0,19.036,15.721,16.562,9.000,21.600,13.500,0.526,223.000,8.500,-8992.601,13.500
C,Andrew Bogut,3600,Dal@LAL 10:30PM ET,21.676,Dal,0,0,19.429,16.278,15.875,30.000,21.600,14.250,0.477,205.000,4.000,-7.586,14.250
SF,Andre Roberson,3500,OKC@Mem 08:00PM ET,18.742,OKC,0,0,13.464,10.821,12.938,6.000,21.000,10.250,0.376,197.500,1.000,-9015.017,10.250
PF/C,Channing Frye,3500,Bos@Cle 08:00PM ET,17.043,Cle,1,0,12.786,11.096,14.812,22.000,21.000,7.250,0.282,217.000,-6.000,-0.481,7.250
SG,Wayne Ellington,3400,Mia@Cha 07:00PM ET,19.583,Mia,0,0,21.679,14.281,12.812,20.000,20.400,18.000,0.457,204.500,6.000,-1.990,18.000
SF,Chandler Parsons,3400,OKC@Mem 08:00PM ET,11.556,Mem,1,0,11.188,6.800,8.000,7.000,20.400,10.500,0.085,197.500,-1.000,-9007.057,10.500
PF/C,Kelly Olynyk,3400,Bos@Cle 08:00PM ET,18.183,Bos,0,0,18.286,9.771,13.312,10.750,20.400,8.250,0.383,217.000,6.000,-9001.647,8.250
PF,Trey Lyles,3400,Phi@Uta 09:00PM ET,18.047,Uta,1,0,20.357,12.544,20.250,5.000,20.400,22.000,0.382,196.500,-14.500,-9007.780,22.000
PG,Cory Joseph,3400,Tor@Pho 09:00PM ET,17.633,Tor,0,0,17.321,12.653,15.938,25.500,20.400,23.500,0.359,223.000,-8.500,11.399,23.500
SF/PF,Dragan Bender,3400,Tor@Pho 09:00PM ET,8.110,Pho,1,0,3.964,3.485,17.875,15.250,20.400,6.750,0.091,223.000,8.500,7.399,6.750
C,Timofey Mozgov,3400,Dal@LAL 10:30PM ET,16.640,LAL,1,0,15.143,11.375,15.250,11.000,20.400,5.000,0.284,205.000,-4.000,-9008.759,5.000
SF/PF,Jerami Grant,3300,OKC@Mem 08:00PM ET,13.677,OKC,0,0,13.393,10.033,15.062,5.000,19.800,12.250,0.097,197.500,1.000,-9007.057,12.250
PG,T.J. McConnell,3300,Phi@Uta 09:00PM ET,16.517,Phi,0,0,20.107,11.908,15.500,7.000,19.800,11.000,0.323,196.500,14.500,-9011.780,11.000
