Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG,Russell Westbrook,12600,OKC@NO 08:00PM ET,64.438,OKC,0,0,62.500,54.533,66.125,27.500,75.600,67.500,0.208,209.000,-2.000,0.903,67.500
PG/SG,James Harden,12000,Hou@Pho 09:00PM ET,59.310,Hou,0,0,57.929,52.650,61.938,20.250,72.000,59.250,0.082,227.500,-6.500,14.260,59.250
PF/C,Anthony Davis,10900,OKC@NO 08:00PM ET,55.036,NO,1,0,57.536,40.625,42.188,14.250,65.400,61.500,0.285,209.000,2.000,0.903,61.500
PF/C,DeMarcus Cousins,9900,Sac@Uta 09:00PM ET,53.176,Sac,0,0,47.964,39.125,49.562,1.500,59.400,36.500,0.317,194.000,8.000,-42.802,36.500
SF/PF,LeBron James,9800,Mil@Cle 07:00PM ET,52.427,Cle,1,0,51.607,43.019,54.625,23.750,58.800,50.250,0.301,207.500,-6.500,-0.181,50.250
PG,Giannis Antetokounmpo,9700,Mil@Cle 07:00PM ET,50.788,Mil,0,0,49.786,40.568,55.688,20.000,58.200,47.750,0.243,207.500,6.500,-2.181,47.750
PG,John Wall,9500,Was@Chi 08:00PM ET,48.800,Was,0,0,49.857,41.865,48.188,10.000,57.000,49.000,0.197,209.500,4.000,1.264,49.000
PF/C,Karl-Anthony Towns,8700,Min@Atl 07:30PM ET,44.407,Min,0,0,43.179,37.597,53.562,11.250,52.200,47.500,0.266,216.000,4.000,5.957,47.500
SG/SF,Jimmy Butler,8500,Was@Chi 08:00PM ET,42.972,Chi,1,0,41.821,33.714,34.125,13.250,51.000,40.750,0.239,209.500,-4.000,1.264,40.750
PG,Damian Lillard,8400,Dal@Por 10:00PM ET,44.658,Por,1,0,41.786,33.783,44.875,1.000,50.400,39.250,0.323,210.000,-6.000,-18.375,39.250
PF/C,Kevin Love,8200,Mil@Cle 07:00PM ET,42.500,Cle,1,0,49.321,34.231,51.688,16.250,49.200,58.250,0.268,207.500,-6.500,-0.181,0.000
PF,Paul Millsap,7900,Min@Atl 07:30PM ET,38.200,Atl,1,0,40.214,26.977,40.688,8.500,47.400,46.500,0.227,216.000,-4.000,5.957,46.500
PG,Eric Bledsoe,7700,Hou@Pho 09:00PM ET,37.750,Pho,1,0,40.429,27.917,29.375,13.500,46.200,27.500,0.235,227.500,6.500,12.260,27.500
SF,Gordon Hayward,7600,Sac@Uta 09:00PM ET,37.659,Uta,1,0,40.000,28.675,34.188,12.000,45.600,46.000,0.234,194.000,-8.000,-9.928,46.000
PG,Kyrie Irving,7500,Mil@Cle 07:00PM ET,37.198,Cle,1,0,37.429,30.364,44.812,4.000,45.000,60.000,0.226,207.500,-6.500,-12.681,60.000
C,Dwight Howard,7300,Min@Atl 07:30PM ET,36.913,Atl,1,0,32.179,24.200,40.188,15.000,43.800,43.250,0.288,216.000,-4.000,5.957,0.000
C,Marc Gasol,7200,Mem@Det 07:30PM ET,38.580,Mem,0,0,45.071,29.654,40.562,5.000,43.200,57.750,0.359,188.500,6.000,-27.899,57.750
C,Andre Drummond,7100,Mem@Det 07:30PM ET,37.638,Det,1,0,40.536,28.641,29.625,1.000,42.600,39.750,0.343,188.500,-6.000,-33.899,39.750
PG,Dennis Schroder,7000,Min@Atl 07:30PM ET,31.759,Atl,1,0,35.000,24.333,35.375,19.000,42.000,32.750,0.154,216.000,-4.000,5.957,32.750
C,Rudy Gobert,7000,Sac@Uta 09:00PM ET,34.957,Uta,1,0,40.429,25.729,40.250,8.000,42.000,45.500,0.242,194.000,-8.000,-9.928,45.500
SG,Dwyane Wade,6900,Was@Chi 08:00PM ET,33.750,Chi,1,0,34.250,25.500,28.312,9.000,41.400,30.750,0.216,209.500,-4.000,1.264,30.750
SG,Bradley Beal,6900,Was@Chi 08:00PM ET,34.521,Was,0,0,33.679,25.854,37.438,12.500,41.400,32.000,0.253,209.500,4.000,1.264,32.000
