Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PF/C,Karl-Anthony Towns,9400,Por@Min 07:00PM ET,44.697,Min,1,0,51.214,37.575,46.938,28.500,56.400,40.250,0.151,208.500,-6.000,1.233,40.250
PG,Kyle Lowry,8800,Tor@LAL 09:30PM ET,43.016,Tor,0,0,48.250,36.533,52.500,27.500,52.800,63.750,0.152,218.500,-8.000,8.486,63.750
SG,DeMar DeRozan,8500,Tor@LAL 09:30PM ET,41.906,Tor,0,0,42.321,34.161,42.812,21.000,51.000,40.250,0.143,218.500,-8.000,8.486,40.250
C,Hassan Whiteside,8400,Det@Mia 06:00PM ET,42.316,Mia,1,0,46.857,30.109,28.625,5.000,50.400,26.000,0.278,198.000,6.500,-34.047,0.000
PG/SG,C.J. McCollum,8300,Por@Min 07:00PM ET,35.371,Por,0,0,40.714,28.619,43.875,13.500,49.800,61.750,0.120,208.500,6.000,1.233,61.750
SF,Kawhi Leonard,8200,SA@Atl 06:00PM ET,41.879,SA,0,0,40.857,32.696,43.375,24.000,49.200,25.000,0.207,199.500,-5.000,-14.752,25.000
PG,Damian Lillard,8000,Por@Min 07:00PM ET,44.398,Por,0,0,45.250,34.188,40.000,19.000,48.000,40.250,0.387,208.500,6.000,1.233,0.000
SF/PF,Paul George,7800,Orl@Ind 06:00PM ET,39.315,Ind,1,0,39.536,33.283,37.938,16.250,46.800,30.750,0.150,209.500,-6.000,-5.429,30.750
PF/C,LaMarcus Aldridge,7400,SA@Atl 06:00PM ET,31.867,SA,0,0,32.857,25.056,40.000,11.250,44.400,53.250,0.136,199.500,-5.000,-5.295,53.250
C,Dwight Howard,7200,SA@Atl 06:00PM ET,37.603,Atl,1,0,37.893,24.521,37.312,3.000,43.200,18.500,0.307,199.500,5.000,-30.948,18.500
PG,Jeff Teague,7100,Orl@Ind 06:00PM ET,35.765,Ind,1,0,38.357,26.176,32.375,13.500,42.600,31.750,0.263,209.500,-6.000,1.958,31.750
PF,Paul Millsap,7000,SA@Atl 06:00PM ET,37.833,Atl,1,0,44.107,26.712,37.812,2.000,42.000,56.750,0.385,199.500,5.000,-20.295,56.750
PG,Goran Dragic,6900,Det@Mia 06:00PM ET,35.167,Mia,1,0,40.643,27.625,29.688,24.000,41.400,18.750,0.293,198.000,6.500,-19.925,0.000
SF,Andrew Wiggins,6800,Por@Min 07:00PM ET,32.750,Min,1,0,33.964,23.734,37.562,19.500,40.800,31.750,0.243,208.500,-6.000,1.233,31.750
C,Andre Drummond,6800,Det@Mia 06:00PM ET,37.456,Det,0,0,38.607,29.395,41.312,17.000,40.800,55.500,0.405,198.000,-6.500,-6.383,55.500
PF/C,Julius Randle,6600,Tor@LAL 09:30PM ET,30.944,LAL,1,0,36.429,22.367,38.750,15.500,39.600,44.250,0.218,218.500,8.000,6.486,44.250
PF/C,Serge Ibaka,6400,Orl@Ind 06:00PM ET,30.757,Orl,0,0,36.464,23.150,37.875,22.000,38.400,32.000,0.239,209.500,6.000,1.958,32.000
PG,Dennis Schroder,6300,SA@Atl 06:00PM ET,31.902,Atl,1,0,34.500,24.368,30.375,3.000,37.800,34.250,0.275,199.500,5.000,-18.628,34.250
SG,Zach LaVine,6300,Por@Min 07:00PM ET,32.156,Min,1,0,35.536,24.691,28.312,10.000,37.800,20.250,0.275,208.500,-6.000,-8.754,20.250
C,Myles Turner,6300,Orl@Ind 06:00PM ET,31.742,Ind,1,0,35.929,24.594,33.562,18.500,37.800,48.000,0.285,209.500,-6.000,1.958,48.000
C,Pau Gasol,6200,SA@Atl 06:00PM ET,29.218,SA,0,0,31.679,22.015,30.312,4.000,37.200,35.250,0.220,199.500,-5.000,-17.795,35.250
C,Nikola Vucevic,6100,Orl@Ind 06:00PM ET,33.508,Orl,0,0,34.321,25.236,33.875,16.000,36.600,40.250,0.399,209.500,6.000,1.958,40.250
SF/PF,Tobias Harris,6000,Det@Mia 06:00PM ET,27.793,Det,0,0,23.464,20.181,34.375,8.750,36.000,33.750,0.194,198.000,-6.500,-6.383,33.750
SG/SF,Evan Fournier,6000,Orl@Ind 06:00PM ET,28.742,Orl,0,0,26.786,21.000,31.562,20.500,36.000,34.750,0.215,209.500,6.000,1.958,0.000
PG,Ricky Rubio,5800,Por@Min 07:00PM ET,26.446,Min,1,0,27.429,19.406,27.000,13.500,34.800,14.000,0.160,208.500,-6.000,-7.469,14.000
PG,Reggie Jackson,5800,Det@Mia 06:00PM ET,26.232,Det,0,0,26.250,21.125,31.875,6.000,34.800,37.000,0.158,198.000,-6.500,-18.050,37.000
PG,Elfrid Payton,5800,Orl@Ind 06:00PM ET,27.713,Orl,0,0,32.893,19.450,28.312,16.500,34.800,16.750,0.271,209.500,6.000,1.958,16.750
C,Mason Plumlee,5700,Por@Min 07:00PM ET,29.800,Por,0,0,33.893,22.988,32.625,15.000,34.200,33.500,0.333,208.500,6.000,1.233,33.500
SG/SF,Josh Richardson,5700,Det@Mia 06:00PM ET,22.302,Mia,1,0,22.643,15.875,37.500,4.750,34.200,31.250,0.136,198.000,6.500,-20.488,31.250
PF,Thaddeus Young,5600,Orl@Ind 06:00PM ET,25.647,Ind,1,0,29.857,19.429,25.938,11.500,33.600,18.750,0.193,209.500,-6.000,1.958,18.750
PF/C,Gorgui Dieng,5500,Por@Min 07:00PM ET,27.220,Min,1,0,25.821,20.188,30.125,28.500,33.000,29.750,0.253,208.500,-6.000,1.233,29.750
SF/PF,Justise Winslow,5500,Det@Mia 06:00PM ET,25.722,Mia,1,0,25.464,20.250,23.875,8.000,33.000,32.750,0.235,198.000,6.500,-8.383,0.000
