Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG,Russell Westbrook,12600,OKC@Cha 07:00PM ET,63.700,OKC,0,0,58.821,52.735,53.188,18.000,75.600,70.250,0.203,208.500,2.000,0.361,70.250
PF/C,DeMarcus Cousins,11500,Mia@Sac 10:30PM ET,52.894,Sac,1,0,57.464,40.067,46.250,12.000,69.000,30.000,0.113,204.000,-7.500,-16.437,30.000
SF,LeBron James,10500,Chi@Cle 08:00PM ET,52.292,Cle,1,0,51.679,43.641,52.938,8.500,63.000,51.500,0.177,204.000,-4.000,-2.885,51.500
PG,Giannis Antetokounmpo,10400,Mil@NY 07:30PM ET,51.379,Mil,0,0,53.679,42.922,56.625,13.500,62.400,57.750,0.161,213.000,-3.500,3.606,57.750
SF,Kevin Durant,9600,Por@GS 10:30PM ET,49.529,GS,1,0,48.357,40.691,49.750,19.500,57.600,52.750,0.225,222.500,-16.000,10.457,52.750
PG,Chris Paul,9200,Mem@LAC 10:30PM ET,43.927,LAC,1,0,47.679,36.653,43.500,8.000,55.200,42.500,0.148,197.000,1.500,-7.933,0.000
SG/SF,Jimmy Butler,9000,Chi@Cle 08:00PM ET,44.229,Chi,0,0,39.679,35.476,54.312,27.500,54.000,43.000,0.229,204.000,4.000,-2.885,43.000
PF/C,Kevin Love,8800,Chi@Cle 08:00PM ET,42.308,Cle,1,0,44.821,34.406,44.250,12.250,52.800,33.250,0.159,204.000,-4.000,-2.885,0.000
PG/SG,C.J. McCollum,8600,Por@GS 10:30PM ET,36.104,Por,0,0,41.321,28.619,47.000,14.500,51.600,57.250,0.108,222.500,16.000,8.457,57.250
PG,Stephen Curry,8300,Por@GS 10:30PM ET,42.093,GS,1,0,39.036,36.158,40.938,13.500,49.800,53.250,0.199,222.500,-16.000,10.457,53.250
PG,Kemba Walker,8200,OKC@Cha 07:00PM ET,39.897,Cha,1,0,40.571,33.475,47.438,22.500,49.200,41.500,0.168,208.500,-2.000,0.361,41.500
PG,Damian Lillard,8000,Por@GS 10:30PM ET,44.398,Por,0,0,45.250,34.188,40.000,16.500,48.000,40.250,0.387,222.500,16.000,8.457,0.000
SG/SF,Nicolas Batum,8000,OKC@Cha 07:00PM ET,36.632,Cha,1,0,43.786,28.176,40.250,9.000,48.000,37.250,0.133,208.500,-2.000,0.361,37.250
C,Hassan Whiteside,7900,Mia@Sac 10:30PM ET,42.316,Mia,0,0,33.429,30.109,28.625,8.000,47.400,26.000,0.355,204.000,7.500,-18.549,0.000
PG,Kyrie Irving,7800,Chi@Cle 08:00PM ET,40.069,Cle,1,0,48.464,32.383,52.312,10.000,46.800,62.750,0.266,204.000,-4.000,-2.885,0.000
C,Marc Gasol,7800,Mem@LAC 10:30PM ET,38.421,Mem,0,0,42.714,28.078,35.125,13.000,46.800,43.000,0.249,197.000,-1.500,-7.933,43.000
PF/C,Blake Griffin,7700,Mem@LAC 10:30PM ET,41.942,LAC,1,0,45.679,35.625,41.750,2.500,46.200,46.250,0.307,197.000,1.500,-21.933,0.000
PF,Paul Millsap,7600,Atl@Orl 07:00PM ET,38.444,Atl,0,0,38.179,27.375,43.250,11.500,45.600,36.000,0.273,207.000,-2.000,-0.721,36.000
PF/C,Draymond Green,7500,Por@GS 10:30PM ET,39.689,GS,1,0,41.179,34.211,42.312,28.500,45.000,42.250,0.269,222.500,-16.000,10.457,42.250
C,Dwight Howard,7300,Atl@Orl 07:00PM ET,36.925,Atl,0,0,37.750,25.327,35.062,18.500,43.800,35.000,0.286,207.000,-2.000,-0.721,35.000
SF/PF,Jabari Parker,7200,Mil@NY 07:30PM ET,34.000,Mil,0,0,35.143,25.819,33.562,17.750,43.200,26.500,0.179,213.000,-3.500,3.606,26.500
SF,Carmelo Anthony,7100,Mil@NY 07:30PM ET,36.508,NY,1,0,39.179,27.972,40.375,29.000,42.600,60.750,0.333,213.000,3.500,3.606,60.750
PF,Kristaps Porzingis,7000,Mil@NY 07:30PM ET,38.000,NY,1,0,35.893,29.632,41.875,18.500,42.000,50.000,0.362,213.000,3.500,3.606,0.000
C,DeAndre Jordan,7000,Mem@LAC 10:30PM ET,34.000,LAC,1,0,36.714,28.739,40.000,1.000,42.000,47.500,0.184,197.000,1.500,-27.933,47.500
PG,Goran Dragic,6900,Mia@Sac 10:30PM ET,35.384,Mia,0,0,33.107,27.985,32.688,21.000,41.400,33.750,0.295,204.000,7.500,-4.885,33.750
PG,Mike Conley,6700,Mem@LAC 10:30PM ET,34.570,Mem,0,0,35.893,26.893,34.000,2.000,40.200,44.250,0.310,197.000,-1.500,-22.933,44.250
SG,Klay Thompson,6600,Por@GS 10:30PM ET,32.321,GS,1,0,33.643,24.819,36.750,10.000,39.600,28.750,0.234,222.500,-16.000,10.457,28.750
PG,Dennis Schroder,6600,Atl@Orl 07:00PM ET,32.007,Atl,0,0,36.321,24.368,35.125,13.500,39.600,36.500,0.219,207.000,-2.000,-0.721,36.500
PF/C,Serge Ibaka,6500,Atl@Orl 07:00PM ET,30.771,Orl,1,0,32.286,23.214,31.750,11.250,39.000,25.250,0.212,207.000,2.000,-0.721,25.250
PG,Derrick Rose,6400,Mil@NY 07:30PM ET,30.583,NY,1,0,32.750,23.944,30.438,4.000,38.400,24.750,0.211,213.000,3.500,-8.894,24.750
C,Nikola Vucevic,6300,Atl@Orl 07:00PM ET,33.977,Orl,1,0,33.000,25.592,38.688,4.000,37.800,32.000,0.363,207.000,2.000,-13.221,32.000
SG/SF,Josh Richardson,6200,Mia@Sac 10:30PM ET,22.750,Mia,0,0,28.321,15.875,33.562,17.750,37.200,28.000,0.082,204.000,7.500,-4.885,28.000
SG,Dwyane Wade,6200,Chi@Cle 08:00PM ET,33.109,Chi,0,0,33.964,24.817,26.312,28.000,37.200,24.500,0.321,204.000,4.000,-2.885,24.500
SG/SF,Evan Fournier,6000,Atl@Orl 07:00PM ET,28.742,Orl,1,0,32.500,20.350,29.125,24.500,36.000,18.750,0.206,207.000,2.000,-9.863,18.750
SF,Rudy Gay,6000,Mia@Sac 10:30PM ET,34.740,Sac,1,0,29.000,26.542,28.125,10.500,36.000,31.750,0.451,204.000,-7.500,-2.885,0.000
PG,Elfrid Payton,5900,Atl@Orl 07:00PM ET,27.854,Orl,1,0,29.357,20.511,27.938,22.500,35.400,36.000,0.273,207.000,2.000,-0.721,36.000
C,Mason Plumlee,5700,Por@GS 10:30PM ET,29.889,Por,0,0,37.286,22.988,33.938,22.000,34.200,44.000,0.349,222.500,16.000,8.457,44.000
SF/PF,James Johnson,5700,Mia@Sac 10:30PM ET,24.185,Mia,0,0,29.643,15.667,33.125,18.000,34.200,36.000,0.172,204.000,7.500,-4.885,36.000
PG,Tyler Johnson,5600,Mia@Sac 10:30PM ET,27.947,Mia,0,0,32.786,21.708,35.250,21.000,33.600,39.500,0.267,204.000,7.500,-4.885,39.500
PF/C,Zach Randolph,5600,Mem@LAC 10:30PM ET,26.750,Mem,0,0,25.714,21.518,25.250,9.500,33.600,15.750,0.136,197.000,-1.500,-14.367,15.750
SG,Victor Oladipo,5500,OKC@Cha 07:00PM ET,28.471,OKC,0,0,32.500,19.750,22.562,20.000,33.000,31.250,0.346,208.500,2.000,0.361,31.250
PG,Rajon Rondo,5500,Chi@Cle 08:00PM ET,28.422,Chi,0,0,20.036,18.917,19.812,20.000,33.000,2.250,0.355,204.000,4.000,-15.170,0.000
C,Steven Adams,5300,OKC@Cha 07:00PM ET,26.729,OKC,0,0,31.071,21.079,33.562,25.000,31.800,42.000,0.280,208.500,2.000,0.361,42.000
PG/SG,Malcolm Brogdon,5300,Mil@NY 07:30PM ET,18.894,Mil,0,0,25.821,12.618,31.375,18.500,31.800,31.500,0.097,213.000,-3.500,3.606,31.500
C,Enes Kanter,5200,OKC@Cha 07:00PM ET,24.150,OKC,0,0,27.321,16.500,25.500,25.000,31.200,32.000,0.262,208.500,2.000,0.361,32.000
SF/PF,Justise Winslow,5200,Mia@Sac 10:30PM ET,25.833,Mia,0,0,24.143,20.250,23.875,18.000,31.200,32.750,0.293,204.000,7.500,-4.885,0.000
C,Joakim Noah,5000,Mil@NY 07:30PM ET,22.625,NY,1,0,23.821,14.676,30.000,14.000,30.000,33.000,0.262,213.000,3.500,3.606,33.000
SG,J.J. Redick,5000,Mem@LAC 10:30PM ET,21.007,LAC,1,0,24.071,14.103,18.438,6.500,30.000,26.250,0.154,197.000,1.500,-19.471,26.250
SG,Tony Allen,5000,Mem@LAC 10:30PM ET,22.142,Mem,0,0,20.071,15.891,21.062,6.500,30.000,25.000,0.176,197.000,-1.500,-19.471,25.000
PF,JaMychal Green,5000,Mem@LAC 10:30PM ET,23.459,Mem,0,0,23.250,15.618,25.812,6.000,30.000,12.500,0.227,197.000,-1.500,-28.262,0.000
SG/SF,Evan Turner,4900,Por@GS 10:30PM ET,20.992,Por,0,0,20.250,15.053,22.375,11.500,29.400,17.250,0.134,222.500,16.000,8.457,17.250
PG/SG,Austin Rivers,4900,Mem@LAC 10:30PM ET,17.438,LAC,1,0,26.607,10.697,25.375,7.250,29.400,46.500,0.130,197.000,1.500,-7.933,46.500
