Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG,Russell Westbrook,12700,OKC@Bos 07:30PM ET,64.526,OKC,0,0,65.286,54.533,76.062,25.500,76.200,82.250,0.210,211.500,5.500,-0.516,82.250
PG/SG,James Harden,11200,Hou@Mem 08:00PM ET,59.308,Hou,0,0,56.107,52.050,57.562,7.250,67.200,50.250,0.183,205.500,-3.500,-11.511,50.250
PF/C,Anthony Davis,10600,Mia@NO 08:00PM ET,55.190,NO,1,0,55.964,40.625,51.875,12.000,63.600,68.000,0.327,205.500,-4.500,-2.814,68.000
PF/C,DeMarcus Cousins,10400,Sac@Min 08:00PM ET,52.580,Sac,0,0,49.179,39.125,56.188,11.750,62.400,62.250,0.253,206.500,5.000,-2.098,62.250
SF,LeBron James,10100,Bkn@Cle 07:30PM ET,52.340,Cle,1,0,50.964,42.786,53.188,30.000,60.600,39.750,0.241,225.500,-16.500,-0.805,39.750
PG,Giannis Antetokounmpo,9900,Was@Mil 08:00PM ET,50.676,Mil,1,0,51.786,40.568,56.188,5.000,59.400,63.500,0.224,214.500,-3.000,-8.368,63.500
PG,Chris Paul,9400,Dal@LAC 10:30PM ET,44.017,LAC,1,0,47.679,36.309,40.938,1.000,56.400,39.500,0.129,194.500,-4.500,-30.692,0.000
PG,John Wall,9100,Was@Mil 08:00PM ET,48.808,Was,0,0,47.429,40.479,43.500,4.000,54.600,38.750,0.260,214.500,3.000,-18.301,38.750
PF/C,Karl-Anthony Towns,9000,Sac@Min 08:00PM ET,44.518,Min,1,0,53.286,37.597,54.375,16.000,54.000,45.250,0.218,206.500,-5.000,-2.098,45.250
C,Hassan Whiteside,8900,Mia@NO 08:00PM ET,44.142,Mia,0,0,38.071,31.365,49.688,21.000,53.400,40.500,0.238,205.500,4.500,-2.814,40.500
SF,Kevin Durant,8800,GS@Det 07:30PM ET,49.183,GS,0,0,43.179,40.733,48.062,4.500,52.800,46.000,0.356,214.500,-8.000,-8.590,46.000
SG/SF,Jimmy Butler,8400,Chi@Cha 07:00PM ET,42.893,Chi,0,0,45.214,34.067,35.688,21.500,50.400,39.000,0.249,205.000,4.500,-3.172,39.000
PF/C,Blake Griffin,8300,Dal@LAC 10:30PM ET,41.942,LAC,1,0,45.679,35.625,41.750,7.000,49.800,46.250,0.178,194.500,-4.500,-22.121,0.000
PF/C,Kevin Love,8200,Bkn@Cle 07:30PM ET,42.500,Cle,1,0,45.714,34.411,46.688,29.500,49.200,36.750,0.258,225.500,-16.500,11.511,36.750
PF/C,Paul Millsap,8100,Atl@Den 09:00PM ET,38.519,Atl,0,0,37.071,26.977,43.000,13.500,48.600,39.000,0.195,217.000,5.500,3.423,39.000
PG,Stephen Curry,8000,GS@Det 07:30PM ET,42.975,GS,0,0,41.643,37.847,39.688,24.000,48.000,44.750,0.274,214.500,-8.000,3.632,44.750
PG,Damian Lillard,8000,SA@Por 10:00PM ET,44.484,Por,1,0,42.929,34.188,40.000,3.000,48.000,40.250,0.387,211.500,2.000,-11.850,40.250
PG,Isaiah Thomas,7900,OKC@Bos 07:30PM ET,41.480,Bos,1,0,38.464,35.950,49.250,22.500,47.400,53.500,0.268,211.500,-5.500,1.484,53.500
PG,Kyrie Irving,7800,Bkn@Cle 07:30PM ET,38.110,Cle,1,0,39.464,31.042,51.000,30.000,46.800,47.750,0.183,225.500,-16.500,11.511,47.750
SF,Gordon Hayward,7800,Tor@Uta 09:00PM ET,38.022,Uta,1,0,37.571,29.227,35.812,8.500,46.800,34.750,0.193,198.500,1.000,-7.827,34.750
SF,Kawhi Leonard,7800,SA@Por 10:00PM ET,41.431,SA,0,0,42.393,33.288,38.312,19.500,46.800,43.250,0.277,211.500,-2.000,1.484,43.250
PG,Kemba Walker,7700,Chi@Cha 07:00PM ET,39.500,Cha,1,0,37.107,33.309,42.812,10.000,46.200,34.750,0.239,205.000,-4.500,-3.172,34.750
PF/C,Draymond Green,7600,GS@Det 07:30PM ET,39.848,GS,0,0,39.357,35.069,39.312,8.250,45.600,38.250,0.251,214.500,-8.000,3.632,38.250
PG,Eric Bledsoe,7600,Phi@Pho 09:00PM ET,37.397,Pho,1,0,38.929,29.074,34.750,9.000,45.600,49.500,0.260,212.500,-6.000,2.200,49.500
C,Marc Gasol,7500,Hou@Mem 08:00PM ET,39.172,Mem,1,0,38.607,29.875,39.500,23.000,45.000,32.750,0.293,205.500,3.500,-2.814,32.750
PG,Dennis Schroder,7400,Atl@Den 09:00PM ET,31.793,Atl,0,0,41.214,24.333,37.000,29.000,44.400,43.500,0.114,217.000,5.500,3.423,43.500
