Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,4dayAvg,penalty,Final,O/U,odds
Darrell Arthur,3000,PF,DEN,10.000,105,1,SA,0,10.000,11.300,0.000,21.000,213.500,7.000
Malik Beasley,3000,PG,DEN,4.475,105,1,SA,0,4.475,11.300,0.000,0.000,213.500,7.000
Mike Miller,3000,SG,DEN,5.250,105,1,SA,0,5.250,11.300,0.000,2.250,213.500,7.000
James Harden,12100,PG/SG,HOU,60.660,108,1,OKC,0,62.660,11.300,0.000,57.500,227.500,-8.000
Trevor Ariza,5800,SF,HOU,28.167,108,1,OKC,0,30.167,11.300,0.000,20.250,227.500,-8.000
Ryan Anderson,5600,PF,HOU,24.639,108,1,OKC,0,24.639,11.300,0.000,19.500,227.500,-8.000
Eric Gordon,5900,SG,HOU,28.757,108,1,OKC,0,28.757,11.300,0.000,34.750,227.500,-8.000
Sam Dekker,3400,SF/PF,HOU,15.444,108,1,OKC,0,15.444,11.300,0.000,15.500,227.500,-8.000
Montrezl Harrell,5500,PF/C,HOU,16.731,108,1,OKC,0,16.731,11.300,0.000,22.000,227.500,-8.000
Corey Brewer,3000,SG/SF,HOU,9.014,108,1,OKC,0,9.014,11.300,0.000,9.500,227.500,-8.000
K.J. McDaniels,3000,SF,HOU,6.213,108,1,OKC,0,6.213,11.300,0.000,0.000,227.500,-8.000
Chinanu Onuaku,3000,C,HOU,13.250,108,1,OKC,0,13.250,11.300,0.000,0.000,227.500,-8.000
Tyler Ennis,3000,PG,HOU,5.125,108,1,OKC,0,5.125,11.300,0.000,0.000,227.500,-8.000
Bobby Brown,3000,PG,HOU,0.656,108,1,OKC,0,0.656,11.300,0.000,0.000,227.500,-8.000
Kyle Wiltjer,3000,PF,HOU,2.306,108,1,OKC,0,2.306,11.300,0.000,0.000,227.500,-8.000
Kawhi Leonard,8500,SF,SA,41.477,105,0,DEN,0,43.477,11.300,0.000,44.000,213.500,-7.000
LaMarcus Aldridge,7100,PF/C,SA,32.914,105,0,DEN,0,33.914,11.300,0.000,38.500,213.500,-7.000
Pau Gasol,5900,C,SA,29.197,105,0,DEN,0,31.197,11.300,0.000,38.250,213.500,-7.000
Danny Green,3900,SG,SA,17.639,105,0,DEN,0,17.639,11.300,0.000,19.750,213.500,-7.000
Tony Parker,4900,PG,SA,20.788,105,0,DEN,0,21.788,11.300,0.000,38.250,213.500,-7.000
Patty Mills,3700,PG,SA,20.079,105,0,DEN,0,20.079,11.300,0.000,14.750,213.500,-7.000
Manu Ginobili,3800,SG,SA,18.284,105,0,DEN,0,18.284,11.300,0.000,24.750,213.500,-7.000
Jonathon Simmons,3800,SG/SF,SA,13.243,105,0,DEN,0,13.243,11.300,0.000,4.500,213.500,-7.000
David Lee,3600,PF,SA,16.329,105,0,DEN,0,16.329,11.300,0.000,9.250,213.500,-7.000
Dewayne Dedmon,3500,C,SA,14.474,105,0,DEN,0,14.474,11.300,0.000,7.250,213.500,-7.000
Kyle Anderson,3000,SG,SA,9.185,105,0,DEN,0,9.185,11.300,0.000,10.750,213.500,-7.000
Davis Bertans,3000,SF/PF,SA,6.232,105,0,DEN,0,6.232,11.300,0.000,1.250,213.500,-7.000
Dejounte Murray,3000,PG,SA,4.691,105,0,DEN,0,4.691,11.300,0.000,6.500,213.500,-7.000
Bryn Forbes,3000,PG,SA,1.462,105,0,DEN,0,1.462,11.300,0.000,0.000,213.500,-7.000
Kentavious Caldwell-Pope,5800,SG,DET,26.993,101,1,CHA,0,26.993,11.300,0.000,16.000,208.000,-5.000
Tobias Harris,6100,SF/PF,DET,28.074,101,1,CHA,0,28.074,11.300,0.000,32.500,208.000,-5.000
Marcus Morris,4200,SF,DET,23.069,101,1,CHA,0,23.069,11.300,0.000,43.250,208.000,-5.000
Andre Drummond,7800,C,DET,38.250,101,1,CHA,0,39.250,11.300,0.000,28.000,208.000,-5.000
Reggie Jackson,6700,PG,DET,28.531,101,1,CHA,0,28.531,11.300,0.000,41.250,208.000,-5.000
Jon Leuer,4800,PF,DET,23.444,101,1,CHA,0,24.444,11.300,0.000,17.500,208.000,-5.000
Ish Smith,3200,PG,DET,11.662,101,1,CHA,0,11.662,11.300,0.000,15.250,208.000,-5.000
Beno Udrih,3000,PG,DET,13.635,101,1,CHA,0,13.635,11.300,0.000,0.000,208.000,-5.000
Stanley Johnson,3000,SG/SF,DET,9.712,101,1,CHA,0,9.712,11.300,0.000,4.500,208.000,-5.000
Darrun Hilliard,3000,SG,DET,6.845,101,1,CHA,0,6.845,11.300,0.000,4.000,208.000,-5.000
Boban Marjanovic,3000,C,DET,6.179,101,1,CHA,0,6.179,11.300,0.000,40.750,208.000,-5.000
Henry Ellenson,3000,PF,DET,2.250,101,1,CHA,0,2.250,11.300,0.000,0.000,208.000,-5.000
Brook Lopez,6700,C,BKN,35.517,107,0,IND,0,37.517,11.300,0.000,25.500,219.000,10.500
Trevor Booker,5600,PF,BKN,28.798,107,0,IND,0,30.798,11.300,0.000,23.500,219.000,10.500
Sean Kilpatrick,5400,SG,BKN,25.970,107,0,IND,0,25.970,11.300,0.000,34.500,219.000,10.500
Bojan Bogdanovic,4000,SG/SF,BKN,21.371,107,0,IND,0,23.371,11.300,0.000,7.250,219.000,10.500
Joe Harris,3200,SG,BKN,16.484,107,0,IND,0,16.484,11.300,0.000,19.500,219.000,10.500
Isaiah Whitehead,3400,PG,BKN,15.837,107,0,IND,0,15.837,11.300,0.000,13.000,219.000,10.500
Justin Hamilton,3500,PF/C,BKN,15.473,107,0,IND,0,15.473,11.300,0.000,32.000,219.000,10.500
