Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
27,642439807,nerfedqq (2/6),0,317.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF DeMarcus Cousins C Pau Gasol F Spencer Hawes G Rodney Hood UTIL David Lee,,D'Angelo Russell,6.48%,35
27,642439808,nerfedqq (3/6),0,317.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF DeMarcus Cousins C Pau Gasol F Spencer Hawes G Rodney Hood UTIL David Lee,,Damian Lillard,6.09%,40.5
27,642439809,nerfedqq (4/6),0,317.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF DeMarcus Cousins C Pau Gasol F Spencer Hawes G Rodney Hood UTIL David Lee,,DeMarre Carroll,5.08%,23
27,642439810,nerfedqq (5/6),0,317.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF DeMarcus Cousins C Pau Gasol F Spencer Hawes G Rodney Hood UTIL David Lee,,Al Horford,5.06%,32.75
27,642439811,nerfedqq (6/6),0,317.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF DeMarcus Cousins C Pau Gasol F Spencer Hawes G Rodney Hood UTIL David Lee,,Reggie Jackson,4.70%,25.5
27,642585689,truredman (1/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Michael Kidd-Gilchrist,4.23%,15.5
27,642746989,truredman (2/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Trevor Ariza,4.18%,29
27,642787835,truredman (3/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Patrick Beverley,3.96%,25.5
27,642808452,truredman (4/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Andre Drummond,3.90%,44.5
27,642808453,truredman (5/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Draymond Green,3.78%,39.25
