Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,632689664,CrabCruncher,0,352.75,PG Kemba Walker SG Jimmy Butler SF Michael Kidd-Gilchrist PF Wilson Chandler C Montrezl Harrell F Trevor Booker G Eric Bledsoe UTIL Victor Oladipo,,Frank Kaminsky,60.64%,15.25
2,632719829,CutlerTIme (1/3),0,327.25,PG Malcolm Brogdon SG Jimmy Butler SF Gordon Hayward PF Draymond Green C Rudy Gobert F Doug McDermott G Gary Harris UTIL Steven Adams,,Michael Carter-Williams,59.02%,27.25
2,632729168,CutlerTIme (3/3),0,327.25,PG Malcolm Brogdon SG Jimmy Butler SF Gordon Hayward PF Draymond Green C Rudy Gobert F Doug McDermott G Gary Harris UTIL Steven Adams,,LeBron James,58.70%,47.75
4,632473165,NILKNARF (17/30),0,325.25,PG Michael Carter-Williams SG Eric Gordon SF LeBron James PF Frank Kaminsky C Draymond Green F Trevor Ariza G Jimmy Butler UTIL Nikola Mirotic,,Jimmy Butler,57.31%,85
5,632273968,xenawins (1/3),0,324.75,PG Jrue Holiday SG Klay Thompson SF Doug McDermott PF Wilson Chandler C Rudy Gobert F Jimmy Butler G Eric Bledsoe UTIL Tyreke Evans,,Jordan McRae,56.24%,11.25
5,632284064,xenawins (2/3),0,324.75,PG Jrue Holiday SG Klay Thompson SF Doug McDermott PF Wilson Chandler C Rudy Gobert F Jimmy Butler G Eric Bledsoe UTIL Tyreke Evans,,Kevin Love,36.28%,33.25
5,632293836,xenawins (3/3),0,324.75,PG Jrue Holiday SG Klay Thompson SF Doug McDermott PF Wilson Chandler C Rudy Gobert F Jimmy Butler G Eric Bledsoe UTIL Tyreke Evans,,Malcolm Brogdon,25.26%,21.5
8,632473166,NILKNARF (18/30),0,323.5,PG James Harden SG E'Twaun Moore SF Jimmy Butler PF Nikola Mirotic C Draymond Green F Frank Kaminsky G Eric Gordon UTIL Jamal Crawford,,Doug McDermott,23.43%,13.25
9,632182844,RexGrossman (24/30),0,321.5,PG Emmanuel Mudiay SG Jimmy Butler SF Trevor Ariza PF Draymond Green C Greg Monroe F Kevin Love G Michael Carter-Williams UTIL Nikola Vucevic,,James Harden,21.23%,59
10,632473161,NILKNARF (13/30),0,320.25,PG Iman Shumpert SG James Harden SF Trevor Ariza PF Frank Kaminsky C Draymond Green F Jimmy Butler G Michael Carter-Williams UTIL Jamal Crawford,,Jrue Holiday,20.04%,42
11,632534253,AngryReb (3/3),0,319.25,PG Giannis Antetokounmpo SG Joe Ingles SF Jimmy Butler PF Anthony Davis C John Henson F Frank Kaminsky G Michael Carter-Williams UTIL Steven Adams,,Carmelo Anthony,17.11%,39.75
12,632054361,Brittain24,0,318.25,PG Brandon Knight SG Klay Thompson SF Jimmy Butler PF Ryan Anderson C Rudy Gobert F Aaron Gordon G Kemba Walker UTIL Robin Lopez,,Trevor Ariza,15.89%,36
12,632239007,PapaMoss18,0,318.25,PG Shelvin Mack SG Jimmy Butler SF LeBron James PF Trevor Booker C Montrezl Harrell F Mirza Teletovic G Malcolm Brogdon UTIL Eric Bledsoe,,Nikola Mirotic,15.46%,23
14,632696174,dmg357,0,316.25,PG Shelvin Mack SG Jamal Crawford SF LeBron James PF Montrezl Harrell C Rudy Gobert F Jimmy Butler G Austin Rivers UTIL P.J. Tucker,,Brook Lopez,13.83%,29
15,632286273,dtdudley,0,315.25,PG Brandon Jennings SG Klay Thompson SF Jimmy Butler PF Ryan Anderson C Greg Monroe F Gordon Hayward G Victor Oladipo UTIL Nikola Vucevic,,Montrezl Harrell,13.28%,29.75
16,632667713,Jazz12man (2/3),0,315,PG Michael Carter-Williams SG Victor Oladipo SF Carmelo Anthony PF Anthony Davis C DeAndre Jordan F Frank Kaminsky G Jimmy Butler UTIL Alex Len,,Derrick Favors,13.11%,9.75
17,632288807,cdawgg4,0,314.5,PG Malcolm Brogdon SG Victor Oladipo SF Trevor Ariza PF Trevor Booker C Kevin Love F Jimmy Butler G Jrue Holiday UTIL Brandon Jennings,,Michael Kidd-Gilchrist,12.73%,15.75
