Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,615359332,Goose7272,0,332.5,PG Rajon Rondo SG Kent Bazemore SF Andrew Wiggins PF Karl-Anthony Towns C Nikola Jokic F Gorgui Dieng G Ricky Rubio UTIL Marcin Gortat,,Russell Westbrook,56.64%,73.25
2,614997775,and1jsheng (1/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Karl-Anthony Towns,51.39%,55.25
2,614997776,and1jsheng (2/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Ricky Rubio,38.72%,32.25
2,614997777,and1jsheng (3/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Kent Bazemore,38.54%,32.25
2,614997778,and1jsheng (4/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Markieff Morris,34.74%,18
2,614997781,and1jsheng (5/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Paul Millsap,33.29%,50.25
2,614997782,and1jsheng (6/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Salah Mejri,32.98%,4.5
2,614997786,and1jsheng (7/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Bradley Beal,29.55%,28.25
2,614997787,and1jsheng (8/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Rajon Rondo,25.20%,47.5
2,614997788,and1jsheng (9/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Thaddeus Young,23.46%,33.25
2,614997789,and1jsheng (10/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Dorian Finney-Smith,23.43%,11.5
2,614997793,and1jsheng (11/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Jeff Teague,23.03%,49.5
2,614997794,and1jsheng (12/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Seth Curry,21.69%,22.5
2,615007624,and1jsheng (13/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Robin Lopez,20.19%,21
2,615007625,and1jsheng (14/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Marcin Gortat,19.84%,38.75
2,615007631,and1jsheng (15/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Andrew Wiggins,19.55%,39
2,615007632,and1jsheng (16/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Eric Bledsoe,17.17%,40.75
2,615007635,and1jsheng (17/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Zach LaVine,14.04%,37.5
2,615007636,and1jsheng (18/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Gorgui Dieng,13.78%,27.75
2,615015434,and1jsheng (19/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Kentavious Caldwell-Pope,13.11%,9.25
2,615015435,and1jsheng (20/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Myles Turner,12.76%,41
2,615015438,and1jsheng (21/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,John Wall,12.59%,43.75
2,615015439,and1jsheng (22/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Paul George,12.09%,42.25
2,615015442,and1jsheng (23/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Glenn Robinson III,12.06%,9
2,615015443,and1jsheng (24/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Deron Williams,11.86%,38.25
2,615015448,and1jsheng (25/30),0,324.5,PG Jeff Teague SG Zach LaVine SF Dorian Finney-Smith PF Paul Millsap C Marcin Gortat F Andrew Wiggins G Deron Williams UTIL Nikola Jokic,,Gary Harris,11.77%,37
