DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,Position,Salary,DISPLAY_FIRST_LAST,SVM,AdaBoost,Neural Network,Random Forest
21.063,13.25,DAL,True,MIL,7.5,202.5,,PF/C,4100.0,Dirk Nowitzki,28.4257334939599,16.7,18.923732299287288,15.475428571428571
3.438,2.0,MIL,False,DAL,-7.5,202.5,,PG/SG,3000.0,Jason Terry,27.2894272204261,2.1,5.919284188869481,2.875507936507937
22.865,29.0,SAC,False,POR,12.0,195.5,,PF/C,4900.0,Zach Randolph,29.57435241110685,23.5,26.284060851616943,24.717958333333332
15.875,11.5,GS,False,PHI,-8.5,230.0,,PF/C,3500.0,David West,26.28948264491101,13.9,13.687445235982509,14.907333333333336
12.667,19.25,GS,False,PHI,-8.5,230.0,,C,3100.0,Zaza Pachulia,26.463904714425354,18.45,14.593768349210078,17.115297619047624
32.732,35.75,CHA,True,LAC,-4.5,213.5,,C,6800.0,Dwight Howard,30.12650701212837,33.5,35.2110982606652,33.41374404761904
12.904,6.25,GS,False,PHI,-8.5,230.0,,PG/SG,3500.0,Shaun Livingston,25.855193372598176,12.949999999999998,9.206118489505583,12.929690476190478
15.825,20.5,DAL,True,MIL,7.5,202.5,,PG/SG,3500.0,Devin Harris,28.416656348666173,18.2,18.013091554323132,15.574202380952382
16.462,21.75,GS,False,PHI,-8.5,230.0,,SG/SF,3600.0,Andre Iguodala,26.90773897810175,21.85,17.618028614918924,18.977678571428573
25.054,24.25,HOU,False,MEM,-8.0,214.0,,SG/SF,5100.0,Trevor Ariza,28.1351996669077,23.5,24.358981852738566,23.92119047619048
18.446,23.5,CHA,True,LAC,-4.5,213.5,,SF/PF,3800.0,Marvin Williams,28.465607658277623,18.5,20.541209069048733,17.77758928571429
36.5,46.75,HOU,False,MEM,-8.0,214.0,,PG/SG,7500.0,Chris Paul,30.92980258950042,40.55,38.64376879091305,39.779500000000006
16.5,22.75,ATL,True,BOS,6.5,202.5,,SF/PF,3900.0,Ersan Ilyasova,28.708530595267714,18.65,18.675753483649043,18.548202380952382
28.089,27.0,LAC,False,CHA,4.5,213.5,,PG/SG,6800.0,Lou Williams,29.538636635670976,31.0,28.35916495355093,30.94689880952381
