DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,Position,Salary,DISPLAY_FIRST_LAST,SVM,AdaBoost,Neural Network,Random Forest
13.712,28.0,PHI,True,GS,8.5,230.0,,PF/C,3200.0,Amir Johnson,27.32429240931865,17.3,20.723383023698034,19.735535714285714
23.109,26.5,DAL,True,MIL,7.5,202.5,,PG/SG,4300.0,J.J. Barea,29.083105989041446,21.3,25.226708313247684,22.549000000000007
46.679,47.5,GS,False,PHI,-8.5,230.0,,SF/PF,9600.0,Kevin Durant,32.34791709838983,46.75,52.02470242945751,48.17766666666667
35.75,37.0,BOS,False,ATL,-6.5,202.5,,PF/C,7400.0,Al Horford,30.484029625837593,34.85,35.930441344902356,35.259075396825395
14.625,37.25,MEM,True,HOU,8.0,214.0,,PF/C,3400.0,Brandan Wright,29.271303569953012,18.95,21.818629961757047,20.530250000000002
11.482,11.0,GS,False,PHI,-8.5,230.0,,SG,3300.0,Nick Young,25.965982577028967,13.0,10.268432182337154,10.888333333333334
21.65,2.75,ATL,True,BOS,6.5,202.5,,SG,3900.0,Marco Belinelli,28.330792075338895,13.3,15.46249773848388,14.259
4.075,3.25,ORL,True,UTA,-5.0,211.5,,SG/SF,3000.0,Arron Afflalo,26.97361735760451,3.05,6.1858710118092395,3.896527777777778
41.464,30.0,MEM,True,HOU,8.0,214.0,,C,8200.0,Marc Gasol,30.66815874669716,37.65,38.761351060412785,38.40141666666666
31.533,32.0,HOU,False,MEM,-8.0,214.0,,SG,6000.0,Eric Gordon,29.286521539494878,29.35,30.978613555634354,28.67638888888889
13.182,5.75,ORL,True,UTA,-5.0,211.5,,PF/C,3100.0,Marreese Speights,27.323349906239535,10.75,11.025115362096713,10.720555555555555
10.038,15.5,GS,False,PHI,-8.5,230.0,,C,3000.0,JaVale McGee,26.08910538393165,12.2,11.251321791742786,10.212916666666667
23.047,16.25,HOU,False,MEM,-8.0,214.0,,PF/C,4400.0,Ryan Anderson,27.49393260375715,22.5,20.21920907241429,20.618333333333332
17.317,10.75,SAC,False,POR,12.0,195.5,,C,3300.0,Kosta Koufos,28.758090762011665,14.05,16.440954426383684,11.959761904761903
25.25,26.75,CHA,True,LAC,-4.5,213.5,,SG/SF,6300.0,Nicolas Batum,29.07392544068574,25.6,26.54739150983952,25.912666666666667
18.25,15.5,SAC,False,POR,12.0,195.5,,PG/SG,3900.0,George Hill,28.919728373516996,22.95,18.69908435795239,20.706666666666667
18.714,26.5,MEM,True,HOU,8.0,214.0,,PG,4100.0,Mario Chalmers,29.034446411432235,21.45,20.93387349078919,21.164083333333338
32.429,41.25,LAC,False,CHA,4.5,213.5,,C,6600.0,DeAndre Jordan,30.53279480963845,35.6,34.542038403294384,36.160250000000005
5.795,11.25,HOU,False,MEM,-8.0,214.0,,PG,3100.0,Bobby Brown,26.209201403074815,6.15,8.413867585300197,7.79452380952381
43.018,43.0,LAC,False,CHA,4.5,213.5,,PF/C,8900.0,Blake Griffin,31.402759996586042,44.6,42.970958339363214,44.55415476190476
57.781,83.5,HOU,False,MEM,-8.0,214.0,,PG/SG,11100.0,James Harden,35.4134752837869,64.7,58.29557342814716,65.521375
32.786,29.75,MEM,True,HOU,8.0,214.0,,SG/SF,7000.0,Tyreke Evans,30.049271426012194,30.45,32.64929995884218,30.00773809523809
44.518,45.0,GS,False,PHI,-8.5,230.0,,PG/SG,9100.0,Stephen Curry,31.872128355502923,48.05,49.18434496455033,47.949392857142854
11.875,23.5,GS,False,PHI,-8.5,230.0,,SF/PF,3300.0,Omri Casspi,26.65613262601851,13.6,15.569117844942634,14.012083333333331
9.591,10.5,UTA,False,ORL,5.0,211.5,,SF/PF,3900.0,Jonas Jerebko,27.686808351046064,9.95,10.916697443587154,10.41602380952381
17.25,21.75,SAC,False,POR,12.0,195.5,,PG/SG,3500.0,Garrett Temple,29.063976391817434,18.6,20.176190339585112,21.372107142857143
22.047,9.75,DAL,True,MIL,7.5,202.5,,SG/SF,4400.0,Wesley Matthews,28.36119649256045,17.55,18.366093129671086,16.72041666666667
19.983,20.25,POR,True,SAC,-12.0,195.5,,SG/SF,4400.0,Evan Turner,28.36681580512135,16.8,20.084092733017997,21.77834523809524
22.922,20.5,UTA,False,ORL,5.0,211.5,,PF/C,6200.0,Derrick Favors,28.707178808838048,21.85,23.567423971960864,22.49993452380952
16.411,14.75,LAC,False,CHA,4.5,213.5,,SF/PF,3700.0,Wesley Johnson,28.386564947558863,14.5,16.433613564090777,14.687166666666666
9.969,18.0,UTA,False,ORL,5.0,211.5,,PF/C,3000.0,Ekpe Udoh,27.93149343989059,11.9,14.415927029050419,12.096666666666668
18.133,20.5,POR,True,SAC,-12.0,195.5,,PF/C,3400.0,Ed Davis,28.2670662725509,20.9,18.908247714811715,19.912982142857143
28.714,40.5,MIL,False,DAL,-7.5,202.5,,PG/SG,6400.0,Eric Bledsoe,30.051680387992494,34.35,32.64733024810343,32.72816666666667
36.633,20.0,BOS,False,ATL,-6.5,202.5,,PG,8500.0,Kyrie Irving,29.758709207967115,31.4,31.062213303190788,32.403555555555556
12.05,8.5,ORL,True,UTA,-5.0,211.5,,PF/C,3200.0,Bismack Biyombo,27.356766483344376,10.75,11.457706639833717,11.155
39.786,36.0,CHA,True,LAC,-4.5,213.5,,PG,7700.0,Kemba Walker,30.727317022212436,37.9,39.292979769408795,38.44885119047619
33.117,23.0,GS,False,PHI,-8.5,230.0,,SG,6900.0,Klay Thompson,28.67945189005627,35.35000000000001,29.91941924526663,35.757714285714286
12.7,17.25,UTA,False,ORL,5.0,211.5,,PG/SG,3500.0,Alec Burks,28.02373859019142,13.7,15.842703680430203,14.305291666666665
23.714,26.25,BOS,False,ATL,-6.5,202.5,,SF/PF,4800.0,Marcus Morris,29.20699253020467,25.6,24.521304480309027,24.11820833333333
35.15,42.0,ORL,True,UTA,-5.0,211.5,,C,6800.0,Nikola Vucevic,30.56686827356221,35.95,39.984190326252474,37.75159523809524
17.0,16.75,ORL,True,UTA,-5.0,211.5,,PG,3400.0,Shelvin Mack,27.888222359903008,15.65,18.090103595076464,15.623749999999998
16.333,16.0,MEM,True,HOU,8.0,214.0,,SF/PF,3600.0,Chandler Parsons,28.53176600649413,15.95,16.513837122551745,16.509857142857143
6.0,0.0,MIL,False,DAL,-7.5,202.5,,PG/SF,3000.0,DeAndre Liggins,27.311325307002264,4.45,6.088382165232247,5.344261904761905
16.156,18.25,CHA,True,LAC,-4.5,213.5,,SF,4000.0,Michael Kidd-Gilchrist,28.11455933809348,17.95,17.470990860186177,17.31138888888889
45.183,47.0,POR,True,SAC,-12.0,195.5,,PG,8800.0,Damian Lillard,31.753858744835558,45.75,45.33794545019697,45.94725
19.0,10.5,ORL,True,UTA,-5.0,211.5,,SG/SF,3700.0,Terrence Ross,27.755846414604257,15.75,17.30436609557477,16.15032142857143
31.766,24.5,DAL,True,MIL,7.5,202.5,,SF/PF,6200.0,Harrison Barnes,29.572344310062945,32.0,30.338036024174905,29.807357142857143
23.5,29.5,LAC,False,CHA,4.5,213.5,,PG/SG,5400.0,Austin Rivers,29.35509902438653,25.95,26.210001266199974,25.021630952380956
7.25,18.25,POR,True,SAC,-12.0,195.5,,PF/C,3000.0,Meyers Leonard,27.655521813585537,8.6,11.451394959632303,11.327291666666666
29.339,24.5,CHA,True,LAC,-4.5,213.5,,SG/SF,5100.0,Jeremy Lamb,29.267289397925012,26.95,29.07459293559075,28.198107142857147
20.929,26.75,MIL,False,DAL,-7.5,202.5,,C,4800.0,John Henson,28.810271522998903,20.3,21.74559899704316,18.715986111111107
16.433,14.25,POR,True,SAC,-12.0,195.5,,SF/PF,3500.0,Maurice Harkless,27.9258497805621,14.85,15.878497604361005,14.976499999999998
32.867,14.0,ORL,True,UTA,-5.0,211.5,,SG/SF,6100.0,Evan Fournier,28.811563791923174,25.5,29.226263347293113,24.582886904761907
0.0,2.25,ATL,True,BOS,6.5,202.5,,C,3000.0,Miles Plumlee,27.668180738088868,2.5,5.633869452063196,2.379160714285714
34.683,43.25,GS,False,PHI,-8.5,230.0,,PF/C,7600.0,Draymond Green,30.509274957172977,36.6,38.12648647388159,36.409253968253964
35.661,35.25,MIL,False,DAL,-7.5,202.5,,SG/SF,6700.0,Khris Middleton,30.293462955924042,33.2,35.41392270812821,36.11181746031746
28.833,42.25,ATL,True,BOS,6.5,202.5,,SG/SF,5200.0,Kent Bazemore,30.313531161740137,33.1,33.928764602095676,35.177819444444445
13.212,17.5,LAC,False,CHA,4.5,213.5,,C,3000.0,Willie Reed,28.331514529873925,13.65,15.407250814753452,15.801160714285714
7.75,7.5,MEM,True,HOU,8.0,214.0,,SF/PF,4500.0,JaMychal Green,27.97678832030391,6.95,8.576549906391868,7.375750000000001
16.391,5.75,BOS,False,ATL,-6.5,202.5,,C,3600.0,Aron Baynes,28.159254947556896,11.25,12.615980087660834,9.067440476190477
13.167,11.75,DAL,True,MIL,7.5,202.5,,C,3400.0,Nerlens Noel,27.994988965457544,14.050000000000002,13.454010637371056,13.09870238095238
7.75,23.25,MEM,True,HOU,8.0,214.0,,SG/SF,3500.0,Ben McLemore,28.41595341207386,12.1,14.484573876318127,13.024041666666667
19.2,19.0,CHA,True,LAC,-4.5,213.5,,C,3600.0,Cody Zeller,28.320789952176604,15.6,19.602464339771437,15.991845238095237
35.058,43.25,ATL,True,BOS,6.5,202.5,,PG,6600.0,Dennis Schroder,30.796407934991922,36.1,41.78188784211307,35.61222222222223
25.367,22.25,ATL,True,BOS,6.5,202.5,,C,5200.0,Dewayne Dedmon,29.16963080928637,25.0,24.627702417307574,23.77848412698413
4.042,5.25,DAL,True,MIL,7.5,202.5,,C,3000.0,Jeff Withey,27.541439626905262,3.9,6.318730002884793,2.6889583333333333
10.917,16.25,CHA,True,LAC,-4.5,213.5,,PG,3200.0,Michael Carter-Williams,27.77928783150468,11.0,12.828890839888684,14.063472222222222
0.0,,UTA,False,ORL,5.0,211.5,,PG,3000.0,Nate Wolters,27.745872040909497,10.6,9.359846346939051,12.319625000000002
31.536,36.0,PHI,True,GS,8.5,230.0,,SF/PF,6300.0,Robert Covington,29.659520311991727,32.5,35.6039620444091,36.02496428571428
6.846,0.0,BOS,False,ATL,-6.5,202.5,,PG,3200.0,Shane Larkin,27.751782210761423,5.2,5.950724841254172,5.703714285714286
18.054,19.5,MIL,False,DAL,-7.5,202.5,,SG/SF,3800.0,Tony Snell,28.330258015336717,18.75,17.707695751933556,20.124416666666665
56.179,47.5,MIL,False,DAL,-7.5,202.5,,SF/PF,11400.0,Giannis Antetokounmpo,32.55084891905181,48.29999999999999,53.091450982171445,51.919000000000004
17.786,25.25,MEM,True,HOU,8.0,214.0,,SG/SF,3600.0,James Ennis III,28.935467388572487,21.6,19.87739952882291,22.044696428571427
9.75,1.25,UTA,False,ORL,5.0,211.5,,PG,3000.0,Raul Neto,27.479908255374095,6.35,7.475518047329785,6.996024350649352
0.0,,UTA,False,ORL,5.0,211.5,,SF/PF,3000.0,Eric Griffin,27.745872040909497,10.6,9.359846346939051,12.319625000000002
23.567,17.75,ORL,True,UTA,-5.0,211.5,,SG/SF,4500.0,Jonathon Simmons,28.32703119969749,21.75,22.804354353869364,23.149472222222222
2.25,6.25,ATL,True,BOS,6.5,202.5,,PG,3000.0,Josh Magette,27.766019373258512,3.5,6.1046178084098806,2.556805555555555
0.0,,LAC,False,CHA,4.5,213.5,,SG,3000.0,C.J. Williams,28.039174052782855,10.2,8.549945459527802,11.718625
12.409,10.5,POR,True,SAC,-12.0,195.5,,PG/SG,3600.0,Shabazz Napier,27.607240015606568,13.3,11.706718020282658,10.516565476190475
25.125,36.75,ORL,True,UTA,-5.0,211.5,,PG,6200.0,Elfrid Payton,29.44008001102619,30.1,31.253981011265147,31.377666666666663
24.0,15.25,UTA,False,ORL,5.0,211.5,,SG/SF,5500.0,Rodney Hood,28.562964093679117,22.15,22.533467454205997,19.734142857142857
3.0,,ORL,True,UTA,-5.0,211.5,,PF,3000.0,Khem Birch,27.505063238482514,10.25,10.954885517233464,11.617375000000001
34.769,41.5,ORL,True,UTA,-5.0,211.5,,SF/PF,6800.0,Aaron Gordon,30.503587433746837,36.25,39.53984412699448,33.31616666666667
26.036,24.0,BOS,False,ATL,-6.5,202.5,,SG/SF,5600.0,Marcus Smart,29.250512133332517,26.85,25.173132279577118,23.676
12.95,8.0,DAL,True,MIL,7.5,202.5,,PF/C,3000.0,Dwight Powell,27.880375574868285,12.5,11.673696584772074,12.324333333333334
13.781,8.0,POR,True,SAC,-12.0,195.5,,PF/C,3500.0,Noah Vonleh,27.59224978775177,9.8,11.579910036152466,11.248327380952379
11.0,20.5,CHA,True,LAC,-4.5,213.5,,PF/C,3000.0,Johnny O'Bryant III,27.93694028990822,16.0,14.850608551306689,13.859583333333333
5.0,17.0,PHI,True,GS,8.5,230.0,,PF,3000.0,James Michael McAdoo,26.16238140426839,7.85,11.358283708482,8.782
47.0,58.0,PHI,True,GS,8.5,230.0,,C,10000.0,Joel Embiid,33.25782024130849,51.35,51.47696005516745,50.75366666666666
0.0,,LAC,False,CHA,4.5,213.5,,SF/PF,3000.0,Jamil Wilson,28.039174052782855,10.2,8.549945459527802,11.718625
20.321,25.0,PHI,True,GS,8.5,230.0,,PF/C,4500.0,Dario Saric,27.68594680307193,20.0,24.33533131955393,19.074285714285715
34.719,29.5,HOU,False,MEM,-8.0,214.0,,C,6700.0,Clint Capela,29.435217617155654,33.55,32.390919285064136,32.59908333333334
16.896,17.25,SAC,False,POR,12.0,195.5,,SG/SF,3600.0,Bogdan Bogdanovic,28.914192351684093,15.35,18.419310927552118,18.385011904761903
28.7,46.25,POR,True,SAC,-12.0,195.5,,C,6900.0,Jusuf Nurkic,30.35377594050516,29.9,34.76382807821026,30.89483333333333
0.0,,SAC,False,POR,12.0,195.5,,PF,3000.0,Jack Cooley,28.54575587489333,9.2,9.382181812293673,10.497244047619049
11.045,9.5,HOU,False,MEM,-8.0,214.0,,PF/C,3500.0,Tarik Black,26.380836956356713,13.35,11.038760655504781,12.685297619047619
25.188,18.0,UTA,False,ORL,5.0,211.5,,SG/SF,5300.0,Joe Ingles,28.747953193832323,24.5,24.2976293189315,23.010749999999994
20.589,18.75,PHI,True,GS,8.5,230.0,,PG,4200.0,T.J. McConnell,27.31417552153834,16.85,22.29636694598682,17.197333333333336
9.972,21.0,LAC,False,CHA,4.5,213.5,,PF/C,3200.0,Montrezl Harrell,28.314209198515055,13.75,14.66195208823826,12.757500000000002
9.575,10.25,MEM,True,HOU,8.0,214.0,,PG/SG,3200.0,Andrew Harrison,28.097451250631117,8.8,10.840394827348911,11.109940476190477
5.318,4.75,LAC,False,CHA,4.5,213.5,,SF/PF,3000.0,Sam Dekker,27.73115092010691,4.55,6.369336320052371,5.0460714285714285
11.55,27.75,PHI,True,GS,8.5,230.0,,PF/C,3600.0,Richaun Holmes,27.145804172097854,17.8,19.43021597780927,18.013035714285714
22.567,21.25,SAC,False,POR,12.0,195.5,,PF/C,4200.0,Willie Cauley-Stein,29.288004276930888,22.85,23.665018334375688,23.19270238095238
20.038,20.25,CHA,True,LAC,-4.5,213.5,,PF/C,4000.0,Frank Kaminsky,28.424289451501757,16.1,20.516609175914773,17.637142857142855
9.156,6.25,GS,False,PHI,-8.5,230.0,,SF/PF,3000.0,Kevon Looney,25.641340425710396,7.5,7.2727422204933605,7.914690476190475
7.45,0.0,MIL,False,DAL,-7.5,202.5,,PG/SF,3000.0,Rashad Vaughn,27.346740084306244,6.3,6.341123885431535,5.988590909090909
21.578,18.75,BOS,False,ATL,-6.5,202.5,,PG/SG,4500.0,Terry Rozier,28.794230701295703,22.3,21.645449017396416,19.740373015873015
14.096,4.0,MEM,True,HOU,8.0,214.0,,PF/C,3500.0,Jarell Martin,28.112204311951146,11.7,11.24423683474604,10.266053571428571
1.0,28.75,GS,False,PHI,-8.5,230.0,,PG,3000.0,Quinn Cook,26.321208533751395,13.4,10.728147624101549,15.305321428571432
11.0,10.75,POR,True,SAC,-12.0,195.5,,SG/SF,3000.0,Pat Connaughton,27.55584834199459,10.85,10.787091565409863,13.92291666666667
11.9,8.75,CHA,True,LAC,-4.5,213.5,,SG/SF,3000.0,Treveon Graham,27.587962793785934,11.1,9.901158868078788,11.15039880952381
7.288,15.75,ORL,True,UTA,-5.0,211.5,,PG/SF,3000.0,Mario Hezonja,27.410819966190843,7.5,11.199673838401765,7.754583333333334
4.222,3.25,UTA,False,ORL,5.0,211.5,,SF,3000.0,Royce O'Neale,27.36514271767089,2.75,6.246256042104791,3.19375
16.114,3.25,DAL,True,MIL,7.5,202.5,,C,3300.0,Salah Mejri,27.89053743710992,13.85,11.845290644293966,13.485806277056275
0.0,,PHI,True,GS,8.5,230.0,,PG,3000.0,Jacob Pullen,26.201936782396444,10.25,9.96790450618874,11.046291666666665
13.788,14.75,ATL,True,BOS,6.5,202.5,,PG/SG,3500.0,Malcolm Delaney,28.314249300973845,18.45,14.793517157701555,13.4145
0.0,4.75,HOU,False,MEM,-8.0,214.0,,PG,3000.0,Briante Weber,25.849007640524107,2.95,5.772179718636362,2.478125
45.875,56.25,PHI,True,GS,8.5,230.0,,PG/SF,9300.0,Ben Simmons,32.993687175219705,50.45,50.35593221826765,49.918666666666674
0.0,14.75,POR,True,SAC,-12.0,195.5,,PG/SG,3000.0,Wade Baldwin IV,27.33341499618151,9.0,6.533413551813977,6.988041666666666
5.0,2.0,MEM,True,HOU,8.0,214.0,,PF/C,3000.0,Deyonta Davis,27.80395449790921,3.9500000000000006,6.300395001525849,3.240029761904762
3.114,1.0,HOU,False,MEM,-8.0,214.0,,PG,3000.0,Demetrius Jackson,25.83478231261542,2.3,5.838038502600511,1.9793174603174601
6.125,12.0,LAC,False,CHA,4.5,213.5,,PF/C,3000.0,Brice Johnson,27.91312788855894,7.85,8.351782441902706,7.0145833333333325
0.0,2.5,GS,False,PHI,-8.5,230.0,,C,3000.0,Damian Jones,25.190947213494045,3.0,5.5403369354046275,3.9607916666666667
16.867,2.0,SAC,False,POR,12.0,195.5,,PF/C,3600.0,Skal Labissiere,28.55609679058731,12.4,12.469222462867952,10.681827380952381
12.589,13.5,MIL,False,DAL,-7.5,202.5,,PF/C,3300.0,Thon Maker,27.850335434261353,15.0,13.426522744645265,13.743392857142856
27.45,27.75,ATL,True,BOS,6.5,202.5,,SG/SF,5000.0,Taurean Prince,29.532021970583532,27.05,27.91014329979121,31.075041666666664
3.222,3.25,HOU,False,MEM,-8.0,214.0,,PF/C,3000.0,Zhou Qi,25.887293388922284,2.7999999999999994,6.019324274708415,2.7055833333333332
28.563,17.0,BOS,False,ATL,-6.5,202.5,,SG/SF,6500.0,Jaylen Brown,29.124577591523884,24.45,24.755880656798134,25.374690476190477
20.0,0.0,ATL,True,BOS,6.5,202.5,,SG/SF,3000.0,DeAndre' Bembry,28.19447530514401,10.6,13.195245236842652,9.076773809523809
0.0,2.0,MIL,False,DAL,-7.5,202.5,,PF,3000.0,Joel Bolomboy,27.234558197944118,1.5,5.635544386181917,1.8152519841269839
27.365,40.0,MIL,False,DAL,-7.5,202.5,,PG/SG,5300.0,Malcolm Brogdon,29.9243290082656,31.5,31.647467946926,31.882670274170277
4.125,16.0,POR,True,SAC,-12.0,195.5,,SF/PF,3000.0,Jake Layman,27.475413868009316,9.7,8.451585104534974,9.060541666666667
8.229,12.0,GS,False,PHI,-8.5,230.0,,SG/SF,3200.0,Patrick McCaw,25.82158596604444,8.35,8.566029345990103,10.83175
0.0,13.25,HOU,False,MEM,-8.0,214.0,,PF/C,3000.0,Chinanu Onuaku,26.094393379316653,5.85,6.6336663729677365,6.906859307359308
2.5,,CHA,True,LAC,-4.5,213.5,,PG,3000.0,Marcus Paige,27.66562503223477,10.25,9.13897256860989,11.182125000000001
0.0,11.25,MIL,False,DAL,-7.5,202.5,,SG,3000.0,Gary Payton II,27.41216652115858,5.5,6.290313066838697,6.21944246031746
8.781,14.75,SAC,False,POR,12.0,195.5,,SG/SF,3000.0,Malachi Richardson,28.569396869225685,10.25,12.255323852011037,12.178964285714283
3.875,26.75,HOU,False,MEM,-8.0,214.0,,SG,3000.0,Troy Williams,26.815057888239142,11.0,13.296082680337026,12.280666666666667
4.5,,PHI,True,GS,8.5,230.0,,SG/SF,3000.0,Furkan Korkmaz,26.394704121297888,10.8,13.441210043383705,11.571291666666665
10.327,7.5,PHI,True,GS,8.5,230.0,,SG/SF,3100.0,Timothe Luwawu-Cabarrot,26.028617032105902,10.8,10.99941326808986,12.123452380952381
18.797,13.0,DAL,True,MIL,7.5,202.5,,PG/SG,3800.0,Yogi Ferrell,28.29703891126559,17.1,17.398316077974144,16.403839285714287
4.458,4.0,BOS,False,ATL,-6.5,202.5,,PF/C,3000.0,Guerschon Yabusele,27.764200415522403,4.25,5.955647929171919,4.3412500000000005
5.313,23.25,SAC,False,POR,12.0,195.5,,C,3000.0,Georgios Papagiannis,28.693923520785702,10.6,13.438641579906086,11.982785714285715
4.156,4.25,BOS,False,ATL,-6.5,202.5,,PF,3000.0,Abdel Nader,27.762477540053847,4.1,5.937858457168688,3.7800476190476195
1.25,32.5,ATL,True,BOS,6.5,202.5,,SG/SF,3000.0,Nicolas Brussino,28.481242203977622,11.25,13.677738843615353,11.61775
22.733,18.5,SAC,False,POR,12.0,195.5,,PG,4700.0,De'Aaron Fox,29.207300195617833,20.2,22.836636967878583,22.165125
26.078,40.0,BOS,False,ATL,-6.5,202.5,,SF/PF,6100.0,Jayson Tatum,29.977997286125273,24.9,29.941890054940465,26.28780952380952
15.304,33.5,CHA,True,LAC,-4.5,213.5,,PG/SG,3600.0,Malik Monk,28.73915369311099,20.4,21.66791926667848,19.315083333333334
28.804,27.75,DAL,True,MIL,7.5,202.5,,PG/SG,6200.0,Dennis Smith Jr.,29.51961102146438,29.0,29.436781637943334,28.143327380952382
26.063,29.0,UTA,False,ORL,5.0,211.5,,PG/SG,6700.0,Donovan Mitchell,29.304146425727456,25.95,28.160922614822816,29.34059523809524
2.125,,POR,True,SAC,-12.0,195.5,,PF/C,3000.0,Zach Collins,27.62477985645778,11.45,9.623450373827108,13.113291666666665
22.917,33.75,ATL,True,BOS,6.5,202.5,,PF/C,4600.0,John Collins,29.522540231112067,26.05,26.421388281156467,27.977035714285712
11.054,6.75,SAC,False,POR,12.0,195.5,,SG/SF,3400.0,Justin Jackson,28.46174041459314,12.0,10.276215289276301,12.414595238095238
1.938,,MIL,False,DAL,-7.5,202.5,,PF/C,3000.0,D.J. Wilson,27.769481536029787,11.9,10.132846856492884,13.773124999999999
8.536,5.0,LAC,False,CHA,4.5,213.5,,PG,3000.0,Jawun Evans,27.822784837326566,6.8,7.382730040054229,7.597836580086581
9.477,18.25,GS,False,PHI,-8.5,230.0,,PF/C,3000.0,Jordan Bell,26.195224258668343,14.4,12.072312624512566,14.945416666666665
1.917,,UTA,False,ORL,5.0,211.5,,PF/C,3000.0,Tony Bradley,27.79550453760809,10.6,10.652628933024328,12.319625000000002
6.067,9.5,BOS,False,ATL,-6.5,202.5,,SF/PF,3200.0,Semi Ojeleye,27.90787271473594,6.7,7.0244320269847424,8.376249999999999
9.318,3.75,POR,True,SAC,-12.0,195.5,,PF,3700.0,Caleb Swanigan,27.307905551950117,6.7,7.244890204163505,7.804702380952381
0.0,,DAL,True,MIL,7.5,202.5,,PF/C,3000.0,Johnathan Motley,27.8889784028236,10.6,8.9426304776649,12.535160714285714
13.911,21.0,CHA,True,LAC,-4.5,213.5,,SG/SF,3400.0,Dwayne Bacon,28.101568037412726,15.8,17.002284977880997,17.72840277777778
4.05,3.0,ORL,True,UTA,-5.0,211.5,,SG/SF,3000.0,Wes Iwundu,26.96804734617868,3.05,6.158977706220348,3.949861111111111
9.607,0.0,LAC,False,CHA,4.5,213.5,,SG,3200.0,Sindarius Thornwell,27.761245432036155,6.3,6.673269397939011,5.887874999999999
19.643,12.25,MEM,True,HOU,8.0,214.0,,SG/SF,4200.0,Dillon Brooks,28.571430704359557,17.4,17.153087626107073,18.487416666666665
2.625,0.0,ATL,True,BOS,6.5,202.5,,PG/SG,3000.0,Tyler Dorsey,27.67466087022533,3.45,5.711830619032545,2.415
0.0,,MEM,True,HOU,8.0,214.0,,SG,3000.0,Kobi Simmons,28.154894437144197,10.2,9.542848173931976,11.943625
4.167,,MIL,False,DAL,-7.5,202.5,,SG,3000.0,Sterling Brown,27.833749406883264,12.05,11.585276990970243,14.548124999999999
0.0,,BOS,False,ATL,-6.5,202.5,,SG,3000.0,Kadeem Allen,28.097425926112834,10.6,7.753449168813515,12.425410714285714
2.125,,BOS,False,ATL,-6.5,202.5,,SG,3000.0,Jabari Bird,28.144973271753056,10.6,8.98427378789987,12.425410714285714
0.0,,GS,False,PHI,-8.5,230.0,,PF,3000.0,Chris Boucher,25.924450534036474,10.25,7.67643495267779,12.033244047619046
8.917,1.25,ATL,True,BOS,6.5,202.5,,PF,3400.0,Tyler Cavanaugh,27.827255787039,5.5,6.890786537578093,4.869285714285715
12.417,7.5,BOS,False,ATL,-6.5,202.5,,PF/C,3300.0,Daniel Theis,28.052225339100442,8.15,9.96127006913101,9.10009523809524
7.65,19.25,DAL,True,MIL,7.5,202.5,,PF,3000.0,Maxi Kleber,28.01879187434729,12.55,12.820812079089684,12.461916666666669
5.607,1.5,DAL,True,MIL,7.5,202.5,,PG,3000.0,Gian Clavell,27.50881293151938,4.05,6.166770996183164,4.388392857142857
