DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,Target,Position,Salary,DISPLAY_FIRST_LAST,SVM,AdaBoost,Neural Network,Random Forest
21.063,13.25,DAL,True,MIL,7.5,,PF/C,4100.0,Dirk Nowitzki,28.42817501265219,16.45,18.950523811318636,16.427761904761905
3.438,2.0,MIL,False,DAL,-7.5,,PG/SG,3000.0,Jason Terry,27.289575279007067,2.35,5.922235309062301,2.875507936507937
22.865,29.0,SAC,False,POR,12.0,,PF/C,4900.0,Zach Randolph,29.582808872469826,23.6,26.283839947518473,25.145625
15.875,11.5,GS,False,PHI,-8.5,,PF/C,3500.0,David West,26.199396255101007,13.7,13.428015098457449,14.840333333333334
12.667,19.25,GS,False,PHI,-8.5,,C,3100.0,Zaza Pachulia,26.37368451576676,15.6,14.327330752366473,14.256702380952381
32.732,35.75,CHA,True,LAC,-4.5,,C,6800.0,Dwight Howard,30.10985298398144,33.7,34.52056998023239,34.681559523809526
12.904,6.25,GS,False,PHI,-8.5,,PG/SG,3500.0,Shaun Livingston,25.76624249499163,8.5,9.091217613177466,10.518946428571429
15.825,20.5,DAL,True,MIL,7.5,,PG/SG,3500.0,Devin Harris,28.419091955131318,17.6,18.035364019268627,15.402790043290043
16.462,21.75,GS,False,PHI,-8.5,,SG/SF,3600.0,Andre Iguodala,26.817156094390665,21.45,17.193799749680082,20.153000000000002
25.054,24.25,HOU,False,MEM,-8.0,,SG/SF,5100.0,Trevor Ariza,28.10330811057668,23.85,24.1814338436117,24.221607142857142
18.446,23.5,CHA,True,LAC,-4.5,,SF/PF,3800.0,Marvin Williams,28.45275633302568,19.35,20.446946656530365,18.473339285714285
36.5,46.75,HOU,False,MEM,-8.0,,PG/SG,7500.0,Chris Paul,30.897232050770928,38.65,37.85319072721983,37.07357142857143
16.5,22.75,ATL,True,BOS,6.5,,SF/PF,3900.0,Ersan Ilyasova,28.710462994262297,17.1,18.704489413920967,18.281035714285714
28.089,27.0,LAC,False,CHA,4.5,,PG/SG,6800.0,Lou Williams,29.526076927544484,29.4,28.39155049962448,28.873124999999998
13.712,28.0,PHI,True,GS,8.5,,PF/C,3200.0,Amir Johnson,27.23470313921858,17.95,18.244979864029233,20.600416666666668
23.109,26.5,DAL,True,MIL,7.5,,PG/SG,4300.0,J.J. Barea,29.08646582476339,22.15,25.269019004727788,22.549000000000007
46.679,47.5,GS,False,PHI,-8.5,,SF/PF,9600.0,Kevin Durant,32.27298652915415,49.9,48.45683089760121,49.84567261904762
35.75,37.0,BOS,False,ATL,-6.5,,PF/C,7400.0,Al Horford,30.488046441036246,36.25,36.05011931071737,34.2015753968254
14.625,37.25,MEM,True,HOU,8.0,,PF/C,3400.0,Brandan Wright,29.2604156910468,19.7,21.782040047723477,19.518470238095237
11.482,11.0,GS,False,PHI,-8.5,,SG,3300.0,Nick Young,25.87651510203796,13.35,10.132596040123087,8.587488095238095
21.65,2.75,ATL,True,BOS,6.5,,SG,3900.0,Marco Belinelli,28.332100545097987,13.25,15.48163301957096,14.299000000000001
4.075,3.25,ORL,True,UTA,-5.0,,SG/SF,3000.0,Arron Afflalo,26.966344030761043,3.05,6.114924491808265,3.6415277777777773
41.464,30.0,MEM,True,HOU,8.0,,C,8200.0,Marc Gasol,30.653687262953433,36.8,38.58280684903928,37.889625
31.533,32.0,HOU,False,MEM,-8.0,,SG,6000.0,Eric Gordon,29.254112591643995,31.55,30.649317295691183,30.513126984126984
13.182,5.75,ORL,True,UTA,-5.0,,PF/C,3100.0,Marreese Speights,27.31441124627938,11.15,10.70366651683149,7.874097222222221
10.038,15.5,GS,False,PHI,-8.5,,C,3000.0,JaVale McGee,25.9995150823799,10.5,11.097771842503157,9.843785714285712
23.047,16.25,HOU,False,MEM,-8.0,,PF/C,4400.0,Ryan Anderson,27.462976663266016,21.9,20.086031059344332,20.6555
17.317,10.75,SAC,False,POR,12.0,,C,3300.0,Kosta Koufos,28.761691995509025,14.05,16.46806652125577,13.082845238095237
25.25,26.75,CHA,True,LAC,-4.5,,SG/SF,6300.0,Nicolas Batum,29.0595106321533,25.55,26.24111293029774,28.632630952380953
18.25,15.5,SAC,False,POR,12.0,,PG/SG,3900.0,George Hill,28.924417666995907,19.75,18.735692296858915,18.530738095238092
18.714,26.5,MEM,True,HOU,8.0,,PG,4100.0,Mario Chalmers,29.02393701486816,21.6,20.898153002494915,22.202708333333334
32.429,41.25,LAC,False,CHA,4.5,,C,6600.0,DeAndre Jordan,30.518397396978013,36.35,34.572772225175186,34.46681944444445
5.795,11.25,HOU,False,MEM,-8.0,,PG,3100.0,Bobby Brown,26.180553510943767,6.15,8.405226440124064,7.79452380952381
43.018,43.0,LAC,False,CHA,4.5,,PF/C,8900.0,Blake Griffin,31.387204906707467,44.6,42.85369667380523,43.608446428571426
57.781,83.5,HOU,False,MEM,-8.0,,PG/SG,11100.0,James Harden,35.38680730003581,64.5,57.87017984159678,64.45604166666666
32.786,29.75,MEM,True,HOU,8.0,,SG/SF,7000.0,Tyreke Evans,30.03601572898884,31.5,32.59341512976501,30.696904761904754
44.518,45.0,GS,False,PHI,-8.5,,PG/SG,9100.0,Stephen Curry,31.794926512774975,49.9,45.45997679112096,51.15755357142857
11.875,23.5,GS,False,PHI,-8.5,,SF/PF,3300.0,Omri Casspi,26.566140240505042,14.05,15.272228544533672,12.02525
9.591,10.5,UTA,False,ORL,5.0,,SF/PF,3900.0,Jonas Jerebko,27.678868650921643,8.95,10.85478768801105,9.567988095238096
17.25,21.75,SAC,False,POR,12.0,,PG/SG,3500.0,Garrett Temple,29.069674483332033,20.5,20.214846529867124,20.94097619047619
22.047,9.75,DAL,True,MIL,7.5,,SG/SF,4400.0,Wesley Matthews,28.363514405329106,18.8,18.3917049768037,17.119583333333335
19.983,20.25,POR,True,SAC,-12.0,,SG/SF,4400.0,Evan Turner,28.370673262932257,21.4,20.063146129733532,24.21833333333333
22.922,20.5,UTA,False,ORL,5.0,,PF/C,6200.0,Derrick Favors,28.696296750191824,19.4,23.259901007607056,20.862897727272728
16.411,14.75,LAC,False,CHA,4.5,,SF/PF,3700.0,Wesley Johnson,28.376734905180857,15.5,16.413354181924273,14.647347222222226
9.969,18.0,UTA,False,ORL,5.0,,PF/C,3000.0,Ekpe Udoh,27.92277938747438,12.1,14.3175623918584,11.148065476190478
18.133,20.5,POR,True,SAC,-12.0,,PF/C,3400.0,Ed Davis,28.270239481387765,21.65,18.888595159531747,20.242541666666664
28.714,40.5,MIL,False,DAL,-7.5,,PG/SG,6400.0,Eric Bledsoe,30.05537700545338,34.55,32.877829495132076,32.54208333333334
36.633,20.0,BOS,False,ATL,-6.5,,PG,8500.0,Kyrie Irving,29.76182755300605,31.05,31.14736628223124,31.82718650793651
12.05,8.5,ORL,True,UTA,-5.0,,PF/C,3200.0,Bismack Biyombo,27.34769212313429,10.25,11.128328982991821,10.86936111111111
39.786,36.0,CHA,True,LAC,-4.5,,PG,7700.0,Kemba Walker,30.709679960797132,38.1,38.29284379931821,38.514898809523814
33.117,23.0,GS,False,PHI,-8.5,,SG,6900.0,Klay Thompson,28.591885095795412,28.15,28.533092702349137,29.262755952380946
12.7,17.25,UTA,False,ORL,5.0,,PG/SG,3500.0,Alec Burks,28.014686515151283,15.95,15.718918870401874,15.651535714285714
23.714,26.25,BOS,False,ATL,-6.5,,SF/PF,4800.0,Marcus Morris,29.209581101454308,25.45,24.549208297405166,23.765767857142855
35.15,42.0,ORL,True,UTA,-5.0,,C,6800.0,Nikola Vucevic,30.550327185229047,36.6,39.25239763365526,38.442636904761905
17.0,16.75,ORL,True,UTA,-5.0,,PG,3400.0,Shelvin Mack,27.87739125817857,14.9,17.49904389422447,17.045250000000003
16.333,16.0,MEM,True,HOU,8.0,,SF/PF,3600.0,Chandler Parsons,28.52288876808473,16.15,16.497456576333704,16.759023809523807
6.0,0.0,MIL,False,DAL,-7.5,,PG/SF,3000.0,DeAndre Liggins,27.31152431642613,5.15,6.092033391967065,6.021970238095238
16.156,18.25,CHA,True,LAC,-4.5,,SF,4000.0,Michael Kidd-Gilchrist,28.102724901718243,18.25,17.42844171348051,16.668710317460317
45.183,47.0,POR,True,SAC,-12.0,,PG,8800.0,Damian Lillard,31.777340690856775,48.25,45.22732132124611,48.094630952380946
19.0,10.5,ORL,True,UTA,-5.0,,SG/SF,3700.0,Terrence Ross,27.745436222206948,15.85,16.729950133046636,16.62839285714286
31.766,24.5,DAL,True,MIL,7.5,,SF/PF,6200.0,Harrison Barnes,29.5762828012965,29.8,30.412935033746393,30.164440476190475
