DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,PERSON_ID,Position,Salary,DISPLAY_FIRST_LAST,SVM,AdaBoost,Neural Network,Random Forest
0.0,13.75,CHI,False,PHO,2.5,217.0,,202703.0,PF/C,5000.0,Nikola Mirotic,21.977917996612018,6.5,6.422427993951856,5.880699404761906
29.967,41.5,DET,False,MIN,6.0,209.0,,202704.0,PG,6200.0,Reggie Jackson,26.55351329530839,33.125,32.48634584170698,34.237812500000004
32.904,34.75,MIN,True,DET,-6.0,209.0,,202710.0,SG,7500.0,Jimmy Butler,26.201836950147847,30.875,32.541957208307146,30.652433035714285
0.0,,DET,False,MIN,6.0,209.0,,202779.0,PG,3000.0,Dwight Buycks,23.610233523060383,10.5625,8.48179082375089,12.224196428571428
43.383,39.25,DET,False,MIN,6.0,209.0,,203083.0,C,8900.0,Andre Drummond,27.59597985137309,42.375,42.86565343155004,42.31260168650793
15.321,9.5,BKN,True,GS,11.5,231.0,,203092.0,C,3400.0,Tyler Zeller,22.637252131750866,13.9375,15.49982799517584,13.593529265873016
34.688,26.75,GS,False,BKN,-11.5,231.0,,203110.0,PF/C,7800.0,Draymond Green,25.52288843373448,31.125,37.21574271028651,30.388829365079363
13.125,7.25,BKN,True,GS,11.5,231.0,,203112.0,PF/C,3300.0,Quincy Acy,22.378398869972646,12.5,12.853474509589498,10.633005952380952
28.4,22.5,DEN,False,LAL,-5.0,222.5,,203115.0,SG/SF,5800.0,Will Barton,25.11878907315326,27.4375,25.929988521260228,29.10916666666667
28.354,14.25,CHI,False,PHO,2.5,217.0,,203200.0,SG/SF,6400.0,Justin Holiday,24.109863969345557,23.375,24.189052057379968,25.826944444444443
24.0,26.25,PHO,True,CHI,-2.5,217.0,,203458.0,PF/C,5400.0,Alex Len,24.02569064323051,22.9375,24.501798621475317,26.349583333333335
21.133,4.75,BKN,True,GS,11.5,231.0,,203459.0,SG/SF,4500.0,Allen Crabbe,22.871002336297398,16.5625,17.574366322516745,16.471904761904764
15.125,17.75,MIN,True,DET,-6.0,209.0,,203476.0,PF/C,3800.0,Gorgui Dieng,23.63381235150197,13.875,16.969727975602737,16.186107954545456
25.464,24.0,LAL,True,DEN,5.0,222.5,,203484.0,SG,5600.0,Kentavious Caldwell-Pope,25.264097918354857,25.1875,23.97818982419934,25.26184523809524
7.875,8.0,DET,False,MIN,6.0,209.0,,203493.0,SG/SF,3000.0,Reggie Bullock,23.392052356392888,9.1875,8.018018900095921,9.475252976190477
7.7,7.0,MIN,True,DET,-6.0,209.0,,203498.0,SG/SF,3500.0,Shabazz Muhammad,22.775645311998627,6.25,7.86797268571726,7.941428571428572
0.938,,LAL,True,DEN,5.0,222.5,,203505.0,PG/SG,3000.0,Vander Blue,23.90192025859862,11.625,9.600730551270466,12.549196428571427
8.691,0.0,PHO,True,CHI,-2.5,217.0,,203584.0,SG,3000.0,Troy Daniels,21.091935945909874,7.6875,4.456875916008169,5.915133928571428
5.25,6.5,LAL,True,DEN,5.0,222.5,,203898.0,PG/SG,3000.0,Tyler Ennis,23.545336116195664,5.875,7.225376153869253,7.446860795454546
23.844,26.0,LAL,True,DEN,5.0,222.5,,203903.0,PG/SG,5500.0,Jordan Clarkson,25.248179630982907,25.6875,23.50439073040871,26.97119047619048
25.327,13.5,DEN,False,LAL,-5.0,222.5,,203914.0,SG,5400.0,Gary Harris,24.38168600589681,20.0625,22.413612161921556,21.537881944444447
23.983,10.25,BKN,True,GS,11.5,231.0,,203915.0,PG/SG,6000.0,Spencer Dinwiddie,23.40774271216522,18.25,21.084423879346108,15.911011904761903
16.75,-0.5,BKN,True,GS,11.5,231.0,,203925.0,SG/SF,3600.0,Joe Harris,22.317463381651727,9.5625,12.058334175457542,9.134464285714287
7.313,5.5,BKN,True,GS,11.5,231.0,,203930.0,PG/SG,3400.0,Sean Kilpatrick,21.969641422198453,7.625,8.296190863089853,6.304427083333334
23.609,29.75,LAL,True,DEN,5.0,222.5,,203944.0,PF/C,5100.0,Julius Randle,25.420994685276227,26.875,24.435864750920658,24.73229166666667
30.133,41.25,MIN,True,DET,-6.0,209.0,,203952.0,SF/PF,6500.0,Andrew Wiggins,26.37434771413667,33.1875,32.95610930521868,32.779062499999995
7.333,2.5,DET,False,MIN,6.0,209.0,,203961.0,PF/C,3000.0,Eric Moreland,23.22165520976244,4.3125,6.4586821901304985,5.10125
42.617,14.0,DEN,False,LAL,-5.0,222.5,,203999.0,C,9200.0,Nikola Jokic,25.91260468576972,31.25,31.987945244485335,33.56785714285714
11.339,22.0,DET,False,MIN,6.0,209.0,,204038.0,PG/SG,3000.0,Langston Galloway,24.091034842306065,16.0,15.329799314923767,13.69703125
22.117,20.25,DEN,False,LAL,-5.0,222.5,,1626144.0,PG,4400.0,Emmanuel Mudiay,24.474896839473026,22.5625,22.451823241481662,24.048839285714287
8.967,3.5,MIN,True,DET,-6.0,209.0,,1626145.0,PG/SG,3000.0,Tyus Jones,22.724257123625847,5.25,7.441322168205269,4.670572916666667
0.0,0.0,MIN,True,DET,-6.0,209.0,,1626148.0,SG/SF,3000.0,Anthony Brown,22.349504802597114,1.75,4.901176464222574,1.622767857142857
36.458,27.5,BKN,True,GS,11.5,231.0,,1626156.0,PG,7300.0,D'Angelo Russell,25.936490534784888,34.125,32.53181834997028,37.16786458333333
42.95,47.75,MIN,True,DET,-6.0,209.0,,1626157.0,C,9600.0,Karl-Anthony Towns,28.10401473592139,46.5,43.373547410151474,45.95526041666667
37.221,1.5,PHO,True,CHI,-2.5,217.0,,1626164.0,SG/SF,8100.0,Devin Booker,23.857644804828073,28.0,23.740725995063432,29.07364583333333
0.0,0.0,CHI,False,PHO,2.5,217.0,,1626166.0,PG/SG,3000.0,Cameron Payne,21.525994600059274,1.875,4.806745529851442,1.337668650793651
4.725,9.75,DEN,False,LAL,-5.0,222.5,,1626168.0,SF/PF,3000.0,Trey Lyles,23.008716980378257,4.8125,10.37635826625784,4.85592261904762
16.5,14.75,DET,False,MIN,6.0,209.0,,1626169.0,SG/SF,4200.0,Stanley Johnson,24.07453002547499,15.125,15.886849264141345,17.03392857142857
23.385,10.25,CHI,False,PHO,2.5,217.0,,1626170.0,PG/SG,4900.0,Jerian Grant,23.371502259448558,17.875,20.46373238339097,16.755401785714287
29.1,40.25,CHI,False,PHO,2.5,217.0,,1626171.0,PF,5900.0,Bobby Portis,26.16110804344114,35.25,30.923007907576086,34.321036706349204
9.833,1.5,GS,False,BKN,-11.5,231.0,,1626172.0,SF/PF,3000.0,Kevon Looney,21.17141578334608,8.0625,4.650304258266562,7.945977182539684
26.607,11.25,BKN,True,GS,11.5,231.0,,1626178.0,SF/PF,6100.0,Rondae Hollis-Jefferson,23.718383932304903,23.5,22.60764691780203,19.393382936507937
1.0,,GS,False,BKN,-11.5,231.0,,1626188.0,PG,3000.0,Quinn Cook,21.715331536484413,11.625,5.201515218441277,11.96622023809524
