Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF
PG/SG,Marcus Smart,5600,Tor@Bos 07:30PM ET,25.156,Bos,1,0,26.321,20.185,27.062,31.750,5.500,33.600,0.138,-6.000,215.000,1.675,26.930,25.200
PG,Jameer Nelson,5600,Mem@Den 09:00PM ET,20.064,Den,1,0,23.714,12.000,27.875,31.750,8.000,33.600,0.089,3.500,214.500,1.323,25.590,24.594
SG,Kentavious Caldwell-Pope,5600,NO@Det 07:30PM ET,26.512,Det,1,0,26.964,16.038,18.875,30.750,17.500,33.600,0.270,-7.500,211.500,-0.794,23.274,29.006
SG/SF,Norman Powell,5500,Tor@Bos 07:30PM ET,12.667,Tor,0,0,10.643,5.380,24.688,8.000,12.250,33.000,0.029,6.000,215.000,-0.325,19.007,22.719
SG,Victor Oladipo,5500,Chi@OKC 09:30PM ET,28.756,OKC,1,0,23.071,20.500,30.875,31.750,14.000,33.000,0.327,-3.500,206.500,-4.321,29.858,30.137
PF/C,Gorgui Dieng,5500,Min@Cle 07:00PM ET,27.109,Min,0,0,33.036,19.591,31.875,27.000,10.000,33.000,0.248,6.500,215.500,0.028,29.207,26.503
C,Greg Monroe,5500,Mil@Uta 09:00PM ET,25.913,Mil,0,0,20.214,16.315,34.375,44.750,2.000,33.000,0.267,7.500,198.000,-27.317,29.044,23.125
C,Jonas Valanciunas,5400,Tor@Bos 07:30PM ET,28.133,Tor,0,0,23.036,21.052,27.688,27.250,23.000,32.400,0.317,6.000,215.000,-0.325,28.028,25.572
C,Steven Adams,5400,Chi@OKC 09:30PM ET,27.335,OKC,1,0,28.821,20.729,29.250,21.000,8.500,32.400,0.261,-3.500,206.500,-4.321,28.254,25.894
SF/PF,Tobias Harris,5400,NO@Det 07:30PM ET,28.104,Det,1,0,32.679,20.511,24.812,22.000,23.250,32.400,0.310,-7.500,211.500,-0.794,27.228,32.075
PG,T.J. McConnell,5400,Phi@Dal 08:30PM ET,20.674,Phi,0,0,32.429,13.760,33.875,30.500,1.000,32.400,0.113,6.500,206.000,-26.674,27.480,22.203
SG,Seth Curry,5400,Phi@Dal 08:30PM ET,21.261,Dal,1,0,20.464,15.625,32.938,29.250,17.500,32.400,0.116,-6.500,206.000,-4.674,28.955,24.025
SF,Marcus Morris,5300,NO@Det 07:30PM ET,24.537,Det,1,0,31.643,17.692,26.562,19.250,20.000,31.800,0.218,-7.500,211.500,-0.794,26.754,29.597
PF,Thaddeus Young,5300,Ind@Orl 07:00PM ET,25.878,Ind,0,0,27.179,20.078,22.375,23.250,11.000,31.800,0.257,-2.000,212.500,-0.088,23.696,22.838
SG/SF,Kent Bazemore,5300,Atl@Mia 07:30PM ET,22.554,Atl,0,0,22.857,14.315,34.000,36.750,5.500,31.800,0.181,1.000,205.000,-5.379,28.024,19.387
SF,Michael Kidd-Gilchrist,5200,Cha@GS 10:30PM ET,23.922,Cha,0,0,24.000,17.800,25.375,26.500,10.000,31.200,0.202,15.000,224.000,6.025,25.204,20.781
PG,Brandon Jennings,5200,NY@Bkn 07:30PM ET,20.700,NY,0,0,23.536,12.440,25.375,43.250,29.000,31.200,0.152,-2.500,223.500,7.672,24.994,30.600
SG,J.J. Redick,5200,LAC@Pho 09:00PM ET,22.372,LAC,0,0,20.286,14.857,23.625,15.750,15.000,31.200,0.159,-2.500,219.500,4.850,23.147,26.341
SF/PF,Aaron Gordon,5100,Ind@Orl 07:00PM ET,22.635,Orl,1,0,28.821,15.685,19.625,21.500,19.500,30.600,0.199,2.000,212.500,-0.088,22.479,26.637
C,Jusuf Nurkic,5000,Mem@Den 09:00PM ET,19.683,Den,1,0,14.000,11.239,11.625,8.500,1.000,30.000,0.191,3.500,214.500,-18.677,13.484,17.641
SG,Evan Fournier,5000,Ind@Orl 07:00PM ET,26.691,Orl,1,0,28.964,19.292,19.812,12.750,24.000,30.000,0.392,2.000,212.500,-9.496,23.756,22.837
C,Willie Reed,5000,Atl@Mia 07:30PM ET,14.250,Mia,1,0,13.071,8.120,20.375,13.500,4.000,30.000,0.082,-1.000,205.000,-17.879,17.365,19.831
PF/C,Dirk Nowitzki,5000,Phi@Dal 08:30PM ET,25.625,Dal,1,0,25.464,19.062,28.438,19.000,16.750,30.000,0.308,-6.500,206.000,-4.674,27.318,22.544
PG,Raymond Felton,5000,LAC@Pho 09:00PM ET,16.864,LAC,0,0,23.571,9.942,21.375,27.750,26.000,30.000,0.094,-2.500,219.500,4.850,20.683,26.003
PF,Marvin Williams,4900,Cha@GS 10:30PM ET,22.587,Cha,0,0,23.607,16.400,27.125,19.000,10.000,29.400,0.176,15.000,224.000,6.025,25.080,17.056
PG,Tyler Johnson,4900,Atl@Mia 07:30PM ET,27.933,Mia,1,0,28.286,21.262,25.188,5.750,23.000,29.400,0.432,-1.000,205.000,-14.007,26.502,18.866
SG,Gary Harris,4800,Mem@Den 09:00PM ET,23.424,Den,1,0,19.643,12.781,25.500,35.500,8.500,28.800,0.276,3.500,214.500,1.323,24.423,22.291
C,Tristan Thompson,4800,Min@Cle 07:00PM ET,24.064,Cle,1,0,26.000,17.759,27.625,9.500,15.000,28.800,0.305,-6.500,215.500,-7.237,26.192,23.791
PG/SG,Malcolm Brogdon,4800,Mil@Uta 09:00PM ET,20.984,Mil,0,0,24.036,13.292,21.250,20.500,3.500,28.800,0.209,7.500,198.000,-25.175,20.524,26.134
SG/SF,Wesley Matthews,4700,Phi@Dal 08:30PM ET,26.306,Dal,1,0,24.321,19.534,28.812,30.000,18.250,28.200,0.405,-6.500,206.000,-4.674,27.559,22.209
PF/C,Spencer Hawes,4600,Cha@GS 10:30PM ET,17.147,Cha,0,0,18.429,9.235,21.750,23.750,15.250,27.600,0.152,15.000,224.000,6.025,20.168,21.863
C,Jahlil Okafor,4600,Phi@Dal 08:30PM ET,21.219,Phi,0,0,22.500,13.019,25.688,22.500,7.000,27.600,0.225,6.500,206.000,-6.674,22.656,20.897
SG,Jamal Crawford,4600,LAC@Pho 09:00PM ET,19.427,LAC,0,0,21.321,12.365,24.250,12.750,15.000,27.600,0.187,-2.500,219.500,4.850,21.862,17.900
SG,Tony Allen,4500,Mem@Den 09:00PM ET,22.360,Mem,0,0,22.536,16.062,22.312,20.750,29.000,27.000,0.297,-3.500,214.500,1.323,22.870,25.575
PF,Trevor Booker,4400,NY@Bkn 07:30PM ET,27.157,Bkn,1,0,24.214,20.010,17.812,27.000,20.000,26.400,0.532,2.500,223.500,7.672,22.282,20.488
SF,Wayne Ellington,4400,Atl@Mia 07:30PM ET,18.595,Mia,1,0,20.607,10.482,22.688,4.000,26.000,26.400,0.212,-1.000,205.000,-15.041,20.969,11.894
SF/PF,Dario Saric,4400,Phi@Dal 08:30PM ET,21.011,Phi,0,0,20.000,13.114,21.812,32.250,4.500,26.400,0.277,6.500,206.000,-9008.674,20.303,22.550
PG/SG,Matthew Dellavedova,4400,Mil@Uta 09:00PM ET,19.804,Mil,0,0,14.643,13.667,24.000,27.250,3.500,26.400,0.197,7.500,198.000,-9014.317,20.928,18.472
SF,T.J. Warren,4400,LAC@Pho 09:00PM ET,22.171,Pho,1,0,17.321,11.472,18.875,19.250,21.000,26.400,0.370,2.500,219.500,4.850,20.852,20.831
PF/C,Kelly Olynyk,4300,Tor@Bos 07:30PM ET,19.137,Bos,1,0,19.214,11.905,20.375,14.000,15.750,25.800,0.232,-6.000,215.000,1.675,20.011,17.800
C,Robin Lopez,4300,Chi@OKC 09:30PM ET,22.628,Chi,0,0,19.750,16.083,20.750,44.000,12.000,25.800,0.345,3.500,206.500,-4.321,20.890,22.581
PG/SG,Sean Kilpatrick,4300,NY@Bkn 07:30PM ET,24.234,Bkn,1,0,20.214,15.600,17.812,14.750,19.500,25.800,0.444,2.500,223.500,7.672,20.959,23.441
SG,Courtney Lee,4300,NY@Bkn 07:30PM ET,19.839,NY,0,0,24.714,13.989,32.500,38.250,30.000,25.800,0.227,-2.500,223.500,7.672,27.713,23.163
SF,C.J. Miles,4300,Ind@Orl 07:00PM ET,17.951,Ind,0,0,17.464,11.012,16.938,2.000,25.000,25.800,0.176,-2.000,212.500,-8.433,16.841,18.378
SF,Andre Iguodala,4200,Cha@GS 10:30PM ET,18.511,GS,1,0,20.357,13.542,24.812,28.750,22.000,25.200,0.143,-15.000,224.000,8.025,23.143,22.928
SG/SF,Bojan Bogdanovic,4200,NY@Bkn 07:30PM ET,21.927,Bkn,1,0,21.071,15.452,23.125,24.000,20.000,25.200,0.352,2.500,223.500,7.672,23.295,23.312
PG/SG,Tim Hardaway Jr.,4200,Atl@Mia 07:30PM ET,19.663,Atl,0,0,24.286,12.240,24.688,38.750,5.000,25.200,0.287,1.000,205.000,-9005.379,21.271,16.462
SF/PF,P.J. Tucker,4200,LAC@Pho 09:00PM ET,19.047,Pho,1,0,23.857,10.909,25.000,16.000,15.000,25.200,0.259,2.500,219.500,4.850,22.740,22.131
SG/SF,Terrence Ross,4100,Tor@Bos 07:30PM ET,18.083,Tor,0,0,18.929,13.009,20.438,27.250,12.250,24.600,0.210,6.000,215.000,-2.325,19.336,18.153
PF,JaMychal Green,4100,Mem@Den 09:00PM ET,22.724,Mem,0,0,20.071,16.394,20.250,21.500,5.000,24.600,0.411,-3.500,214.500,-8998.677,19.755,18.850
PG,Rajon Rondo,4100,Chi@OKC 09:30PM ET,25.763,Chi,0,0,16.000,16.957,22.250,31.750,21.000,24.600,0.537,3.500,206.500,-4.321,22.502,24.919
PG/SG,Iman Shumpert,4100,Min@Cle 07:00PM ET,16.739,Cle,1,0,20.393,11.610,20.562,13.500,12.500,24.600,0.127,-6.500,215.500,2.028,18.769,17.075
SG,Rodney Hood,4100,Mil@Uta 09:00PM ET,23.391,Uta,1,0,26.286,14.903,26.000,30.500,16.000,24.600,0.450,-7.500,198.000,-10.317,24.104,22.394
SG/SF,Jaylen Brown,4000,Tor@Bos 07:30PM ET,10.346,Bos,1,0,14.357,5.295,18.875,11.250,5.500,24.000,0.048,-6.000,215.000,1.675,15.458,13.772
PG,Shaun Livingston,4000,Cha@GS 10:30PM ET,11.446,GS,1,0,13.429,8.152,14.688,12.750,14.500,24.000,0.003,-15.000,224.000,8.025,12.984,11.950
PF,Frank Kaminsky,4000,Cha@GS 10:30PM ET,20.447,Cha,0,0,14.250,14.520,16.125,25.000,10.000,24.000,0.344,15.000,224.000,4.025,17.616,19.466
