DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,Target,PERSON_ID,Position,Salary,SVM,AdaBoost,Neural Network,Random Forest
12.7,17.25,UTA,False,ORL,5.0,,202692.0,PG/SG,3500.0,28.0146865152,15.95,15.7189188704,15.6515357143
23.714,26.25,BOS,False,ATL,-6.5,,202694.0,SF/PF,4800.0,29.2095811015,25.45,24.5492082974,23.7657678571
35.15,42.0,ORL,True,UTA,-5.0,,202696.0,C,6800.0,30.5503271852,36.6,39.2523976337,38.4426369048
17.0,16.75,ORL,True,UTA,-5.0,,202714.0,PG,3400.0,27.8773912582,14.9,17.4990438942,17.04525
16.333,16.0,MEM,True,HOU,8.0,,202718.0,SF/PF,3600.0,28.5228887681,16.15,16.4974565763,16.7590238095
6.0,0.0,MIL,False,DAL,-7.5,,202732.0,PG/SF,3000.0,27.3115243164,5.15,6.09203339197,6.0219702381
16.156,18.25,CHA,True,LAC,-4.5,,203077.0,SF,4000.0,28.1027249017,18.25,17.4284417135,16.6687103175
45.183,47.0,POR,True,SAC,-12.0,,203081.0,PG,8800.0,31.7773406909,48.25,45.2273213212,48.0946309524
19.0,10.5,ORL,True,UTA,-5.0,,203082.0,SG/SF,3700.0,27.7454362222,15.85,16.729950133,16.6283928571
31.766,24.5,DAL,True,MIL,7.5,,203084.0,SF/PF,6200.0,29.5762828013,29.8,30.4129350337,30.1644404762
23.5,29.5,LAC,False,CHA,4.5,,203085.0,PG/SG,5400.0,29.342871816,25.6,26.2222333394,23.0325892857
7.25,18.25,POR,True,SAC,-12.0,,203086.0,PF/C,3000.0,27.6540318075,10.45,11.4335309543,11.3633630952
29.339,24.5,CHA,True,LAC,-4.5,,203087.0,SG/SF,5100.0,29.2524969095,26.95,28.6585107076,25.3333333333
20.929,26.75,MIL,False,DAL,-7.5,,203089.0,C,4800.0,28.81263331,19.95,21.837203752,20.4595833333
16.433,14.25,POR,True,SAC,-12.0,,203090.0,SF/PF,3500.0,27.9266235667,14.65,15.8578164252,14.7003333333
32.867,14.0,ORL,True,UTA,-5.0,,203095.0,SG/SF,6100.0,28.7986796701,24.7,28.2149342509,25.6524323593
0.0,2.25,ATL,True,BOS,6.5,,203101.0,C,3000.0,27.6683307003,2.35,5.63466182011,2.37916071429
34.683,43.25,GS,False,PHI,-8.5,,203110.0,PF/C,7600.0,30.42619823,36.8,35.5462308539,38.6609206349
35.661,35.25,MIL,False,DAL,-7.5,,203114.0,SG/SF,6700.0,30.2973906199,33.8,35.7135873194,37.1433174603
28.833,42.25,ATL,True,BOS,6.5,,203145.0,SG/SF,5200.0,30.3173387883,34.35,34.0312883681,32.9188789683
13.212,17.5,LAC,False,CHA,4.5,,203186.0,C,3000.0,28.3218397115,17.0,15.3920070701,15.9561785714
7.75,7.5,MEM,True,HOU,8.0,,203210.0,SF/PF,4500.0,27.9702364304,6.1,8.58071235478,6.83176190476
16.391,5.75,BOS,False,ATL,-6.5,,203382.0,C,3600.0,28.1603596716,11.75,12.6073758704,10.0309166667
13.167,11.75,DAL,True,MIL,7.5,,203457.0,C,3400.0,27.9967690762,14.05,13.4644790828,13.6528690476
7.75,23.25,MEM,True,HOU,8.0,,203463.0,SG/SF,3500.0,28.4077613503,14.05,14.4789002368,13.134327381
19.2,19.0,CHA,True,LAC,-4.5,,203469.0,C,3600.0,28.3083396739,17.05,19.525086264,17.89975
35.058,43.25,ATL,True,BOS,6.5,,203471.0,PG,6600.0,30.8007216273,36.75,41.9922549209,35.6122222222
25.367,22.25,ATL,True,BOS,6.5,,203473.0,C,5200.0,29.1721544673,24.25,24.6733870228,24.2778174603
4.042,5.25,DAL,True,MIL,7.5,,203481.0,C,3000.0,27.5423171125,3.55,6.31974793004,2.985625
10.917,16.25,CHA,True,LAC,-4.5,,203487.0,PG,3200.0,27.7686030583,11.15,12.8161834365,14.3963611111
0.0,,UTA,False,ORL,5.0,,203489.0,PG,3000.0,27.7383314476,10.6,9.32648533692,12.4299107143
31.536,36.0,PHI,True,GS,8.5,,203496.0,SF/PF,6300.0,29.573047489,33.1,32.3774906876,35.9946944444
6.846,0.0,BOS,False,ATL,-6.5,,203499.0,PG,3200.0,27.7521481666,5.5,5.95002171027,6.29038095238
18.054,19.5,MIL,False,DAL,-7.5,,203503.0,SG/SF,3800.0,28.3320360001,20.55,17.7623056498,20.0869166667
56.179,47.5,MIL,False,DAL,-7.5,,203507.0,SF/PF,11400.0,32.5566393666,49.55,53.2964559738,52.2420952381
17.786,25.25,MEM,True,HOU,8.0,,203516.0,SG/SF,3600.0,28.9252657636,22.9,19.8445843609,19.0695
9.75,1.25,UTA,False,ORL,5.0,,203526.0,PG,3000.0,27.4728522704,7.45,7.44716277539,6.97231006494
0.0,,UTA,False,ORL,5.0,,203547.0,SF/PF,3000.0,27.7383314476,10.6,9.32648533692,12.4299107143
23.567,17.75,ORL,True,UTA,-5.0,,203613.0,SG/SF,4500.0,28.3150065153,20.6,21.9590034372,22.2840833333
2.25,6.25,ATL,True,BOS,6.5,,203705.0,PG,3000.0,27.7664077571,3.05,6.10576674699,2.55680555556
0.0,,LAC,False,CHA,4.5,,203710.0,SG,3000.0,28.0309937176,10.6,8.55461987938,11.9639107143
12.409,10.5,POR,True,SAC,-12.0,,203894.0,PG/SG,3600.0,27.6056098546,14.0,11.686881025,12.0705
25.125,36.75,ORL,True,UTA,-5.0,,203901.0,PG,6200.0,29.4256512243,30.8,30.2539308754,28.6862380952
24.0,15.25,UTA,False,ORL,5.0,,203918.0,SG/SF,5500.0,28.5525181792,24.15,22.2454782219,20.0535833333
3.0,,ORL,True,UTA,-5.0,,203920.0,PF,3000.0,27.496129538,11.0,10.7020404355,11.7276607143
34.769,41.5,ORL,True,UTA,-5.0,,203932.0,SF/PF,6800.0,30.4871483568,35.8,38.7902144178,33.195625
26.036,24.0,BOS,False,ATL,-6.5,,203935.0,SG/SF,5600.0,29.2531455158,28.95,25.2075144623,23.5438571429
12.95,8.0,DAL,True,MIL,7.5,,203939.0,PF/C,3000.0,27.8819536178,12.65,11.6811990534,12.3889166667
