DKFPS,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,Position,Salary,Name,SVM,AdaBoost,Random Forest,Neural Network
11.0,CHA,True,LAC,-4.5,213.5,,PF/C,3000.0,Johnny O'Bryant III,34.01494001147692,9.5,14.786607142857145,11.001842391247347
9.591,UTA,False,ORL,5.0,211.5,,SF/PF,3900.0,Jonas Jerebko,33.84970176239822,9.25,18.77136904761905,12.154040837251932
23.567,ORL,True,UTA,-5.0,211.5,,SG/SF,4500.0,Jonathon Simmons,34.25265045249979,25.0,40.46415043290043,21.222317123162426
9.477,GS,False,PHI,-8.5,230.0,,PF/C,3000.0,Jordan Bell,33.538524955148546,13.75,13.188333333333333,8.552070001430163
2.25,ATL,True,BOS,6.5,202.5,,PG,3000.0,Josh Magette,33.943454004016615,1.5,0.8033928571428571,7.979758170731278
11.054,SAC,False,POR,12.0,195.5,,SG/SF,3400.0,Justin Jackson,34.22495420976961,11.5,8.593988095238094,10.150619380159174
28.7,POR,True,SAC,-12.0,195.5,,C,6900.0,Jusuf Nurkic,34.42246530210151,31.75,44.854464285714286,37.11547390316312
0.0,BOS,False,ATL,-6.5,202.5,,SG,3000.0,Kadeem Allen,33.77562872929752,4.25,4.689375,7.754845883605519
39.786,CHA,True,LAC,-4.5,213.5,,PG,7700.0,Kemba Walker,34.84517067317546,58.0,58.84809523809524,37.587356115719345
28.833,ATL,True,BOS,6.5,202.5,,SG/SF,5200.0,Kent Bazemore,34.53315025489687,28.25,38.80208333333333,32.271014684452425
46.679,GS,False,PHI,-8.5,230.0,,SF/PF,9600.0,Kevin Durant,35.07685901306783,40.5,44.633630952380955,52.34535240519648
9.156,GS,False,PHI,-8.5,230.0,,SF/PF,3000.0,Kevon Looney,33.53000346437628,8.75,13.241536796536796,8.470531450264039
3.0,ORL,True,UTA,-5.0,211.5,,PF,3000.0,Khem Birch,33.75599809724382,4.75,3.520833333333333,7.76686381036758
35.661,MIL,False,DAL,-7.5,202.5,,SG/SF,6700.0,Khris Middleton,34.64550358715503,21.25,18.048035714285714,36.681339808857075
