PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column)
,,,,,,,,,3. Paste the ID into the roster position desired
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name
,,,,,,,,,5. You can create up to 500 lineups per file

,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev
,,,,,,,,,SG,Victor Oladipo (8085684),Victor Oladipo,8085684,5900,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,SG,Eric Gordon (8085687),Eric Gordon,8085687,5900,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,PG,Derrick Rose (8085646),Derrick Rose,8085646,5900,NY@Phi 07:00PM ET,NY,
,,,,,,,,,SG,Avery Bradley (8085676),Avery Bradley,8085676,5800,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,PF/C,Zach Randolph (8085762),Zach Randolph,8085762,5800,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,C,Steven Adams (8085804),Steven Adams,8085804,5700,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,SF,Trevor Ariza (8085735),Trevor Ariza,8085735,5700,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,SF/PF,Markieff Morris (8085704),Markieff Morris,8085704,5600,Was@Bos 08:00PM ET,Was,
,,,,,,,,,PG,Patrick Beverley (8085639),Patrick Beverley,8085639,5600,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,PG,Ricky Rubio (8085640),Ricky Rubio,8085640,5600,Hou@Min 08:00PM ET,Min,
,,,,,,,,,PG,T.J. McConnell (8085647),T.J. McConnell,8085647,5500,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,SG,J.J. Redick (8085696),J.J. Redick,8085696,5500,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,PF/C,Gorgui Dieng (8085765),Gorgui Dieng,8085765,5400,Hou@Min 08:00PM ET,Min,
,,,,,,,,,PG,Elfrid Payton (8085652),Elfrid Payton,8085652,5400,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,PF/C,Montrezl Harrell (8085766),Montrezl Harrell,8085766,5300,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,SF,Jae Crowder (8085728),Jae Crowder,8085728,5200,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,SF/PF,Aaron Gordon (8085713),Aaron Gordon,8085713,5200,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,PF/C,Enes Kanter (8085763),Enes Kanter,8085763,5100,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,PF,Al-Farouq Aminu (8085793),Al-Farouq Aminu,8085793,5100,Cle@Por 10:30PM ET,Por,
,,,,,,,,,PF,Ryan Anderson (8085783),Ryan Anderson,8085783,5000,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,SG,Tony Allen (8085681),Tony Allen,8085681,4900,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,PG/SG,Brandon Jennings (8085622),Brandon Jennings,8085622,4900,NY@Phi 07:00PM ET,NY,
,,,,,,,,,C,Clint Capela (8085809),Clint Capela,8085809,4800,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,C,Joakim Noah (8085811),Joakim Noah,8085811,4700,NY@Phi 07:00PM ET,NY,
,,,,,,,,,PG,Austin Rivers (8085651),Austin Rivers,8085651,4700,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,C,Tristan Thompson (8085824),Tristan Thompson,8085824,4700,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,SF/PF,Dario Saric (8085710),Dario Saric,8085710,4600,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,SG/SF,Kyle Korver (8085672),Kyle Korver,8085672,4500,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,SG/SF,Allen Crabbe (8085674),Allen Crabbe,8085674,4400,Cle@Por 10:30PM ET,Por,
,,,,,,,,,PF,JaMychal Green (8085779),JaMychal Green,8085779,4300,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,C,Jahlil Okafor (8085815),Jahlil Okafor,8085815,4300,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Nerlens Noel (8085813),Nerlens Noel,8085813,4200,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,SG/SF,Raymond Felton (8085670),Raymond Felton,8085670,4200,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,PF/C,Marreese Speights (8085770),Marreese Speights,8085770,4200,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,PF/C,Amir Johnson (8085760),Amir Johnson,8085760,4100,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,SG,Jamal Crawford (8085694),Jamal Crawford,8085694,4100,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,SG/SF,Kelly Oubre Jr. (8085664),Kelly Oubre Jr.,8085664,4000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,SF,Andre Roberson (8085732),Andre Roberson,8085732,4000,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,Sergio Rodriguez (8085644),Sergio Rodriguez,8085644,4000,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,SG,Courtney Lee (8085690),Courtney Lee,8085690,4000,NY@Phi 07:00PM ET,NY,
,,,,,,,,,SF,Maurice Harkless (8085747),Maurice Harkless,8085747,4000,Cle@Por 10:30PM ET,Por,
,,,,,,,,,SG,Nik Stauskas (8085693),Nik Stauskas,8085693,3900,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,SG/SF,Evan Turner (8085673),Evan Turner,8085673,3900,Cle@Por 10:30PM ET,Por,
,,,,,,,,,SG/SF,Shabazz Muhammad (8085668),Shabazz Muhammad,8085668,3800,Hou@Min 08:00PM ET,Min,
,,,,,,,,,C,Bismack Biyombo (8085818),Bismack Biyombo,8085818,3800,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,PG,Andrew Harrison (8085635),Andrew Harrison,8085635,3700,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,PF,Richaun Holmes (8085787),Richaun Holmes,8085787,3700,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,SG,Sheldon McClellan (8085678),Sheldon McClellan,8085678,3600,Was@Bos 08:00PM ET,Was,
,,,,,,,,,PF/C,Kelly Olynyk (8085761),Kelly Olynyk,8085761,3600,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,PG,D.J. Augustin (8085650),D.J. Augustin,8085650,3600,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,PF/C,Channing Frye (8085773),Channing Frye,8085773,3600,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,SF/PF,Sam Dekker (8085708),Sam Dekker,8085708,3500,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,SG,Gerald Henderson (8085691),Gerald Henderson,8085691,3500,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,PG/SG,Iman Shumpert (8085624),Iman Shumpert,8085624,3500,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,SG,J.R. Smith (8085701),J.R. Smith,8085701,3500,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,SF,James Ennis III (8085734),James Ennis III,8085734,3400,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,C,Cole Aldrich (8085807),Cole Aldrich,8085807,3400,Hou@Min 08:00PM ET,Min,
,,,,,,,,,PF/C,Kyle O'Quinn (8085768),Kyle O'Quinn,8085768,3400,NY@Phi 07:00PM ET,NY,
,,,,,,,,,SG,Jordan McRae (8085703),Jordan McRae,8085703,3400,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,SG/SF,Vince Carter (8085665),Vince Carter,8085665,3300,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,C,Nene Hilario (8085806),Nene Hilario,8085806,3300,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,SF,Chandler Parsons (8085731),Chandler Parsons,8085731,3200,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,PF,Domantas Sabonis (8085780),Domantas Sabonis,8085780,3200,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,Ron Baker (8085648),Ron Baker,8085648,3200,NY@Phi 07:00PM ET,NY,
,,,,,,,,,SG,Justin Holiday (8085692),Justin Holiday,8085692,3200,NY@Phi 07:00PM ET,NY,
,,,,,,,,,SF/PF,Jerami Grant (8085706),Jerami Grant,8085706,3100,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,SG,Jodie Meeks (8085697),Jodie Meeks,8085697,3100,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,SF/PF,Jeff Green (8085711),Jeff Green,8085711,3100,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,SG,DeAndre Liggins (8085702),DeAndre Liggins,8085702,3100,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,PG,Trey Burke (8085628),Trey Burke,8085628,3000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,PG,Tomas Satoransky (8085629),Tomas Satoransky,8085629,3000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,PG,Demetrius Jackson (8085630),Demetrius Jackson,8085630,3000,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,PG,Terry Rozier (8085631),Terry Rozier,8085631,3000,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,SG,Gerald Green (8085675),Gerald Green,8085675,3000,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,SG,Danuel House (8085679),Danuel House,8085679,3000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,SG,James Young (8085680),James Young,8085680,3000,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,SF,Marcus Thornton (8085727),Marcus Thornton,8085727,3000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,SF,Jaylen Brown (8085729),Jaylen Brown,8085729,3000,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,PF/C,Jason Smith (8085759),Jason Smith,8085759,3000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,PF,Jonas Jerebko (8085776),Jonas Jerebko,8085776,3000,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,PF,Jordan Mickey (8085777),Jordan Mickey,8085777,3000,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,C,Ian Mahinmi (8085797),Ian Mahinmi,8085797,3000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,C,Tyler Zeller (8085799),Tyler Zeller,8085799,3000,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,C,Andrew Nicholson (8085800),Andrew Nicholson,8085800,3000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,C,Daniel Ochefu (8085801),Daniel Ochefu,8085801,3000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,PG,Semaj Christon (8085634),Semaj Christon,8085634,3000,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,Cameron Payne (8085636),Cameron Payne,8085636,3000,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,Wade Baldwin IV (8085637),Wade Baldwin IV,8085637,3000,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,SG/SF,Alex Abrines (8085666),Alex Abrines,8085666,3000,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,SG,Anthony Morrow (8085682),Anthony Morrow,8085682,3000,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,SG,Troy Daniels (8085683),Troy Daniels,8085683,3000,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,SG,Troy Williams (8085685),Troy Williams,8085685,3000,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,SF,Kyle Singler (8085730),Kyle Singler,8085730,3000,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,SF,Josh Huestis (8085733),Josh Huestis,8085733,3000,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,PF/C,Jarell Martin (8085764),Jarell Martin,8085764,3000,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,PF,Brandan Wright (8085778),Brandan Wright,8085778,3000,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,PF,Deyonta Davis (8085781),Deyonta Davis,8085781,3000,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,C,Nick Collison (8085802),Nick Collison,8085802,3000,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,C,Joffrey Lauvergne (8085805),Joffrey Lauvergne,8085805,3000,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,PG,Bobby Brown (8085638),Bobby Brown,8085638,3000,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,PG,Kris Dunn (8085641),Kris Dunn,8085641,3000,Hou@Min 08:00PM ET,Min,
,,,,,,,,,PG,Tyler Ennis (8085642),Tyler Ennis,8085642,3000,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,PG,Tyus Jones (8085643),Tyus Jones,8085643,3000,Hou@Min 08:00PM ET,Min,
,,,,,,,,,SG/SF,Corey Brewer (8085667),Corey Brewer,8085667,3000,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,SG,Brandon Rush (8085686),Brandon Rush,8085686,3000,Hou@Min 08:00PM ET,Min,
,,,,,,,,,SF/PF,Nemanja Bjelica (8085707),Nemanja Bjelica,8085707,3000,Hou@Min 08:00PM ET,Min,
,,,,,,,,,SF,K.J. McDaniels (8085736),K.J. McDaniels,8085736,3000,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,PF,Jordan Hill (8085782),Jordan Hill,8085782,3000,Hou@Min 08:00PM ET,Min,
,,,,,,,,,PF,Adreian Payne (8085784),Adreian Payne,8085784,3000,Hou@Min 08:00PM ET,Min,
,,,,,,,,,PF,Kyle Wiltjer (8085785),Kyle Wiltjer,8085785,3000,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,C,Nikola Pekovic (8085808),Nikola Pekovic,8085808,3000,Hou@Min 08:00PM ET,Min,
,,,,,,,,,C,Chinanu Onuaku (8085810),Chinanu Onuaku,8085810,3000,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,PG,Jerryd Bayless (8085645),Jerryd Bayless,8085645,3000,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,SG/SF,Timothe Luwawu-Cabarrot (8085669),Timothe Luwawu-Cabarrot,8085669,3000,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,SG,Sasha Vujacic (8085689),Sasha Vujacic,8085689,3000,NY@Phi 07:00PM ET,NY,
,,,,,,,,,SF/PF,Lance Thomas (8085709),Lance Thomas,8085709,3000,NY@Phi 07:00PM ET,NY,
,,,,,,,,,SF,Mindaugas Kuzminskas (8085740),Mindaugas Kuzminskas,8085740,3000,NY@Phi 07:00PM ET,NY,
,,,,,,,,,SF,Ben Simmons (8085741),Ben Simmons,8085741,3000,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,PF,Maurice Ndour (8085788),Maurice Ndour,8085788,3000,NY@Phi 07:00PM ET,NY,
,,,,,,,,,C,Marshall Plumlee (8085812),Marshall Plumlee,8085812,3000,NY@Phi 07:00PM ET,NY,
,,,,,,,,,C,Guillermo Hernangomez (8085814),Guillermo Hernangomez,8085814,3000,NY@Phi 07:00PM ET,NY,
,,,,,,,,,PG/SG,C.J. Watson (8085623),C.J. Watson,8085623,3000,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,SG,Alan Anderson (8085695),Alan Anderson,8085695,3000,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,SG,C.J. Wilcox (8085698),C.J. Wilcox,8085698,3000,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,SG,Mario Hezonja (8085699),Mario Hezonja,8085699,3000,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,SF/PF,Luc Richard Mbah a Moute (8085712),Luc Richard Mbah a Moute,8085712,3000,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,SF,Paul Pierce (8085742),Paul Pierce,8085742,3000,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,SF,Wesley Johnson (8085743),Wesley Johnson,8085743,3000,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,SF,Damjan Rudez (8085744),Damjan Rudez,8085744,3000,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,PF,Brandon Bass (8085790),Brandon Bass,8085790,3000,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,PF,Brice Johnson (8085791),Brice Johnson,8085791,3000,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,PF,Stephen Zimmerman Jr. (8085792),Stephen Zimmerman Jr.,8085792,3000,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,C,Diamond Stone (8085819),Diamond Stone,8085819,3000,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,PG,Shabazz Napier (8085655),Shabazz Napier,8085655,3000,Cle@Por 10:30PM ET,Por,
,,,,,,,,,PG,Tim Quarterman (8085656),Tim Quarterman,8085656,3000,Cle@Por 10:30PM ET,Por,
,,,,,,,,,PG,Kay Felder (8085657),Kay Felder,8085657,3000,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,SG,James Jones (8085700),James Jones,8085700,3000,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,SF/PF,Richard Jefferson (8085714),Richard Jefferson,8085714,3000,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,SF,Pat Connaughton (8085746),Pat Connaughton,8085746,3000,Cle@Por 10:30PM ET,Por,
,,,,,,,,,PF/C,Meyers Leonard (8085775),Meyers Leonard,8085775,3000,Cle@Por 10:30PM ET,Por,
,,,,,,,,,PF,Jake Layman (8085794),Jake Layman,8085794,3000,Cle@Por 10:30PM ET,Por,
,,,,,,,,,PF,Noah Vonleh (8085795),Noah Vonleh,8085795,3000,Cle@Por 10:30PM ET,Por,
,,,,,,,,,C,Chris Andersen (8085820),Chris Andersen,8085820,3000,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,C,Festus Ezeli (8085821),Festus Ezeli,8085821,3000,Cle@Por 10:30PM ET,Por,
,,,,,,,,,C,Ed Davis (8085822),Ed Davis,8085822,3000,Cle@Por 10:30PM ET,Por,
