PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column)
,,,,,,,,,3. Paste the ID into the roster position desired
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name
,,,,,,,,,5. You can create up to 500 lineups per file

,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev
,,,,,,,,,PG/SG,James Harden (8085621),James Harden,8085621,12000,Hou@Min 08:00PM ET,Hou,
,,,,,,,,,PG,Russell Westbrook (8085633),Russell Westbrook,8085633,11800,Mem@OKC 08:00PM ET,OKC,
,,,,,,,,,SF,LeBron James (8085745),LeBron James,8085745,9700,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,PF/C,Karl-Anthony Towns (8085767),Karl-Anthony Towns,8085767,9500,Hou@Min 08:00PM ET,Min,
,,,,,,,,,PG,Chris Paul (8085649),Chris Paul,8085649,9400,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,PG,John Wall (8085627),John Wall,8085627,9200,Was@Bos 08:00PM ET,Was,
,,,,,,,,,PG,Isaiah Thomas (8085626),Isaiah Thomas,8085626,8900,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,PG,Damian Lillard (8085653),Damian Lillard,8085653,8500,Cle@Por 10:30PM ET,Por,
,,,,,,,,,PG,Kyrie Irving (8085654),Kyrie Irving,8085654,8200,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,PF/C,Kevin Love (8085774),Kevin Love,8085774,8100,Cle@Por 10:30PM ET,Cle,
,,,,,,,,,PF/C,Joel Embiid (8085769),Joel Embiid,8085769,8000,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,PG/SG,C.J. McCollum (8085625),C.J. McCollum,8085625,7800,Cle@Por 10:30PM ET,Por,
,,,,,,,,,SF,Carmelo Anthony (8085738),Carmelo Anthony,8085738,7600,NY@Phi 07:00PM ET,NY,
,,,,,,,,,PF,Kristaps Porzingis (8085789),Kristaps Porzingis,8085789,7500,NY@Phi 07:00PM ET,NY,
,,,,,,,,,PF/C,Blake Griffin (8085771),Blake Griffin,8085771,7300,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,C,DeAndre Jordan (8085816),DeAndre Jordan,8085816,7000,Orl@LAC 10:30PM ET,LAC,
,,,,,,,,,PG,Mike Conley (8085632),Mike Conley,8085632,6900,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,C,Marc Gasol (8085803),Marc Gasol,8085803,6800,Mem@OKC 08:00PM ET,Mem,
,,,,,,,,,C,Al Horford (8085796),Al Horford,8085796,6700,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,C,Nikola Vucevic (8085817),Nikola Vucevic,8085817,6600,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,SG,Zach LaVine (8085688),Zach LaVine,8085688,6500,Hou@Min 08:00PM ET,Min,
,,,,,,,,,SG,Bradley Beal (8085677),Bradley Beal,8085677,6400,Was@Bos 08:00PM ET,Was,
,,,,,,,,,SF,Andrew Wiggins (8085737),Andrew Wiggins,8085737,6400,Hou@Min 08:00PM ET,Min,
,,,,,,,,,SG/SF,Marcus Smart (8085663),Marcus Smart,8085663,6300,Was@Bos 08:00PM ET,Bos,
,,,,,,,,,PF/C,Serge Ibaka (8085772),Serge Ibaka,8085772,6300,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,SF/PF,Otto Porter (8085705),Otto Porter,8085705,6200,Was@Bos 08:00PM ET,Was,
,,,,,,,,,PF,Ersan Ilyasova (8085786),Ersan Ilyasova,8085786,6100,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Marcin Gortat (8085798),Marcin Gortat,8085798,6000,Was@Bos 08:00PM ET,Was,
,,,,,,,,,SF,Robert Covington (8085739),Robert Covington,8085739,6000,NY@Phi 07:00PM ET,Phi,
,,,,,,,,,SG/SF,Evan Fournier (8085671),Evan Fournier,8085671,6000,Orl@LAC 10:30PM ET,Orl,
,,,,,,,,,C,Mason Plumlee (8085823),Mason Plumlee,8085823,6000,Cle@Por 10:30PM ET,Por,
