Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,±
PF/C,Marreese Speights,4000,OKC@LAC 10:30PM ET,19.244,LAC,True,0,18.286,13.646,20.188,0.000,-0.067,13.750,24.000,214.500,-8.000
PF/C,Spencer Hawes,3900,Cha@Bos 07:30PM ET,16.688,Cha,False,0,17.321,9.100,25.875,0.000,0.058,23.250,23.400,215.500,5.500
PG/SF,Raymond Felton,3900,OKC@LAC 10:30PM ET,15.713,LAC,True,0,23.857,9.698,20.062,0.000,-0.055,13.250,23.400,214.500,-8.000
SG/SF,Joe Ingles,3900,Uta@Pho 09:00PM ET,14.964,Uta,False,0,20.536,7.740,12.375,2.000,-1.201,19.750,23.400,203.500,-6.000
PF,Frank Kaminsky,3800,Cha@Bos 07:30PM ET,20.836,Cha,False,0,15.357,14.845,14.812,-10.000,0.073,26.000,22.800,215.500,5.500
PG,Shelvin Mack,3800,Uta@Pho 09:00PM ET,16.195,Uta,False,0,15.000,8.961,4.875,0.000,-1.299,26.000,22.800,203.500,-6.000
SG,Jamal Crawford,3700,OKC@LAC 10:30PM ET,19.226,LAC,True,0,24.357,12.656,13.062,0.000,-1730.407,10.000,22.200,214.500,-8.000
SG/SF,Marco Belinelli,3600,Cha@Bos 07:30PM ET,18.507,Cha,False,0,18.964,12.653,16.938,-10.000,0.065,15.500,21.600,215.500,5.500
PG/SG,Iman Shumpert,3500,Cle@GS 08:00PM ET,15.428,Cle,False,0,15.000,10.929,15.062,0.000,-1387.067,12.750,21.000,228.500,8.000
C,Zaza Pachulia,3500,Cle@GS 08:00PM ET,17.889,GS,True,0,19.429,11.987,22.188,0.000,-1608.325,6.000,21.000,228.500,-8.000
PG/SG,Brandon Knight,3500,Uta@Pho 09:00PM ET,20.000,Pho,True,1,16.464,12.961,12.250,0.000,-2001.405,2.750,21.000,203.500,6.000
PG,Ramon Sessions,3400,Cha@Bos 07:30PM ET,13.094,Cha,False,0,11.964,9.641,8.625,0.000,0.046,20.000,20.400,215.500,5.500
PF/C,Channing Frye,3400,Cle@GS 08:00PM ET,16.766,Cle,False,0,15.071,11.294,14.250,0.000,1.579,16.750,20.400,228.500,8.000
SF,Andre Iguodala,3300,Cle@GS 08:00PM ET,17.429,GS,True,0,16.036,12.276,16.562,0.000,1.642,25.000,19.800,228.500,-8.000
SG/SF,Gerald Green,3200,Cha@Bos 07:30PM ET,10.773,Bos,True,0,13.714,5.188,14.125,0.000,0.038,24.500,19.200,215.500,-5.500
SG/SF,Joe Johnson,3200,Uta@Pho 09:00PM ET,15.335,Uta,False,1,14.786,7.842,6.500,0.000,-1534.577,19.750,19.200,203.500,-6.000
SG,Alec Burks,3200,Uta@Pho 09:00PM ET,5.208,Uta,False,0,2.562,0.500,6.625,0.000,-0.418,17.500,19.200,203.500,-6.000
PF,Marquese Chriss,3200,Uta@Pho 09:00PM ET,14.425,Pho,True,0,17.679,9.239,19.062,-2.000,-1299.407,1.000,19.200,203.500,6.000
PG/SG,Ian Clark,3100,Cle@GS 08:00PM ET,12.135,GS,True,0,13.464,6.726,10.938,0.000,1.143,22.000,18.600,228.500,-8.000
PG,Shaun Livingston,3100,Cle@GS 08:00PM ET,11.115,GS,True,0,12.000,8.000,11.688,-10.000,1.047,16.000,18.600,228.500,-8.000
PF,Domantas Sabonis,3100,OKC@LAC 10:30PM ET,14.131,OKC,False,0,11.464,9.000,10.375,0.000,-1271.839,4.500,18.600,214.500,8.000
PF,Trey Lyles,3100,Uta@Pho 09:00PM ET,16.940,Uta,False,0,12.714,10.588,15.688,-10.000,-1.359,19.500,18.600,203.500,-6.000
C,Alex Len,3100,Uta@Pho 09:00PM ET,20.849,Pho,True,0,15.214,14.012,12.125,0.000,-1878.083,3.000,18.600,203.500,6.000
PG,Brian Roberts,3000,Cha@Bos 07:30PM ET,3.150,Cha,False,0,4.500,0.250,4.375,0.000,0.011,20.000,18.000,215.500,5.500
PG,Demetrius Jackson,3000,Cha@Bos 07:30PM ET,5.000,Bos,True,0,7.625,1.583,5.000,0.000,0.017,18.000,18.000,215.500,-5.500
PG,Terry Rozier,3000,Cha@Bos 07:30PM ET,13.806,Bos,True,0,12.893,8.300,11.688,0.000,0.048,18.000,18.000,215.500,-5.500
SG,James Young,3000,Cha@Bos 07:30PM ET,3.523,Bos,True,1,2.500,0.594,2.125,0.000,-352.252,23.000,18.000,215.500,-5.500
SF,Treveon Graham,3000,Cha@Bos 07:30PM ET,3.500,Cha,False,0,3.150,1.083,2.062,0.000,0.012,21.000,18.000,215.500,5.500
SF,Jaylen Brown,3000,Cha@Bos 07:30PM ET,9.013,Bos,True,0,7.071,4.729,4.688,0.000,0.031,26.000,18.000,215.500,-5.500
PF,Jonas Jerebko,3000,Cha@Bos 07:30PM ET,11.294,Bos,True,0,9.464,6.412,11.625,0.000,-1016.421,9.500,18.000,215.500,-5.500
PF,Jordan Mickey,3000,Cha@Bos 07:30PM ET,5.675,Bos,True,0,5.150,1.812,6.312,0.000,-510.730,9.500,18.000,215.500,-5.500
C,Roy Hibbert,3000,Cha@Bos 07:30PM ET,12.875,Cha,False,0,12.964,8.487,14.562,0.000,0.045,20.500,18.000,215.500,5.500
C,Tyler Zeller,3000,Cha@Bos 07:30PM ET,10.454,Bos,True,1,3.893,3.650,3.125,0.000,-1045.259,26.000,18.000,215.500,-5.500
PG,Kay Felder,3000,Cle@GS 08:00PM ET,9.841,Cle,False,0,9.143,4.135,5.125,0.000,-884.763,13.000,18.000,228.500,8.000
SG/SF,Patrick McCaw,3000,Cle@GS 08:00PM ET,6.258,GS,True,0,2.821,2.569,1.750,0.000,0.589,26.500,18.000,228.500,-8.000
SG,James Jones,3000,Cle@GS 08:00PM ET,4.552,Cle,False,0,4.679,1.517,4.750,0.000,-409.251,12.500,18.000,228.500,8.000
SG,DeAndre Liggins,3000,Cle@GS 08:00PM ET,9.306,Cle,False,0,10.964,3.429,11.812,0.000,-836.664,12.500,18.000,228.500,8.000
SG,Jordan McRae,3000,Cle@GS 08:00PM ET,8.308,Cle,False,0,8.643,3.036,2.500,0.000,-746.938,12.500,18.000,228.500,8.000
SF/PF,Richard Jefferson,3000,Cle@GS 08:00PM ET,10.032,Cle,False,0,5.964,5.977,5.938,0.000,0.945,14.750,18.000,228.500,8.000
PF,David West,3000,Cle@GS 08:00PM ET,12.269,GS,True,0,11.679,7.287,12.000,0.000,1.156,15.000,18.000,228.500,-8.000
PF,Kevon Looney,3000,Cle@GS 08:00PM ET,8.025,GS,True,0,7.143,3.824,1.812,0.000,0.756,15.000,18.000,228.500,-8.000
C,Chris Andersen,3000,Cle@GS 08:00PM ET,7.979,Cle,False,1,7.688,4.607,8.312,0.000,-797.069,24.000,18.000,228.500,8.000
C,Anderson Varejao,3000,Cle@GS 08:00PM ET,5.825,GS,True,0,5.464,2.917,5.875,0.000,-523.701,6.000,18.000,228.500,-8.000
C,JaVale McGee,3000,Cle@GS 08:00PM ET,10.111,GS,True,0,8.857,4.588,8.375,0.000,-909.038,6.000,18.000,228.500,-8.000
PG,Semaj Christon,3000,OKC@LAC 10:30PM ET,9.081,OKC,False,0,10.429,4.809,10.312,0.000,-817.322,3.000,18.000,214.500,8.000
PG,Cameron Payne,3000,OKC@LAC 10:30PM ET,9.800,OKC,False,0,11.000,6.500,9.125,0.000,-882.034,3.000,18.000,214.500,8.000
SG/SF,Alex Abrines,3000,OKC@LAC 10:30PM ET,9.407,OKC,False,0,11.143,4.222,10.125,0.000,-846.663,12.250,18.000,214.500,8.000
SG,Alan Anderson,3000,OKC@LAC 10:30PM ET,5.250,LAC,True,0,3.393,2.450,8.750,0.000,-472.518,10.000,18.000,214.500,-8.000
