Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,Final,O/U,odds
Tyson Chandler,4900,C,PHO,24.578,107.625,1,CLE,0,30.250,17.562,27.188,0.000,31.750,221.000,8.500
Brandon Knight,3900,PG/SG,PHO,20.708,107.625,1,CLE,0,19.357,13.986,11.375,4.000,7.250,221.000,8.500
Alex Len,3900,C,PHO,21.929,107.625,1,CLE,0,19.179,15.711,19.750,0.000,4.000,221.000,8.500
Marquese Chriss,3500,PF,PHO,13.858,107.625,1,CLE,0,17.750,9.239,14.938,0.000,29.750,221.000,8.500
Leandro Barbosa,3000,PG/SG,PHO,11.028,107.625,1,CLE,0,10.107,5.028,13.812,0.000,0.500,221.000,8.500
Dragan Bender,3000,SF/PF,PHO,7.600,107.625,1,CLE,0,4.571,3.145,4.625,0.000,14.250,221.000,8.500
Tyler Ulis,3000,PG,PHO,7.489,107.625,1,CLE,0,5.071,3.985,7.875,0.000,0.000,221.000,8.500
Alan Williams,3000,C,PHO,9.768,107.625,1,CLE,0,3.000,3.659,4.375,0.000,0.000,221.000,8.500
Marc Gasol,7000,C,MEM,38.473,98.175,1,UTA,0,38.286,28.529,31.812,0.000,28.500,187.500,-2.500
Mike Conley,6700,PG,MEM,35.648,98.175,1,UTA,0,30.286,27.450,41.500,3.000,36.500,187.500,-2.500
JaMychal Green,4500,PF,MEM,23.145,98.175,1,UTA,0,23.964,15.389,22.562,0.000,19.500,187.500,-2.500
Tony Allen,5100,SG,MEM,22.883,98.175,1,UTA,0,27.214,16.265,26.250,0.000,11.250,187.500,-2.500
Andrew Harrison,4000,PG,MEM,18.053,98.175,1,UTA,0,14.179,11.545,14.938,0.000,5.000,187.500,-2.500
Vince Carter,3500,SG/SF,MEM,17.898,98.175,1,UTA,0,16.821,12.917,19.125,0.000,11.250,187.500,-2.500
Zach Randolph,5700,PF/C,MEM,27.172,98.175,1,UTA,0,26.786,21.867,29.562,0.000,36.750,187.500,-2.500
Troy Daniels,3000,SG,MEM,15.482,98.175,1,UTA,0,18.036,7.578,16.125,0.000,9.000,187.500,-2.500
Chandler Parsons,3200,SF,MEM,11.385,98.175,1,UTA,0,11.188,6.667,11.000,0.000,12.750,187.500,-2.500
Troy Williams,3000,SG,MEM,10.720,98.175,1,UTA,0,12.964,2.729,4.188,0.000,0.000,187.500,-2.500
Jarell Martin,3000,PF/C,MEM,10.395,98.175,1,UTA,0,12.393,4.862,5.875,0.000,0.000,187.500,-2.500
Julius Randle,7000,PF/C,LAL,32.279,104.450,1,ORL,0,40.143,24.303,42.625,3.000,41.250,217.000,-2.500
Brandon Ingram,4000,SF,LAL,16.969,104.450,1,ORL,0,15.000,12.239,19.250,4.000,25.250,217.000,-2.500
Luol Deng,4800,SF,LAL,20.994,104.450,1,ORL,0,26.179,13.511,19.562,3.000,15.750,217.000,-2.500
Jordan Clarkson,4300,PG/SG,LAL,23.125,104.450,1,ORL,0,16.893,15.461,17.688,6.000,22.500,217.000,-2.500
D'Angelo Russell,6500,PG,LAL,29.602,104.450,1,ORL,0,29.071,23.047,38.625,0.000,45.500,217.000,-2.500
Nick Young,4400,SG,LAL,21.894,104.450,1,ORL,0,22.893,14.567,23.188,3.000,4.250,217.000,-2.500
Lou Williams,4900,SG,LAL,28.250,104.450,1,ORL,0,24.000,20.118,19.938,0.000,14.750,217.000,-2.500
Timofey Mozgov,3100,C,LAL,16.128,104.450,1,ORL,0,15.107,10.857,14.562,0.000,31.250,217.000,-2.500
Tarik Black,3000,C,LAL,14.848,104.450,1,ORL,0,19.750,9.712,18.250,0.000,12.250,217.000,-2.500
