Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,±
PG/SG,James Harden,12200,GS@Hou 08:00PM ET,61.011,HOU,True,0,64.036,52.865,60.688,15.253,-64.164,14.250,73.200,240.500,5.000
PF/C,Anthony Davis,11400,Bkn@NO 08:00PM ET,54.694,NO,True,1,50.857,41.025,45.000,0.000,-5469.570,29.000,68.400,221.500,-9.500
PG,Giannis Antetokounmpo,10600,Mil@Orl 07:00PM ET,50.363,MIL,False,0,49.821,40.329,52.188,5.036,-0.606,14.500,63.600,211.000,-3.500
SF,Kevin Durant,10500,GS@Hou 08:00PM ET,50.161,GS,False,0,50.964,41.562,55.250,12.540,8.322,24.000,63.000,240.500,-5.000
PF/C,DeMarcus Cousins,10200,Sac@Mem 08:00PM ET,52.794,SAC,False,0,45.500,39.971,54.062,5.279,-87.210,2.750,61.200,199.500,8.500
SG/SF,Jimmy Butler,8900,Chi@Atl 08:00PM ET,44.524,CHI,False,0,35.857,34.312,44.812,4.452,-66.592,23.000,53.400,204.500,4.000
PG,Stephen Curry,8700,GS@Hou 08:00PM ET,43.411,GS,False,0,41.821,36.932,45.062,4.341,7.202,10.000,52.200,240.500,-5.000
PG,Damian Lillard,8500,Por@Phi 07:00PM ET,43.462,POR,False,0,43.000,34.898,42.188,4.346,-1.137,12.000,51.000,209.500,-2.000
PF/C,Joel Embiid,8400,Por@Phi 07:00PM ET,38.147,PHI,True,0,43.464,30.192,46.812,3.815,-0.998,29.000,50.400,209.500,2.000
PG,Kyle Lowry,8300,Tor@Cha 07:00PM ET,43.598,TOR,False,0,46.000,35.132,40.562,4.360,-42.887,19.000,49.800,215.500,-1.000
SG,DeMar DeRozan,8200,Tor@Cha 07:00PM ET,42.667,TOR,False,0,40.679,35.205,41.000,4.267,-38.276,21.000,49.200,215.500,-1.000
PG,Kemba Walker,8000,Tor@Cha 07:00PM ET,39.652,CHA,True,0,44.750,32.946,38.438,3.965,1.204,9.000,48.000,215.500,1.000
PF/C,Draymond Green,7900,GS@Hou 08:00PM ET,39.913,GS,False,0,37.286,34.833,45.188,3.991,6.622,17.250,47.400,240.500,-5.000
PG,Jeff Teague,7900,Ind@LAL 10:30PM ET,36.378,IND,False,0,32.893,26.369,32.938,3.638,-39.027,28.000,47.400,220.500,-3.500
SF/PF,Paul George,7800,Ind@LAL 10:30PM ET,38.485,IND,False,0,32.286,30.484,27.375,3.849,-30.263,27.500,46.800,220.500,-3.500
SF,Gordon Hayward,7600,Uta@Dal 08:30PM ET,37.375,UTA,False,0,33.286,29.569,38.000,0.000,-16.772,5.000,45.600,188.000,-5.500
PF,Paul Millsap,7500,Chi@Atl 08:00PM ET,38.731,ATL,True,0,42.500,28.882,38.750,9.683,-2.838,16.500,45.000,204.500,-4.000
SG/SF,Nicolas Batum,7400,Tor@Cha 07:00PM ET,36.276,CHA,True,0,42.036,27.408,34.125,0.000,-3.045,7.000,44.400,215.500,1.000
PG,Mike Conley,7300,Sac@Mem 08:00PM ET,36.438,MEM,True,0,36.571,28.625,41.500,0.000,-8.030,21.500,43.800,199.500,-8.500
