Name,Salary,Position,team,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,7dayAvg,penalty
Joakim Noah,5500,C,NYK,23.089,105,0,MIL,0,23.089,23.929,0.00
Justin Holiday,3700,PG/SG,NYK,15.421,105,0,MIL,0,15.421,23.107,0.00
Lance Thomas,3200,SF/PF,NYK,9.167,105,0,MIL,0,9.167,7.321,0.00
Kyle O'Quinn,3600,PF/C,NYK,17.205,105,0,MIL,0,17.205,20.393,0.00
Mindaugas Kuzminskas,3100,SF,NYK,9.336,105,0,MIL,0,9.336,7.429,0.00
Marshall Plumlee,3000,C,NYK,5.000,105,0,MIL,0,5.000,6.875,0.00
Ron Baker,3000,SG,NYK,6.727,105,0,MIL,0,6.727,8.125,0.00
Sasha Vujacic,3000,SG,NYK,5.202,105,0,MIL,0,5.202,5.357,0.00
Maurice Ndour,3000,PF,NYK,5.067,105,0,MIL,0,5.067,5.179,0.00
James Harden,12200,PG/SG,HOU,60.574,106,0,ORL,0,65.574,56.107,0.00
Trevor Ariza,5900,SF,HOU,27.953,106,0,ORL,0,27.953,24.429,0.00
Patrick Beverley,5400,PG,HOU,27.848,106,0,ORL,0,27.848,28.464,0.00
Ryan Anderson,5600,PF,HOU,24.500,106,0,ORL,0,24.500,35.214,0.00
Eric Gordon,5800,SG,HOU,28.919,106,0,ORL,0,30.919,31.893,0.00
Sam Dekker,3400,SF/PF,HOU,15.446,106,0,ORL,0,15.446,18.071,0.00
Montrezl Harrell,5500,PF/C,HOU,16.920,106,0,ORL,0,16.920,18.500,0.00
Corey Brewer,3000,SG/SF,HOU,9.027,106,0,ORL,0,9.027,6.393,0.00
K.J. McDaniels,3000,SF,HOU,6.213,106,0,ORL,0,6.213,0.000,0.00
Chinanu Onuaku,3000,C,HOU,13.250,106,0,ORL,0,13.250,0.00,0.00
Tyler Ennis,3000,PG,HOU,5.125,106,0,ORL,0,5.125,6.393,0.00
Bobby Brown,3000,PG,HOU,0.656,106,0,ORL,0,0.656,0.250,0.00
Kyle Wiltjer,3000,PF,HOU,2.306,106,0,ORL,0,2.306,1.042,0.00
LeBron James,10500,SF,CLE,52.266,108,0,BRK,0,56.266,52.321,0.00
Tristan Thompson,4500,C,CLE,23.846,108,0,BRK,0,23.846,25.250,0.00
Iman Shumpert,3600,PG/SG,CLE,15.508,108,0,BRK,0,15.508,15.536,0.00
Richard Jefferson,3500,SF/PF,CLE,10.684,108,0,BRK,0,10.684,7.929,0.00
Channing Frye,4300,PF/C,CLE,16.954,108,0,BRK,0,16.954,14.357,0.00
DeAndre Liggins,3000,SG,CLE,8.788,108,0,BRK,0,8.788,10.750,0.00
Jordan McRae,4600,SG,CLE,9.364,108,0,BRK,0,9.364,12.542,0.00
Kay Felder,3700,PG,CLE,11.456,108,0,BRK,0,11.456,14.393,0.00
James Jones,3000,SG,CLE,4.762,108,0,BRK,0,4.762,7.429,0.00
DeAndre Jordan,7100,C,LAC,34.355,104,0,SAC,0,34.355,38.643,0.00
J.J. Redick,5200,SG/SF,LAC,21.157,104,0,SAC,0,21.157,0.000,0.00
Jamal Crawford,4900,SG,LAC,19.875,104,0,SAC,0,21.875,13.821,0.00
Austin Rivers,5300,PG,LAC,18.223,104,0,SAC,0,20.223,21.179,0.00
Raymond Felton,4700,PG/SG,LAC,15.229,104,0,SAC,0,16.229,20.214,0.00
Marreese Speights,4000,PF/C,LAC,19.145,104,0,SAC,0,19.145,22.071,0.00
Wesley Johnson,3000,SF,LAC,10.305,104,0,SAC,0,10.305,11.857,0.00
Paul Pierce,3000,SF,LAC,6.917,104,0,SAC,0,6.917,9.542,0.00
Alan Anderson,3000,SG,LAC,5.268,104,0,SAC,0,5.268,7.750,0.00
Brandon Bass,3000,PF,LAC,9.196,104,0,SAC,0,9.196,11.500,0.00
Diamond Stone,3000,C,LAC,2.813,104,0,SAC,0,2.813,0.00,0.00
Marc Gasol,7400,C,MEM,38.549,105,0,GSW,0,38.549,42.071,0.00
Mike Conley,6600,PG,MEM,34.942,105,0,GSW,0,35.942,35.679,0.00
Tony Allen,4700,SG,MEM,22.234,105,0,GSW,0,22.234,20.071,0.00
Andrew Harrison,4200,PG,MEM,18.466,105,0,GSW,0,18.466,22.429,0.00
Vince Carter,3400,SG/SF,MEM,18.234,105,0,GSW,0,18.234,16.000,0.00
Zach Randolph,5500,PF/C,MEM,26.395,105,0,GSW,0,26.395,25.500,0.00
Troy Daniels,3100,SG,MEM,15.398,105,0,GSW,0,15.398,14.429,0.00
