Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG,Russell Westbrook,12300,OKC@SA 08:30PM ET,64.224,OKC,0,0,63.607,53.990,65.938,57.000,4.000,73.800,0.239,9.000,210.000
PG/SG,James Harden,12200,Sac@Hou 08:00PM ET,60.770,Hou,1,0,63.857,52.357,63.625,36.250,20.750,73.200,0.178,-12.000,224.500
PF/C,DeMarcus Cousins,11200,Sac@Hou 08:00PM ET,53.963,Sac,0,0,60.821,42.488,65.250,75.750,20.750,67.200,0.158,12.000,224.500
C,Anthony Davis,10500,NO@Tor 07:00PM ET,53.756,NO,0,0,50.679,38.750,44.688,70.750,11.000,63.000,0.298,7.000,213.000
PG,John Wall,10000,NY@Was 07:00PM ET,48.639,Was,1,0,50.893,41.214,46.000,53.750,14.000,60.000,0.112,-7.000,216.500
C,Nikola Jokic,9800,Den@LAL 10:30PM ET,35.268,Den,0,1,46.429,22.977,49.500,64.500,30.000,58.800,0.073,-2.000,226.000
SF,Kawhi Leonard,8800,OKC@SA 08:30PM ET,42.599,SA,1,0,45.000,34.211,47.750,39.250,7.000,52.800,0.141,-9.000,210.000
PG,Damian Lillard,8700,Cha@Por 10:00PM ET,43.040,Por,1,0,38.714,35.120,39.750,35.000,13.000,52.200,0.214,-3.500,214.500
PG,Kyle Lowry,8600,NO@Tor 07:00PM ET,43.436,Tor,1,0,43.393,35.107,48.188,54.250,27.000,51.600,0.209,-7.000,213.000
PG,Kemba Walker,7900,Cha@Por 10:00PM ET,40.074,Cha,0,0,43.250,32.830,44.750,44.750,10.000,47.400,0.226,3.500,214.500
SG,DeMar DeRozan,7800,NO@Tor 07:00PM ET,42.106,Tor,1,0,42.679,35.054,35.375,39.250,18.000,46.800,0.304,-7.000,213.000
PG,Jrue Holiday,7700,NO@Tor 07:00PM ET,34.371,NO,0,0,29.393,26.426,52.500,52.000,9.000,46.200,0.136,7.000,213.000
PG/SG,C.J. McCollum,7600,Cha@Por 10:00PM ET,37.041,Por,1,0,41.107,29.214,38.188,43.750,16.000,45.600,0.225,-3.500,214.500
SF/PF,Carmelo Anthony,7500,NY@Was 07:00PM ET,38.156,NY,0,0,36.571,28.302,43.625,60.500,19.750,45.000,0.288,7.000,216.500
SG/SF,Nicolas Batum,7400,Cha@Por 10:00PM ET,36.006,Cha,0,0,37.357,27.841,34.438,37.250,14.250,44.400,0.197,3.500,214.500
SG,Bradley Beal,6800,NY@Was 07:00PM ET,33.756,Was,1,0,30.821,25.619,35.000,39.000,25.000,40.800,0.236,-7.000,216.500
PF,LaMarcus Aldridge,6700,OKC@SA 08:30PM ET,33.064,SA,1,0,30.500,24.864,35.312,29.750,15.500,40.200,0.239,-9.000,210.000
SF/PF,Markieff Morris,6600,NY@Was 07:00PM ET,28.359,Was,1,0,34.000,20.680,36.500,34.000,17.250,39.600,0.136,-7.000,216.500
C,Mason Plumlee,6500,Cha@Por 10:00PM ET,31.138,Por,1,0,36.036,23.540,38.562,36.750,24.500,39.000,0.211,-3.500,214.500
SF/PF,Otto Porter,6400,NY@Was 07:00PM ET,30.053,Was,1,0,24.821,21.837,31.312,30.000,17.250,38.400,0.244,-7.000,216.500
SF,Danilo Gallinari,6300,Den@LAL 10:30PM ET,29.095,Den,0,0,34.714,24.010,32.875,44.500,28.000,37.800,0.122,-2.000,226.000
PF,Kristaps Porzingis,6200,NY@Was 07:00PM ET,35.065,NY,0,0,30.321,26.114,24.812,27.750,25.000,37.200,0.428,7.000,216.500
PF/C,Terrence Jones,6000,NO@Tor 07:00PM ET,24.038,NO,0,0,25.393,15.480,31.312,7.250,16.500,36.000,0.164,7.000,213.000
PG,Derrick Rose,5800,NY@Was 07:00PM ET,30.529,NY,0,1,31.000,24.160,28.188,24.500,3.000,34.800,0.332,7.000,216.500
C,Marcin Gortat,5800,NY@Was 07:00PM ET,31.271,Was,1,0,28.786,25.308,32.250,36.250,21.000,34.800,0.332,-7.000,216.500
PF,Julius Randle,5800,Den@LAL 10:30PM ET,30.938,LAL,1,0,32.679,21.690,23.688,14.750,5.000,34.800,0.363,2.000,226.000
PG,Jameer Nelson,5600,Den@LAL 10:30PM ET,19.886,Den,0,0,19.143,12.000,27.875,31.750,28.000,33.600,0.089,-2.000,226.000
SG/SF,Norman Powell,5500,NO@Tor 07:00PM ET,12.182,Tor,1,0,15.321,5.380,24.688,8.000,19.500,33.000,0.029,-7.000,213.000
SG,Victor Oladipo,5500,OKC@SA 08:30PM ET,28.686,OKC,0,0,29.750,20.500,30.875,31.750,20.500,33.000,0.327,9.000,210.000
PF/C,David Lee,5500,OKC@SA 08:30PM ET,17.598,SA,1,0,20.750,11.865,25.438,23.750,13.750,33.000,0.030,-9.000,210.000
PG,D'Angelo Russell,5500,Den@LAL 10:30PM ET,28.250,LAL,1,0,29.036,18.906,16.000,-0.500,29.000,33.000,0.343,2.000,226.000
SG,Lou Williams,5500,Den@LAL 10:30PM ET,28.155,LAL,1,0,28.500,19.470,34.562,27.250,29.000,33.000,0.331,2.000,226.000
SF/PF,Wilson Chandler,5500,Den@LAL 10:30PM ET,29.000,Den,0,0,24.821,21.208,19.562,11.250,27.000,33.000,0.364,-2.000,226.000
C,Jonas Valanciunas,5400,NO@Tor 07:00PM ET,27.951,Tor,1,0,35.571,21.052,27.688,27.250,21.000,32.400,0.317,-7.000,213.000
C,Steven Adams,5400,OKC@SA 08:30PM ET,27.092,OKC,0,0,26.250,20.729,29.250,21.000,3.000,32.400,0.261,9.000,210.000
PF,Kenneth Faried,5400,Den@LAL 10:30PM ET,23.946,Den,0,0,25.643,14.225,24.375,49.750,26.000,32.400,0.235,-2.000,226.000
PG,Darren Collison,5300,Sac@Hou 08:00PM ET,23.588,Sac,0,0,24.464,17.413,29.938,12.500,11.500,31.800,0.159,12.000,224.500
SG,Eric Gordon,5200,Sac@Hou 08:00PM ET,28.011,Hou,1,0,28.357,21.304,22.875,21.250,23.500,31.200,0.352,-12.000,224.500
SG/SF,Tyreke Evans,5200,NO@Tor 07:00PM ET,21.575,NO,0,0,25.143,13.475,20.438,7.000,5.750,31.200,0.189,7.000,213.000
SF,Michael Kidd-Gilchrist,5200,Cha@Por 10:00PM ET,24.128,Cha,0,0,24.000,17.800,25.375,26.500,18.500,31.200,0.202,3.500,214.500
C,Enes Kanter,5200,OKC@SA 08:30PM ET,26.154,OKC,0,1,33.893,17.062,25.688,12.500,3.000,31.200,0.325,9.000,210.000
SG/SF,Will Barton,5200,Den@LAL 10:30PM ET,25.500,Den,0,1,31.286,16.941,17.938,17.250,24.250,31.200,0.291,-2.000,226.000
PG,Brandon Jennings,5100,NY@Was 07:00PM ET,20.362,NY,0,0,23.536,12.440,25.375,43.250,3.000,30.600,0.165,7.000,216.500
PG,Patrick Beverley,5100,Sac@Hou 08:00PM ET,27.270,Hou,1,0,28.714,21.069,22.688,23.000,18.000,30.600,0.335,-12.000,224.500
SF/PF,Trevor Ariza,5100,Sac@Hou 08:00PM ET,27.225,Hou,1,0,26.536,21.205,23.062,16.250,20.500,30.600,0.333,-12.000,224.500
PF,Ryan Anderson,5000,Sac@Hou 08:00PM ET,24.135,Hou,1,0,17.893,16.944,27.250,40.250,24.000,30.000,0.279,-12.000,224.500
C,Cody Zeller,5000,Cha@Por 10:00PM ET,24.375,Cha,0,1,29.000,19.060,25.312,36.250,28.000,30.000,0.224,3.500,214.500
C,Pau Gasol,5000,OKC@SA 08:30PM ET,28.686,SA,1,1,26.321,21.455,24.062,10.250,12.000,30.000,0.449,-9.000,210.000
C,Jusuf Nurkic,5000,Den@LAL 10:30PM ET,19.938,Den,0,0,18.179,11.239,11.625,8.500,30.000,30.000,0.191,-2.000,226.000
PF,Marvin Williams,4900,Cha@Por 10:00PM ET,22.583,Cha,0,0,23.607,16.400,27.125,19.000,29.000,29.400,0.176,3.500,214.500
PG/SG,Jordan Clarkson,4800,Den@LAL 10:30PM ET,23.320,LAL,1,0,21.679,16.083,25.625,28.750,29.000,28.800,0.262,2.000,226.000
SG,Gary Harris,4800,Den@LAL 10:30PM ET,22.875,Den,0,0,24.071,12.781,25.500,35.500,20.500,28.800,0.276,-2.000,226.000
C,Clint Capela,4700,Sac@Hou 08:00PM ET,25.785,Hou,1,0,26.536,19.000,24.000,20.500,9.500,28.200,0.384,-12.000,224.500
SG/SF,Evan Turner,4700,Cha@Por 10:00PM ET,21.582,Por,1,0,25.036,15.865,26.438,34.000,20.500,28.200,0.179,-3.500,214.500
PF/C,Spencer Hawes,4600,Cha@Por 10:00PM ET,17.182,Cha,0,0,18.429,9.235,21.750,23.750,28.500,27.600,0.152,3.500,214.500
PF,Al-Farouq Aminu,4500,Cha@Por 10:00PM ET,21.945,Por,1,0,26.536,15.800,23.500,27.750,13.000,27.000,0.299,-3.500,214.500
SG,Courtney Lee,4300,NY@Was 07:00PM ET,20.000,NY,0,0,24.714,13.989,32.500,38.250,9.000,25.800,0.227,7.000,216.500
PG,Emmanuel Mudiay,4300,Den@LAL 10:30PM ET,24.293,Den,0,1,17.893,14.405,26.188,9.500,28.000,25.800,0.450,-2.000,226.000
SF,Brandon Ingram,4300,Den@LAL 10:30PM ET,17.470,LAL,1,0,24.714,12.276,13.000,4.500,16.000,25.800,0.141,2.000,226.000
SG/SF,Garrett Temple,4200,Sac@Hou 08:00PM ET,17.849,Sac,0,0,20.250,12.310,17.125,19.250,25.750,25.200,0.164,12.000,224.500
SG/SF,Terrence Ross,4100,NO@Tor 07:00PM ET,18.197,Tor,1,0,18.714,13.009,20.438,27.250,19.500,24.600,0.210,-7.000,213.000
PG,Tony Parker,4100,OKC@SA 08:30PM ET,21.191,SA,1,0,23.464,14.765,19.125,21.500,22.000,24.600,0.330,-9.000,210.000
PG,Ty Lawson,4000,Sac@Hou 08:00PM ET,20.554,Sac,0,0,24.071,12.964,21.500,23.250,11.500,24.000,0.344,12.000,224.500
SF,Solomon Hill,4000,NO@Tor 07:00PM ET,16.353,NO,0,0,15.857,11.120,24.562,22.750,9.500,24.000,0.163,7.000,213.000
SG,Jeremy Lamb,4000,Cha@Por 10:00PM ET,18.536,Cha,0,1,21.464,8.188,19.812,25.750,10.000,24.000,0.309,3.500,214.500
SG,Nick Young,4000,Den@LAL 10:30PM ET,20.849,LAL,1,0,19.214,13.537,19.625,19.750,29.000,24.000,0.360,2.000,226.000
C,Guillermo Hernangomez,3900,NY@Was 07:00PM ET,14.317,NY,0,0,21.036,4.750,21.812,0.000,7.500,23.400,0.210,7.000,216.500
SF/PF,Sam Dekker,3900,Sac@Hou 08:00PM ET,16.196,Hou,1,0,15.571,10.967,16.312,16.750,20.500,23.400,0.186,-12.000,224.500
SF,DeMarre Carroll,3900,NO@Tor 07:00PM ET,19.180,Tor,1,0,21.286,12.844,15.812,10.500,21.000,23.400,0.320,-7.000,213.000
SG/SF,Allen Crabbe,3900,Cha@Por 10:00PM ET,18.020,Por,1,0,23.321,12.616,18.562,13.000,20.500,23.400,0.243,-3.500,214.500
PF,Frank Kaminsky,3900,Cha@Por 10:00PM ET,20.614,Cha,0,0,14.250,14.520,16.125,25.000,29.000,23.400,0.370,3.500,214.500
SF/PF,Matt Barnes,3800,Sac@Hou 08:00PM ET,18.639,Sac,0,0,15.607,11.823,15.938,26.250,20.000,22.800,0.321,12.000,224.500
PF/C,Lucas Nogueira,3800,NO@Tor 07:00PM ET,17.724,Tor,1,0,22.500,11.131,20.812,10.500,24.000,22.800,0.273,-7.000,213.000
SG/SF,Marco Belinelli,3800,Cha@Por 10:00PM ET,18.733,Cha,0,0,18.179,12.810,20.312,13.750,14.250,22.800,0.298,3.500,214.500
SG,Danny Green,3800,OKC@SA 08:30PM ET,18.038,SA,1,0,19.679,11.662,21.875,24.000,11.000,22.800,0.242,-9.000,210.000
