Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,±,Final
SG,J.R. Smith,3500,Pho@Cle 07:00PM ET,17.321,CLE,True,1,17.750,11.300,19.688,0.000,-1736.722,15.000,21.000,220.500,-12.500,0.000
PG,Jameer Nelson,3500,Den@SA 08:30PM ET,18.906,DEN,False,0,14.679,11.978,22.250,0.000,-1705.321,5.000,21.000,219.000,12.000,27.000
SG,Brandon Rush,3400,Min@LAC 10:30PM ET,7.938,MIN,False,0,4.679,3.229,15.062,0.000,-714.807,7.500,20.400,208.000,-1.000,0.000
PF,David Lee,3400,Den@SA 08:30PM ET,15.900,SA,True,0,16.607,11.772,14.312,0.000,-1434.180,10.500,20.400,219.000,-12.000,38.500
C,Dewayne Dedmon,3400,Den@SA 08:30PM ET,15.393,SA,True,0,19.929,8.926,18.812,0.000,-3.079,15.500,20.400,219.000,-12.000,17.500
C,Andrew Bogut,3300,Dal@Mia 07:30PM ET,19.614,DAL,False,1,18.750,14.604,12.188,0.000,-1965.197,19.000,19.800,198.500,2.500,0.000
SG,Courtney Lee,3300,Was@NY 08:00PM ET,18.645,NY,True,0,16.893,12.676,16.688,0.000,-1678.050,12.000,19.800,220.000,2.500,15.500
SG,Justin Holiday,3300,Was@NY 08:00PM ET,14.797,NY,True,0,10.107,9.040,17.750,0.000,-1331.730,12.000,19.800,220.000,2.500,21.000
PF,Marquese Chriss,3200,Pho@Cle 07:00PM ET,14.287,PHO,False,0,14.857,9.217,18.250,0.000,-5.857,15.000,19.200,220.500,12.500,14.500
SF,Wayne Ellington,3100,Dal@Mia 07:30PM ET,17.852,MIA,True,0,20.679,10.932,12.562,0.000,-1609.142,7.000,18.600,198.500,-2.500,4.500
PF/C,Dwight Powell,3100,Dal@Mia 07:30PM ET,17.646,DAL,False,0,16.500,12.109,10.312,0.000,-1591.920,13.000,18.600,198.500,2.500,9.000
PF,Luke Babbitt,3100,Dal@Mia 07:30PM ET,8.856,MIA,True,0,6.714,3.441,9.562,0.000,-798.261,3.000,18.600,198.500,-2.500,7.250
PG/SG,Devin Harris,3000,Dal@Mia 07:30PM ET,11.260,DAL,False,0,11.107,5.933,11.938,0.000,-1014.953,6.750,18.000,198.500,2.500,3.000
PG,Pierre Jackson,3000,Dal@Mia 07:30PM ET,5.200,DAL,False,0,13.750,0.500,3.812,0.000,-468.717,9.000,18.000,198.500,2.500,0.000
SG/SF,Rodney McGruder,3000,Dal@Mia 07:30PM ET,13.954,MIA,True,0,11.964,7.721,12.250,0.000,-1257.784,7.250,18.000,198.500,-2.500,14.250
SG,Nicolas Brussino,3000,Dal@Mia 07:30PM ET,4.750,DAL,False,0,5.607,1.062,3.562,0.000,-428.155,4.500,18.000,198.500,2.500,0.000
SF,Dorian Finney-Smith,3000,Dal@Mia 07:30PM ET,11.138,DAL,False,0,7.643,6.115,4.562,0.000,-1004.865,8.000,18.000,198.500,2.500,7.500
SF,Justin Anderson,3000,Dal@Mia 07:30PM ET,13.845,DAL,False,0,8.500,7.938,2.188,0.000,-1249.106,8.000,18.000,198.500,2.500,0.000
PF,Josh McRoberts,3000,Dal@Mia 07:30PM ET,13.523,MIA,True,1,15.107,8.917,9.188,0.000,-1354.030,3.000,18.000,198.500,-2.500,0.000
PF,Derrick Williams,3000,Dal@Mia 07:30PM ET,12.326,MIA,True,0,12.429,7.769,11.312,0.000,-1111.816,3.000,18.000,198.500,-2.500,0.000
PF,Justise Winslow,3000,Dal@Mia 07:30PM ET,25.833,MIA,True,1,25.464,20.250,23.875,0.000,-2586.604,3.000,18.000,198.500,-2.500,0.000
C,Udonis Haslem,3000,Dal@Mia 07:30PM ET,5.679,MIA,True,0,4.208,1.321,10.750,0.000,-511.893,13.000,18.000,198.500,-2.500,0.000
C,Salah Mejri,3000,Dal@Mia 07:30PM ET,10.972,DAL,False,0,11.143,4.737,12.938,0.000,-1.513,19.000,18.000,198.500,2.500,10.750
PG/SG,Leandro Barbosa,3000,Pho@Cle 07:00PM ET,10.575,PHO,False,0,11.786,4.988,6.500,0.000,-2.115,23.250,18.000,220.500,12.500,-0.500
PG,Kay Felder,3000,Pho@Cle 07:00PM ET,9.696,CLE,True,0,10.429,4.304,6.250,0.000,-1.939,26.000,18.000,220.500,-12.500,2.000
PG,Tyler Ulis,3000,Pho@Cle 07:00PM ET,7.010,PHO,False,0,5.179,3.500,4.188,0.000,-1.402,18.000,18.000,220.500,12.500,4.250
SG,James Jones,3000,Pho@Cle 07:00PM ET,4.370,CLE,True,0,3.500,1.422,2.312,0.000,-0.874,15.000,18.000,220.500,-12.500,20.000
SG,DeAndre Liggins,3000,Pho@Cle 07:00PM ET,9.219,CLE,True,0,8.679,3.089,7.625,0.000,-1.844,15.000,18.000,220.500,-12.500,7.000
SG,Jordan McRae,3000,Pho@Cle 07:00PM ET,8.222,CLE,True,0,10.071,2.875,3.062,0.000,-1.644,15.000,18.000,220.500,-12.500,0.000
SF/PF,Richard Jefferson,3000,Pho@Cle 07:00PM ET,10.219,CLE,True,0,15.143,5.977,9.188,0.000,-2.044,21.250,18.000,220.500,-12.500,10.500
SF/PF,Dragan Bender,3000,Pho@Cle 07:00PM ET,8.235,PHO,False,0,12.500,3.583,13.000,0.000,-1.647,21.000,18.000,220.500,12.500,7.750
PF,Jared Dudley,3000,Pho@Cle 07:00PM ET,16.858,PHO,False,1,12.786,11.000,7.750,0.000,-1690.347,15.000,18.000,220.500,12.500,0.000
C,Chris Andersen,3000,Pho@Cle 07:00PM ET,7.979,CLE,True,1,8.714,4.607,8.312,0.000,-799.416,24.000,18.000,220.500,-12.500,0.000
C,Alan Williams,3000,Pho@Cle 07:00PM ET,9.250,PHO,False,0,16.429,3.000,3.750,0.000,-834.350,6.000,18.000,220.500,12.500,0.000
PG,Trey Burke,3000,Was@NY 08:00PM ET,8.372,WAS,False,0,6.321,4.476,9.000,0.000,-0.000,13.500,18.000,220.000,-2.500,4.500
PG,Tomas Satoransky,3000,Was@NY 08:00PM ET,9.875,WAS,False,0,9.036,4.891,14.188,0.000,-0.000,13.500,18.000,220.000,-2.500,11.000
SG,Sasha Vujacic,3000,Was@NY 08:00PM ET,5.728,NY,True,0,7.857,1.000,8.875,0.000,-515.520,12.000,18.000,220.000,2.500,0.000
SG,Sheldon McClellan,3000,Was@NY 08:00PM ET,7.500,WAS,False,0,12.214,2.500,5.062,0.000,-0.000,26.000,18.000,220.000,-2.500,0.000
SF/PF,Lance Thomas,3000,Was@NY 08:00PM ET,9.150,NY,True,1,10.964,5.375,7.562,0.000,-915.380,19.500,18.000,220.000,2.500,0.000
SF,Marcus Thornton,3000,Was@NY 08:00PM ET,12.712,WAS,False,0,9.500,6.875,13.688,0.000,-0.912,14.500,18.000,220.000,-2.500,0.000
PF/C,Jason Smith,3000,Was@NY 08:00PM ET,9.635,WAS,False,0,9.571,5.933,15.375,0.000,-0.000,23.250,18.000,220.000,-2.500,19.500
PF,Maurice Ndour,3000,Was@NY 08:00PM ET,5.176,NY,True,0,3.964,2.714,5.000,0.000,-0.000,23.000,18.000,220.000,2.500,0.000
C,Andrew Nicholson,3000,Was@NY 08:00PM ET,5.840,WAS,False,0,9.250,2.300,5.062,0.000,-0.000,25.500,18.000,220.000,-2.500,0.000
