Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG,Russell Westbrook,12700,OKC@Mem 08:00PM ET,65.219,OKC,0,0,63.571,54.533,70.812,67.750,8.000,76.200,0.205,1.000,197.500
SF,LeBron James,10100,Bos@Cle 08:00PM ET,52.167,Cle,1,0,55.107,42.786,54.188,60.250,12.500,60.600,0.246,-6.000,217.000
C,Hassan Whiteside,8600,Mia@Cha 07:00PM ET,43.445,Mia,0,0,38.071,30.946,43.500,25.500,24.500,51.600,0.271,6.000,204.500
PG,Kyle Lowry,8500,Tor@Pho 09:00PM ET,43.008,Tor,0,0,46.107,35.500,50.875,57.500,26.000,51.000,0.170,-8.500,223.000
SG,DeMar DeRozan,8300,Tor@Pho 09:00PM ET,42.298,Tor,0,0,42.536,35.179,40.500,52.250,15.000,49.800,0.189,-8.500,223.000
PF/C,Kevin Love,8200,Bos@Cle 08:00PM ET,42.028,Cle,1,0,42.786,34.483,43.250,42.500,23.000,49.200,0.245,-6.000,217.000
SF,Gordon Hayward,8100,Phi@Uta 09:00PM ET,38.380,Uta,1,0,37.571,29.979,35.688,50.250,19.000,48.600,0.163,-14.500,196.500
C,Marc Gasol,7900,OKC@Mem 08:00PM ET,38.977,Mem,1,0,38.607,29.483,42.250,54.500,12.000,47.400,0.231,-1.000,197.500
PG,Kemba Walker,7800,Mia@Cha 07:00PM ET,38.847,Cha,1,0,37.107,33.145,38.312,32.750,7.000,46.800,0.203,-6.000,204.500
SG/SF,Nicolas Batum,7800,Mia@Cha 07:00PM ET,36.185,Cha,1,0,42.286,27.167,48.250,45.250,5.500,46.800,0.155,-6.000,204.500
PG,Isaiah Thomas,7700,Bos@Cle 08:00PM ET,41.411,Bos,0,0,44.464,35.750,41.438,31.250,22.000,46.200,0.291,6.000,217.000
PG,Kyrie Irving,7600,Bos@Cle 08:00PM ET,39.259,Cle,1,0,44.071,32.383,51.625,35.750,24.000,45.600,0.263,-6.000,217.000
PG,Eric Bledsoe,7500,Tor@Pho 09:00PM ET,37.344,Pho,1,0,38.929,27.391,34.500,19.500,9.000,45.000,0.265,8.500,223.000
C,Rudy Gobert,7400,Phi@Uta 09:00PM ET,35.227,Uta,1,0,41.464,26.821,37.312,31.750,27.000,44.400,0.161,-14.500,196.500
PF/C,Joel Embiid,7200,Phi@Uta 09:00PM ET,35.869,Phi,0,0,35.200,27.389,40.562,41.000,1.500,43.200,0.210,14.500,196.500
PG,Goran Dragic,7000,Mia@Cha 07:00PM ET,35.721,Mia,0,0,36.000,28.217,36.625,35.000,14.500,42.000,0.290,6.000,204.500
SF/PF,Harrison Barnes,6800,Dal@LAL 10:30PM ET,31.047,Dal,0,0,31.000,24.000,30.938,26.750,27.250,40.800,0.126,4.000,205.000
C,Al Horford,6700,Bos@Cle 08:00PM ET,37.136,Bos,0,0,35.143,28.977,33.750,25.500,6.000,40.200,0.378,6.000,217.000
PF/C,Julius Randle,6500,Dal@LAL 10:30PM ET,31.125,LAL,1,0,31.393,22.143,36.062,47.500,5.250,39.000,0.229,-4.000,205.000
PG,Mike Conley,6400,OKC@Mem 08:00PM ET,34.630,Mem,1,0,30.286,26.750,32.438,24.000,21.000,38.400,0.366,-1.000,197.500
SG,Devin Booker,6300,Tor@Pho 09:00PM ET,29.073,Pho,1,0,31.036,22.083,34.188,20.250,2.000,37.800,0.200,8.500,223.000
