Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PF/C,DeMarcus Cousins,11400,Sac@Por 10:00PM ET,53.017,Sac,0,0,49.179,39.125,59.250,54.750,28.500,68.400,0.138,2.000,206.500
PF/C,Anthony Davis,11100,LAC@NO 08:00PM ET,55.605,NO,1,0,58.857,40.625,61.250,56.500,11.500,66.600,0.267,1.000,209.500
PG,Giannis Antetokounmpo,10000,Mil@Det 07:30PM ET,51.095,Mil,0,0,51.750,41.354,54.250,50.000,25.000,60.000,0.203,3.500,203.500
SF,Kevin Durant,9800,Tor@GS 10:30PM ET,49.602,GS,1,0,49.714,41.281,49.312,65.750,9.000,58.800,0.189,-9.500,227.500
PG,John Wall,9500,Ind@Was 07:00PM ET,48.527,Was,1,0,53.750,41.096,45.625,52.250,17.500,57.000,0.187,-4.000,214.500
PG,Chris Paul,9000,LAC@NO 08:00PM ET,43.975,LAC,0,0,42.393,36.309,40.938,39.500,27.000,54.000,0.179,-1.000,209.500
PF/C,Karl-Anthony Towns,8700,Min@Den 09:00PM ET,44.444,Min,0,0,41.679,37.434,44.375,50.250,11.000,52.200,0.256,4.000,217.000
PG,Damian Lillard,8500,Sac@Por 10:00PM ET,44.398,Por,1,0,42.929,34.188,40.000,40.250,17.500,51.000,0.300,-2.000,206.500
SG/SF,Jimmy Butler,8400,Bkn@Chi 08:00PM ET,42.089,Chi,1,0,39.679,33.912,36.312,33.250,30.000,50.400,0.229,-9.500,213.500
SF,Kawhi Leonard,8300,Pho@SA 08:30PM ET,41.879,SA,1,0,39.214,33.288,47.062,55.000,23.000,49.800,0.197,-11.500,214.000
PG,Kyle Lowry,8200,Tor@GS 10:30PM ET,42.525,Tor,0,0,42.643,35.500,45.812,45.500,14.500,49.200,0.203,9.500,227.500
PG,Stephen Curry,8100,Tor@GS 10:30PM ET,42.586,GS,1,0,39.286,36.721,38.688,28.750,9.000,48.600,0.241,-9.500,227.500
PG,Kemba Walker,8000,Cha@Orl 07:00PM ET,39.050,Cha,0,0,33.357,33.167,41.000,30.750,19.000,48.000,0.178,-4.500,204.500
SG/SF,Nicolas Batum,7900,Cha@Orl 07:00PM ET,35.883,Cha,0,0,36.893,27.167,43.125,44.250,23.500,47.400,0.137,-4.500,204.500
PF/C,Blake Griffin,7900,LAC@NO 08:00PM ET,41.942,LAC,0,0,38.143,35.625,41.750,46.250,23.500,47.400,0.259,-1.000,209.500
SG,DeMar DeRozan,7800,Tor@GS 10:30PM ET,41.967,Tor,0,0,41.893,34.021,38.500,49.000,12.000,46.800,0.282,9.500,227.500
PF/C,Draymond Green,7700,Tor@GS 10:30PM ET,39.425,GS,1,0,39.643,33.656,37.750,26.000,15.750,46.200,0.220,-9.500,227.500
SF/PF,Paul George,7700,Ind@Was 07:00PM ET,38.830,Ind,0,0,36.679,33.464,34.500,30.250,20.000,46.200,0.163,4.000,214.500
SF,Carmelo Anthony,7600,NY@Atl 07:30PM ET,37.457,NY,0,0,36.679,29.594,42.188,44.750,26.000,45.600,0.233,5.000,211.000
PG/SG,C.J. McCollum,7600,Sac@Por 10:00PM ET,35.424,Por,1,0,34.893,28.000,36.062,44.750,20.250,45.600,0.182,-2.000,206.500
PF,Kristaps Porzingis,7500,NY@Atl 07:30PM ET,37.433,NY,0,0,41.750,28.583,38.625,50.500,19.000,45.000,0.256,5.000,211.000
PF,Paul Millsap,7400,NY@Atl 07:30PM ET,37.670,Atl,1,0,40.214,25.917,37.500,14.250,20.000,44.400,0.292,-5.000,211.000
C,Dwight Howard,7300,NY@Atl 07:30PM ET,37.176,Atl,1,0,32.179,24.200,44.500,44.000,22.000,43.800,0.293,-5.000,211.000
PG,Jeff Teague,7200,Ind@Was 07:00PM ET,35.375,Ind,0,0,35.750,25.828,40.562,15.000,3.000,43.200,0.247,4.000,214.500
C,Andre Drummond,7100,Mil@Det 07:30PM ET,37.719,Det,1,0,38.357,28.941,33.188,43.250,13.000,42.600,0.340,-3.500,203.500
C,DeAndre Jordan,7000,LAC@NO 08:00PM ET,33.220,LAC,0,0,38.786,28.079,30.438,34.750,20.500,42.000,0.142,-1.000,209.500
PG,Eric Bledsoe,7000,Pho@SA 08:30PM ET,37.919,Pho,0,0,39.286,29.074,39.812,41.500,5.000,42.000,0.366,11.500,214.000
PG,Dennis Schroder,6900,NY@Atl 07:30PM ET,31.710,Atl,1,0,35.000,23.906,35.375,17.500,13.000,41.400,0.172,-5.000,211.000
SF/PF,Jabari Parker,6900,Mil@Det 07:30PM ET,33.034,Mil,0,0,26.821,25.484,37.750,27.500,7.500,41.400,0.201,3.500,203.500
PF/C,LaMarcus Aldridge,6900,Pho@SA 08:30PM ET,31.946,SA,1,0,32.000,25.500,38.938,45.250,23.000,41.400,0.170,-11.500,214.000
C,Brook Lopez,6800,Bkn@Chi 08:00PM ET,35.778,Bkn,0,0,35.714,28.067,41.062,40.250,8.500,40.800,0.326,9.500,213.500
SG,Dwyane Wade,6600,Bkn@Chi 08:00PM ET,33.750,Chi,1,0,33.000,25.635,34.125,39.250,30.000,39.600,0.271,-9.500,213.500
SF,Andrew Wiggins,6500,Min@Den 09:00PM ET,32.105,Min,0,0,34.143,20.917,29.000,33.000,16.000,39.000,0.279,4.000,217.000
SG,Klay Thompson,6500,Tor@GS 10:30PM ET,31.656,GS,1,0,37.321,24.588,31.938,33.500,2.000,39.000,0.243,-9.500,227.500
SG,Zach LaVine,6400,Min@Den 09:00PM ET,32.192,Min,0,0,34.643,25.172,34.625,29.750,29.000,38.400,0.273,4.000,217.000
C,Nikola Jokic,6400,Min@Den 09:00PM ET,28.866,Den,1,0,34.464,20.147,40.250,50.000,15.000,38.400,0.248,-4.000,217.000
SG,Bradley Beal,6400,Ind@Was 07:00PM ET,34.176,Was,1,0,37.464,25.596,30.625,38.500,24.000,38.400,0.340,-4.000,214.500
PG,Derrick Rose,6300,NY@Atl 07:30PM ET,29.913,NY,0,0,26.857,21.771,26.938,34.250,23.000,37.800,0.221,5.000,211.000
C,Myles Turner,6300,Ind@Was 07:00PM ET,31.992,Ind,0,0,32.964,24.125,33.688,30.500,8.500,37.800,0.278,4.000,214.500
PG,Jrue Holiday,6300,LAC@NO 08:00PM ET,32.069,NO,1,0,36.036,26.250,35.688,28.750,2.000,37.800,0.238,1.000,209.500
SF,Rudy Gay,6300,Sac@Por 10:00PM ET,34.740,Sac,0,0,39.929,26.542,28.125,31.750,18.000,37.800,0.382,2.000,206.500
PF/C,Serge Ibaka,6200,Cha@Orl 07:00PM ET,30.485,Orl,1,0,31.643,22.319,40.000,28.500,18.750,37.200,0.269,4.500,204.500
