Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
PG,Tim Quarterman,3000,Por@Bos 05:00PM ET,3.250,POR,0,0,3.357,1.750,1.750,0.000,-0.457,20.000,18.000,218.000,8.000,0.000
PG,Demetrius Jackson,3000,Por@Bos 05:00PM ET,5.000,BOS,1,0,7.625,1.583,5.000,0.000,-450.704,10.500,18.000,218.000,-8.000,0.000
PG,Terry Rozier,3000,Por@Bos 05:00PM ET,13.858,BOS,1,0,11.393,8.287,12.438,0.000,-1249.170,10.500,18.000,218.000,-8.000,24.250
SG,Gerald Green,3000,Por@Bos 05:00PM ET,10.000,BOS,1,0,10.500,4.661,5.125,0.000,-908.941,9.000,18.000,218.000,-8.000,0.000
SG,James Young,3000,Por@Bos 05:00PM ET,3.523,BOS,1,1,2.500,0.594,2.125,0.000,-352.761,9.000,18.000,218.000,-8.000,0.000
SF,Pat Connaughton,3000,Por@Bos 05:00PM ET,3.345,POR,0,0,3.714,1.227,4.938,0.000,-0.471,17.500,18.000,218.000,8.000,0.000
SF,Jaylen Brown,3000,Por@Bos 05:00PM ET,9.390,BOS,1,0,9.929,4.729,10.500,0.000,-1.322,23.000,18.000,218.000,-8.000,10.500
PF/C,Meyers Leonard,3000,Por@Bos 05:00PM ET,11.853,POR,0,0,7.679,5.310,12.312,0.000,-1.668,22.750,18.000,218.000,8.000,24.500
PF,Jonas Jerebko,3000,Por@Bos 05:00PM ET,11.125,BOS,1,1,10.000,6.310,9.000,0.000,-1113.955,30.000,18.000,218.000,-8.000,0.000
PF,Jake Layman,3000,Por@Bos 05:00PM ET,4.348,POR,0,0,2.321,1.516,3.750,0.000,-0.612,25.000,18.000,218.000,8.000,0.000
PF,Jordan Mickey,3000,Por@Bos 05:00PM ET,5.886,BOS,1,0,5.625,2.600,6.188,0.000,-0.828,30.000,18.000,218.000,-8.000,7.250
PF,Noah Vonleh,3000,Por@Bos 05:00PM ET,9.122,POR,0,0,9.964,4.333,16.188,0.000,-1.284,25.000,18.000,218.000,8.000,20.500
C,Ed Davis,3000,Por@Bos 05:00PM ET,12.726,POR,0,1,8.250,6.714,10.125,0.000,-1274.264,20.500,18.000,218.000,8.000,0.000
C,Tyler Zeller,3000,Por@Bos 05:00PM ET,10.454,BOS,1,1,3.893,3.650,3.125,0.000,-1046.767,28.000,18.000,218.000,-8.000,0.000
PG,Malik Beasley,3000,LAC@Den 09:00PM ET,4.545,DEN,1,0,4.857,0.821,5.188,0.000,-408.587,2.500,18.000,222.500,-5.000,2.000
SG,Mike Miller,3000,LAC@Den 09:00PM ET,4.607,DEN,1,0,5.438,1.312,4.188,0.000,-414.161,7.500,18.000,222.500,-5.000,7.250
