Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds
PF/C,Karl-Anthony Towns,10500,Min@Pho 09:00PM ET,46.597,Min,0,0,48.000,38.713,54.250,21.750,63.000,39.500,0.082,215.500,-1.500
PG,John Wall,9400,Bos@Was 07:00PM ET,48.661,Was,1,0,50.893,41.702,49.938,22.000,56.400,52.750,0.206,217.000,-1.000
PG,Isaiah Thomas,9300,Bos@Was 07:00PM ET,43.647,Bos,0,0,47.857,36.440,50.375,3.000,55.800,50.250,0.104,217.000,1.000
SF,Kawhi Leonard,9200,SA@Tor 07:00PM ET,42.732,SA,0,0,44.250,33.544,53.250,12.000,55.200,58.500,0.101,203.000,2.500
SG/SF,Jimmy Butler,9000,Chi@Orl 07:00PM ET,43.936,Chi,0,0,37.179,34.798,40.250,20.500,54.000,42.000,0.235,204.500,-3.000
PG,Eric Bledsoe,8900,Min@Pho 09:00PM ET,39.858,Pho,1,0,42.607,29.815,47.625,19.500,53.400,29.750,0.135,215.500,1.500
PG,Kyle Lowry,8800,SA@Tor 07:00PM ET,43.041,Tor,1,0,41.643,34.250,37.125,4.500,52.800,39.250,0.167,203.000,-2.500
C,Nikola Jokic,8600,Uta@Den 09:00PM ET,33.885,Den,1,0,45.714,21.775,48.312,1.000,51.600,55.250,0.133,210.500,-2.000
C,DeAndre Jordan,8100,LAC@Phi 07:00PM ET,36.141,LAC,0,0,38.536,29.750,42.062,27.000,48.600,40.000,0.100,203.500,-4.500
C,Joel Embiid,8000,LAC@Phi 07:00PM ET,38.375,Phi,1,0,43.464,30.192,46.812,11.000,48.000,45.000,0.142,203.500,4.500
PG,Chris Paul,7900,LAC@Phi 07:00PM ET,43.917,LAC,0,0,41.250,36.188,43.312,11.000,47.400,22.250,0.374,203.500,-4.500
SG,DeMar DeRozan,7700,SA@Tor 07:00PM ET,42.170,Tor,1,0,40.036,34.864,40.750,18.000,46.200,34.750,0.332,203.000,-2.500
PF,Blake Griffin,7600,LAC@Phi 07:00PM ET,41.942,LAC,0,0,37.357,35.500,37.438,6.000,45.600,33.750,0.319,203.500,-4.500
C,Rudy Gobert,7300,Uta@Den 09:00PM ET,36.685,Uta,0,0,39.750,28.216,39.250,18.500,43.800,23.750,0.229,210.500,2.000
SF,Gordon Hayward,7200,Uta@Den 09:00PM ET,37.160,Uta,0,0,29.643,28.303,31.062,18.500,43.200,20.500,0.255,210.500,2.000
SF,Andrew Wiggins,7000,Min@Pho 09:00PM ET,32.358,Min,0,0,35.107,23.369,35.812,25.500,42.000,47.000,0.208,215.500,-1.500
PG,George Hill,6900,Uta@Den 09:00PM ET,31.398,Uta,0,0,31.893,22.818,28.125,29.000,41.400,30.250,0.170,210.500,2.000
PF,LaMarcus Aldridge,6900,SA@Tor 07:00PM ET,33.069,SA,0,0,40.964,24.631,36.438,22.000,41.400,34.250,0.210,203.000,2.500
SG,Devin Booker,6900,Min@Pho 09:00PM ET,30.616,Pho,1,0,37.964,23.000,35.250,8.500,41.400,34.500,0.142,215.500,1.500
C,Al Horford,6800,Bos@Was 07:00PM ET,36.235,Bos,0,0,31.929,29.279,34.375,8.000,40.800,33.000,0.299,217.000,1.000
SG,Dwyane Wade,6800,Chi@Orl 07:00PM ET,33.238,Chi,0,0,31.250,25.512,36.312,21.000,40.800,49.250,0.242,204.500,-3.000
SG,Bradley Beal,6700,Bos@Was 07:00PM ET,33.594,Was,1,0,30.821,25.637,32.125,13.000,40.200,43.500,0.260,217.000,-1.000
C,Nikola Vucevic,6600,Chi@Orl 07:00PM ET,33.762,Orl,1,0,29.929,25.635,27.375,11.000,39.600,35.500,0.295,204.500,3.000
PG,Ricky Rubio,6600,Min@Pho 09:00PM ET,27.697,Min,0,0,30.321,20.057,31.688,26.000,39.600,37.500,0.142,215.500,-1.500
SG,Zach LaVine,6500,Min@Pho 09:00PM ET,30.524,Min,0,0,25.357,21.800,19.812,15.000,39.000,21.750,0.202,215.500,-1.500
PG,Elfrid Payton,6400,Chi@Orl 07:00PM ET,29.163,Orl,1,0,30.500,20.464,32.562,11.000,38.400,22.250,0.230,204.500,3.000
SF/PF,Markieff Morris,6300,Bos@Was 07:00PM ET,27.779,Was,1,0,34.000,20.680,37.375,20.000,37.800,43.750,0.176,217.000,-1.000
SF/PF,Otto Porter,6200,Bos@Was 07:00PM ET,30.142,Was,1,0,24.821,21.156,29.250,20.000,37.200,12.000,0.268,217.000,-1.000
PF/C,Serge Ibaka,6100,Chi@Orl 07:00PM ET,30.156,Orl,1,0,29.536,22.740,28.250,14.250,36.600,37.000,0.260,204.500,3.000
SG,Avery Bradley,6000,Bos@Was 07:00PM ET,33.458,Bos,0,0,32.786,26.044,29.125,10.000,36.000,16.750,0.391,217.000,1.000
PF,Ersan Ilyasova,6000,LAC@Phi 07:00PM ET,27.196,Phi,1,0,27.500,19.702,31.688,5.000,36.000,23.750,0.174,203.500,4.500
C,Jonas Valanciunas,6000,SA@Tor 07:00PM ET,28.006,Tor,1,0,35.000,21.000,32.812,3.000,36.000,32.250,0.208,203.000,-2.500
SG/SF,Will Barton,5900,Uta@Den 09:00PM ET,26.089,Den,1,0,20.000,16.317,23.250,1.000,35.400,15.000,0.184,210.500,-2.000
PG/SG,Austin Rivers,5900,LAC@Phi 07:00PM ET,19.983,LAC,0,0,28.429,11.886,31.188,14.500,35.400,30.000,0.072,203.500,-4.500
PF/C,David Lee,5900,SA@Tor 07:00PM ET,17.116,SA,0,0,18.536,11.865,30.312,14.500,35.400,19.250,0.013,203.000,2.500
PG/SG,Marcus Smart,5800,Bos@Was 07:00PM ET,24.875,Bos,0,0,25.857,19.729,26.812,6.500,34.800,28.750,0.111,217.000,1.000
C,Marcin Gortat,5800,Bos@Was 07:00PM ET,30.892,Was,1,0,28.786,25.308,26.750,21.000,34.800,27.000,0.309,217.000,-1.000
SF/PF,Aaron Gordon,5700,Chi@Orl 07:00PM ET,22.897,Orl,1,0,28.821,15.650,28.438,13.000,34.200,23.500,0.121,204.500,3.000
C,Tyson Chandler,5700,Min@Pho 09:00PM ET,26.364,Pho,1,0,35.321,18.015,39.375,14.500,34.200,48.750,0.241,215.500,1.500
SF/PF,Wilson Chandler,5600,Uta@Den 09:00PM ET,30.064,Den,1,0,24.714,21.048,24.375,1.000,33.600,11.250,0.361,210.500,-2.000
SF,Jae Crowder,5600,Bos@Was 07:00PM ET,26.257,Bos,0,0,26.071,19.357,30.500,17.000,33.600,31.500,0.153,217.000,1.000
PG,Raymond Felton,5600,LAC@Phi 07:00PM ET,16.778,LAC,0,0,21.357,9.942,22.188,11.000,33.600,9.750,0.046,203.500,-4.500
SF,Robert Covington,5600,LAC@Phi 07:00PM ET,25.340,Phi,1,0,31.071,17.887,33.062,15.000,33.600,37.500,0.218,203.500,4.500
PG,T.J. McConnell,5500,LAC@Phi 07:00PM ET,19.317,Phi,1,0,25.536,13.260,27.188,2.000,33.000,23.500,0.069,203.500,4.500
SF,Danilo Gallinari,5400,Uta@Den 09:00PM ET,28.679,Den,1,0,26.679,23.793,27.000,1.000,32.400,21.250,0.288,210.500,-2.000
SG,Evan Fournier,5300,Chi@Orl 07:00PM ET,27.068,Orl,1,0,28.964,20.125,22.938,12.000,31.800,19.250,0.333,204.500,3.000
C,Jahlil Okafor,5200,LAC@Phi 07:00PM ET,21.177,Phi,1,0,24.643,13.019,22.188,11.000,31.200,25.000,0.125,203.500,4.500
PF/C,Gorgui Dieng,5200,Min@Pho 09:00PM ET,26.710,Min,0,0,33.250,19.238,27.938,21.750,31.200,37.250,0.316,215.500,-1.500
SG,J.J. Redick,5100,LAC@Phi 07:00PM ET,22.436,LAC,0,0,22.679,15.179,24.188,18.000,30.600,26.250,0.181,203.500,-4.500
PF/C,Derrick Favors,5000,Uta@Den 09:00PM ET,20.944,Uta,0,0,22.357,14.934,22.875,13.500,30.000,29.750,0.179,210.500,2.000
PF/C,Taj Gibson,5000,Chi@Orl 07:00PM ET,25.011,Chi,0,0,23.143,19.173,19.500,16.500,30.000,19.500,0.262,204.500,-3.000
C,Pau Gasol,5000,SA@Tor 07:00PM ET,28.686,SA,0,0,32.357,21.455,24.062,7.000,30.000,10.250,0.449,203.000,2.500
SG/SF,Joe Ingles,4900,Uta@Den 09:00PM ET,15.658,Uta,0,0,19.536,8.058,19.750,23.750,29.400,10.750,0.084,210.500,2.000
PG,Kris Dunn,4900,Min@Pho 09:00PM ET,12.886,Min,0,0,6.500,7.048,16.938,26.000,29.400,6.250,0.031,215.500,-1.500
PF/C,Kenneth Faried,4800,Uta@Den 09:00PM ET,23.353,Den,1,0,21.607,14.225,16.312,1.000,28.800,21.250,0.312,210.500,-2.000
SG,Gary Harris,4700,Uta@Den 09:00PM ET,23.013,Den,1,0,20.679,12.286,21.188,1.000,28.200,15.500,0.289,210.500,-2.000
PF/C,Kelly Olynyk,4600,Bos@Was 07:00PM ET,19.216,Bos,0,0,21.714,11.816,18.625,16.500,27.600,11.250,0.175,217.000,1.000
SF,T.J. Warren,4600,Min@Pho 09:00PM ET,22.597,Pho,1,0,15.143,10.969,15.062,5.500,27.600,11.000,0.341,215.500,1.500
PG,Emmanuel Mudiay,4500,Uta@Den 09:00PM ET,24.293,Den,1,0,25.536,14.405,26.188,6.500,27.000,9.500,0.410,210.500,-2.000
C,Robin Lopez,4500,Chi@Orl 07:00PM ET,22.767,Chi,0,0,19.750,16.432,22.688,20.000,27.000,14.500,0.270,204.500,-3.000
PG,Tony Parker,4500,SA@Tor 07:00PM ET,21.414,SA,0,0,21.321,15.206,23.750,13.000,27.000,21.000,0.240,203.000,2.500
PG,Dejounte Murray,4500,SA@Tor 07:00PM ET,7.565,SA,0,0,12.571,2.967,22.562,13.000,27.000,18.250,0.020,203.000,2.500
SF,DeMarre Carroll,4500,SA@Tor 07:00PM ET,19.526,Tor,1,0,25.607,12.727,12.688,2.000,27.000,9.000,0.202,203.000,-2.500
SG,Rodney Hood,4400,Uta@Den 09:00PM ET,23.547,Uta,0,0,13.429,15.625,28.000,29.000,26.400,23.500,0.384,210.500,2.000
PF,Nikola Mirotic,4400,Chi@Orl 07:00PM ET,20.994,Chi,0,0,21.571,13.262,15.438,13.000,26.400,10.750,0.284,204.500,-3.000
SG,Jamal Crawford,4400,LAC@Phi 07:00PM ET,19.239,LAC,0,0,21.071,12.625,26.812,18.000,26.400,34.750,0.230,203.500,-4.500
SG,Jodie Meeks,4300,Chi@Orl 07:00PM ET,16.792,Orl,1,0,15.286,9.188,19.250,12.000,25.800,13.000,0.176,204.500,3.000
PF/C,Marreese Speights,4300,LAC@Phi 07:00PM ET,19.647,LAC,0,0,20.071,13.192,15.562,16.500,25.800,10.750,0.237,203.500,-4.500
PF/C,Nerlens Noel,4300,LAC@Phi 07:00PM ET,15.922,Phi,1,0,20.143,9.917,21.062,8.000,25.800,46.000,0.231,203.500,4.500
PG,Michael Carter-Williams,4200,Chi@Orl 07:00PM ET,18.681,Chi,0,0,19.500,12.562,20.125,15.000,25.200,13.250,0.179,204.500,-3.000
C,Bismack Biyombo,4200,Chi@Orl 07:00PM ET,20.644,Orl,1,0,19.786,13.530,24.125,11.000,25.200,6.500,0.295,204.500,3.000
SF/PF,Dario Saric,4200,LAC@Phi 07:00PM ET,20.649,Phi,1,0,20.357,13.226,21.562,10.000,25.200,33.000,0.322,203.500,4.500
PG,Patty Mills,4200,SA@Tor 07:00PM ET,19.552,SA,0,0,22.214,13.479,22.812,13.000,25.200,29.000,0.253,203.000,2.500
SG/SF,Terrence Ross,4200,SA@Tor 07:00PM ET,17.988,Tor,1,0,17.036,13.000,18.812,10.000,25.200,28.250,0.192,203.000,-2.500
SF/PF,P.J. Tucker,4100,Min@Pho 09:00PM ET,18.506,Pho,1,0,23.000,10.250,25.875,7.750,24.600,34.500,0.277,215.500,1.500
PG,Jameer Nelson,4000,Uta@Den 09:00PM ET,18.971,Den,1,0,21.286,12.000,22.438,6.500,24.000,30.250,0.311,210.500,-2.000
PF/C,Amir Johnson,4000,Bos@Was 07:00PM ET,17.256,Bos,0,0,12.750,9.761,15.000,16.500,24.000,0.000,0.223,217.000,1.000
C,Lucas Nogueira,4000,SA@Tor 07:00PM ET,17.371,Tor,1,0,22.250,11.162,19.312,3.000,24.000,26.000,0.228,203.000,-2.500
PG/SG,Jamal Murray,3900,Uta@Den 09:00PM ET,15.390,Den,1,0,8.464,8.442,20.375,3.750,23.400,16.000,0.212,210.500,-2.000
PG,Cory Joseph,3900,SA@Tor 07:00PM ET,18.233,Tor,1,0,17.714,12.660,13.062,4.500,23.400,20.250,0.264,203.000,-2.500
PG,Shelvin Mack,3800,Uta@Den 09:00PM ET,16.195,Uta,0,0,14.393,8.713,4.938,29.000,22.800,4.000,0.207,210.500,2.000
PG,Sergio Rodriguez,3800,LAC@Phi 07:00PM ET,22.372,Phi,1,0,17.321,14.105,19.875,2.000,22.800,23.250,0.484,203.500,4.500
PG/SG,C.J. Watson,3700,Chi@Orl 07:00PM ET,7.728,Orl,1,0,13.107,3.900,17.312,11.500,22.200,19.250,0.015,204.500,3.000
SF,Doug McDermott,3700,Chi@Orl 07:00PM ET,16.727,Chi,0,0,19.250,10.059,12.500,20.000,22.200,18.750,0.280,204.500,-3.000
