Name,Salary,Position,team,AvgPointsPerGame,expectedScore,atHome,opponent,injured, penalty
Andrew Nicholson,3000,C,WAS,5.891,101,0,DAL,0,0.00
Daniel Ochefu,3000,C,WAS,2.875,101,0,DAL,0,0.00
DeMarcus Cousins,11400,PF/C,SAC,52.953,106,0,DEN,0,0.00
Darren Collison,4500,PG,SAC,22.35,106,0,DEN,0,0.00
Matt Barnes,4200,SF/PF,SAC,19.339000000000002,106,0,DEN,0,0.00
Garrett Temple,3600,PG/SG,SAC,16.803,106,0,DEN,0,0.00
Kosta Koufos,3500,C,SAC,15.620999999999999,106,0,DEN,0,0.00
Anthony Tolliver,3700,PF,SAC,12.524000000000001,106,0,DEN,0,0.00
Omri Casspi,3300,SF/PF,SAC,14.026,106,0,DEN,0,0.00
Ben McLemore,3000,SG,SAC,9.824,106,0,DEN,0,0.00
Willie Cauley-Stein,3000,C,SAC,9.328,106,0,DEN,0,0.00
Skal Labissiere,3000,PF,SAC,4.625,106,0,DEN,0,0.00
Malachi Richardson,3000,SG,SAC,5.7,106,0,DEN,0,0.00
Georgios Papagiannis,3000,C,SAC,1.375,106,0,DEN,0,0.00
Tyler Johnson,5700,PG,MIA,27.947,104,0,PHO,0,0.00
Josh Richardson,6000,SG/SF,MIA,22.66,104,0,PHO,0,0.00
Wayne Ellington,4100,SF,MIA,20.117,104,0,PHO,0,0.00
Rodney McGruder,3000,SG,MIA,14.323,104,0,PHO,0,0.00
James Johnson,5500,SF/PF,MIA,24.185,104,0,PHO,0,0.00
Derrick Williams,3000,SF,MIA,12.539000000000001,104,0,PHO,0,0.00
Luke Babbitt,3000,PF,MIA,8.361,104,0,PHO,0,0.00
Willie Reed,3900,C,MIA,10.62,104,0,PHO,0,0.00
Udonis Haslem,3000,C,MIA,3.65,104,0,PHO,0,0.00
Harrison Barnes,6700,SF/PF,DAL,31.368000000000002,101,1,WAS,0,0.00
Wesley Matthews,5600,SG,DAL,26.864,101,1,WAS,0,0.00
Seth Curry,4200,SG,DAL,20.308,101,1,WAS,0,0.00
Dorian Finney-Smith,3100,SF,DAL,12.075999999999999,101,1,WAS,0,0.00
Dirk Nowitzki,4100,PF,DAL,21.721999999999998,101,1,WAS,0,0.00
Dwight Powell,3900,PF/C,DAL,18.831,101,1,WAS,0,0.00
Justin Anderson,3200,SG/SF,DAL,15.655999999999999,101,1,WAS,0,0.00
Devin Harris,3000,PG,DAL,9.568999999999999,101,1,WAS,0,0.00
Salah Mejri,3000,C,DAL,11.357999999999999,101,1,WAS,0,0.00
Nicolas Brussino,3000,SG,DAL,5.1,101,1,WAS,0,0.00
A.J. Hammons,3000,C,DAL,3.7939999999999996,101,1,WAS,0,0.00
Danilo Gallinari,5900,SF,DEN,28.863000000000003,106,1,SAC,0,0.00
Wilson Chandler,5600,SF/PF,DEN,30.136999999999997,106,1,SAC,0,0.00
Will Barton,5500,SG/SF,DEN,26.523000000000003,106,1,SAC,0,0.00
Emmanuel Mudiay,4700,PG,DEN,24.871,106,1,SAC,0,0.00
Gary Harris,4700,SG,DEN,23.214000000000002,106,1,SAC,0,0.00
Jameer Nelson,3300,PG,DEN,18.868,106,1,SAC,0,0.00
Nikola Jokic,6900,C,DEN,30.315,106,1,SAC,0,0.00
Jamal Murray,3100,PG/SG,DEN,16.162,106,1,SAC,0,0.00
Jusuf Nurkic,3100,C,DEN,21.875,106,1,SAC,0,0.00
Malik Beasley,3000,PG,DEN,4.611000000000001,106,1,SAC,0,0.00
Mike Miller,3000,SG,DEN,5.25,106,1,SAC,0,0.00
