Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds
PG,Russell Westbrook,12700,OKC@Min 08:00PM ET,64.363,OKC,0,0,57.643,53.625,64.750,22.000,76.200,56.750,0.189,208.000,-2.000
PG/SG,James Harden,11400,Mem@Hou 08:00PM ET,61.067,Hou,1,0,68.071,52.990,66.500,7.000,68.400,43.750,0.265,216.000,-7.500
PF/C,DeMarcus Cousins,10300,Cle@Sac 10:30PM ET,52.284,Sac,1,0,49.393,40.156,52.625,9.000,61.800,53.500,0.233,214.500,6.500
PG,Giannis Antetokounmpo,10100,Mia@Mil 08:00PM ET,50.236,Mil,1,0,49.143,39.391,38.500,8.000,60.600,40.500,0.205,205.000,-7.500
SF,LeBron James,9700,Cle@Sac 10:30PM ET,51.907,Cle,0,0,52.286,44.075,45.812,10.000,58.200,44.500,0.278,214.500,-6.500
PF/C,Karl-Anthony Towns,9400,OKC@Min 08:00PM ET,45.481,Min,1,0,51.464,38.458,55.938,12.500,56.400,62.250,0.183,208.000,2.000
PG,Isaiah Thomas,9000,Bos@Atl 08:00PM ET,43.021,Bos,0,0,45.536,36.075,47.188,25.000,54.000,46.500,0.131,212.000,3.500
SG,DeMar DeRozan,8700,Bkn@Tor 07:30PM ET,42.651,Tor,1,0,42.607,35.329,50.688,29.500,52.200,36.000,0.142,225.000,-15.500
PG,Kyle Lowry,8500,Bkn@Tor 07:30PM ET,43.632,Tor,1,0,43.500,35.044,48.250,29.000,51.000,44.500,0.240,225.000,-15.500
C,Hassan Whiteside,8400,Mia@Mil 08:00PM ET,42.667,Mia,0,0,37.000,30.653,38.875,7.000,50.400,34.250,0.277,205.000,7.500
PG,Kemba Walker,8300,Cha@Phi 07:00PM ET,40.099,Cha,0,0,39.607,32.571,39.000,15.500,49.800,28.250,0.158,208.000,-5.000
PG,Damian Lillard,8200,Orl@Por 10:00PM ET,43.500,Por,1,0,38.107,34.079,37.250,15.500,49.200,48.500,0.325,213.500,-7.000
PF/C,Joel Embiid,8100,Cha@Phi 07:00PM ET,37.077,Phi,1,0,38.357,29.521,40.812,16.500,48.600,43.000,0.099,208.000,5.000
PF/C,Kevin Love,8000,Cle@Sac 10:30PM ET,41.404,Cle,0,0,37.714,34.275,35.188,19.000,48.000,40.000,0.256,214.500,-6.500
PG/SG,C.J. McCollum,7900,Orl@Por 10:00PM ET,37.524,Por,1,0,42.321,29.970,44.062,17.250,47.400,41.750,0.198,213.500,-7.000
PG,Kyrie Irving,7700,Cle@Sac 10:30PM ET,39.439,Cle,0,0,36.607,32.014,32.750,18.000,46.200,38.750,0.263,214.500,-6.500
PF,Paul Millsap,7600,Bos@Atl 08:00PM ET,38.514,Atl,1,0,43.179,28.050,40.375,26.000,45.600,41.250,0.268,212.000,-3.500
C,Dwight Howard,7400,Bos@Atl 08:00PM ET,36.912,Atl,1,0,38.821,26.297,33.625,21.000,44.400,23.500,0.252,212.000,-3.500
SF/PF,Jabari Parker,7300,Mia@Mil 08:00PM ET,34.601,Mil,1,0,41.821,25.819,41.875,8.000,43.800,35.750,0.186,205.000,-7.500
PG,Mike Conley,7100,Mem@Hou 08:00PM ET,35.914,Mem,0,0,39.286,27.969,43.875,12.000,42.600,42.500,0.271,216.000,7.500
SF,Gordon Hayward,7000,Det@Uta 10:30PM ET,37.523,Uta,1,0,37.786,29.574,35.625,7.000,42.000,35.500,0.322,191.000,-11.000
C,Andre Drummond,7000,Det@Uta 10:30PM ET,38.475,Det,0,0,39.857,29.693,42.438,3.000,42.000,35.750,0.379,191.000,11.000
C,Marc Gasol,6900,Mem@Hou 08:00PM ET,38.160,Mem,0,0,36.000,28.711,33.625,22.000,41.400,32.000,0.387,216.000,7.500
SG/SF,Nicolas Batum,6900,Cha@Phi 07:00PM ET,36.201,Cha,0,0,35.500,27.882,30.875,21.750,41.400,30.250,0.300,208.000,-5.000
C,Nikola Vucevic,6900,Orl@Por 10:00PM ET,34.101,Orl,0,0,42.143,26.060,40.688,28.000,41.400,55.500,0.273,213.500,7.000
PG,Dennis Schroder,6800,Bos@Atl 08:00PM ET,32.461,Atl,1,0,31.036,24.039,30.312,21.000,40.800,11.750,0.185,212.000,-3.500
C,Al Horford,6800,Bos@Atl 08:00PM ET,36.560,Bos,0,0,33.393,28.850,33.938,4.000,40.800,31.000,0.319,212.000,3.500
SF,Andrew Wiggins,6800,OKC@Min 08:00PM ET,32.333,Min,1,0,32.107,23.132,28.062,3.500,40.800,30.000,0.231,208.000,2.000
PG,Goran Dragic,6700,Mia@Mil 08:00PM ET,34.844,Mia,0,0,31.179,27.566,30.625,1.000,40.200,30.750,0.308,205.000,7.500
C,Brook Lopez,6600,Bkn@Tor 07:30PM ET,34.579,Bkn,0,0,35.964,27.500,34.062,8.000,39.600,34.750,0.315,225.000,15.500
C,Rudy Gobert,6500,Det@Uta 10:30PM ET,35.638,Uta,1,0,36.500,26.926,33.562,6.000,39.000,27.000,0.340,191.000,-11.000
SG,Zach LaVine,6400,OKC@Min 08:00PM ET,31.682,Min,1,0,34.607,24.237,30.750,11.000,38.400,21.500,0.253,208.000,2.000
SF,Rudy Gay,6400,Cle@Sac 10:30PM ET,34.407,Sac,1,0,31.500,27.517,35.938,25.000,38.400,48.500,0.362,214.500,6.500
