Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG/SG,James Harden,12600,Hou@Phi 08:00PM ET,60.515,Hou,0,0,65.857,52.954,55.875,58.500,13.750,75.600,0.107,-7.000,221.000
PF/C,DeMarcus Cousins,11000,Sac@Ind 07:00PM ET,53.188,Sac,0,0,56.464,40.653,57.125,63.750,23.500,66.000,0.163,4.500,211.500
SF,LeBron James,10200,Bkn@Cle 07:30PM ET,51.994,Cle,1,0,55.571,43.750,59.000,64.750,30.000,61.200,0.205,-17.000,226.000
PG/SF,Giannis Antetokounmpo,10000,Mil@Tor 07:30PM ET,50.102,Mil,0,0,50.214,40.988,47.812,48.000,9.750,60.000,0.207,5.500,213.500
PG,John Wall,9900,Was@Atl 08:00PM ET,48.756,Was,0,0,44.893,41.702,49.938,52.750,23.000,59.400,0.128,3.500,214.500
C,Anthony Davis,9700,SA@NO 08:00PM ET,53.506,NO,1,1,43.143,38.237,32.375,15.250,3.000,58.200,0.394,7.000,214.000
PG,Isaiah Thomas,9600,Orl@Bos 07:30PM ET,44.213,Bos,1,0,49.286,36.784,53.125,60.250,13.500,57.600,0.086,-7.500,214.000
SF,Kawhi Leonard,9000,SA@NO 08:00PM ET,42.732,SA,0,1,44.250,33.544,53.250,58.500,22.000,54.000,0.123,-7.000,214.000
SG/SF,Jimmy Butler,8900,Mia@Chi 08:00PM ET,44.183,Chi,1,0,53.786,34.798,40.688,57.000,6.750,53.400,0.254,-7.000,204.500
PG,Kyle Lowry,8600,Mil@Tor 07:30PM ET,43.156,Tor,1,0,41.643,34.250,38.625,52.000,4.000,51.600,0.201,-5.500,213.500
C,Joel Embiid,8400,Hou@Phi 08:00PM ET,38.417,Phi,1,1,43.464,30.192,47.125,45.000,23.000,50.400,0.095,7.000,221.000
PG,Kyrie Irving,8300,Bkn@Cle 07:30PM ET,39.987,Cle,1,0,51.429,32.250,48.500,37.250,30.000,49.800,0.195,-17.000,226.000
PF/C,Kevin Love,8100,Bkn@Cle 07:30PM ET,40.795,Cle,1,0,43.821,32.966,36.125,52.000,29.500,48.600,0.246,-17.000,226.000
C,Marc Gasol,8000,Mem@Por 10:00PM ET,39.261,Mem,0,0,34.286,29.188,49.438,61.250,28.000,48.000,0.228,1.000,1.000
PG,Kemba Walker,7900,Cha@NY 07:30PM ET,39.639,Cha,0,0,40.071,32.542,39.812,45.250,13.500,47.400,0.211,-1.000,211.500
SF/PF,Paul George,7900,Sac@Ind 07:00PM ET,38.651,Ind,1,0,38.107,32.850,40.062,46.500,18.000,47.400,0.121,-4.500,211.500
PG,Damian Lillard,7800,Mem@Por 10:00PM ET,43.095,Por,1,0,38.107,35.125,38.938,34.000,8.000,46.800,0.375,-1.000,1.000
SG,DeMar DeRozan,7700,Mil@Tor 07:30PM ET,42.170,Tor,1,1,40.036,34.864,40.750,34.750,16.000,46.200,0.332,-5.500,213.500
PF,LaMarcus Aldridge,7600,SA@NO 08:00PM ET,33.098,SA,0,0,40.964,24.631,36.438,34.250,27.000,45.600,0.115,-7.000,214.000
