Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NNs,RF
C,DeAndre Jordan,7900,LAC@Atl 07:30PM ET,36.189,LAC,0,0,37.357,29.587,51.562,3.619,-10.497,4.000,47.400,206.500,7.500,40.618,44.218
PG,Kyrie Irving,7900,Cle@NO 08:00PM ET,39.318,CLE,0,0,34.000,31.938,38.000,0.000,1.310,27.000,47.400,217.000,-7.000,35.738,34.505
PF,Paul Millsap,7800,LAC@Atl 07:30PM ET,38.701,ATL,1,0,41.929,28.882,39.625,0.000,-11.119,4.500,46.800,206.500,-7.500,38.815,39.713
PF/C,Blake Griffin,7700,LAC@Atl 07:30PM ET,41.942,LAC,0,1,38.143,35.625,41.750,0.000,-4200.704,11.250,46.200,206.500,7.500,36.334,17.194
SG/SF,Nicolas Batum,7700,Was@Cha 07:00PM ET,36.207,CHA,1,0,41.750,27.837,37.750,3.621,0.019,14.000,46.200,213.500,-5.000,37.426,41.245
C,Hassan Whiteside,7700,GS@Mia 07:30PM ET,41.806,MIA,1,0,41.107,30.066,34.562,4.181,-2.788,24.000,46.200,217.000,12.000,35.071,32.083
PG,Jeff Teague,7700,NY@Ind 08:00PM ET,36.250,IND,1,0,43.393,27.060,39.625,0.000,1.378,16.500,46.200,217.500,-5.500,38.530,41.250
PF/C,Kevin Love,7600,Cle@NO 08:00PM ET,40.203,CLE,0,0,32.821,32.655,27.625,4.020,1.339,22.750,45.600,217.000,-7.000,30.168,27.098
SF/PF,Paul George,7500,NY@Ind 08:00PM ET,38.167,IND,1,0,37.071,32.850,34.438,0.000,-26.171,17.250,45.000,217.500,-5.500,34.557,37.064
C,Rudy Gobert,7300,OKC@Uta 09:00PM ET,36.783,UTA,1,0,37.429,28.631,50.875,0.000,-3.427,15.000,43.800,203.500,-5.500,42.885,43.240
PG,Goran Dragic,7200,GS@Mia 07:30PM ET,35.299,MIA,1,0,40.464,27.938,38.625,0.000,-2.354,16.500,43.200,217.000,12.000,35.454,40.745
C,Andre Drummond,7100,Sac@Det 07:30PM ET,38.324,DET,1,0,35.000,29.402,36.812,0.000,-47.597,12.000,42.600,204.500,-7.000,34.857,40.211
PG,Jrue Holiday,7100,Cle@NO 08:00PM ET,31.784,NO,1,0,33.643,26.078,27.875,0.000,1.059,18.500,42.600,217.000,7.000,28.722,27.559
C,Dwight Howard,7000,LAC@Atl 07:30PM ET,35.795,ATL,1,0,32.929,24.824,29.375,0.000,-5.909,10.000,42.000,206.500,-7.500,30.493,37.118
SF,Gordon Hayward,7000,OKC@Uta 09:00PM ET,37.375,UTA,1,0,37.500,29.592,36.625,0.000,-8.466,3.000,42.000,203.500,-5.500,34.438,30.113
SF/PF,Jabari Parker,6900,Hou@Mil 08:00PM ET,34.610,MIL,1,0,40.464,26.312,34.312,0.000,3.423,20.000,41.400,224.000,5.000,33.253,38.858
PF,LaMarcus Aldridge,6900,SA@Bkn 07:30PM ET,32.833,SA,0,0,38.393,24.631,33.188,0.000,-2.036,29.000,41.400,217.500,-11.000,32.184,29.877
PF,Kristaps Porzingis,6800,NY@Ind 08:00PM ET,36.145,NY,0,0,34.179,26.895,21.000,0.000,-40.840,28.000,40.800,217.500,5.500,24.367,23.314
SG,Bradley Beal,6700,Was@Cha 07:00PM ET,33.628,WAS,0,0,34.143,25.289,28.750,3.363,0.018,18.500,40.200,213.500,5.000,26.806,27.059
PG,Reggie Jackson,6600,Sac@Det 07:30PM ET,29.083,DET,1,0,35.464,21.292,28.000,0.000,-2.437,21.500,39.600,204.500,-7.000,29.671,37.294
C,Myles Turner,6600,NY@Ind 08:00PM ET,32.429,IND,1,0,37.929,24.881,31.125,0.000,1.232,25.000,39.600,217.500,-5.500,31.453,27.515
PG,George Hill,6600,OKC@Uta 09:00PM ET,31.988,UTA,1,0,29.321,22.417,30.812,0.000,-2.981,24.000,39.600,203.500,-5.500,30.008,30.951
C,Brook Lopez,6500,SA@Bkn 07:30PM ET,35.199,BKN,1,0,33.143,27.845,40.625,0.000,-6.876,3.000,39.000,217.500,11.000,32.793,33.451
PG,Derrick Rose,6400,NY@Ind 08:00PM ET,30.931,NY,0,0,33.821,24.315,40.250,3.093,1.175,18.500,38.400,217.500,5.500,32.949,29.907
SF/PF,Markieff Morris,6300,Was@Cha 07:00PM ET,27.583,WAS,0,0,29.893,20.680,40.125,0.000,0.014,16.250,37.800,213.500,5.000,31.554,34.686
SG,Klay Thompson,6300,GS@Mia 07:30PM ET,31.773,GS,0,0,29.750,25.293,28.625,0.000,-6.204,3.500,37.800,217.000,-12.000,25.165,24.632
C,Enes Kanter,6300,OKC@Uta 09:00PM ET,26.403,OKC,0,0,35.714,17.125,35.250,0.000,-6.421,2.000,37.800,203.500,5.500,28.487,27.446
SF/PF,Tobias Harris,6200,Sac@Det 07:30PM ET,28.578,DET,1,0,35.071,20.438,30.438,0.000,-2.395,17.000,37.200,204.500,-7.000,29.450,35.157
SF/PF,Otto Porter,6200,Was@Cha 07:00PM ET,30.012,WAS,0,0,32.500,21.906,32.000,0.000,0.016,16.250,37.200,213.500,5.000,27.167,29.716
PF/C,Terrence Jones,6200,Cle@NO 08:00PM ET,23.345,NO,1,0,23.000,15.159,28.062,0.000,0.778,10.000,37.200,217.000,7.000,23.716,25.770
PG,Dennis Schroder,6100,LAC@Atl 07:30PM ET,31.602,ATL,1,0,29.250,23.050,32.688,0.000,-9.957,2.000,36.600,206.500,-7.500,28.444,30.324
PF,James Johnson,6000,GS@Mia 07:30PM ET,25.455,MIA,1,0,30.821,16.191,28.562,0.000,-1.697,8.000,36.000,217.000,12.000,24.671,26.451
PG/SG,Austin Rivers,5900,LAC@Atl 07:30PM ET,19.483,LAC,0,0,23.143,11.100,26.875,0.000,-3.216,22.250,35.400,206.500,7.500,22.074,28.770
SF,Marcus Morris,5900,Sac@Det 07:30PM ET,24.881,DET,1,0,31.286,17.457,36.062,0.000,-2.085,11.000,35.400,204.500,-7.000,30.260,33.020
SG/SF,Tyreke Evans,5900,Cle@NO 08:00PM ET,21.859,NO,1,0,21.321,13.781,26.875,2.186,0.728,27.500,35.400,217.000,7.000,24.228,26.995
C,Marcin Gortat,5800,Was@Cha 07:00PM ET,31.105,WAS,0,0,28.786,25.610,24.375,3.111,0.016,26.000,34.800,213.500,5.000,22.731,26.676
SG/SF,Dion Waiters,5700,GS@Mia 07:30PM ET,25.469,MIA,1,0,28.893,15.583,29.438,0.000,-1.698,11.250,34.200,217.000,12.000,24.936,27.574
PG,Raymond Felton,5600,LAC@Atl 07:30PM ET,16.593,LAC,0,0,22.214,9.950,27.750,1.659,-2.739,23.000,33.600,206.500,7.500,22.073,27.069
SG,Eric Gordon,5600,Hou@Mil 08:00PM ET,28.439,HOU,0,0,28.607,21.886,24.625,2.844,2.813,16.000,33.600,224.000,-5.000,21.642,26.255
PF/C,David Lee,5500,SA@Bkn 07:30PM ET,16.851,SA,0,0,16.000,11.865,23.875,1.685,-1.045,29.000,33.000,217.500,-11.000,20.180,20.735
PF,Thaddeus Young,5500,NY@Ind 08:00PM ET,26.203,IND,1,0,31.571,19.710,33.250,2.620,0.996,21.000,33.000,217.500,-5.500,29.546,28.255
SG,Kentavious Caldwell-Pope,5400,Sac@Det 07:30PM ET,26.650,DET,1,1,27.036,16.434,23.562,0.000,-2697.561,24.000,32.400,204.500,-7.000,23.121,13.525
SF,Michael Kidd-Gilchrist,5400,Was@Cha 07:00PM ET,24.012,CHA,1,0,29.214,17.489,29.188,0.000,0.012,18.000,32.400,213.500,-5.000,25.998,28.412
SF,Trevor Ariza,5300,Hou@Mil 08:00PM ET,27.606,HOU,0,0,27.179,21.400,20.438,2.761,-18.901,29.000,31.800,224.000,-5.000,20.166,29.049
PG,Tyler Johnson,5300,GS@Mia 07:30PM ET,28.456,MIA,1,1,30.000,22.038,31.625,0.000,-2847.213,16.500,31.800,217.000,12.000,26.890,16.299
SG,Victor Oladipo,5300,OKC@Uta 09:00PM ET,28.436,OKC,0,0,28.786,20.500,28.875,2.844,-8.337,1.000,31.800,203.500,5.500,22.521,20.377
PG/SG,Malcolm Brogdon,5200,Hou@Mil 08:00PM ET,20.930,MIL,1,0,27.607,13.114,24.375,0.000,2.070,17.000,31.200,224.000,5.000,21.932,22.397
PG,Patrick Beverley,5200,Hou@Mil 08:00PM ET,27.864,HOU,0,0,28.071,21.547,29.312,0.000,-0.959,3.000,31.200,224.000,-5.000,22.250,23.701
SG/SF,J.J. Redick,5100,LAC@Atl 07:30PM ET,22.310,LAC,0,0,20.679,14.812,22.562,0.000,-3.683,22.750,30.600,206.500,7.500,18.362,18.824
SF,Rudy Gay,5000,Sac@Det 07:30PM ET,35.200,SAC,0,1,39.929,27.797,39.438,3.520,-3522.598,5.500,30.000,204.500,7.000,30.869,14.402
PG,Jeremy Lin,5000,SA@Bkn 07:30PM ET,30.146,BKN,1,1,33.250,25.472,29.125,0.000,-3016.168,6.000,30.000,217.500,11.000,24.471,2.436
PF,Trevor Booker,5000,SA@Bkn 07:30PM ET,28.147,BKN,1,0,29.357,20.512,24.562,0.000,-5.498,3.000,30.000,217.500,11.000,20.462,15.186
C,Pau Gasol,5000,SA@Bkn 07:30PM ET,28.686,SA,0,1,32.357,21.455,24.062,0.000,-2899.550,29.000,30.000,217.500,-11.000,23.335,9.623
C,Cody Zeller,5000,Was@Cha 07:00PM ET,24.054,CHA,1,0,22.714,19.060,23.000,0.000,0.013,8.000,30.000,213.500,-5.000,19.301,15.588
C,Steven Adams,5000,OKC@Uta 09:00PM ET,26.935,OKC,0,1,28.857,20.062,22.500,0.000,-2717.392,2.000,30.000,203.500,5.500,19.149,15.529
PF/C,Derrick Favors,4900,OKC@Uta 09:00PM ET,20.742,UTA,1,0,22.929,13.333,20.062,0.000,-1.933,15.500,29.400,203.500,-5.500,18.581,18.137
PG/SG,Darren Collison,4800,Sac@Det 07:30PM ET,22.879,SAC,0,0,16.286,16.703,23.312,0.000,-18.078,15.750,28.800,204.500,7.000,17.218,17.186
SG/SF,Joe Ingles,4800,OKC@Uta 09:00PM ET,15.639,UTA,1,0,15.393,7.950,22.250,1.564,-3.245,7.000,28.800,203.500,-5.500,17.277,11.549
SG,Tim Hardaway Jr.,4700,LAC@Atl 07:30PM ET,19.185,ATL,1,0,21.143,11.214,23.750,0.000,-5.381,6.500,28.200,206.500,-7.500,18.897,16.172
PF,Ryan Anderson,4700,Hou@Mil 08:00PM ET,23.824,HOU,0,1,30.036,16.670,18.062,0.000,-2403.892,18.500,28.200,224.000,-5.000,17.136,9.936
PF,Marvin Williams,4600,Was@Cha 07:00PM ET,22.105,CHA,1,0,22.786,16.263,25.250,0.000,0.012,24.000,27.600,213.500,-5.000,22.219,20.235
SG/SF,Kent Bazemore,4500,LAC@Atl 07:30PM ET,21.464,ATL,1,0,20.750,13.200,20.500,0.000,-3.543,10.750,27.000,206.500,-7.500,17.173,17.436
PG,Tony Parker,4500,SA@Bkn 07:30PM ET,21.414,SA,0,1,21.321,15.206,23.750,0.000,-2142.514,30.000,27.000,217.500,-11.000,20.245,14.721
SG/SF,Josh Richardson,4500,GS@Mia 07:30PM ET,22.473,MIA,1,1,22.643,15.467,23.500,0.000,-2271.106,11.250,27.000,217.000,12.000,18.744,16.211
C,Tristan Thompson,4500,Cle@NO 08:00PM ET,23.994,CLE,0,0,24.214,18.240,21.938,0.000,0.799,19.500,27.000,217.000,-7.000,18.324,18.799
