Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NNs,RF
SF,Taurean Prince,3000,LAC@Atl 07:30PM ET,7.894,ATL,1,0,6.393,2.446,4.125,0.000,-2.092,15.000,18.000,206.500,-7.500,3.419,0.858
SF,DeAndre' Bembry,3000,LAC@Atl 07:30PM ET,4.618,ATL,1,0,2.643,2.125,6.125,0.000,-1.224,15.000,18.000,206.500,-7.500,3.626,1.990
PF/C,Mike Muscala,3000,LAC@Atl 07:30PM ET,16.594,ATL,1,1,10.286,9.344,11.375,0.000,-1675.565,7.250,18.000,206.500,-7.500,7.938,4.461
PF,Brandon Bass,3000,LAC@Atl 07:30PM ET,10.034,LAC,0,0,12.750,5.391,14.062,0.000,-2.660,18.500,18.000,206.500,7.500,11.172,10.833
PF,Mike Scott,3000,LAC@Atl 07:30PM ET,7.708,ATL,1,0,8.500,2.300,6.188,0.000,-700.117,4.500,18.000,206.500,-7.500,4.267,3.657
PG,Bobby Brown,3000,Hou@Mil 08:00PM ET,1.558,HOU,0,0,1.071,0.525,2.562,0.000,-140.066,3.000,18.000,224.000,-5.000,1.752,1.270
PG,Tyler Ennis,3000,Hou@Mil 08:00PM ET,4.463,HOU,0,0,4.107,1.267,1.625,0.000,-403.244,3.000,18.000,224.000,-5.000,1.819,2.637
SG/SF,Corey Brewer,3000,Hou@Mil 08:00PM ET,9.979,HOU,0,0,12.643,6.080,14.688,0.998,0.987,22.500,18.000,224.000,-5.000,10.984,10.686
SG,Jason Terry,3000,Hou@Mil 08:00PM ET,8.284,MIL,1,0,10.036,4.382,5.750,0.000,0.819,25.000,18.000,224.000,5.000,6.827,5.093
SG,Rashad Vaughn,3000,Hou@Mil 08:00PM ET,7.316,MIL,1,0,10.036,2.125,5.625,0.000,0.724,25.000,18.000,224.000,5.000,6.712,4.446
SF,K.J. McDaniels,3000,Hou@Mil 08:00PM ET,5.590,HOU,0,0,4.000,2.109,3.875,0.000,0.553,29.000,18.000,224.000,-5.000,4.505,4.113
PF,Kyle Wiltjer,3000,Hou@Mil 08:00PM ET,2.306,HOU,0,0,1.042,0.375,1.000,0.000,0.228,18.500,18.000,224.000,-5.000,1.888,0.588
PF,Mirza Teletovic,3000,Hou@Mil 08:00PM ET,12.729,MIL,1,0,12.214,6.603,2.188,0.000,-8.723,15.000,18.000,224.000,5.000,4.490,4.118
PF,Thon Maker,3000,Hou@Mil 08:00PM ET,4.513,MIL,1,0,6.850,1.886,4.938,0.000,0.446,15.000,18.000,224.000,5.000,4.653,6.770
C,Miles Plumlee,3000,Hou@Mil 08:00PM ET,5.681,MIL,1,0,7.429,1.618,3.188,0.000,0.562,22.000,18.000,224.000,5.000,4.587,5.054
PG,Beno Udrih,3000,Sac@Det 07:30PM ET,13.278,DET,1,0,16.250,7.929,9.062,0.000,-9.870,21.500,18.000,204.500,-7.000,8.810,4.706
SG/SF,Arron Afflalo,3000,Sac@Det 07:30PM ET,12.639,SAC,0,0,12.500,6.706,16.062,0.000,-1138.569,6.000,18.000,204.500,7.000,11.792,7.941
SG,Darrun Hilliard,3000,Sac@Det 07:30PM ET,6.413,DET,1,0,6.036,2.554,4.750,0.000,-0.537,24.000,18.000,204.500,-7.000,4.284,2.245
SG,Ben McLemore,3000,Sac@Det 07:30PM ET,8.485,SAC,0,0,9.929,2.554,1.312,0.000,-764.361,6.500,18.000,204.500,7.000,3.660,1.216
SG,Malachi Richardson,3000,Sac@Det 07:30PM ET,4.719,SAC,0,0,4.833,1.450,4.500,0.000,-425.106,6.500,18.000,204.500,7.000,4.114,4.368
SF,Michael Gbinije,3000,Sac@Det 07:30PM ET,1.344,DET,1,1,1.100,0.625,1.500,0.000,-134.499,11.000,18.000,204.500,-7.000,1.425,0.583
PF,Henry Ellenson,3000,Sac@Det 07:30PM ET,2.964,DET,1,0,2.429,1.361,4.750,0.000,-0.248,23.000,18.000,204.500,-7.000,3.582,0.583
PF,Skal Labissiere,3000,Sac@Det 07:30PM ET,5.450,SAC,0,0,5.812,2.250,3.875,0.000,-490.957,12.000,18.000,204.500,7.000,4.147,1.931
C,Kosta Koufos,3000,Sac@Det 07:30PM ET,15.948,SAC,0,0,18.643,10.457,16.188,0.000,-1436.657,5.000,18.000,204.500,7.000,12.911,11.534
C,Boban Marjanovic,3000,Sac@Det 07:30PM ET,9.488,DET,1,0,10.357,2.833,12.375,0.000,-854.715,12.000,18.000,204.500,-7.000,8.449,12.863
C,Willie Cauley-Stein,3000,Sac@Det 07:30PM ET,8.549,SAC,0,0,8.607,3.587,7.125,0.000,-770.126,5.000,18.000,204.500,7.000,6.208,4.775
PG,Randy Foye,3000,SA@Bkn 07:30PM ET,12.250,BKN,1,0,6.786,7.031,17.062,0.000,-1104.484,6.000,18.000,217.500,11.000,10.989,13.319
PG,Bryn Forbes,3000,SA@Bkn 07:30PM ET,1.483,SA,0,0,0.643,0.114,0.812,0.000,-0.240,30.000,18.000,217.500,-11.000,3.178,1.912
SG,Kyle Anderson,3000,SA@Bkn 07:30PM ET,8.776,SA,0,0,11.929,3.885,7.250,0.000,-1.422,30.000,18.000,217.500,-11.000,7.227,10.549
SF/PF,Davis Bertans,3000,SA@Bkn 07:30PM ET,6.950,SA,0,0,0.929,2.250,5.438,0.000,-1.126,29.500,18.000,217.500,-11.000,4.732,4.162
SF,Joe Harris,3000,SA@Bkn 07:30PM ET,15.806,BKN,1,1,10.786,9.816,14.312,0.000,-1583.002,2.000,18.000,217.500,11.000,10.325,10.157
PF,Quincy Acy,3000,SA@Bkn 07:30PM ET,9.375,BKN,1,0,7.700,4.312,18.562,0.000,-845.269,3.000,18.000,217.500,11.000,11.776,12.412
PF,Chris McCullough,3000,SA@Bkn 07:30PM ET,5.045,BKN,1,0,1.750,2.000,2.438,0.000,-454.867,3.000,18.000,217.500,11.000,2.805,1.515
C,Luis Scola,3000,SA@Bkn 07:30PM ET,12.532,BKN,1,0,10.321,6.446,12.562,0.000,-1129.910,3.000,18.000,217.500,11.000,9.195,8.637
PG/SG,Tomas Satoransky,3000,Was@Cha 07:00PM ET,9.545,WAS,0,0,4.286,4.250,12.562,0.000,-7.698,16.750,18.000,213.500,5.000,8.659,7.897
PG,Brian Roberts,3000,Was@Cha 07:00PM ET,3.229,CHA,1,0,2.500,0.542,2.375,0.000,-290.608,4.000,18.000,213.500,-5.000,1.386,1.647
PG,Trey Burke,3000,Was@Cha 07:00PM ET,8.378,WAS,0,0,7.143,4.477,8.688,0.000,0.004,15.000,18.000,213.500,5.000,6.923,8.265
SG,Sheldon McClellan,3000,Was@Cha 07:00PM ET,7.237,WAS,0,0,9.786,2.500,5.000,0.000,0.004,18.500,18.000,213.500,5.000,5.431,5.735
SF,Marcus Thornton,3000,Was@Cha 07:00PM ET,12.712,WAS,0,0,9.500,6.875,13.688,0.000,-9.112,21.500,18.000,213.500,5.000,10.358,7.010
SF,Treveon Graham,3000,Was@Cha 07:00PM ET,3.232,CHA,1,0,3.357,0.929,2.125,0.000,0.002,18.000,18.000,213.500,-5.000,2.427,0.647
PF/C,Jason Smith,3000,Was@Cha 07:00PM ET,10.226,WAS,0,0,12.786,6.214,17.312,0.000,0.005,18.500,18.000,213.500,5.000,12.665,10.745
C,Roy Hibbert,3000,Was@Cha 07:00PM ET,12.885,CHA,1,0,11.821,8.226,11.062,0.000,-1169.650,8.000,18.000,213.500,-5.000,8.111,8.760
C,Andrew Nicholson,3000,Was@Cha 07:00PM ET,5.840,WAS,0,0,9.250,2.300,5.062,0.000,0.003,26.000,18.000,213.500,5.000,5.578,7.598
C,Daniel Ochefu,3000,Was@Cha 07:00PM ET,3.025,WAS,0,0,3.667,1.042,5.375,0.000,0.002,26.000,18.000,213.500,5.000,4.836,2.863
SG/SF,Rodney McGruder,3000,GS@Mia 07:30PM ET,13.888,MIA,1,0,12.643,7.903,10.812,0.000,-1252.235,11.250,18.000,217.000,12.000,8.954,16.069
SG/SF,Patrick McCaw,3000,GS@Mia 07:30PM ET,6.412,GS,0,0,5.929,2.712,7.562,0.000,-578.149,6.250,18.000,217.000,-12.000,4.085,6.863
PF,David West,3000,GS@Mia 07:30PM ET,12.405,GS,0,1,17.000,7.287,12.250,0.000,-1242.444,8.000,18.000,217.000,-12.000,8.471,9.353
PF,Josh McRoberts,3000,GS@Mia 07:30PM ET,13.523,MIA,1,1,15.107,8.917,9.188,0.000,-1354.419,8.000,18.000,217.000,12.000,8.382,7.103
PF,Luke Babbitt,3000,GS@Mia 07:30PM ET,8.971,MIA,1,0,8.036,3.653,14.188,0.000,-808.885,8.000,18.000,217.000,12.000,9.680,12.775
PF,Derrick Williams,3000,GS@Mia 07:30PM ET,12.326,MIA,1,0,12.429,7.769,11.312,0.000,-1119.154,8.000,18.000,217.000,12.000,8.993,7.549
PF,Okaro White,3000,GS@Mia 07:30PM ET,3.000,MIA,1,0,3.000,0.750,3.000,0.000,-270.500,8.000,18.000,217.000,12.000,3.219,1.304
PF,Kevon Looney,3000,GS@Mia 07:30PM ET,7.735,GS,0,0,7.607,2.797,5.562,0.000,-697.439,8.000,18.000,217.000,-12.000,3.454,2.838
C,Udonis Haslem,3000,GS@Mia 07:30PM ET,5.679,MIA,1,0,4.208,1.321,10.750,0.000,-0.947,24.000,18.000,217.000,12.000,7.756,2.980
C,Anderson Varejao,3000,GS@Mia 07:30PM ET,5.295,GS,0,0,6.667,2.500,3.312,0.000,-3.212,17.000,18.000,217.000,-12.000,2.763,2.833
C,JaVale McGee,3000,GS@Mia 07:30PM ET,10.263,GS,0,0,10.357,4.841,13.438,0.000,-1.711,17.000,18.000,217.000,-12.000,8.701,11.088
PG/SG,Rodney Stuckey,3000,NY@Ind 08:00PM ET,15.794,IND,1,1,16.786,8.306,14.625,0.000,-1593.835,21.250,18.000,217.500,-5.500,12.799,11.147
PG/SG,Ron Baker,3000,NY@Ind 08:00PM ET,8.738,NY,0,0,10.500,3.727,10.438,0.000,0.332,22.750,18.000,217.500,5.500,8.767,8.475
PG,Aaron Brooks,3000,NY@Ind 08:00PM ET,11.856,IND,1,0,11.214,7.114,6.750,0.000,-7.962,16.500,18.000,217.500,-5.500,6.768,8.775
SG,Sasha Vujacic,3000,NY@Ind 08:00PM ET,5.728,NY,0,0,5.393,1.000,8.875,0.000,0.218,27.000,18.000,217.500,5.500,7.161,6.892
SG,Joe Young,3000,NY@Ind 08:00PM ET,4.875,IND,1,0,2.643,0.479,2.188,0.000,0.185,26.000,18.000,217.500,-5.500,4.127,1.789
SF/PF,Lance Thomas,3000,NY@Ind 08:00PM ET,9.150,NY,0,1,7.786,5.375,7.562,0.000,-919.271,20.750,18.000,217.500,5.500,6.756,5.598
PF/C,Kevin Seraphin,3000,NY@Ind 08:00PM ET,9.683,IND,1,0,12.357,4.017,4.062,0.000,-7.375,23.000,18.000,217.500,-5.500,6.093,1.289
PF,Rakeem Christmas,3000,NY@Ind 08:00PM ET,3.417,IND,1,0,7.500,1.375,3.417,0.000,0.130,21.000,18.000,217.500,-5.500,4.360,1.412
PF,Georges Niang,3000,NY@Ind 08:00PM ET,2.316,IND,1,0,2.714,0.521,2.000,0.000,0.088,21.000,18.000,217.500,-5.500,3.243,0.333
PF,Maurice Ndour,3000,NY@Ind 08:00PM ET,5.176,NY,0,0,5.071,2.714,5.000,0.000,0.197,28.000,18.000,217.500,5.500,5.100,5.328
C,Al Jefferson,3000,NY@Ind 08:00PM ET,16.267,IND,1,0,15.964,11.426,22.000,1.627,0.618,25.000,18.000,217.500,-5.500,17.250,10.980
C,Lavoy Allen,3000,NY@Ind 08:00PM ET,6.406,IND,1,0,4.893,3.347,1.875,0.000,-2.292,25.000,18.000,217.500,-5.500,4.029,2.980
C,Marshall Plumlee,3000,NY@Ind 08:00PM ET,7.900,NY,0,0,11.667,1.500,9.562,0.000,0.300,16.000,18.000,217.500,5.500,8.217,8.549
PG,Semaj Christon,3000,OKC@Uta 09:00PM ET,9.081,OKC,0,0,10.429,4.809,10.312,0.000,-822.697,5.000,18.000,203.500,5.500,7.980,7.093
PG,Raul Neto,3000,OKC@Uta 09:00PM ET,5.594,UTA,1,0,4.214,1.577,5.375,0.000,-0.521,24.000,18.000,203.500,-5.500,4.108,2.083
PG,Cameron Payne,3000,OKC@Uta 09:00PM ET,11.321,OKC,0,0,12.650,6.500,13.438,0.000,-1019.945,5.000,18.000,203.500,5.500,10.088,8.010
PG,Dante Exum,3000,OKC@Uta 09:00PM ET,11.656,UTA,1,0,12.643,5.385,6.125,0.000,-8.287,24.000,18.000,203.500,-5.500,6.509,2.279
SG/SF,Alex Abrines,3000,OKC@Uta 09:00PM ET,9.264,OKC,0,0,9.250,4.412,8.125,0.000,-834.623,1.000,18.000,203.500,5.500,6.500,8.686
SG,Anthony Morrow,3000,OKC@Uta 09:00PM ET,8.484,OKC,0,0,5.750,3.559,3.625,0.000,-764.351,1.000,18.000,203.500,5.500,4.090,4.265
SG,Alec Burks,3000,OKC@Uta 09:00PM ET,6.972,UTA,1,0,14.167,2.042,12.625,0.000,-628.130,11.000,18.000,203.500,-5.500,8.902,13.716
SF,Kyle Singler,3000,OKC@Uta 09:00PM ET,4.261,OKC,0,0,3.464,1.386,4.312,0.000,-383.887,1.000,18.000,203.500,5.500,3.875,4.966
PF/C,Boris Diaw,3000,OKC@Uta 09:00PM ET,10.847,UTA,1,0,7.536,5.989,14.812,0.000,-1.011,15.500,18.000,203.500,-5.500,9.618,7.456
PF/C,Joffrey Lauvergne,3000,OKC@Uta 09:00PM ET,12.176,OKC,0,0,7.929,6.513,11.875,0.000,-1096.975,1.500,18.000,203.500,5.500,8.436,6.436
PF,Joel Bolomboy,3000,OKC@Uta 09:00PM ET,2.833,UTA,1,0,1.938,1.050,2.812,0.000,-0.264,16.000,18.000,203.500,-5.500,1.777,0.627
PF,Trey Lyles,3000,OKC@Uta 09:00PM ET,16.483,UTA,1,0,17.357,9.575,8.625,0.000,-1.536,16.000,18.000,203.500,-5.500,8.175,9.951
C,Nick Collison,3000,OKC@Uta 09:00PM ET,3.818,OKC,0,0,5.850,0.333,4.312,0.000,-343.976,2.000,18.000,203.500,5.500,4.161,1.956
C,Jeff Withey,3000,OKC@Uta 09:00PM ET,7.380,UTA,1,0,5.643,3.058,2.125,0.000,-4.672,15.000,18.000,203.500,-5.500,2.003,1.961
PG,Langston Galloway,3000,Cle@NO 08:00PM ET,16.901,NO,1,0,18.857,9.707,16.688,0.000,0.563,18.500,18.000,217.000,7.000,13.712,8.265
PG,Kay Felder,3000,Cle@NO 08:00PM ET,9.375,CLE,0,0,7.321,4.150,5.375,0.000,0.312,27.000,18.000,217.000,-7.000,4.773,2.304
SG,James Jones,3000,Cle@NO 08:00PM ET,4.971,CLE,0,0,1.929,1.422,7.312,0.000,0.166,20.000,18.000,217.000,-7.000,3.789,5.230
SG,DeAndre Liggins,3000,Cle@NO 08:00PM ET,9.169,CLE,0,0,11.000,3.350,6.500,0.000,0.305,20.000,18.000,217.000,-7.000,5.094,6.750
SG,Jordan McRae,3000,Cle@NO 08:00PM ET,7.929,CLE,0,0,7.857,2.683,3.062,0.000,-5.899,20.000,18.000,217.000,-7.000,2.723,0.676
SF/PF,Richard Jefferson,3000,Cle@NO 08:00PM ET,10.167,CLE,0,0,7.393,6.054,12.625,0.000,0.339,24.500,18.000,217.000,-7.000,8.529,10.647
PF,Cheick Diallo,3000,Cle@NO 08:00PM ET,10.889,NO,1,0,7.500,4.650,11.938,0.000,0.363,14.000,18.000,217.000,7.000,8.102,11.221
C,Chris Andersen,3000,Cle@NO 08:00PM ET,7.979,CLE,0,1,7.688,4.607,8.312,0.000,-797.554,19.500,18.000,217.000,-7.000,5.365,5.088
C,Alexis Ajinca,3000,Cle@NO 08:00PM ET,11.988,NO,1,0,11.714,5.909,7.750,0.000,-1087.903,6.000,18.000,217.000,7.000,6.560,8.436
C,Omer Asik,3000,Cle@NO 08:00PM ET,11.569,NO,1,0,13.607,6.721,5.438,0.000,-1048.933,6.000,18.000,217.000,7.000,5.646,2.662
