Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds
PG/SG,James Harden,11700,LAC@Hou 08:00PM ET,58.970,Hou,1,0,62.607,53.000,60.500,4.250,70.200,77.750,0.123,217.000,-10.500
PF/C,Anthony Davis,10500,NY@NO 08:00PM ET,55.047,NO,1,0,56.214,40.200,53.438,23.250,63.000,51.500,0.321,215.500,-3.500
PG,John Wall,10300,Bkn@Was 07:00PM ET,49.172,Was,1,0,54.679,42.133,52.438,30.000,61.800,51.500,0.103,219.500,-7.500
SF,Kevin Durant,9900,Dal@GS 10:30PM ET,50.030,GS,1,0,48.071,41.281,56.688,3.000,59.400,51.250,0.185,214.000,-18.000
PG,Giannis Antetokounmpo,9700,Mil@Min 08:00PM ET,50.900,Mil,0,0,50.179,41.714,50.312,19.000,58.200,42.500,0.235,209.000,1.500
PG,Chris Paul,9300,LAC@Hou 08:00PM ET,43.927,LAC,0,0,44.464,36.653,43.500,13.500,55.800,42.500,0.136,217.000,10.500
PF/C,Karl-Anthony Towns,8900,Mil@Min 08:00PM ET,44.656,Min,1,0,49.964,37.434,45.500,16.250,53.400,46.000,0.225,209.000,-1.500
C,Hassan Whiteside,8600,Mia@Bos 07:30PM ET,42.811,Mia,0,0,33.429,30.109,28.625,20.000,51.600,26.000,0.250,203.000,9.500
PG,Stephen Curry,8400,Dal@GS 10:30PM ET,42.742,GS,1,0,38.250,36.319,37.688,1.000,50.400,29.500,0.177,214.000,-18.000
SF,Kawhi Leonard,8200,Por@SA 08:30PM ET,41.879,SA,1,0,39.214,33.288,47.062,19.500,49.200,55.000,0.215,202.000,-10.000
PG/SG,C.J. McCollum,8100,Por@SA 08:30PM ET,35.412,Por,0,0,36.036,28.619,36.438,10.000,48.600,34.000,0.114,202.000,10.000
PG,Damian Lillard,7900,Por@SA 08:30PM ET,44.398,Por,0,0,45.250,34.188,40.000,3.000,47.400,40.250,0.405,202.000,10.000
PF/C,Blake Griffin,7800,LAC@Hou 08:00PM ET,41.942,LAC,0,0,38.143,35.625,41.750,19.750,46.800,46.250,0.282,217.000,10.500
PG,Isaiah Thomas,7700,Mia@Bos 07:30PM ET,41.767,Bos,1,0,41.571,35.750,45.062,6.000,46.200,60.000,0.338,203.000,-9.500
C,Dwight Howard,7600,Det@Atl 08:00PM ET,37.741,Atl,1,0,37.036,25.068,43.500,5.000,45.600,33.750,0.255,199.500,-2.500
PF/C,Draymond Green,7500,Dal@GS 10:30PM ET,39.605,GS,1,0,38.571,33.588,35.438,7.000,45.000,32.500,0.257,214.000,-18.000
PF,Kristaps Porzingis,7400,NY@NO 08:00PM ET,37.613,NY,0,0,43.250,29.632,41.875,26.500,44.400,50.000,0.287,215.500,3.500
PF/C,Joel Embiid,7300,Phi@Den 09:00PM ET,35.869,Phi,0,0,37.000,28.275,37.562,13.500,43.800,46.000,0.207,213.500,10.000
C,DeAndre Jordan,7300,LAC@Hou 08:00PM ET,33.691,LAC,0,0,39.786,28.079,37.812,23.000,43.800,40.750,0.122,217.000,10.500
SF,Carmelo Anthony,7300,NY@NO 08:00PM ET,36.800,NY,0,0,37.893,28.897,35.562,22.000,43.800,48.750,0.283,215.500,3.500
PF/C,LaMarcus Aldridge,7300,Por@SA 08:30PM ET,32.362,SA,1,0,32.607,25.056,39.688,28.500,43.800,17.500,0.123,202.000,-10.000
SF/PF,Jabari Parker,7200,Mil@Min 08:00PM ET,33.808,Mil,0,0,32.286,25.484,40.812,6.500,43.200,36.000,0.188,209.000,1.500
PF,Paul Millsap,7100,Det@Atl 08:00PM ET,37.621,Atl,1,0,41.964,26.712,33.375,11.500,42.600,44.000,0.344,199.500,-2.500
PG,Goran Dragic,7000,Mia@Bos 07:30PM ET,35.167,Mia,0,0,34.071,27.625,29.688,25.500,42.000,18.750,0.276,203.000,9.500
C,Nikola Jokic,6900,Phi@Den 09:00PM ET,29.422,Den,1,0,39.071,20.667,40.875,27.000,41.400,38.750,0.202,213.500,-10.000
C,Andre Drummond,6800,Det@Atl 08:00PM ET,37.447,Det,0,0,36.179,28.931,35.875,4.000,40.800,37.750,0.386,199.500,2.500
SF/PF,Harrison Barnes,6800,Dal@GS 10:30PM ET,31.189,Dal,0,0,32.607,24.000,31.125,10.250,40.800,37.250,0.130,214.000,18.000
C,Brook Lopez,6800,Bkn@Was 07:00PM ET,36.063,Bkn,0,0,36.500,27.984,33.875,6.000,40.800,26.750,0.322,219.500,7.500
C,Al Horford,6700,Mia@Bos 07:30PM ET,36.315,Bos,1,0,39.357,27.318,30.625,17.000,40.200,37.000,0.352,203.000,-9.500
PG,Dennis Schroder,6600,Det@Atl 08:00PM ET,31.906,Atl,1,0,35.321,24.368,32.688,24.000,39.600,31.750,0.219,199.500,-2.500
SF,Andrew Wiggins,6500,Mil@Min 08:00PM ET,32.281,Min,1,0,32.071,23.200,37.938,29.000,39.000,47.750,0.297,209.000,-1.500
SG,Bradley Beal,6500,Bkn@Was 07:00PM ET,33.696,Was,1,0,36.321,25.250,28.438,30.000,39.000,20.750,0.305,219.500,-7.500
SG,Klay Thompson,6400,Dal@GS 10:30PM ET,31.879,GS,1,0,40.393,24.588,35.188,4.000,38.400,42.500,0.275,214.000,-18.000
SG,Zach LaVine,6300,Mil@Min 08:00PM ET,32.081,Min,1,0,36.321,25.382,28.812,16.000,37.800,34.500,0.286,209.000,-1.500
C,Marcin Gortat,6300,Bkn@Was 07:00PM ET,31.645,Was,1,0,34.143,25.882,31.812,29.000,37.800,40.750,0.239,219.500,-7.500
PG,Derrick Rose,6300,NY@NO 08:00PM ET,30.389,NY,0,0,27.321,23.750,33.938,27.500,37.800,28.500,0.231,215.500,3.500
PG,Jrue Holiday,6300,NY@NO 08:00PM ET,32.092,NO,1,0,38.250,26.773,34.688,13.500,37.800,40.500,0.249,215.500,-3.500
SG,Avery Bradley,6200,Mia@Bos 07:30PM ET,33.962,Bos,1,0,31.000,27.469,32.625,3.000,37.200,34.250,0.354,203.000,-9.500
SF/PF,Otto Porter,6100,Bkn@Was 07:00PM ET,29.919,Was,1,0,28.929,21.431,32.562,30.000,36.600,25.000,0.299,219.500,-7.500
C,Pau Gasol,6100,Por@SA 08:30PM ET,29.367,SA,1,0,34.357,22.015,31.188,28.000,36.600,24.750,0.234,202.000,-10.000
SF/PF,Tobias Harris,6000,Det@Atl 08:00PM ET,27.853,Det,0,0,23.464,20.181,35.375,21.250,36.000,25.750,0.191,199.500,2.500
SF,Danilo Gallinari,5900,Phi@Den 09:00PM ET,28.552,Den,1,0,29.893,23.188,35.125,19.500,35.400,27.250,0.177,213.500,-10.000
PG,Deron Williams,5900,Dal@GS 10:30PM ET,28.050,Dal,0,0,32.857,19.500,27.375,16.500,35.400,21.000,0.212,214.000,18.000
PG,Ricky Rubio,5900,Mil@Min 08:00PM ET,26.463,Min,1,0,28.679,20.172,30.875,4.000,35.400,27.250,0.152,209.000,-1.500
SG,Sean Kilpatrick,5900,Bkn@Was 07:00PM ET,26.887,Bkn,0,0,21.429,17.618,27.062,9.000,35.400,9.500,0.219,219.500,7.500
SF/PF,Wilson Chandler,5800,Phi@Den 09:00PM ET,30.138,Den,1,0,31.536,20.333,26.938,12.250,34.800,25.250,0.347,213.500,-10.000
PG,Reggie Jackson,5700,Det@Atl 08:00PM ET,25.327,Det,0,0,24.458,21.125,29.938,22.500,34.200,38.000,0.147,199.500,2.500
SG,Wesley Matthews,5700,Dal@GS 10:30PM ET,26.922,Dal,0,0,27.357,19.859,27.188,12.500,34.200,25.000,0.189,214.000,18.000
SG,Eric Gordon,5700,LAC@Hou 08:00PM ET,28.432,Hou,1,0,29.071,22.944,29.250,6.500,34.200,31.500,0.239,217.000,-10.500
SF/PF,Justise Winslow,5600,Mia@Bos 07:30PM ET,25.309,Mia,0,0,24.143,20.250,23.875,18.500,33.600,32.750,0.218,203.000,9.500
PF,Ryan Anderson,5600,LAC@Hou 08:00PM ET,24.735,Hou,1,0,20.286,17.562,28.000,6.000,33.600,10.250,0.173,217.000,-10.500
C,Mason Plumlee,5600,Por@SA 08:30PM ET,29.934,Por,0,0,32.250,22.988,28.812,3.000,33.600,25.250,0.353,202.000,10.000
SG/SF,Will Barton,5500,Phi@Den 09:00PM ET,26.375,Den,1,0,25.321,16.417,27.062,19.000,33.000,27.250,0.269,213.500,-10.000
