Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds
PG,Russell Westbrook,12500,OKC@Mia 07:30PM ET,65.137,OKC,0,0,63.571,54.533,70.812,6.000,75.000,67.750,0.231,203.000,-4.500
PG/SG,James Harden,11400,Hou@Dal 08:30PM ET,58.961,Hou,0,0,57.821,52.632,55.875,2.500,68.400,58.750,0.140,209.000,-5.000
C,Hassan Whiteside,8700,OKC@Mia 07:30PM ET,44.024,Mia,1,0,46.857,30.946,43.500,12.000,52.200,25.500,0.256,203.000,4.500
SF,Gordon Hayward,8000,Uta@LAL 10:30PM ET,37.885,Uta,0,0,36.214,29.979,35.688,28.000,48.000,50.250,0.177,204.000,-5.500
PG,Isaiah Thomas,7900,Mem@Bos 07:30PM ET,41.769,Bos,1,0,36.786,35.750,41.438,8.000,47.400,31.250,0.247,198.000,-7.500
C,Rudy Gobert,7700,Uta@LAL 10:30PM ET,35.339,Uta,0,0,38.786,26.821,37.312,30.000,46.200,31.750,0.120,204.000,-5.500
C,Marc Gasol,7200,Mem@Bos 07:30PM ET,38.476,Mem,0,0,47.321,29.483,42.250,20.000,43.200,54.500,0.355,198.000,7.500
PG,Goran Dragic,7100,OKC@Mia 07:30PM ET,35.721,Mia,1,0,40.643,28.217,36.625,22.500,42.600,35.000,0.272,203.000,4.500
C,Al Horford,6900,Mem@Bos 07:30PM ET,37.786,Bos,1,0,39.286,28.977,33.750,1.000,41.400,25.500,0.333,198.000,-7.500
PG,George Hill,6500,Uta@LAL 10:30PM ET,33.750,Uta,0,0,37.000,22.667,32.562,27.500,39.000,16.750,0.256,204.000,-5.500
PG,Mike Conley,6400,Mem@Bos 07:30PM ET,34.630,Mem,0,0,37.857,26.750,32.438,25.500,38.400,24.000,0.366,198.000,7.500
SF/PF,Harrison Barnes,6300,Hou@Dal 08:30PM ET,31.185,Dal,1,0,31.179,24.000,30.938,20.750,37.800,26.750,0.212,209.000,5.000
SG,Avery Bradley,5900,Mem@Bos 07:30PM ET,33.677,Bos,1,0,31.000,27.469,30.625,6.500,35.400,43.750,0.436,198.000,-7.500
PF/C,Julius Randle,5800,Uta@LAL 10:30PM ET,30.560,LAL,1,0,31.393,22.143,36.062,1.500,34.800,47.500,0.363,204.000,5.500
PG,Patrick Beverley,5700,Hou@Dal 08:30PM ET,27.560,Hou,0,0,28.464,21.325,30.625,1.000,34.200,29.250,0.213,209.000,-5.000
SG,Dion Waiters,5600,OKC@Mia 07:30PM ET,27.078,Mia,1,0,27.929,15.679,31.750,11.000,33.600,44.750,0.292,203.000,4.500
PG,Deron Williams,5600,Hou@Dal 08:30PM ET,28.489,Dal,1,0,29.714,18.472,32.438,13.500,33.600,18.750,0.286,209.000,5.000
SG,Eric Gordon,5500,Hou@Dal 08:30PM ET,28.500,Hou,0,0,31.893,22.944,30.500,4.000,33.000,26.250,0.286,209.000,-5.000
SG,Victor Oladipo,5400,OKC@Mia 07:30PM ET,28.500,OKC,0,0,29.321,19.479,20.188,3.000,32.400,2.750,0.370,203.000,-4.500
SG,Wesley Matthews,5400,Hou@Dal 08:30PM ET,26.792,Dal,1,0,28.500,19.517,29.438,26.000,32.400,25.250,0.252,209.000,5.000
SF,Jae Crowder,5300,Mem@Bos 07:30PM ET,26.109,Bos,1,0,25.250,19.700,23.938,6.000,31.800,28.250,0.221,198.000,-7.500
SF,Justise Winslow,5300,OKC@Mia 07:30PM ET,26.283,Mia,1,0,25.464,20.750,30.250,7.000,31.800,22.750,0.283,203.000,4.500
PF,Ryan Anderson,5300,Hou@Dal 08:30PM ET,24.531,Hou,0,0,35.214,17.947,31.500,3.000,31.800,31.250,0.231,209.000,-5.000
SG,Rodney Hood,5300,Uta@LAL 10:30PM ET,24.548,Uta,0,0,19.321,13.841,7.125,21.000,31.800,5.000,0.220,204.000,-5.500
SF,Luol Deng,5300,Uta@LAL 10:30PM ET,20.978,LAL,1,0,23.464,13.684,32.000,1.000,31.800,27.250,0.133,204.000,5.500
