Name,Salary,Position,team,seasonAvg,expectedScore,atHome,opponent,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,Final
Russell Westbrook,11800,PG,OKC,64.327,102.450,1,MEM,0,69.643,53.487,69.812,0.000,-5.000,65.750
Victor Oladipo,5900,SG,OKC,28.517,102.450,1,MEM,0,26.214,19.946,28.812,0.000,0.000,24.250
Andre Roberson,4000,SF,OKC,18.436,102.450,1,MEM,0,22.071,10.676,19.688,0.000,0.000,20.000
Steven Adams,5700,C,OKC,27.571,102.450,1,MEM,0,32.107,21.400,34.938,-2.000,0.000,29.500
Domantas Sabonis,3200,PF,OKC,14.455,102.450,1,MEM,0,14.071,9.425,13.500,0.000,0.000,3.000
Enes Kanter,5100,PF/C,OKC,25.096,102.450,1,MEM,0,25.429,16.881,33.375,2.000,0.000,42.000
Ersan Ilyasova,6100,PF,PHI,26.764,104.875,1,NYK,0,28.571,19.264,34.312,0.000,0.000,27.500
Anthony Morrow,3000,SG,OKC,8.759,102.450,1,MEM,0,8.893,4.044,5.125,0.000,0.000,0.000
Semaj Christon,3000,PG,OKC,9.081,102.450,1,MEM,0,10.821,4.809,10.312,0.000,0.000,0.000
Alex Abrines,3000,SG/SF,OKC,9.477,102.450,1,MEM,0,9.679,4.344,12.188,0.000,0.000,7.000
Cameron Payne,3000,PG,OKC,11.000,102.450,1,MEM,0,12.500,9.500,11.000,0.000,-4.000,3.500
Joffrey Lauvergne,3000,C,OKC,12.212,102.450,1,MEM,0,12.750,6.529,7.750,0.000,0.000,11.250
Kyle Singler,3000,SF,OKC,4.338,102.450,1,MEM,0,2.750,1.333,2.500,0.000,0.000,0.000
Nick Collison,3000,C,OKC,4.250,102.450,1,MEM,0,2.650,0.500,7.062,0.000,0.000,-0.500
Robert Covington,6000,SF,PHI,24.875,104.875,1,NYK,0,29.464,16.812,34.875,0.000,0.000,27.750
Ersan Ilyasova,6100,PF,PHI,26.764,104.875,1,NYK,0,28.571,19.264,34.312,0.000,0.000,27.500
Nik Stauskas,3900,SG,PHI,17.295,104.875,1,NYK,0,13.893,11.050,18.500,0.000,0.000,12.000
Sergio Rodriguez,4000,PG,PHI,23.605,104.875,1,NYK,0,25.857,14.900,21.562,0.000,-99.000,7.750
Joel Embiid,8000,PF/C,PHI,36.740,104.875,1,NYK,0,36.857,28.864,41.312,7.000,0.000,45.500
Dario Saric,4600,SF/PF,PHI,20.721,104.875,1,NYK,0,20.714,13.221,25.250,3.000,0.000,7.250
Jerryd Bayless,3000,PG,PHI,21.333,104.875,1,NYK,1,21.333,15.750,21.333,0.000,-99.000,0.000
Jahlil Okafor,4300,C,PHI,20.652,104.875,1,NYK,0,24.643,12.068,13.875,0.000,0.000,0.000
Jerami Grant,3100,SF/PF,OKC,13.270,102.450,1,MEM,0,13.357,9.750,12.125,0.000,-5.000,15.000
Richaun Holmes,3700,PF,PHI,16.393,104.875,1,NYK,1,14.143,7.667,16.438,0.000,-99.000,0.000
Nerlens Noel,4200,C,PHI,15.050,104.875,1,NYK,0,9.750,10.464,19.938,0.000,0.000,27.500
Timothe Luwawu-Cabarrot,3000,SG/SF,PHI,4.784,104.875,1,NYK,0,6.500,1.795,5.562,0.000,0.000,11.000
Avery Bradley,5800,SG,BOS,33.936,105.650,1,WAS,1,31.857,27.044,35.875,0.000,-99.000,0.000
Isaiah Thomas,8900,PG,BOS,42.713,105.650,1,WAS,0,46.464,35.711,45.750,4.000,0.000,52.250
Al Horford,6700,C,BOS,36.446,105.650,1,WAS,0,38.500,28.696,37.062,2.000,0.000,39.750
Jae Crowder,5200,SF,BOS,25.425,105.650,1,WAS,0,22.107,19.357,20.312,2.000,0.000,35.000
Marcus Smart,6300,SG/SF,BOS,24.929,105.650,1,WAS,0,26.429,19.619,33.125,9.000,0.000,19.000
Amir Johnson,4100,PF/C,BOS,17.283,105.650,1,WAS,0,22.679,10.537,21.062,2.000,0.000,0.000
Kelly Olynyk,3600,PF/C,BOS,18.227,105.650,1,WAS,0,18.143,10.019,22.312,2.000,0.000,22.000
Terry Rozier,3000,PG,BOS,13.662,105.650,1,WAS,0,12.000,8.105,7.812,0.000,0.000,20.500
Jonas Jerebko,3000,PF,BOS,11.349,105.650,1,WAS,0,9.929,6.645,7.438,0.000,0.000,18.500
Jaylen Brown,3000,SF,BOS,9.099,105.650,1,WAS,0,7.071,4.685,7.438,0.000,0.000,0.000
Tyler Zeller,3000,C,BOS,10.454,105.650,1,WAS,1,3.893,3.650,3.125,0.000,-99.000,0.000
Gerald Green,3000,SG,BOS,10.975,105.650,1,WAS,0,12.143,5.227,11.812,0.000,0.000,12.750
Jordan Mickey,3000,PF,BOS,5.306,105.650,1,WAS,0,4.188,1.812,5.500,0.000,0.000,9.000
James Young,3000,SG,BOS,3.523,105.650,1,WAS,1,2.500,0.594,2.125,0.000,-99.000,0.000
Demetrius Jackson,3000,PG,BOS,5.000,105.650,1,WAS,0,7.625,1.583,5.000,0.000,0.000,0.000
John Wall,9200,PG,WAS,48.929,105.650,0,BOS,0,43.893,41.588,47.438,4.000,0.000,41.750
Marcin Gortat,6000,C,WAS,32.128,105.650,0,BOS,0,30.964,26.175,32.625,3.000,0.000,23.750
Bradley Beal,6400,SG,WAS,33.841,105.650,0,BOS,0,34.179,25.781,33.625,0.000,0.000,49.500
Otto Porter,6200,SF/PF,WAS,29.757,105.650,0,BOS,0,25.929,21.300,32.812,0.000,0.000,40.500
Markieff Morris,5600,SF/PF,WAS,25.979,105.650,0,BOS,0,24.143,19.560,29.312,0.000,0.000,35.250
Marcus Thornton,3000,SF,WAS,12.712,105.650,0,BOS,0,9.500,6.875,13.688,0.000,0.000,0.000
Tomas Satoransky,3000,PG,WAS,8.826,105.650,0,BOS,1,9.036,3.865,3.125,0.000,-99.000,0.000
Sheldon McClellan,3600,SG,WAS,7.833,105.650,0,BOS,0,10.714,2.250,6.500,0.000,0.000,10.500
Trey Burke,3000,PG,WAS,8.333,105.650,0,BOS,0,6.500,4.450,8.312,0.000,0.000,5.000
Jason Smith,3000,PF/C,WAS,8.979,105.650,0,BOS,0,7.893,5.202,13.688,0.000,0.000,20.250
Andrew Nicholson,3000,C,WAS,5.781,105.650,0,BOS,0,9.250,2.300,4.562,0.000,0.000,0.000
Daniel Ochefu,3000,C,WAS,2.875,105.650,0,BOS,0,3.667,0.950,4.438,0.000,0.000,0.000
Marc Gasol,6800,C,MEM,38.211,102.450,0,OKC,0,37.643,28.528,37.188,2.000,0.000,38.250
Mike Conley,6900,PG,MEM,35.679,102.450,0,OKC,0,36.000,27.450,40.875,0.000,0.000,42.500
JaMychal Green,4300,PF,MEM,23.051,102.450,0,OKC,0,20.714,15.605,20.062,2.000,-4.000,21.000
Tony Allen,4900,SG,MEM,22.530,102.450,0,OKC,0,23.893,15.986,24.062,0.000,0.000,9.500
Andrew Harrison,3700,PG,MEM,17.718,102.450,0,OKC,0,18.500,11.261,10.938,0.000,0.000,8.000
Vince Carter,3300,SG/SF,MEM,17.697,102.450,0,OKC,0,15.357,12.829,16.125,0.000,0.000,21.750
Zach Randolph,5800,PF/C,MEM,27.523,102.450,0,OKC,0,28.357,22.764,33.000,2.000,0.000,24.750
Troy Daniels,3000,SG,MEM,15.259,102.450,0,OKC,0,15.750,7.662,14.562,0.000,0.000,3.000
Chandler Parsons,3200,SF,MEM,11.482,102.450,0,OKC,0,9.607,6.667,11.562,0.000,0.000,16.000
Troy Williams,3000,SG,MEM,10.720,102.450,0,OKC,0,11.821,2.729,4.188,0.000,0.000,0.000
Jarell Martin,3000,PF/C,MEM,10.395,102.450,0,OKC,0,6.286,4.862,5.875,0.000,0.000,0.000
Deyonta Davis,3000,PF,MEM,5.881,102.450,0,OKC,1,4.143,2.062,4.750,0.000,-99.000,0.000
Kyle Korver,4500,SG/SF,CLE,18.720,108.100,0,POR,0,16.607,11.750,22.812,0.000,0.000,5.500
James Harden,12000,PG/SG,HOU,60.944,107.375,0,MIN,0,57.429,53.446,63.500,9.000,0.000,64.000
Trevor Ariza,5700,SF,HOU,28.113,107.375,0,MIN,0,24.143,21.382,27.625,0.000,0.000,20.750
Ryan Anderson,5000,PF,HOU,24.400,107.375,0,MIN,0,31.857,17.979,22.250,1.000,0.000,37.250
Patrick Beverley,5600,PG,HOU,27.894,107.375,0,MIN,0,31.179,21.604,28.812,0.000,-2.000,16.250
Eric Gordon,5900,SG,HOU,29.006,107.375,0,MIN,1,31.393,23.571,34.375,0.000,-99.000,0.000
Clint Capela,4800,C,HOU,26.804,107.375,0,MIN,1,24.286,20.607,20.062,0.000,-99.000,0.000
Montrezl Harrell,5300,PF/C,HOU,18.024,107.375,0,MIN,0,19.929,8.417,26.750,0.000,0.000,19.750
Sam Dekker,3500,SF/PF,HOU,15.263,107.375,0,MIN,0,14.214,10.315,13.625,0.000,0.000,11.000
Corey Brewer,3000,SG/SF,HOU,9.469,107.375,0,MIN,0,7.607,5.781,13.562,0.000,0.000,16.000
Tyler Ennis,3000,PG,HOU,5.125,107.375,0,MIN,0,6.393,2.115,4.062,0.000,0.000,1.250
Bobby Brown,3000,PG,HOU,0.656,107.375,0,MIN,0,0.250,0.000,1.312,0.000,0.000,4.750
Kyle Wiltjer,3000,PF,HOU,2.306,107.375,0,MIN,0,1.042,0.375,1.000,0.000,0.000,0.000
Evan Fournier,6000,SG/SF,ORL,28.463,103.250,0,LAC,0,27.250,20.656,27.875,-2.000,0.000,12.500
Serge Ibaka,6300,PF/C,ORL,30.859,103.250,0,LAC,1,35.250,23.557,31.438,0.000,-99.000,0.000
Elfrid Payton,5400,PG,ORL,27.776,103.250,0,LAC,1,32.536,20.650,31.062,0.000,-99.000,12.000
Nikola Vucevic,6600,C,ORL,33.854,103.250,0,LAC,0,35.786,25.637,35.125,0.000,2.000,43.000
Aaron Gordon,5200,SF/PF,ORL,22.026,103.250,0,LAC,0,20.179,14.857,30.250,0.000,0.000,37.250
Bismack Biyombo,3800,C,ORL,20.684,103.250,0,LAC,0,21.000,14.588,15.625,0.000,0.000,10.000
Jeff Green,3100,SF/PF,ORL,15.776,103.250,0,LAC,0,16.929,9.412,13.000,0.000,-4.000,15.750
D.J. Augustin,3600,PG,ORL,16.429,103.250,0,LAC,0,14.250,11.488,18.375,0.000,0.000,14.000
Jodie Meeks,3100,SG,ORL,15.355,103.250,0,LAC,0,19.214,7.278,14.375,0.000,-99.000,34.250
Mario Hezonja,3000,SG,ORL,5.990,103.250,0,LAC,0,3.071,1.859,4.375,0.000,0.000,2.000
Damjan Rudez,3000,SF,ORL,4.065,103.250,0,LAC,0,3.000,0.788,2.438,0.000,0.000,0.000
Zach LaVine,6500,SG,MIN,31.703,107.375,1,HOU,1,34.607,24.237,30.750,0.000,-99.000,0.000
Andrew Wiggins,6400,SF,MIN,32.230,107.375,1,HOU,0,30.536,21.562,27.750,-2.000,0.000,37.500
