Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds
C,Bismack Biyombo,3400,Orl@NO 08:00PM ET,19.976,Orl,0,0,15.429,13.250,13.938,20.500,20.400,12.750,0.471,209.500,5.000
SG,Justin Holiday,3300,NY@Bos 07:30PM ET,14.643,NY,0,0,16.786,9.040,17.750,10.500,19.800,21.250,0.278,221.000,9.500
PF,Domantas Sabonis,3300,OKC@GS 10:30PM ET,14.256,OKC,0,0,13.071,9.045,13.938,8.000,19.800,9.500,0.202,230.000,13.500
SF,Chandler Parsons,3300,Mem@Was 07:00PM ET,12.059,Mem,0,0,10.607,7.143,13.562,16.000,19.800,10.000,0.063,206.500,2.000
SF,Tony Snell,3300,Mil@Hou 08:00PM ET,16.442,Mil,0,0,14.143,11.155,16.812,22.500,19.800,22.000,0.319,226.500,6.500
SF,C.J. Miles,3300,Ind@Sac 10:30PM ET,18.529,Ind,0,0,17.643,11.819,18.812,9.000,19.800,14.500,0.434,214.500,2.000
PF,Patrick Patterson,3300,Tor@Phi 07:00PM ET,19.197,Tor,0,0,15.786,13.219,10.125,6.000,19.800,5.500,0.467,214.500,-5.000
PG,D.J. Augustin,3300,Orl@NO 08:00PM ET,16.308,Orl,0,0,15.893,11.490,15.250,27.000,19.800,14.500,0.284,209.500,5.000
C,Joffrey Lauvergne,3200,OKC@GS 10:30PM ET,12.176,OKC,0,0,7.929,6.513,11.875,22.000,19.200,28.250,0.186,230.000,13.500
PG,Ish Smith,3200,Atl@Det 08:00PM ET,20.833,Det,1,0,14.821,14.052,13.750,23.500,19.200,15.250,0.565,202.000,2.000
PG,Malcolm Delaney,3200,Atl@Det 08:00PM ET,13.213,Atl,0,0,14.107,7.361,20.875,23.500,19.200,9.750,0.181,202.000,-2.000
SG,Reggie Bullock,3200,Atl@Det 08:00PM ET,9.333,Det,1,0,13.938,5.438,14.062,23.000,19.200,30.500,0.254,202.000,2.000
SF,James Ennis III,3200,Mem@Was 07:00PM ET,17.259,Mem,0,0,17.500,11.233,15.688,16.000,19.200,20.500,0.406,206.500,2.000
SF/PF,Sam Dekker,3200,Mil@Hou 08:00PM ET,15.318,Hou,1,0,12.821,10.420,16.188,24.000,19.200,12.250,0.280,226.500,-6.500
C,John Henson,3200,Mil@Hou 08:00PM ET,18.132,Mil,0,0,11.857,11.607,17.125,23.000,19.200,13.750,0.446,226.500,6.500
C,Nene Hilario,3100,Mil@Hou 08:00PM ET,15.474,Hou,1,0,16.893,9.803,18.312,11.000,18.600,12.000,0.306,226.500,-6.500
C,Al Jefferson,3100,Ind@Sac 10:30PM ET,15.675,Ind,0,0,17.964,10.865,18.438,13.500,18.600,25.250,0.357,214.500,2.000
SG/SF,Norman Powell,3100,Tor@Phi 07:00PM ET,11.068,Tor,0,0,7.643,5.115,13.000,22.000,18.600,13.250,0.227,214.500,-5.000
SG,E'Twaun Moore,3100,Orl@NO 08:00PM ET,18.355,NO,1,0,16.464,13.412,18.562,17.500,18.600,15.750,0.477,209.500,-5.000
SF/PF,Jeff Green,3100,Orl@NO 08:00PM ET,15.821,Orl,0,0,15.714,9.920,17.188,19.000,18.600,19.500,0.359,209.500,5.000
PG,Demetrius Jackson,3000,NY@Bos 07:30PM ET,5.000,Bos,1,0,7.625,1.583,5.000,15.000,18.000,2.750,0.082,221.000,-9.500
PG,Terry Rozier,3000,NY@Bos 07:30PM ET,13.806,Bos,1,0,11.393,8.287,12.438,15.000,18.000,11.750,0.287,221.000,-9.500
SG/SF,Gerald Green,3000,NY@Bos 07:30PM ET,10.370,Bos,1,0,10.500,4.661,5.125,19.000,18.000,1.500,0.149,221.000,-9.500
SG,Sasha Vujacic,3000,NY@Bos 07:30PM ET,5.728,NY,0,0,5.393,1.000,8.875,10.500,18.000,13.000,0.023,221.000,9.500
SG,James Young,3000,NY@Bos 07:30PM ET,3.523,Bos,1,0,2.500,0.594,2.125,26.500,18.000,1.250,0.033,221.000,-9.500
SF/PF,Lance Thomas,3000,NY@Bos 07:30PM ET,9.150,NY,0,0,7.786,5.375,7.562,23.000,18.000,0.000,0.050,221.000,9.500
SF,Jaylen Brown,3000,NY@Bos 07:30PM ET,9.150,Bos,1,0,9.929,4.729,10.500,11.500,18.000,19.000,0.118,221.000,-9.500
PF,Jonas Jerebko,3000,NY@Bos 07:30PM ET,11.220,Bos,1,0,10.000,6.310,9.000,22.500,18.000,7.250,0.128,221.000,-9.500
PF,Jordan Mickey,3000,NY@Bos 07:30PM ET,5.675,Bos,1,0,5.625,2.600,6.188,22.500,18.000,8.000,0.010,221.000,-9.500
PF,Maurice Ndour,3000,NY@Bos 07:30PM ET,5.176,NY,0,0,5.071,2.714,5.000,26.000,18.000,6.750,0.001,221.000,9.500
C,Tyler Zeller,3000,NY@Bos 07:30PM ET,10.454,Bos,1,0,3.893,3.650,3.125,25.000,18.000,8.000,0.215,221.000,-9.500
C,Marshall Plumlee,3000,NY@Bos 07:30PM ET,5.000,NY,0,0,11.667,0.625,9.062,18.000,18.000,21.250,0.205,221.000,9.500
C,Guillermo Hernangomez,3000,NY@Bos 07:30PM ET,12.807,NY,0,0,14.214,4.528,14.375,18.000,18.000,33.250,0.329,221.000,9.500
PG/SG,Ian Clark,3000,OKC@GS 10:30PM ET,11.993,GS,1,0,11.250,6.674,13.000,17.750,18.000,5.500,0.224,230.000,-13.500
PG,Semaj Christon,3000,OKC@GS 10:30PM ET,9.081,OKC,0,0,10.429,4.809,10.312,11.000,18.000,3.500,0.049,230.000,13.500
PG,Cameron Payne,3000,OKC@GS 10:30PM ET,10.167,OKC,0,0,12.650,6.500,13.438,11.000,18.000,18.250,0.091,230.000,13.500
SG/SF,Alex Abrines,3000,OKC@GS 10:30PM ET,9.340,OKC,0,0,9.250,4.412,8.125,15.750,18.000,5.250,0.098,230.000,13.500
SG/SF,Patrick McCaw,3000,OKC@GS 10:30PM ET,6.161,GS,1,0,2.357,2.712,3.438,6.750,18.000,4.750,0.024,230.000,-13.500
SG,Anthony Morrow,3000,OKC@GS 10:30PM ET,8.650,OKC,0,0,5.750,3.559,3.625,12.500,18.000,3.500,0.082,230.000,13.500
SF,Kyle Singler,3000,OKC@GS 10:30PM ET,4.091,OKC,0,0,3.464,1.386,4.312,19.000,18.000,8.000,0.001,230.000,13.500
PF,David West,3000,OKC@GS 10:30PM ET,12.323,GS,1,0,12.357,7.287,12.250,15.000,18.000,15.750,0.172,230.000,-13.500
PF,James Michael McAdoo,3000,OKC@GS 10:30PM ET,2.703,GS,1,0,3.179,1.159,0.750,15.000,18.000,0.750,0.001,230.000,-13.500
PF,Kevon Looney,3000,OKC@GS 10:30PM ET,8.048,GS,1,0,4.929,2.733,3.812,15.000,18.000,0.000,0.051,230.000,-13.500
C,Nick Collison,3000,OKC@GS 10:30PM ET,3.818,OKC,0,0,5.850,0.333,4.312,22.000,18.000,-0.500,0.010,230.000,13.500
C,Anderson Varejao,3000,OKC@GS 10:30PM ET,5.825,GS,1,0,5.321,2.500,3.312,16.000,18.000,0.000,0.015,230.000,-13.500
C,JaVale McGee,3000,OKC@GS 10:30PM ET,10.074,GS,1,0,9.000,4.841,10.375,16.000,18.000,6.000,0.126,230.000,-13.500
PG,Beno Udrih,3000,Atl@Det 08:00PM ET,13.278,Det,1,0,16.250,7.929,9.062,23.500,18.000,0.000,0.239,202.000,2.000
SG,Darrun Hilliard,3000,Atl@Det 08:00PM ET,6.410,Det,1,0,6.036,2.554,4.750,23.000,18.000,6.500,0.016,202.000,2.000
SF,Mike Dunleavy,3000,Atl@Det 08:00PM ET,10.077,Atl,0,0,9.536,5.641,14.938,5.500,18.000,11.500,0.133,202.000,-2.000
SF,Michael Gbinije,3000,Atl@Det 08:00PM ET,1.344,Det,1,0,1.100,0.625,1.500,24.000,18.000,1.250,0.003,202.000,2.000
SF,Taurean Prince,3000,Atl@Det 08:00PM ET,7.948,Atl,0,0,8.250,2.558,9.625,5.500,18.000,13.500,0.086,202.000,-2.000
SF,DeAndre' Bembry,3000,Atl@Det 08:00PM ET,4.150,Atl,0,0,7.357,1.955,6.938,5.500,18.000,12.250,0.013,202.000,-2.000
PF/C,Mike Muscala,3000,Atl@Det 08:00PM ET,16.594,Atl,0,0,15.536,9.344,11.375,8.750,18.000,0.000,0.422,202.000,-2.000
PF,Mike Scott,3000,Atl@Det 08:00PM ET,8.361,Atl,0,0,8.250,2.562,5.938,12.500,18.000,2.000,0.053,202.000,-2.000
PF,Henry Ellenson,3000,Atl@Det 08:00PM ET,2.923,Det,1,0,2.429,1.361,4.750,17.000,18.000,3.500,0.001,202.000,2.000
C,Boban Marjanovic,3000,Atl@Det 08:00PM ET,10.139,Det,1,0,11.821,2.841,14.938,4.000,18.000,4.500,0.206,202.000,2.000
PG,Brian Roberts,3000,Por@Cha 07:00PM ET,3.150,Cha,1,0,2.214,0.542,2.312,11.000,18.000,2.000,0.004,217.500,-5.000
PG,Shabazz Napier,3000,Por@Cha 07:00PM ET,7.472,Por,0,0,8.500,2.650,5.125,20.000,18.000,0.750,0.040,217.500,5.000
PG,Tim Quarterman,3000,Por@Cha 07:00PM ET,3.250,Por,0,0,3.357,1.750,1.750,20.000,18.000,3.750,0.001,217.500,5.000
SF,Pat Connaughton,3000,Por@Cha 07:00PM ET,3.313,Por,0,0,3.714,1.227,4.938,25.000,18.000,4.000,0.001,217.500,5.000
SF,Treveon Graham,3000,Por@Cha 07:00PM ET,3.500,Cha,1,0,3.750,0.929,2.062,21.000,18.000,0.000,0.002,217.500,-5.000
PF/C,Meyers Leonard,3000,Por@Cha 07:00PM ET,11.809,Por,0,0,7.679,5.310,12.312,18.000,18.000,13.500,0.242,217.500,5.000
PF,Jake Layman,3000,Por@Cha 07:00PM ET,4.386,Por,0,0,2.321,1.516,3.750,9.500,18.000,3.500,0.017,217.500,5.000
PF,Noah Vonleh,3000,Por@Cha 07:00PM ET,8.629,Por,0,0,8.214,4.333,11.500,9.500,18.000,16.750,0.078,217.500,5.000
C,Roy Hibbert,3000,Por@Cha 07:00PM ET,12.875,Cha,1,0,13.857,8.487,15.688,28.000,18.000,27.500,0.272,217.500,-5.000
C,Ed Davis,3000,Por@Cha 07:00PM ET,12.769,Por,0,0,8.143,6.500,12.375,26.500,18.000,1.500,0.245,217.500,5.000
PG,Trey Burke,3000,Mem@Was 07:00PM ET,8.368,Was,1,0,12.571,4.476,9.000,7.000,18.000,8.500,0.087,206.500,-2.000
PG,Tomas Satoransky,3000,Mem@Was 07:00PM ET,9.880,Was,1,0,9.107,4.891,14.188,7.000,18.000,9.750,0.163,206.500,-2.000
PG,Wade Baldwin IV,3000,Mem@Was 07:00PM ET,9.402,Mem,0,0,5.000,3.327,3.125,4.500,18.000,6.250,0.179,206.500,2.000
SG,Troy Daniels,3000,Mem@Was 07:00PM ET,14.617,Mem,0,0,13.607,5.734,8.562,14.000,18.000,3.500,0.384,206.500,2.000
SG,Sheldon McClellan,3000,Mem@Was 07:00PM ET,7.500,Was,1,0,4.464,2.500,5.062,3.000,18.000,2.500,0.058,206.500,-2.000
SG,Troy Williams,3000,Mem@Was 07:00PM ET,10.720,Mem,0,0,11.821,2.729,4.188,14.000,18.000,0.000,0.234,206.500,2.000
SF,Marcus Thornton,3000,Mem@Was 07:00PM ET,12.712,Was,1,0,12.107,6.875,13.688,4.000,18.000,3.000,0.232,206.500,-2.000
PF/C,Jason Smith,3000,Mem@Was 07:00PM ET,9.421,Was,1,0,17.679,5.933,15.375,2.000,18.000,17.750,0.106,206.500,-2.000
PF/C,Jarell Martin,3000,Mem@Was 07:00PM ET,10.395,Mem,0,0,6.286,4.862,5.875,16.750,18.000,5.750,0.152,206.500,2.000
PF,Deyonta Davis,3000,Mem@Was 07:00PM ET,5.881,Mem,0,0,4.143,2.062,4.750,22.500,18.000,11.000,0.041,206.500,2.000
C,Andrew Nicholson,3000,Mem@Was 07:00PM ET,5.840,Was,1,0,3.679,2.300,5.062,1.000,18.000,7.250,0.024,206.500,-2.000
C,Daniel Ochefu,3000,Mem@Was 07:00PM ET,3.025,Was,1,0,2.750,1.042,5.375,1.000,18.000,5.750,0.003,206.500,-2.000
PG,Tyler Ennis,3000,Mil@Hou 08:00PM ET,4.750,Hou,1,0,1.929,1.600,1.188,2.000,18.000,0.000,0.006,226.500,-6.500
SG/SF,Corey Brewer,3000,Mil@Hou 08:00PM ET,9.659,Hou,1,0,14.679,5.944,11.688,22.000,18.000,16.500,0.075,226.500,-6.500
SG,Jason Terry,3000,Mil@Hou 08:00PM ET,8.700,Mil,0,0,9.786,4.403,8.438,25.000,18.000,0.000,0.033,226.500,6.500
SG,Rashad Vaughn,3000,Mil@Hou 08:00PM ET,7.375,Mil,0,0,3.643,2.136,5.875,25.000,18.000,4.000,0.119,226.500,6.500
SF,K.J. McDaniels,3000,Mil@Hou 08:00PM ET,6.045,Hou,1,0,2.107,2.071,2.688,29.000,18.000,2.000,0.026,226.500,-6.500
PF,Kyle Wiltjer,3000,Mil@Hou 08:00PM ET,2.306,Hou,1,0,4.833,0.375,1.000,19.000,18.000,3.250,0.006,226.500,-6.500
PF,Mirza Teletovic,3000,Mil@Hou 08:00PM ET,13.311,Mil,0,0,12.357,6.844,5.250,12.500,18.000,3.500,0.262,226.500,6.500
PF,Thon Maker,3000,Mil@Hou 08:00PM ET,4.221,Mil,0,0,4.286,1.750,4.438,12.500,18.000,5.500,0.002,226.500,6.500
C,Miles Plumlee,3000,Mil@Hou 08:00PM ET,5.722,Mil,0,0,2.179,1.618,1.438,23.000,18.000,1.250,0.027,226.500,6.500
PG/SG,Rodney Stuckey,3000,Ind@Sac 10:30PM ET,15.794,Ind,0,0,17.357,8.306,14.625,22.500,18.000,2.000,0.409,214.500,2.000
PG,Aaron Brooks,3000,Ind@Sac 10:30PM ET,12.257,Ind,0,0,14.964,7.405,12.688,21.000,18.000,7.750,0.207,214.500,2.000
SG,Arron Afflalo,3000,Ind@Sac 10:30PM ET,12.182,Sac,1,0,10.250,6.706,10.188,26.500,18.000,16.250,0.197,214.500,-2.000
SG,Joe Young,3000,Ind@Sac 10:30PM ET,4.875,Ind,0,0,9.071,0.479,2.188,24.000,18.000,6.000,0.037,214.500,2.000
SG,Ben McLemore,3000,Ind@Sac 10:30PM ET,8.911,Sac,1,0,3.464,3.609,0.438,26.500,18.000,0.250,0.075,214.500,-2.000
SG,Malachi Richardson,3000,Ind@Sac 10:30PM ET,4.750,Sac,1,0,4.375,0.875,6.250,26.500,18.000,0.000,0.059,214.500,-2.000
SF,Omri Casspi,3000,Ind@Sac 10:30PM ET,13.614,Sac,1,0,14.286,7.100,9.062,11.500,18.000,4.750,0.270,214.500,-2.000
PF/C,Kevin Seraphin,3000,Ind@Sac 10:30PM ET,10.652,Ind,0,0,10.179,4.212,11.938,19.250,18.000,1.250,0.172,214.500,2.000
PF,Rakeem Christmas,3000,Ind@Sac 10:30PM ET,3.417,Ind,0,0,1.375,1.375,3.417,25.000,18.000,0.000,0.055,214.500,2.000
PF,Georges Niang,3000,Ind@Sac 10:30PM ET,2.235,Ind,0,0,2.179,0.568,0.688,25.000,18.000,2.000,0.000,214.500,2.000
PF,Skal Labissiere,3000,Ind@Sac 10:30PM ET,4.625,Sac,1,0,4.000,2.250,4.625,29.000,18.000,4.000,0.054,214.500,-2.000
C,Kosta Koufos,3000,Ind@Sac 10:30PM ET,15.869,Sac,1,0,15.286,10.295,15.500,17.000,18.000,17.000,0.396,214.500,-2.000
C,Lavoy Allen,3000,Ind@Sac 10:30PM ET,6.700,Ind,0,0,5.214,3.691,2.125,13.500,18.000,1.500,0.005,214.500,2.000
C,Willie Cauley-Stein,3000,Ind@Sac 10:30PM ET,8.545,Sac,1,0,5.250,3.587,3.312,17.000,18.000,1.250,0.078,214.500,-2.000
PG,Jerryd Bayless,3000,Tor@Phi 07:00PM ET,21.333,Phi,1,0,21.333,15.750,21.333,8.000,18.000,18.500,0.635,214.500,5.000
PG,Fred VanVleet,3000,Tor@Phi 07:00PM ET,5.646,Tor,0,0,10.300,1.833,8.625,13.500,18.000,6.000,0.064,214.500,-5.000
SG/SF,Timothe Luwawu-Cabarrot,3000,Tor@Phi 07:00PM ET,5.865,Phi,1,0,6.786,2.125,11.062,9.000,18.000,8.000,0.011,214.500,5.000
PF,Pascal Siakam,3000,Tor@Phi 07:00PM ET,12.138,Tor,0,0,9.107,6.105,9.250,6.000,18.000,4.750,0.187,214.500,-5.000
C,Jakob Poeltl,3000,Tor@Phi 07:00PM ET,7.152,Tor,0,0,5.607,2.788,3.875,26.500,18.000,1.250,0.032,214.500,-5.000
PG/SG,C.J. Watson,3000,Orl@NO 08:00PM ET,6.863,Orl,0,0,8.536,3.279,8.125,23.500,18.000,12.250,0.023,209.500,5.000
PG,Langston Galloway,3000,Orl@NO 08:00PM ET,16.610,NO,1,0,17.071,9.707,13.688,16.000,18.000,28.250,0.453,209.500,-5.000
SG,C.J. Wilcox,3000,Orl@NO 08:00PM ET,2.609,Orl,0,0,2.107,0.614,3.375,20.000,18.000,0.000,0.001,209.500,5.000
SG,Mario Hezonja,3000,Orl@NO 08:00PM ET,5.783,Orl,0,0,5.714,2.079,7.875,20.000,18.000,15.750,0.033,209.500,5.000
SF/PF,Dante Cunningham,3000,Orl@NO 08:00PM ET,14.224,NO,1,0,17.357,8.286,13.812,16.000,18.000,20.250,0.314,209.500,-5.000
SF,Damjan Rudez,3000,Orl@NO 08:00PM ET,3.896,Orl,0,0,3.429,0.783,0.688,14.000,18.000,1.500,0.004,209.500,5.000
PF,Stephen Zimmerman Jr.,3000,Orl@NO 08:00PM ET,4.125,Orl,0,0,2.583,1.950,5.000,24.000,18.000,11.000,0.011,209.500,5.000
C,Alexis Ajinca,3000,Orl@NO 08:00PM ET,11.988,NO,1,0,11.714,5.909,7.750,19.000,18.000,2.750,0.224,209.500,-5.000
C,Omer Asik,3000,Orl@NO 08:00PM ET,11.569,NO,1,0,13.607,6.721,5.438,19.000,18.000,1.250,0.183,209.500,-5.000
