Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG/SG,James Harden,12100,Cha@Hou 08:00PM ET,60.462,Hou,1,0,68.179,53.391,58.000,78.500,17.500,72.600,0.160,-9.000,227.000
PF/C,DeMarcus Cousins,10100,Det@Sac 10:30PM ET,52.201,Sac,1,0,55.536,40.156,45.688,41.500,8.500,60.600,0.264,-3.000,206.000
PG,John Wall,9900,Chi@Was 07:00PM ET,48.662,Was,1,0,54.500,40.617,43.938,29.750,12.000,59.400,0.138,-11.500,204.000
SF,Kevin Durant,9800,Mia@GS 10:30PM ET,49.928,GS,1,0,49.107,40.691,48.750,56.250,8.000,58.800,0.196,-14.500,218.000
PG,Giannis Antetokounmpo,9700,Mil@SA 08:30PM ET,51.507,Mil,0,0,53.679,42.750,58.188,48.750,5.000,58.200,0.265,10.000,203.500
SF,LeBron James,9600,Cle@Uta 09:00PM ET,52.167,Cle,0,0,54.786,43.632,50.625,43.500,1.000,57.600,0.317,-1.500,203.000
SG/SF,Jimmy Butler,9500,Chi@Was 07:00PM ET,44.053,Chi,0,1,39.679,34.477,52.250,13.500,10.750,57.000,0.183,11.500,204.000
PG,Isaiah Thomas,9100,Bos@Tor 07:30PM ET,42.848,Bos,0,0,45.500,35.486,50.812,50.250,9.000,54.600,0.120,5.500,218.000
PG,Damian Lillard,9000,Por@LAL 10:30PM ET,44.213,Por,0,0,45.250,34.397,40.500,37.750,28.000,54.000,0.213,-2.500,228.500
PG,Stephen Curry,8700,Mia@GS 10:30PM ET,42.987,GS,1,0,42.357,36.487,48.062,48.500,7.000,52.200,0.150,-14.500,218.000
SG,DeMar DeRozan,8300,Bos@Tor 07:30PM ET,42.108,Tor,1,0,41.786,34.882,44.188,50.000,12.000,49.800,0.184,-5.500,218.000
PG,Kyle Lowry,8200,Bos@Tor 07:30PM ET,43.486,Tor,1,0,43.464,35.044,42.000,34.250,24.000,49.200,0.296,-5.500,218.000
