Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,dvp,value,FloorAvg,Final
SF,Paul Zipser,3000,NO@Chi 05:00PM ET,3.886,Chi,True,0,3.050,0.000,5.375,0.000,-90.000,8.000,18.000,1.688,0.000
PF,Bobby Portis,3000,NO@Chi 05:00PM ET,9.779,Chi,True,0,8.607,0.000,13.438,0.000,0.000,24.000,18.000,5.603,9.750
PF,Cheick Diallo,3000,NO@Chi 05:00PM ET,10.375,NO,False,0,13.833,0.000,10.438,0.000,0.000,19.000,18.000,4.650,0.000
C,Alexis Ajinca,3000,NO@Chi 05:00PM ET,11.988,NO,False,0,14.179,0.000,7.750,0.000,-90.000,10.000,18.000,5.909,0.000
C,Omer Asik,3000,NO@Chi 05:00PM ET,11.569,NO,False,0,6.357,0.000,5.438,0.000,-90.000,10.000,18.000,6.721,0.000
PG,Trey Burke,3000,Phi@Was 08:00PM ET,8.235,Was,True,0,10.107,0.000,7.375,0.000,-90.000,11.500,18.000,4.310,13.250
PG,Tomas Satoransky,3000,Phi@Was 08:00PM ET,8.826,Was,True,1,5.286,0.000,3.312,0.000,-99.000,11.500,18.000,3.857,14.000
SG/SF,Timothe Luwawu-Cabarrot,3000,Phi@Was 08:00PM ET,5.156,Phi,False,0,5.143,0.000,7.438,0.000,0.000,16.000,18.000,1.795,22.000
SF,Marcus Thornton,3000,Phi@Was 08:00PM ET,12.712,Was,True,0,12.107,0.000,13.688,0.000,0.000,28.000,18.000,6.875,0.000
PF/C,Jason Smith,3000,Phi@Was 08:00PM ET,9.292,Was,True,0,12.893,0.000,11.250,0.000,0.000,16.750,18.000,5.120,15.500
C,Andrew Nicholson,3000,Phi@Was 08:00PM ET,5.781,Was,True,0,3.107,0.000,4.062,0.000,0.000,26.500,18.000,2.359,7.250
C,Daniel Ochefu,3000,Phi@Was 08:00PM ET,2.875,Was,True,0,2.400,0.000,4.438,0.000,0.000,26.500,18.000,0.950,1.500
PG,Raul Neto,3000,Orl@Uta 09:00PM ET,5.638,Uta,True,0,7.107,0.000,8.125,0.000,0.000,17.000,18.000,1.159,5.750
PG,Dante Exum,3000,Orl@Uta 09:00PM ET,12.383,Uta,True,0,14.643,0.000,8.812,0.000,0.000,17.000,18.000,6.542,3.500
SG/SF,Joe Johnson,3000,Orl@Uta 09:00PM ET,15.335,Uta,True,0,8.286,0.000,6.500,0.000,0.000,15.500,18.000,7.842,0.000
SG,Alec Burks,3000,Orl@Uta 09:00PM ET,2.450,Uta,True,0,2.000,0.000,3.188,0.000,0.000,17.500,18.000,0.500,19.000
SG,Mario Hezonja,3000,Orl@Uta 09:00PM ET,5.804,Orl,False,0,2.964,0.000,3.688,0.000,-90.000,1.000,18.000,2.028,3.000
SF,Damjan Rudez,3000,Orl@Uta 09:00PM ET,4.065,Orl,False,0,3.000,0.000,2.438,0.000,-90.000,1.000,18.000,0.788,0.000
PF/C,Boris Diaw,3000,Orl@Uta 09:00PM ET,10.352,Uta,True,0,8.500,0.000,6.688,0.000,0.000,15.500,18.000,5.412,9.750
PF,Joel Bolomboy,3000,Orl@Uta 09:00PM ET,2.833,Uta,True,0,1.938,0.000,2.812,0.000,0.000,14.000,18.000,1.050,0.000
C,Jeff Withey,3000,Orl@Uta 09:00PM ET,7.880,Uta,True,0,7.000,0.000,5.312,0.000,0.000,17.000,18.000,4.058,1.000
PG,Jose Calderon,3000,LAL@LAC 03:30PM ET,9.361,LAL,False,0,9.500,0.000,2.188,0.000,-90.000,4.000,18.000,3.225,5.000
PG,Marcelo Huertas,3000,LAL@LAC 03:30PM ET,8.912,LAL,False,0,11.893,0.000,5.750,0.000,-90.000,4.000,18.000,4.562,7.000
SG,Alan Anderson,3000,LAL@LAC 03:30PM ET,5.268,LAC,True,0,3.393,0.000,8.750,0.000,0.000,23.000,18.000,2.450,5.000
SF,Paul Pierce,3000,LAL@LAC 03:30PM ET,6.917,LAC,True,0,4.292,0.000,6.938,0.000,0.000,27.000,18.000,3.500,0.000
SF,Metta World Peace,3000,LAL@LAC 03:30PM ET,2.717,LAL,False,0,2.857,0.000,1.000,0.000,0.000,13.500,18.000,0.625,4.000
SF,Wesley Johnson,3000,LAL@LAC 03:30PM ET,10.407,LAC,True,0,10.071,0.000,11.562,0.000,0.000,27.000,18.000,5.487,10.500
PF,Brandon Bass,3000,LAL@LAC 03:30PM ET,9.390,LAC,True,0,9.893,0.000,8.062,0.000,0.000,27.500,18.000,4.839,6.500
PF,Thomas Robinson,3000,LAL@LAC 03:30PM ET,12.608,LAL,False,0,17.000,0.000,11.625,0.000,-90.000,5.000,18.000,5.150,5.750
C,Tarik Black,3000,LAL@LAC 03:30PM ET,14.460,LAL,False,0,10.929,0.000,11.750,0.000,-90.000,8.500,18.000,9.922,16.500
C,Timofey Mozgov,3000,LAL@LAC 03:30PM ET,16.137,LAL,False,0,12.714,0.000,16.750,0.000,-90.000,8.500,18.000,10.674,18.250
C,Diamond Stone,3000,LAL@LAC 03:30PM ET,2.813,LAC,True,0,2.812,0.000,2.812,0.000,0.000,28.500,18.000,0.250,0.000
C,Ivica Zubac,3000,LAL@LAC 03:30PM ET,6.031,LAL,False,0,5.321,0.000,8.188,0.000,-90.000,8.500,18.000,1.292,2.000
PG/SG,Leandro Barbosa,3000,SA@Pho 06:00PM ET,10.711,Pho,True,0,5.821,0.000,6.125,0.000,-90.000,12.250,18.000,4.988,4.250
PG,Bryn Forbes,3000,SA@Pho 06:00PM ET,1.462,SA,False,0,0.643,0.000,0.812,0.000,0.000,26.000,18.000,0.125,3.250
PG,Tyler Ulis,3000,SA@Pho 06:00PM ET,7.229,Pho,True,0,5.607,0.000,4.562,0.000,-90.000,5.000,18.000,3.632,7.500
PG,Dejounte Murray,3000,SA@Pho 06:00PM ET,5.100,SA,False,1,5.143,0.000,7.688,0.000,-99.000,26.000,18.000,1.682,0.000
SF/PF,Davis Bertans,3000,SA@Pho 06:00PM ET,7.305,SA,False,0,0.929,0.000,14.375,0.000,0.000,19.500,18.000,2.357,-0.500
SF/PF,Dragan Bender,3000,SA@Pho 06:00PM ET,7.813,Pho,True,0,8.643,0.000,9.688,0.000,-90.000,2.000,18.000,3.583,16.000
PF,Jared Dudley,3000,SA@Pho 06:00PM ET,16.858,Pho,True,0,16.821,0.000,7.750,0.000,-90.000,2.000,18.000,11.000,0.000
C,Alan Williams,3000,SA@Pho 06:00PM ET,9.768,Pho,True,0,3.000,0.000,4.375,0.000,-90.000,2.000,18.000,3.659,0.000
