team,odds,overUnder
TOR,2.500,192.500
CHA,-2.500,192.500
DET,1.000,188.000
ORL,-1.000,188.000
PHI,-4.500,182.500
CLE,4.500,182.500
NO,7.500,181.000
IND,-7.500,181.000
SA,-1.500,193.500
BOS,1.500,193.500
WAS,9.500,185.500
ATL,-9.500,185.500
MIL,9.500,203.500
MIA,-9.500,203.500
LAC,4.000,198.000
OKC,-4.000,198.000
CHI,1.000,192.000
HOU,-1.000,192.000
DEN,-3.000,192.000
MIN,3.000,192.000
NY,-3.500,193.500
DAL,3.500,193.500
POR,2.000,202.000
PHO,-2.000,202.000
LAL,-5.500,204.500
SAC,5.500,204.500
BKN,2.000,194.500
GS,-2.000,194.500
