team,odds,overUnder
PHI,9.000,199.500
ORL,-9.000,199.500
PHO,-7.500,214.500
CLE,7.500,214.500
UTA,-6.500,193.000
BKN,6.500,193.000
DET,12.000,191.500
BOS,-12.000,191.500
WAS,6.000,188.500
MIL,-6.000,188.500
MEM,3.500,184.500
NO,-3.500,184.500
TOR,12.000,204.500
SA,-12.000,204.500
NY,2.500,223.000
HOU,-2.500,223.000
LAL,-3.000,188.000
DAL,3.000,188.000
OKC,3.500,221.000
DEN,-3.500,221.000
POR,-1.500,195.000
SAC,1.500,195.000
MIN,6.500,213.500
LAC,-6.500,213.500
IND,5.000,214.000
GS,-5.000,214.000
