team,odds,overUnder
BOS,9.000,184.500
IND,-9.000,184.500
BKN,-10.000,191.500
CHA,10.000,191.500
UTA,1.500,201.500
CLE,-1.500,201.500
NY,-5.500,195.000
DET,5.500,195.000
PHI,9.000,190.000
ATL,-9.000,190.000
ORL,15.500,204.000
MIA,-15.500,204.000
WAS,-2.000,188.000
MIN,2.000,188.000
POR,7.500,186.500
MEM,-7.500,186.500
LAL,-2.000,204.000
NO,2.000,204.000
HOU,1.500,221.000
DAL,-1.500,221.000
TOR,-1.000,192.000
PHO,1.000,192.000
CHI,8.500,190.500
SA,-8.500,190.500
MIL,10.000,205.500
LAC,-10.000,205.500
SAC,11.000,225.000
GS,-11.000,225.000
