team,odds,overUnder
BKN,-7.000,185.000
TOR,7.000,185.000
ATL,-5.000,189.500
ORL,5.000,189.500
CLE,7.500,189.000
IND,-7.500,189.000
CHI,2.500,180.500
PHI,-2.500,180.500
LAC,-8.500,200.000
CHA,8.500,200.000
GS,8.000,206.500
MIA,-8.000,206.500
DEN,4.000,199.500
MIN,-4.000,199.500
SAC,8.000,198.000
MIL,-8.000,198.000
NO,14.500,196.000
OKC,-14.500,196.000
DAL,6.000,196.500
BOS,-6.000,196.500
WAS,10.500,206.000
HOU,-10.500,206.000
MEM,-6.500,195.500
PHO,6.500,195.500
SA,-4.000,210.000
UTA,4.000,210.000
