team,odds,overUnder
PHI,3.000,180.000
ORL,-3.000,180.000
SA,-7.000,185.500
TOR,7.000,185.500
MEM,-3.000,186.000
BKN,3.000,186.000
IND,-2.000,194.000
CLE,2.000,194.000
DET,9.000,182.000
BOS,-9.000,182.000
SAC,6.000,198.500
NY,-6.000,198.500
NO,9.000,185.000
MIL,-9.000,185.000
OKC,-3.000,201.000
HOU,3.000,201.000
CHA,10.500,195.000
MIN,-10.500,195.000
DEN,6.500,197.000
DAL,-6.500,197.000
ATL,-1.500,186.000
PHO,1.500,186.000
POR,5.000,197.000
GS,-5.000,197.000
WAS,13.000,198.500
LAC,-13.000,198.500
