team,odds,overUnder
BOS,-2.500,197.000
CLE,2.500,197.000
ORL,3.000,200.500
CHA,-3.000,200.500
MIL,-1.000,199.000
PHI,1.000,199.000
ATL,-2.500,194.000
TOR,2.500,194.000
MEM,-1.000,185.000
NY,1.000,185.000
LAC,-5.500,187.500
NO,5.500,187.500
LAL,-4.500,205.500
MIN,4.500,205.500
IND,6.000,197.500
HOU,-6.000,197.500
MIA,-6.500,186.000
CHI,6.500,186.000
WAS,15.000,198.000
OKC,-15.000,198.000
DEN,7.000,209.000
SA,-7.000,209.000
PHO,13.500,194.500
UTA,-13.500,194.500
SAC,8.500,214.000
GS,-8.500,214.000
BKN,3.500,196.000
POR,-3.500,196.000
