team,odds,overUnder
DAL,3.000,190.500
MEM,-3.000,190.500
ATL,3.000,205.000
MIL,-3.000,205.000
UTA,11.500,210.500
MIN,-11.500,210.500
HOU,3.000,209.000
NO,-3.000,209.000
DET,14.500,213.000
OKC,-14.500,213.000
LAL,9.000,217.000
SA,-9.000,217.000
WAS,-8.000,197.500
BOS,8.000,197.500
BKN,8.000,197.500
CLE,-8.000,197.500
PHI,5.500,207.500
MIA,-5.500,207.500
IND,4.000,187.000
ORL,-4.000,187.000
CHI,1.500,180.500
CHA,-1.500,180.500
TOR,-6.000,198.500
NY,6.000,198.500
PHO,-2.500,208.500
SAC,2.500,208.500
GS,8.000,209.000
DEN,-8.000,209.000
LAC,3.500,207.000
POR,-3.500,207.000
