team,odds,overUnder
WAS,-4.500,203.000
ORL,4.500,203.000
PHI,12.500,198.000
BOS,-12.500,198.000
IND,5.500,199.500
TOR,-5.500,199.500
CHI,-5.000,196.000
BKN,5.000,196.000
CHA,6.500,194.000
MIA,-6.500,194.000
UTA,1.000,1.000
DET,-1.000,1.000
SA,4.000,207.500
OKC,-4.000,207.500
NY,4.500,194.500
MIL,-4.500,194.500
DEN,10.500,212.000
HOU,-10.500,212.000
CLE,5.000,189.000
MEM,-5.000,189.000
NO,2.500,206.000
POR,-2.500,206.000
DAL,6.000,203.500
PHO,-6.000,203.500
LAC,-5.500,211.500
SAC,5.500,211.500
MIN,3.000,203.000
LAL,-3.000,203.000
