team,odds,overUnder
DAL,5.000,194.000
ATL,-5.000,194.000
CLE,14.000,183.000
CHI,-14.000,183.000
NO,5.500,189.000
HOU,-5.500,189.000
PHI,8.000,181.500
DET,-8.000,181.500
ORL,15.500,186.000
MEM,-15.500,186.000
NY,-5.500,191.500
CHA,5.500,191.500
MIA,7.500,182.000
WAS,-7.500,182.000
MIL,9.500,189.500
BOS,-9.500,189.500
BKN,7.000,183.000
TOR,-7.000,183.000
DEN,-8.000,208.000
MIN,8.000,208.000
POR,7.500,198.000
UTA,-7.500,198.000
LAL,7.000,204.500
SAC,-7.000,204.500
SA,-6.000,207.500
GS,6.000,207.500
