team,odds,overUnder
BKN,6.000,187.000
IND,-6.000,187.000
PHI,5.500,192.500
WAS,-5.500,192.500
CHI,2.500,188.500
TOR,-2.500,188.500
MIL,7.500,203.500
ATL,-7.500,203.500
BOS,12.000,196.000
MIA,-12.000,196.000
NY,-4.000,209.000
CLE,4.000,209.000
CHA,7.500,197.500
DET,-7.500,197.500
MEM,2.500,195.000
HOU,-2.500,195.000
LAC,-9.000,192.000
NO,9.000,192.000
DEN,-3.000,209.000
DAL,3.000,209.000
SAC,11.500,207.000
SA,-11.500,207.000
MIN,9.500,196.500
UTA,-9.500,196.500
OKC,-10.000,206.500
POR,10.000,206.500
GS,7.000,208.500
LAL,-7.000,208.500
