team,odds,overUnder
HOU,-6.000,198.000
CLE,6.000,198.000
NO,-5.000,190.500
CHA,5.000,190.500
MIL,-6.500,195.500
PHI,6.500,195.500
NY,14.500,187.500
WAS,-14.500,187.500
BOS,4.500,198.000
BKN,-4.500,198.000
MEM,4.500,196.500
ATL,-4.500,196.500
UTA,11.000,192.500
CHI,-11.000,192.500
DET,9.000,211.500
DAL,-9.000,211.500
ORL,7.000,201.500
DEN,-7.000,201.500
PHO,-8.000,216.500
MIN,8.000,216.500
OKC,-7.500,212.000
SAC,7.500,212.000
IND,11.500,203.000
GS,-11.500,203.000
LAL,10.500,215.000
LAC,-10.500,215.000
