team,odds,overUnder
NY,13.500,190.500
IND,-13.500,190.500
PHO,-4.500,202.000
ORL,4.500,202.000
UTA,1.000,193.000
BOS,-1.000,193.000
CLE,-5.000,204.500
TOR,5.000,204.500
CHA,5.500,194.000
BKN,-5.500,194.000
DEN,7.000,208.500
MIN,-7.000,208.500
MEM,3.000,196.000
HOU,-3.000,196.000
LAL,9.500,201.500
MIA,-9.500,201.500
PHI,15.000,203.000
OKC,-15.000,203.000
DET,5.000,195.500
NO,-5.000,195.500
SAC,10.500,207.500
SA,-10.500,207.500
POR,-1.500,205.500
LAC,1.500,205.500
MIL,13.500,204.000
GS,-13.500,204.000
