team,odds,overUnder
CHA,16.000,182.000
PHI,-16.000,182.000
BKN,4.000,191.000
CLE,-4.000,191.000
IND,-4.000,175.000
BOS,4.000,175.000
ATL,-6.500,179.000
DET,6.500,179.000
MIL,11.000,185.500
CHI,-11.000,185.500
ORL,-3.500,176.000
NO,3.500,176.000
WAS,9.500,197.500
HOU,-9.500,197.500
NY,11.500,196.500
MIA,-11.500,196.500
SA,-1.000,195.500
MIN,1.000,195.500
UTA,4.500,185.000
DAL,-4.500,185.000
TOR,13.000,196.000
DEN,-13.000,196.000
PHO,9.500,193.000
POR,-9.500,193.000
OKC,-4.500,199.500
GS,4.500,199.500
