team,odds,overUnder
NO,-7.000,190.500
PHI,7.000,190.500
BKN,9.500,191.500
WAS,-9.500,191.500
DET,1.000,197.000
IND,-1.000,197.000
MEM,-5.000,193.500
ORL,5.000,193.500
ATL,-2.000,206.500
TOR,2.000,206.500
CHI,-5.000,200.500
BOS,5.000,200.500
GS,-1.000,217.000
OKC,1.000,217.000
DEN,8.000,215.500
DAL,-8.000,215.500
POR,4.500,198.000
SA,-4.500,198.000
MIN,13.500,216.500
PHO,-13.500,216.500
LAL,8.000,196.500
UTA,-8.000,196.500
MIA,3.500,191.000
SAC,-3.500,191.000
CLE,8.500,207.000
LAC,-8.500,207.000
