team,odds,overUnder
BKN,-3.000,186.000
CHA,3.000,186.000
WAS,3.000,192.000
CLE,-3.000,192.000
IND,-6.500,185.500
NY,6.500,185.500
MIA,-7.000,200.000
ORL,7.000,200.000
TOR,-4.000,203.500
PHI,4.000,203.500
DET,5.500,202.000
ATL,-5.500,202.000
POR,-5.500,194.500
MIL,5.500,194.500
LAC,2.000,213.000
MIN,-2.000,213.000
UTA,11.000,195.000
NO,-11.000,195.000
BOS,14.500,193.000
SA,-14.500,193.000
SAC,5.500,196.000
PHO,-5.500,196.000
HOU,2.500,214.500
DAL,-2.500,214.500
MEM,5.000,189.000
GS,-5.000,189.000
