team,odds,overUnder
BOS,-6.500,190.000
WAS,6.500,190.000
DAL,-5.000,187.000
BKN,5.000,187.000
ATL,3.000,185.000
CHA,-3.000,185.000
TOR,10.500,196.500
MIA,-10.500,196.500
PHO,-2.000,207.000
DET,2.000,207.000
UTA,2.000,197.000
PHI,-2.000,197.000
CLE,15.500,191.500
CHI,-15.500,191.500
SA,-1.500,185.500
NO,1.500,185.500
NY,8.000,219.500
OKC,-8.000,219.500
ORL,-3.000,209.000
HOU,3.000,209.000
MEM,2.500,185.000
MIL,-2.500,185.000
IND,5.000,194.000
POR,-5.000,194.000
GS,8.500,215.000
LAC,-8.500,215.000
